Gene,FDR,FC
0610040J01Rik,0.002027955,3.990692139
1010001N08Rik,0.006090956,0.285464327
1110008L16Rik,0.008819673,2.241548437
1110008P14Rik,0.000373732,2.56936937
1110012J17Rik,2.04E-05,0.165875241
1110014N23Rik,0.00040015,0.172402299
1110017D15Rik,0.006068154,0.091688391
1110017D15Rik,0.007994087,0.103510385
1110018J18Rik,0.031739278,0.615491602
1110021J02Rik,0.000626201,2.151105665
1110032A04Rik,0.009660011,7.793520538
1110034G24Rik,0.000708208,0.441990824
1110038F14Rik,0.004504559,0.550698135
1110050K14Rik,7.71E-06,0.099136601
1110051M20Rik,0.007498559,0.386844136
1110051M20Rik,0.005187583,0.387267622
1190002H23Rik,0.004810366,0.077842488
1190002N15Rik,3.89E-06,0.277666727
1190002N15Rik,0.000147318,0.329560219
1190003J15Rik,0.000260714,12.09074232
1190003J15Rik,0.000127541,9.796890273
1300014I06Rik,0.003040063,0.202251934
1500009C09Rik,9.27E-05,5.267373711
1500011B03Rik,0.004735913,6.163002005
1500012F01Rik,0.002063339,2.205285322
1500015O10Rik,0.002031656,6.677898744
1500035N22Rik,0.000346579,0.13369882
1600014C23Rik,0.004849759,11.11642993
1600016N20Rik,0.005395967,2.487401088
1600029D21Rik,0.002963881,9.157452864
1600029D21Rik,0.005265925,6.111460265
1700001C02Rik,0.006858998,0.104793116
1700001J03Rik,0.00090789,0.260669575
1700001L19Rik,0.003518814,0.165351536
1700001O22Rik,0.000115959,6.432654215
1700007G11Rik,0.005110271,0.171910458
1700007K13Rik,0.002195648,0.186073654
1700009P17Rik,0.008301077,0.157320282
1700009P17Rik,0.008836939,0.172558927
1700012B09Rik,0.000115362,0.233531242
1700013F07Rik,0.000786022,0.16360566
1700016C15Rik,0.000452307,10.44736261
1700016K19Rik,0.009037522,0.17697344
1700018G05Rik,0.002129352,7.042063492
1700019E19Rik,0.001826623,0.480059507
1700019L03Rik,0.215522847,0.402746769
1700019N12Rik,0.006273978,14.84081214
1700024G13Rik,0.00082959,0.142340241
1700024P16Rik,0.015288014,13.99320661
1700026D08Rik,0.001519917,0.075597219
1700026L06Rik,0.001159732,0.131701885
1700026L06Rik,0.000695456,0.142432593
1700027A23Rik,0.004817383,0.366918447
1700028P14Rik,0.007899029,0.133627258
1700028P14Rik,0.003387336,0.190937251
1700029J07Rik,0.00329197,0.372113157
