Gene,logFC,FDR
0610007C21Rik,-0.129811561,0.783613
0610007L01Rik,0.104230645,0.75016
0610007P08Rik,-0.389340123,0.221344
0610007P14Rik,0.180190706,0.653683
0610007P22Rik,0.050025161,0.952844
0610008F07Rik,1.256340424,1
0610009B22Rik,0.533287605,0.221741
0610009D07Rik,0.324446553,0.367722
0610009O20Rik,-0.405347973,0.209259
0610010B08Rik,-0.340099945,0.704787
0610010F05Rik,-0.185275204,0.682387
0610010K06Rik,0.219750265,0.768492
0610010K14Rik,-0.143785867,0.788812
0610010O12Rik,0.280083211,0.378441
0610011F06Rik,0.281174214,0.526762
0610011L14Rik,0.055113464,0.909941
0610012G03Rik,0.321043079,0.439607
0610012H03Rik,-0.50623937,1
0610030E20Rik,-0.224475889,0.435054
0610031J06Rik,0.468577731,0.0793023
0610037D15Rik,-0.138273153,0.939653
0610037L13Rik,-0.446363912,0.267036
0610037P05Rik,0.037221226,0.945872
0610038B21Rik,0.857420118,1
0610038F07Rik,-0.09244607,0.970917
0610039K10Rik,-0.682318719,0.855279
0610040B10Rik,-0.428784488,0.691169
0610040J01Rik,1.27249922,0.000670633
0910001L09Rik,0.271079623,0.526509
100039707,0,1
100042579,0.004023776,1
100043387,-0.31544903,0.850726
1100001G20Rik,0.214775981,0.755118
1110001A07Rik,0.153129859,0.972346
1110001A16Rik,0.139188532,0.92208
1110001J03Rik,-0.073200635,0.936224
1110002B05Rik,0.325954566,0.267607
1110002L01Rik,0.287147489,0.744965
1110002N22Rik,-0.062803141,0.942101
1110003E01Rik,-0.141120439,0.655552
1110004E09Rik,-0.020122558,0.972073
1110004F10Rik,0.162654347,0.642165
1110005A03Rik,-0.294814084,0.799622
1110005A23Rik,-0.660574735,0.750769
1110006O24Rik,0.410722391,0.683383
1110007A13Rik,0.121168519,0.936445
1110007C09Rik,0.207379919,0.645781
1110008F13Rik,0.400933311,0.212519
1110008J03Rik,-0.380934293,0.50006
1110008L16Rik,0.370497914,0.512843
1110008P14Rik,0.568818239,0.157438
1110012D08Rik,-0.155939117,0.88044
1110012J17Rik,-0.825883378,0.00225688
1110012L19Rik,0.152973757,0.783787
1110013L07Rik,0.923942852,0.794268
1110014N23Rik,0.0373954,0.946802
1110017D15Rik,-1.504599798,0.0537322
1110017F19Rik,1.031814748,0.621206
1110018G07Rik,-0.268527806,0.345776
1110018H23Rik,0,1
1110018J18Rik,-0.381067086,0.348366
1110020A21Rik,-0.706359557,0.800679
1110020G09Rik,0.005412057,0.991697
1110021J02Rik,-0.236184444,0.746704
1110021L09Rik,-0.045649346,0.972346
1110028C15Rik,-0.204257616,0.718927
1110031I02Rik,-0.024124477,0.981767
1110032A03Rik,-0.295465925,0.468236
1110032A04Rik,3.677547732,0.000670633
1110032F04Rik,0.174620336,1
1110034A24Rik,-0.025355249,0.984758
1110034B05Rik,-0.066735493,0.937321
1110034G24Rik,-0.836003511,0.15341
1110037F02Rik,-0.213315904,0.456644
1110038B12Rik,1.015442542,0.0775508
1110038D17Rik,-0.018951977,0.988729
1110038F14Rik,-0.507706095,0.23014
1110049B09Rik,-0.860283597,1
1110049F12Rik,-0.31218119,0.410747
1110051M20Rik,-0.915622115,0.144511
1110054O05Rik,-0.070885889,0.882343
1110057K04Rik,-0.121210173,0.75338
1110058L19Rik,-0.287010452,0.575667
1110059E24Rik,0.017566678,0.974309
1110059G10Rik,-0.168208201,0.741422
1110059M19Rik,-0.610238931,1
1110065P20Rik,0.229693623,0.844074
1110067D22Rik,0.544401559,0.0393702
1190002H23Rik,-0.543236654,0.13345
1190002N15Rik,-0.97946252,0.000670633
1190003J15Rik,2.35449552,0.000670633
1190003K10Rik,0,1
1190005F20Rik,-0.011178058,0.985775
1190005I06Rik,0.525721887,0.531048
1190007F08Rik,-0.93272197,0.155433
1190007I07Rik,-0.136133258,0.900234
1200002N14Rik,0.25357251,0.950099
1200009I06Rik,-1.019793452,0.0451057
1200011I18Rik,-0.059671114,0.88201
1200011M11Rik,0.225269171,0.520688
1200014J11Rik,-0.015980558,0.973041
1200016B10Rik,0.035137074,0.941221
1300001I01Rik,0.621223545,0.0518663
1300002K09Rik,1.701717269,0.000670633
1300010F03Rik,-0.245614206,0.425053
1300014I06Rik,-0.82428513,0.00404852
1300017J02Rik,-0.241276067,1
1300018I17Rik,-0.08469866,0.898211
1300018J18Rik,-0.113591624,0.88649
14-3-3 gamma,0.022434134,0.993486
1500001A10Rik,0.251797852,1
1500001M20Rik,-0.020408788,0.980042
1500002O20Rik,-0.090557755,0.857345
1500003O03Rik,0.436481651,0.0807124
1500004A13Rik,-0.234331727,0.896307
1500009C09Rik,1.613673087,1
1500009L16Rik,0.621923912,0.360886
1500010J02Rik,0.246415818,0.718551
1500011B03Rik,0.178470898,0.900331
1500011H22Rik,-0.438794656,0.346223
1500011K16Rik,0.224252595,0.660544
1500012F01Rik,0.300238824,0.816356
1500015A07Rik,0.209067202,0.682332
1500015O10Rik,2.722603039,0.00175914
1500017E21Rik,-1.023588415,1
1500031L02Rik,0.054508447,0.932852
1500032L24Rik,0.194032425,0.617147
1520402A15Rik,-0.632651874,0.332001
1600002H07Rik,-0.038450602,0.973184
1600002K03Rik,0.296741542,0.630828
1600012F09Rik,-0.321858603,0.380842
1600012H06Rik,0.14722566,0.734489
1600012P17Rik,0,1
1600014C10Rik,0.164801627,0.65048
1600014C23Rik,-1.33610054,1
1600014K23Rik,0,1
1600015I10Rik,0,1
1600016N20Rik,0.506309159,0.580254
1600021P15Rik,-0.198707956,0.646183
1600027N09Rik,0.134709101,0.829864
1600029D21Rik,0.939027405,0.000670633
1600029I14Rik,-1.335396185,0.543682
1600029O15Rik,0.460919712,1
1700001C02Rik,-1.470222051,0.048979
1700001C19Rik,1.112742497,1
1700001F09Rik,0,1
1700001G17Rik,0.475599426,1
1700001J03Rik,-0.572969746,0.596878
1700001J11Rik,0.045634784,1
1700001K19Rik,-1.616109966,0.104592
1700001K23Rik,-1.213522184,0.460238
1700001L05Rik,-0.523274725,0.323839
1700001L19Rik,-1.679321179,0.0158203
1700001O22Rik,1.327182292,0.0881912
