geneSYM-ensembl,gs-vs-gc log2FC,gs-vs-gc FDR,,,
Ccl20,1.276047989,4.62E-14,,,
Slc29a2,1.168429943,8.26E-20,,,
Krt15,1.098585554,1.12E-10,,,
Bmp2,0.955949521,3.30E-08,,,
Scd2,0.94391639,4.61E-63,,,
Krt7,0.913203583,3.73E-31,,,
Aldh3a1,0.905833848,1.12E-08,,,
Tnfaip2,0.870119104,1.88E-20,,,
Tmprss11e,0.851693114,7.48E-17,,,
Ces1g,0.844728874,1.12E-10,,,
Akap12,0.797176595,1.32E-15,,,
Prl2a1,0.736194317,5.09E-11,,,
Ly6c1,0.735054685,5.53E-08,,,
Adgrl3,0.730877598,3.96E-05,,,
Fgfbp1,0.719500494,4.95E-13,,,
Stfa3,0.707331967,7.59E-05,,,
Prodh,0.702424165,7.14E-07,,,
Eps8,0.700150182,6.26E-05,,,
Ska1,0.697680801,7.31E-05,,,
Nrg2,0.697385472,1.50E-15,,,
Efemp1,0.683304321,0.000174077,,, 
Gm22973,0.681324539,0.000108162,,,
Hist1h3d,0.679971086,3.13E-14,,,
Krt18,0.67374866,1.28E-11,,,
Hist1h1b,0.661629691,2.46E-27,,,
Ltbp1,0.657874252,1.58E-09,,,
Lhfp,0.649401268,1.92E-18,,,
Hist1h2ae,0.647896656,4.92E-10,,,
Robo2,0.646371234,3.86E-11,,,
Hist1h3h,0.644857447,2.66E-14,,,
Hist1h2af,0.642038226,1.21E-08,,,
Barx2,0.641615691,0.000362493,,,
Igf2r,0.640859194,5.50E-18,,,
Depdc1b,0.628455467,1.41E-06,,,
Cdc20,0.623487504,1.29E-22,,,
Hist1h2bj,0.623103543,2.09E-15,,,
Kif22,0.618595471,3.02E-16,,,
Serpine2,0.616285127,1.44E-17,,,
Hist2h2ac,0.61536397,1.04E-12,,,
Nr4a1,0.614678251,0.000212891,,,
Slc16a3,0.614163952,5.59E-20,,,
Gm24407,0.612603954,2.80E-05,,,
Hist1h3c,0.610781673,2.30E-15,,,
Hist1h2an,0.609786935,1.56E-06,,,
Fam213a,0.609374153,0.000216514,,,
Gap43,0.605243457,3.68E-05,,,
Cdk14,0.601528528,0.000520335,,,
Hist1h2bh,0.600623974,3.39E-16,,,
Hist1h2ad,0.600504638,3.38E-08,,,
Hs3st3b1,0.594626737,8.21E-18,,,
Bdnf,0.58796371,0.001558049,,,
Psrc1,0.587381685,6.83E-08,,,
Fam111a,0.584364407,2.27E-13,,,
Hist1h4d,0.584262152,7.85E-24,,,
Hist1h2bb,0.579586589,1.38E-22,,,
Hist1h2bn,0.579184885,9.54E-08,,,
Hist1h2be,0.578515061,1.39E-15,,,
Lcn2,0.578453416,0.002033099,,,
Tfap4,0.577998682,4.26E-07,,,
Hist1h2bk,0.577459404,4.34E-14,,,
Glyat,0.575172708,0.001918842,,,
Hist1h2ag,0.575107875,2.46E-06,,,
Hist1h3b,0.571499825,0.000104084,,,
Hist1h2bg,0.570122518,1.05E-17,,,
Lrrc8b,0.56905291,4.57E-06,,,
B4galnt4,0.568551841,9.96E-07,,,
Hist1h2ac,0.568378278,4.03E-11,,,
Hist1h1e,0.566606489,6.19E-20,,,
Pif1,0.56612094,8.61E-08,,,
Iqgap3,0.564341554,1.27E-13,,,
Slc1a5,0.564275893,5.51E-14,,,
Hist1h4b,0.563495824,9.25E-14,,,
Ak3,0.560830803,3.08E-10,,,
Slc7a5,0.559384633,2.26E-10,,,
Evc2,0.558877982,0.003075436,,,
Tmem229b,0.557473852,0.001665632,,,
Tgm1,0.556942839,0.001552308,,,
Ncaph,0.552591528,1.32E-15,,,
Hist1h1d,0.550621563,6.64E-18,,,
Ccnb1,0.549795724,3.45E-12,,,
Hist1h4h,0.542773478,7.48E-17,,,
Pde3b,0.542717509,0.000648461,,,
Hist1h3g,0.542680369,4.60E-11,,,
Rfc5,0.542221132,2.90E-15,,,
Hist1h4k,0.541978465,1.65E-15,,,
Nek2,0.541853321,6.00E-15,,,
Slc6a14,0.537116077,0.004795901,,,
Hist1h2bp,0.533897395,5.55E-08,,,
Hist1h3i,0.532988898,9.81E-11,,,
Ncapg,0.531957031,4.24E-14,,,
Hist2h2bb,0.531411923,2.67E-05,,,
Car12,0.530677271,6.53E-16,,,
Hist1h1a,0.530027486,4.00E-11,,,
Cenpu,0.529961898,2.48E-05,,,
Ect2,0.528224145,2.28E-11,,,
Hist1h4a,0.52791201,2.21E-13,,,
Lyar,0.527691032,9.00E-10,,,
Trip13,0.527111341,1.62E-08,,,
Bub1b,0.525073573,2.25E-13,,,
Fkbp5,0.524509772,0.000129516,,,
