naive_hESC_rep1	naive_hESC_rep2	naive_hESC_rep3	naive_hESC_rep4	primed_hESC_rep1	primed_hESC_rep2	primed_hESC_rep3	primed_hESC_rep4	exonlength
1/2-SBSRNA4	52	59	135	90	60	93	60	104	954
A1BG	1	1	5	1	3	2	0	1	1758
A1BG-AS1	1	12	15	13	10	9	8	19	2126
A1CF	3	0	7	3	21	24	9	6	56147
A2LD1	39	35	20	15	20	20	12	20	5336
A2M	6	5	8	6	36	44	45	57	4617
A2ML1	126	216	252	205	249	305	175	283	8920
A2MP1	0	2	0	0	4	8	11	6	1192
A4GALT	562	679	638	810	5	5	2	5	2089
A4GNT	0	0	0	0	0	0	0	0	1768
AA06	0	0	0	0	0	1	0	3	629
AAA1	7	15	20	9	23	28	17	24	10963
AAAS	1657	1942	1680	2610	285	238	172	446	3544
AACS	242	286	257	271	80	72	55	140	3303
AACSP1	1	1	0	0	3	2	13	19	2166
AADAC	4	5	14	2	0	0	0	0	1601
AADACL2	2	3	1	1	0	0	0	0	1495
AADACL3	5	3	1	1	20	12	37	33	7874
AADACL4	0	0	0	0	0	0	0	0	1571
AADAT	298	358	429	370	453	359	337	272	4407
AAGAB	506	649	274	336	148	101	128	170	2835
AAK1	1447	1770	1884	2016	1770	1956	1872	2592	21243
AAMP	370	376	211	223	42	47	40	104	1782
AANAT	3	0	1	1	0	3	3	4	2928
AARS	4824	5530	4041	5553	1175	1119	1091	1905	3323
AARS2	2236	3939	4440	3196	319	363	244	405	4760
AARSD1	271	449	430	330	175	178	106	197	7717
AASDH	335	374	182	261	182	170	307	183	3546
AASDHPPT	427	388	244	383	356	312	442	361	2855
AASS	5351	5423	6179	6752	12642	13004	17820	20596	5847
AATF	1502	1650	1540	2296	550	500	437	795	2129
AATK	0	2	0	0	0	0	0	1	10373
AATK-AS1	0	0	0	0	0	0	0	0	1571
ABAT	71	91	67	111	113	73	123	134	15260
ABCA1	11409	11841	12410	12452	1834	1334	1700	1560	10452
ABCA10	11	7	12	7	19	35	76	70	6291
ABCA11P	78	88	107	90	124	176	264	268	1892
ABCA12	20	12	25	32	14	26	17	24	17087
ABCA13	236	236	303	307	40	64	30	81	17122
ABCA17P	4	8	3	3	1	0	1	4	4171
ABCA2	72	139	245	195	43	34	14	24	16202
ABCA3	36	54	59	54	53	37	24	60	6590
ABCA4	0	0	1	1	11	4	3	7	7275
ABCA5	39	53	154	99	106	122	82	113	17349
ABCA6	0	0	0	0	0	0	1	0	5257
ABCA7	20	58	93	46	20	26	13	24	6771
ABCA8	0	0	0	0	0	2	6	7	5682
