pathway	pval	padj	log2err	ES	NES	size	leadingEdge
1221633_Meiotic_Synapsis	0.572131147540984	0.744339912341922	0.0623861492893626	0.288575385185038	0.924778558273145	27	15270 12189 71846 19357
1445146_Translocation_of_Glut4_to_the_Plasma_Membrane	0.687697160883281	0.835583750436503	0.0519512476197082	0.238728383748997	0.840263308220954	39	17918 19341 20336 22628 22627 20619 16579 16568 11651 12315 12314 11465 53413 107371 12313
442533_Transcriptional_Regulation_of_Adipocyte_Differentiation_in_3T3-L1_Pre-adipocytes	0.133165829145729	0.299216216906227	0.193813302725311	-0.364070576725193	-1.34742781848602	31	76199 19014 26896 229003 17977 17978 12537 70208 67381 59024 327987 20602
508751_Circadian_Clock	0.815331010452962	0.899781491761649	0.048701086452153	0.25163243604723	0.717072811549079	17	20893 59027 19883
5334727_Mus_musculus_biological_processes	0.363241678726483	0.573745616532936	0.0789209638180035	0.24690651474541	1.05553580269643	106	60406 19361 15270 20893 12189 68240 71846 20018 192191 12567 19891 59027 19357
573389_NoRC_negatively_regulates_rRNA_expression	0.4198606271777	0.616637412346197	0.0810802057550866	0.360740748757059	1.02799697453548	17	60406 20018 245688 20017
5990976_Assembly_of_the_pre-replicative_complex	7.7660901768451e-05	0.0008923389889473	0.538434096309916	0.559431315871011	2.05877262777726	49	57441 17219 17215 23834 56452 66634 17216 17218 17463 26440 26444 19179 228769 26445 57296 19170 17220 50793 18392 67151 26442 19177
5990977_DNA_Replication_Pre-Initiation	7.24643389406166e-07	1.57028159319352e-05	0.659444398037935	0.578846390178478	2.23220162669742	63	57441 17219 17215 68240 18968 23834 56452 66634 19891 17216 17218 18973 17463 19075 19076 12544 26440 26444 19179 228769 26445 57296 19170 17220 50793 18392 67151 70024 26442 19177
5990978_M_G1_Transition	7.24643389406166e-07	1.57028159319352e-05	0.659444398037935	0.578846390178478	2.23220162669742	63	57441 17219 17215 68240 18968 23834 56452 66634 19891 17216 17218 18973 17463 19075 19076 12544 26440 26444 19179 228769 26445 57296 19170 17220 50793 18392 67151 70024 26442 19177
5990979_Cell_Cycle,_Mitotic	1e-10	4.18571428571429e-09		0.559475493154341	2.75111424798982	317	66336 66977 12442 107995 66442 12571 52276 54392 215387 67629 72415 56150 57441 20877 67121 12615 21973 11799 66468 20135 67849 73804 70454 76044 20878 13555 60411 12580 17219 69270 12575 69263 12448 14211 20873 18005 71988 17215 12534 208628 22390 68240 228421 68014 19348 12236 72151 18817 21781 18968 66934 272551 227613 67141 68612 68298 13361 108000 23834 106344 56452 242705 18141 223921 26886 13557 268697 72155 56371 12531 327762 12567 229841 67052 16319 66634 67203 17865 12235 19891 74470 381318 66570 17216 19687 17218 102920 18973 16881 17463 75786 19645 19075 69736 19357 76816 70385 22628 22627 52683 19076 18972 12544 17997 26440 68549 19088 269113 26444 19324 103733 19179 12579 232987 17420 228769 26445 105988 69745 18538 69928 57296 14235 22171 19170 17220 50793 18392 236930 67151 70024 59126 66296 109145 71819 67733 12447 12532 14156 26442 19177
5990980_Cell_Cycle	1e-10	4.18571428571429e-09		0.538849686537972	2.68718225706878	369	66336 66977 12442 107995 66442 19361 12571 52276 54392 66311 215387 67629 12649 72415 56150 57441 20877 67121 12615 21973 11799 66468 20135 67849 73804 70454 76044 20878 15270 13555 60411 12580 17219 69270 12575 69263 12448 14211 20873 18005 71988 12189 17215 12534 208628 22390 68240 228421 71846 68014 269582 19348 12236 72151 18817 21781 18968 217653 66934 272551 227613 67141 68612 68298 13361 108000 23834 106344 56452 242705 18141 223921 26886 13557 268697 72155 56371 12531 327762 12567 229841 67052 16319 66634 67203 17865 12235 19891 74470 381318 66570 17216 19687 17218 102920 18973 16881 17463 75786 19645 19075 69736 19357 76816 70385 70645 22628 22627 52683 19076 18972 12544 17997 26440 68549 19088 269113 26444 19324 103733 19179 12579 232987 17420 228769 26445 105988 69745 18538 69928 57296 14235 22171 19170 17246 17220 12144 50793 18392 236930 67151 70024 59126 66296 16906 109145 71819 67733 50883 12447 12532 14156 26442 19177 245688
5990981_DNA_Replication	1e-10	4.18571428571429e-09		0.644000596613712	2.63835815331773	82	57441 17219 69270 12575 69263 17215 68240 72151 18968 272551 23834 106344 56452 56371 327762 66634 19891 17216 19687 17218 18973 16881 17463 19645 19075 19076 18972 12544 26440 26444 19179 228769 26445 69745 18538 57296 19170 17220 50793 18392 67151 70024 109145 14156 26442 19177 18971 19718
5990983_Regulation_of_DNA_replication	6.10888413992002e-06	9.94390584998092e-05	0.610526878385931	0.593855727255551	2.24140859742546	54	57441 17219 12575 17215 23834 56452 56371 66634 17216 17218 17463 19645 26440 26444 19179 228769 26445 57296 19170 17220 50793 18392 67151 70024 26442 19177
5990985_CDT1_association_with_the_CDC6:ORC:origin_complex	0.00418990502167259	0.0255758785697931	0.407017918923954	0.489498579909506	1.74400433649254	43	57441 23834 56452 66634 17463 26440 26444 19179 228769 26445 57296 19170 50793 18392 67151 26442 19177 23996 19192 22190 19172 23997
5990987_Synthesis_of_DNA	1e-10	4.18571428571429e-09		0.647855512486377	2.62758817118922	78	17219 69270 12575 69263 17215 68240 72151 18968 272551 23834 106344 56452 56371 327762 66634 19891 17216 19687 17218 18973 16881 17463 19645 19075 19076 18972 12544 26440 26444 19179 228769 26445 69745 18538 57296 19170 17220 50793 18392 67151 109145 14156 26442 19177 18971 19718
5990988_S_Phase	1.24413274736566e-10	4.55663618722673e-09	0.826657301178302	0.601309234717173	2.55259215045768	98	67849 17219 69270 12575 69263 71988 17215 22390 68240 72151 18968 272551 23834 106344 56452 56371 327762 12567 66634 19891 17216 19687 17218 18973 16881 17463 19645 19075 19357 19076 18972 12544 26440 26444 19179 17420 228769 26445 69745 18538 57296 19170 17220 50793 18392 67151 109145 14156 26442 19177 18971 66671 19718
5990989_Activation_of_the_pre-replicative_complex	1.30739345188782e-06	2.55377520935421e-05	0.643551836150722	0.718885950039118	2.30601483409597	28	17219 17215 68240 18968 23834 56452 66634 19891 17216 17218 18973 19075 19076 12544 17220 50793 18392 70024
5990990_G1_S_Transition	1e-10	4.18571428571429e-09		0.623290529967304	2.56117433300662	84	20135 13555 17219 12575 12448 17215 12534 22390 68240 21781 18968 67141 13361 23834 56452 268697 66634 19891 17216 17218 18973 17463 19645 19075 19076 12544 26440 26444 19179 17420 228769 26445 18538 57296 22171 19170 17220 50793 18392 67151 70024 12447 26442 19177
5990991_Mitotic_G1-G1_S_phases	1e-10	4.18571428571429e-09		0.628524711726734	2.67333858880707	101	12571 21973 20135 13555 12580 17219 12575 12448 17215 12534 22390 68240 21781 18968 67141 13361 23834 56452 242705 13557 268697 12567 66634 17865 19891 17216 17218 18973 17463 19645 19075 19076 12544 26440 26444 19179 12579 17420 228769 26445 18538 57296 22171 19170 17220 50793 18392 67151 70024 12447 26442 19177
5990992_Removal_of_licensing_factors_from_origins	6.10888413992002e-06	9.94390584998092e-05	0.610526878385931	0.593855727255551	2.24140859742546	54	57441 17219 12575 17215 23834 56452 56371 66634 17216 17218 17463 19645 26440 26444 19179 228769 26445 57296 19170 17220 50793 18392 67151 70024 26442 19177
5990993_Orc1_removal_from_chromatin	1.85510131078437e-05	0.00027177234202991	0.575610261071129	0.571685358177299	2.13941772878316	52	17219 12575 17215 23834 56452 56371 66634 17216 17218 17463 19645 26440 26444 19179 228769 26445 57296 19170 17220 50793 18392 67151 26442 19177
5990994_Switching_of_origins_to_a_post-replicative_state	1.85510131078437e-05	0.00027177234202991	0.575610261071129	0.571685358177299	2.13941772878316	52	17219 12575 17215 23834 56452 56371 66634 17216 17218 17463 19645 26440 26444 19179 228769 26445 57296 19170 17220 50793 18392 67151 26442 19177
5990995_CDK-mediated_phosphorylation_and_removal_of_Cdc6	0.0416666666666667	0.144121987211018	0.282013350011725	0.423978719134188	1.45457010908702	36	23834 17463 26440 26444 19179 228769 26445 57296 19170 67151 26442 19177 23996 19192 22190 19172 23997 19166 19173 16913 26441 53380
5990998_DNA_strand_elongation	1.25272265820672e-09	4.3182086924067e-08	0.788186810800237	0.777238329741357	2.54967118797226	31	17219 69270 69263 17215 68240 72151 18968 272551 106344 327762 66634 19891 17216 19687 17218 16881 19075 19076 18972 12544 69745 18538 17220 109145 14156 18971 19718
5990999_Lagging_Strand_Synthesis	1.59586380038007e-06	3.01669737749265e-05	0.643551836150722	0.760367665936474	2.25511526495223	20	69263 68240 72151 18968 106344 327762 19891 19687 16881 19075 19076 18972 69745 18538 14156 18971 19718 18969
5991000_Processive_synthesis_on_the_lagging_strand	0.000236494117213116	0.00238940608080838	0.518848077743792	0.741784637660063	2.0480991574862	15	68240 18968 327762 19891 16881 19075 19076 18972 69745 18538 14156 18971 18969
