measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,East Asia & Pacific - WB,Both,Under 5,Malaria,Number,2000,1873.7482488391577,4692.839474849121,741.3760521202732
Deaths,East Asia & Pacific - WB,Both,5-14 years,Malaria,Number,2000,806.3444380092543,1972.7209749394528,334.73469117708504
Deaths,East Asia & Pacific - WB,Both,15-49 years,Malaria,Number,2000,4450.483729363832,10826.70653300481,1905.1511107696178
Deaths,East Asia & Pacific - WB,Both,50 to 74 years,Malaria,Number,2000,2056.9563284763294,4931.975260682057,872.3748649813916
Deaths,East Asia & Pacific - WB,Both,75 plus,Malaria,Number,2000,68.28011534532499,160.9433405936882,29.899174792176815
Deaths,Sub-Saharan Africa - WB,Both,Under 5,Malaria,Number,2000,549725.2943611423,911666.8041329338,275088.81108493224
Deaths,Sub-Saharan Africa - WB,Both,5-14 years,Malaria,Number,2000,30218.457960432657,51887.85212241781,14375.233554549914
Deaths,Sub-Saharan Africa - WB,Both,15-49 years,Malaria,Number,2000,85765.1265911357,151314.5665268352,39668.52132784111
Deaths,Sub-Saharan Africa - WB,Both,50 to 74 years,Malaria,Number,2000,102915.98058839003,179683.61474816757,48251.57052324573
Deaths,Sub-Saharan Africa - WB,Both,75 plus,Malaria,Number,2000,6170.556531232094,11732.60971873202,2674.3007661100028
Deaths,North America,Both,Under 5,Malaria,Number,2000,0.0,0.0,0.0
Deaths,North America,Both,5-14 years,Malaria,Number,2000,0.0,0.0,0.0
Deaths,North America,Both,15-49 years,Malaria,Number,2000,0.0,0.0,0.0
Deaths,North America,Both,50 to 74 years,Malaria,Number,2000,0.0,0.0,0.0
Deaths,North America,Both,75 plus,Malaria,Number,2000,0.0,0.0,0.0
Deaths,Europe & Central Asia - WB,Both,Under 5,Malaria,Number,2001,70.00696565381779,197.94397651471974,21.89326023202159
Deaths,Europe & Central Asia - WB,Both,5-14 years,Malaria,Number,2001,5.12610701020864,18.338641449038587,1.1012936882064954
Deaths,Europe & Central Asia - WB,Both,15-49 years,Malaria,Number,2001,39.99989555672336,127.50926798998411,12.303634288466975
Deaths,Europe & Central Asia - WB,Both,50 to 74 years,Malaria,Number,2001,14.439348815256558,42.9768058494339,5.644227204640325
