SPRING-x	SPRING-y	Annotation
411.496	-96.19	Undifferentiated
-587.462	-306.925	Undifferentiated
1429.805	-429.3	Monocyte
1150.028	-2030.369	Neutrophil
-1169.594	362.01	Undifferentiated
1387.371	-2197.327	Neutrophil
1236.039	-2113.013	Neutrophil
972.471	482.738	Undifferentiated
2617.548	-248.37	Monocyte
-1011.985	-1020.351	Baso
2433.961	-2015.886	Neutrophil
2617.779	-1895.434	Neutrophil
2442.998	-1232.389	Undifferentiated
534.77	-1041.463	Neutrophil
554.803	-285.021	Undifferentiated
575.826	-1089.986	Neutrophil
603.763	-643.997	Undifferentiated
2984.822	224.029	Monocyte
-1032.856	-1071.686	Baso
2501.772	-185.426	Monocyte
-1746.348	-873.904	Mast
3008.769	640.154	Monocyte
2483.114	73.044	Monocyte
1311.261	-2165.286	Neutrophil
816.515	-597.735	Undifferentiated
530.462	-511.109	Undifferentiated
7.604	20.722	Undifferentiated
-939.468	-887.806	Baso
569.441	-685.346	Undifferentiated
1585.689	-403.202	Monocyte
2517.16	-286.148	Monocyte
1415.206	-2102.245	Neutrophil
611.257	-712.007	Undifferentiated
1374.046	-2175.93	Neutrophil
2258.214	-1837.046	Undifferentiated
-910.547	-2127.905	Baso
1682.464	-1822.563	Undifferentiated
2384.788	-1996.957	Neutrophil
2826.26	59.683	Monocyte
561.24	-808.9	Undifferentiated
618.252	-713.169	Undifferentiated
660.469	-971.11	Neutrophil
-1369.591	193.012	Erythroid
967.294	-1925.239	Neutrophil
471.74	-270.164	Undifferentiated
1880.731	-340.268	Monocyte
2912.693	341.058	Monocyte
2903.485	231.176	Monocyte
2645.568	-363.864	Monocyte
2333.68	-2011.357	Neutrophil
553.189	-173.557	Undifferentiated
1970.562	-237.159	Monocyte
-1375.117	542.327	Meg
771.859	-268.334	Undifferentiated
594.444	-585.151	Undifferentiated
-1161.727	288.008	Undifferentiated
1869.661	-404.437	Monocyte
-1637.061	622.975	Meg
2998.306	273.08	Monocyte
157.194	233.688	Undifferentiated
2168.996	-494.389	Monocyte
2703.573	-108.268	Monocyte
2277.031	-2051.786	Neutrophil
2272.294	-2064.212	Neutrophil
2937.922	156.73	Monocyte
2703.046	-1929.703	Neutrophil
630.285	-850.544	Undifferentiated
659.05	-1170.457	Neutrophil
1165.708	-2077.047	Neutrophil
268.021	186.798	Undifferentiated
170.435	342.009	Undifferentiated
745.334	149.717	Undifferentiated
973.292	-1902.286	Neutrophil
2181.987	-2099.736	Neutrophil
3006.697	262.718	Monocyte
1089.574	-2031.074	Neutrophil
1575.202	-2204.987	Neutrophil
655.506	-1271.291	Neutrophil
2568.519	-1888.463	Neutrophil
844.465	-195.771	Undifferentiated
354.868	1.983	Undifferentiated
558.996	-294.406	Undifferentiated
1581.328	-2131.137	Neutrophil
-875.119	301.289	Undifferentiated
-1674.817	-867.362	Mast
-980.871	-2055.629	Baso
2320.029	-1406.001	Undifferentiated
-579.76	93.37	Undifferentiated
2273.145	-96.683	Monocyte
-1244.153	516.552	Undifferentiated
361.779	1.848	Undifferentiated
-1988.407	890.01	Meg
589.907	-635.848	Undifferentiated
1544.691	-2200.01	Neutrophil
3000.96	452.416	Monocyte
2895.216	171.139	Monocyte
2347.223	-421.185	Monocyte
-1047.878	-1553.431	Baso
2820.002	3.284	Monocyte
2819.645	21.346	Monocyte
2741.87	-91.863	Monocyte
2571.813	-219.209	Monocyte
-932.864	-810.284	Baso
1207.058	-336.873	Undifferentiated
1164.25	-278.17	Undifferentiated
-587.979	-241.946	Undifferentiated
1190.376	-20.079	Undifferentiated
556.184	-322.444	Undifferentiated
900.529	-1820.666	Neutrophil
