Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,5,0.09,2,2,12,6,116,95,0.3600000000000001,0.09,0.09999999999999999,0.02,4,1,1,1,4,1,1,1,5,0,17,7,H,0.09000000000000001,0.09,0.09999999999999999,0.02
1,1,2,0,1,0.13999999999999999,2,5,30,75,15,101,0.36000000000000004,0.04,0.07,0.05,3,1,2,1,6,1,2,1,3,0,16,7,H,0.06000000000000001,0.04,0.035,0.05
1,2,3,0,1,0.10999999999999999,2,3,83,18,21,119,0.26,0.13999999999999999,0.060000000000000005,0.05,4,1,1,1,5,1,1,1,3,0,17,7,H,0.052,0.13999999999999999,0.060000000000000005,0.05
1,2,4,0,6,0.09,2,2,3,95,99,105,0.20999999999999996,0.47000000000000025,0.12999999999999998,0.46000000000000024,3,2,2,2,3,3,2,2,6,0,13,7,H,0.06999999999999999,0.1566666666666667,0.065,0.23000000000000012
1,3,5,0,9,0.09,2,2,66,70,68,8,0.20999999999999996,0.09,0.060000000000000005,0.07,3,1,1,1,3,1,1,1,4,0.5,18,7,H,0.06999999999999999,0.09,0.060000000000000005,0.07
1,3,6,0,7,0.10999999999999999,2,3,21,48,20,40,0.4300000000000001,0.12999999999999998,0.10999999999999999,0.7500000000000004,4,1,2,4,5,1,2,4,6,0,22,7,H,0.08600000000000002,0.12999999999999998,0.05499999999999999,0.18750000000000008
1,4,7,0,1,0.11999999999999998,2,4,6,80,2,49,0.37000000000000005,0.02,0.2800000000000001,0.04,4,1,1,1,7,1,1,1,3,0,19,7,H,0.05285714285714286,0.02,0.2800000000000001,0.04
1,4,8,0,7,0.09,2,2,17,14,115,13,0.27,0.16,1.8600000000000014,1.6400000000000012,4,2,10,3,5,3,12,3,6,0.5,20,7,H,0.054,0.05333333333333333,0.15500000000000003,0.546666666666667
1,5,9,0,5,0.09999999999999999,2,2,47,101,75,48,0.26,0.3200000000000001,0.02,0.01,3,2,1,1,3,3,1,1,5,0,15,7,H,0.08666666666666667,0.10666666666666667,0.02,0.01
1,5,10,0,10,0.09999999999999999,3,3,95,67,3,6,0.19999999999999998,0.4100000000000002,0.03,0.18000000000000002,4,1,1,2,4,1,1,2,3,0,19,7,H,0.049999999999999996,0.4100000000000002,0.03,0.09000000000000001
