Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,6.06,2191,0.2622939058579504,0.26,8.2,2199,0.6494657069828826,0.61,0.7338128851726652,65.21294025843963,0.8370743730261456,0.9090704715403263,6.96,36.36814338481054,33.72583861340536,49,1.43,0.01
2,6.06,2191,0.5056209646631032,0.26,8.2,2199,0.8460772523940541,0.61,0.5739531585946679,96.30822747549973,0.8585258711457718,0.9906666441159323,6.96,483.42274038861507,10.838390986726154,34,1.43,0.01
3,6.06,2191,0.520601732051,0.26,8.2,2199,0.016644042773637922,0.61,0.4091904031112791,17.477751253638417,0.9699010679235216,0.9218610235280358,6.96,154.758166297758,54.424581411120016,8,1.43,0.01
4,6.06,2191,0.13272562185302378,0.26,8.2,2199,0.8238291838902514,0.61,0.7871516607701778,70.39922147826292,0.9454826453241986,0.9605364029472694,6.96,144.66673391745425,25.871354330913164,35,1.43,0.01
5,6.06,2191,0.4132694797590375,0.26,8.2,2199,0.5726039176075719,0.61,0.15931982155889274,7.1110914025921375,0.8583716597054154,0.9965671025980264,6.96,153.52011870453134,36.41246277221944,30,1.43,0.01
6,6.06,2191,0.30799725200049577,0.26,8.2,2199,0.35554150511929766,0.61,0.5873636914417147,49.700243558734655,0.8093370590792038,0.9546312654521316,6.96,360.19704439309425,11.309387501620222,52,1.43,0.01
7,6.06,2191,0.6872680786531418,0.26,8.2,2199,0.6191093861777336,0.61,0.3124856544658542,72.93977428227663,0.8436432354038116,0.9453287795023061,6.96,77.78027927968651,47.12619980343152,35,1.43,0.01
8,6.06,2191,0.1934394453186542,0.26,8.2,2199,0.6841837487297598,0.61,0.38246976528316734,93.23000132385641,0.8654759079294745,0.9512442324610892,6.96,383.683924621623,51.938906816765666,43,1.43,0.01
9,6.06,2191,0.2398924980778247,0.26,8.2,2199,0.7889463419409003,0.61,0.434765774384141,5.67232481087558,0.8322997703042347,0.9981196766069624,6.96,13.74624265548773,53.38504911708878,60,1.43,0.01
10,6.06,2191,0.18341775480657818,0.26,8.2,2199,0.5258945689133834,0.61,0.3483311127871275,55.8625000261236,0.8430237214467489,0.9309603582022246,6.96,133.28548935134896,32.717980364279356,60,1.43,0.01
11,6.06,2191,0.21074032923206687,0.26,8.2,2199,0.5428167292263825,0.61,0.8703540328890086,50.32348479074426,0.8720193313341588,0.9548713710468728,6.96,416.0449802318588,12.427592161751818,9,1.43,0.01
12,6.06,2191,0.645659697195515,0.26,8.2,2199,0.3146643214316573,0.61,0.2213449437171221,12.484770561568439,0.8959943544177804,0.9077863836572506,6.96,375.11324550881983,51.39787245221669,49,1.43,0.01
13,6.06,2191,0.6260517704300582,0.26,8.2,2199,0.23914937643450684,0.61,0.33104360327124593,47.351879408350214,0.9842852530563251,0.9246989869745449,6.96,448.24494047770276,36.04623195528984,48,1.43,0.01
14,6.06,2191,0.6363254304509609,0.26,8.2,2199,0.6406862564764452,0.61,0.7247594552114606,17.099576810374856,0.9428554837997072,0.9901654219008051,6.96,51.208798731490965,33.36066987895174,52,1.43,0.01
15,6.06,2191,0.3001720010768622,0.26,8.2,2199,0.8924965471960604,0.61,0.5069522613659502,34.53294845693745,0.9569751715937164,0.9832133519640193,6.96,271.26699324776416,40.517814737628214,35,1.43,0.01
16,6.06,2191,0.6096563409082592,0.26,8.2,2199,0.7739162604003214,0.61,0.5878072753548622,50.140673456247896,0.8798184214036446,0.9448185590982903,6.96,321.4605619929265,50.7151219372754,7,1.43,0.01
