Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,1,0.16,2,3,33,27,83,15,1.3700000000000008,0.01,0.01,0.10999999999999999,5,1,1,1,6,1,1,1,3,0,19,7,HL,0.22833333333333344,0.01,0.01,0.10999999999999999
1,1,2,0,5,0.16,2,3,58,12,38,1,0.27999999999999997,0.15,0.01,0.07,3,2,1,1,4,2,1,1,5,0,21,7,HL,0.06999999999999999,0.075,0.01,0.07
1,2,3,0,2,0.18000000000000002,2,3,74,58,5,77,0.37000000000000005,0.04,0.08,0.060000000000000005,3,1,1,1,4,1,1,1,4,0,16,7,HL,0.09250000000000001,0.04,0.08,0.060000000000000005
1,2,4,0,10,0.16,2,3,86,25,66,89,0.22,0.13999999999999999,0.7900000000000005,0.01,4,1,2,1,5,1,2,1,3,0,15,7,HL,0.044000000000000004,0.13999999999999999,0.39500000000000024,0.01
1,3,5,0,10,0.17,2,3,19,92,85,23,0.35000000000000003,0.03,0.05,0.060000000000000005,3,1,1,1,4,1,1,1,3,0,18,7,HL,0.08750000000000001,0.03,0.05,0.060000000000000005
1,3,6,0,9,0.17,2,3,83,44,62,4,1.8800000000000012,0.060000000000000005,0.01,0.01,4,1,1,1,5,1,1,1,4,0,18,7,HL,0.3760000000000003,0.060000000000000005,0.01,0.01
1,4,7,0,6,0.16,2,3,9,2,73,57,0.22,4.3599999999999515,0.01,0.01,4,7,1,1,5,11,1,1,6,0,19,7,HL,0.044000000000000004,0.3963636363636366,0.01,0.01
1,4,8,0,9,0.19000000000000003,2,3,61,105,15,69,0.24000000000000005,0.7600000000000005,0.01,0.01,3,2,1,1,4,3,1,1,4,0,16,7,HL,0.060000000000000005,0.2533333333333334,0.01,0.01
1,5,9,0,6,0.16,2,3,90,12,5,45,0.4000000000000001,0.03,0.04,0.08,3,1,1,1,4,1,1,1,6,0,20,7,HL,0.10000000000000002,0.03,0.04,0.08
1,5,10,0,1,0.22000000000000006,2,4,77,74,20,105,0.32000000000000006,0.08,0.09999999999999999,0.08,3,1,1,1,5,1,1,1,3,0,14,7,HL,0.064,0.08,0.09999999999999999,0.08
