Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,6.06,2191,0.15809169453568755,0.26,8.2,2199,0.30784261136245916,0.61,0.3568998705595732,99.57908763433807,0.8804517486605328,0.9243521362545435,6.96,32.54533141474239,23.97197404911276,19,1.43,0.01
2,6.06,2191,0.5447422817815095,0.26,8.2,2199,0.13841296344459988,0.61,0.805925982259214,55.68215681845322,0.8936624151857104,0.9822079522863496,6.96,461.9512486275751,51.303503604605794,21,1.43,0.01
3,6.06,2191,0.3254862057045102,0.26,8.2,2199,0.5638132291377987,0.61,0.6752842312678695,27.898601604858413,0.8291633870224469,0.9633403464155271,6.96,495.5093152173795,37.73026291921269,71,1.43,0.01
4,6.06,2191,0.6599491746630519,0.26,8.2,2199,0.07562723637418821,0.61,0.6362126039341092,3.894057296682149,0.8181063334289939,0.949484226402361,6.96,184.65689753955232,15.807797443063464,55,1.43,0.01
5,6.06,2191,0.22524143676273525,0.26,8.2,2199,0.7126190855996684,0.61,0.49502242766320703,91.91916636447422,0.9282095746076666,0.966141699659871,6.96,232.45188957867214,43.02743525325786,56,1.43,0.01
6,6.06,2191,0.12233862886205316,0.26,8.2,2199,0.4081597144599073,0.61,0.18258867785334587,34.72730069770478,0.8943012128297705,0.9083875796687789,6.96,318.2396716587711,37.46166554820957,50,1.43,0.01
7,6.06,2191,0.23181786919012665,0.26,8.2,2199,0.8601214625218417,0.61,0.4846832016482949,62.55748107121326,0.9075058312378824,0.9187164691532962,6.96,258.34987965943293,9.356297004269436,13,1.43,0.01
8,6.06,2191,0.14552763602696359,0.26,8.2,2199,0.8420156633425504,0.61,0.534302618727088,71.34094069013372,0.9930481141363271,0.9422401222670451,6.96,324.6854920649901,21.379757385293487,6,1.43,0.01
9,6.06,2191,0.41088623940013347,0.26,8.2,2199,0.6331401463369839,0.61,0.7631845286116005,47.70432303706184,0.8451890546178911,0.9889810776114464,6.96,420.3472006005235,32.10520246159285,7,1.43,0.01
10,6.06,2191,0.1461432559415698,0.26,8.2,2199,0.8061077842302621,0.61,0.2551591558381915,73.93474983749911,0.8435274366769009,0.9485690696574748,6.96,260.83558960775844,8.987154256028589,75,1.43,0.01
11,6.06,2191,0.23426419971510767,0.26,8.2,2199,0.8146856324430555,0.61,0.21096947882324457,57.25229337671772,0.8207846486752387,0.929915592044592,6.96,130.2366148872301,33.90131279709749,51,1.43,0.01
12,6.06,2191,0.43434225069358945,0.26,8.2,2199,0.05711855684896,0.61,0.8868476523086429,22.50627722707577,0.8966610573562793,0.9874801189305726,6.96,418.2548990804236,23.749892286548857,2,1.43,0.01
13,6.06,2191,0.1429091882891953,0.26,8.2,2199,0.13544529656134546,0.61,0.7766290960833431,21.968792776111513,0.8438035640905146,0.9785624375932385,6.96,424.74071450778285,54.06559573003324,18,1.43,0.01
14,6.06,2191,0.14817468589171767,0.26,8.2,2199,0.0975362065739464,0.61,0.8924391247332096,38.18692991579883,0.8726149069610983,0.9821872770334594,6.96,287.5537980986759,17.776116714871023,33,1.43,0.01
15,6.06,2191,0.4996390060056001,0.26,8.2,2199,0.61082671947591,0.61,0.5980604203417897,34.91347690531984,0.935934927596245,0.9255876347981393,6.96,311.6566720625386,47.63169518666109,21,1.43,0.01
16,6.06,2191,0.25060709957033395,0.26,8.2,2199,0.84694557631528,0.61,0.435606866888702,36.24118025624193,0.926798182144994,0.9679543605891522,6.96,228.27251455592923,32.25291186082177,75,1.43,0.01
17,6.06,2191,0.17039303653873505,0.26,8.2,2199,0.24649857461522334,0.61,0.24634224977344277,35.92269416269846,0.9468516760400962,0.9333272254436743,6.96,330.4903213176411,43.93330379331019,72,1.43,0.01
18,6.06,2191,0.6052701497916132,0.26,8.2,2199,0.3657775366283022,0.61,0.7044154470786452,74.57198157021776,0.9964269503466785,0.9250067894922104,6.96,452.1985744739883,12.164867553918157,59,1.43,0.01
19,6.06,2191,0.3170805913861841,0.26,8.2,2199,0.9891301771313883,0.61,0.37376645524054763,32.524372204439715,0.9710632324174512,0.9467371761433314,6.96,498.8944835660979,21.111369093006942,12,1.43,0.01
20,6.06,2191,0.35540846707299356,0.26,8.2,2199,0.3328372555503156,0.61,0.8550706751644611,52.33411970571615,0.8054571736566722,0.9555161984539591,6.96,476.7227424144279,39.40671567351092,19,1.43,0.01
21,6.06,2191,0.47113404427655037,0.26,8.2,2199,0.42807529349043033,0.61,0.5206457108259201,32.07272184500471,0.9630037186790723,0.9380606808343437,6.96,168.83288992699235,15.93682703137165,8,1.43,0.01
22,6.06,2191,0.2730374563485384,0.26,8.2,2199,0.35621221649716606,0.61,0.33658184185624124,1.768427554750815,0.8835031320243143,0.9809339832484256,6.96,471.51285925637933,44.7139470645925,20,1.43,0.01
23,6.06,2191,0.3506411462090909,0.26,8.2,2199,0.33913831890746954,0.61,0.7160279547795654,90.34887071349658,0.9863664992144332,0.9390925005285535,6.96,124.75557777318171,50.225575547199696,49,1.43,0.01
24,6.06,2191,0.6270709985401481,0.26,8.2,2199,0.3737988408433739,0.61,0.8429840432479978,4.029214347479865,0.9569300018637441,0.9370296861079987,6.96,462.20288426973855,47.44201609265292,68,1.43,0.01
25,6.06,2191,0.28530754474923015,0.26,8.2,2199,0.9704532412327826,0.61,0.1600827805697918,32.58495600963943,0.9669573826971464,0.9676209081171546,6.96,108.45880370493978,46.107331637409516,28,1.43,0.01
26,6.06,2191,0.2694048016797751,0.26,8.2,2199,0.8307618868446444,0.61,0.1928125122562051,71.96196840819903,0.9538105475644115,0.906433980828384,6.96,265.109105158085,11.120952263707295,12,1.43,0.01
