Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,10,0.19000000000000003,2,3,90,28,64,109,0.24000000000000005,0.15,0.04,0.08,4,2,1,1,5,2,1,1,3,0,14,7,Hc,0.048,0.075,0.04,0.08
1,1,2,0,1,0.19000000000000003,2,3,97,80,84,99,0.45000000000000007,0.03,0.09,0.04,3,1,2,1,4,1,2,1,3,0,10,7,Hc,0.11250000000000002,0.03,0.045,0.04
1,2,3,0,7,0.24000000000000007,2,4,23,114,49,60,0.47000000000000014,0.03,0.04,0.07,4,1,1,1,6,1,1,1,6,0,16,7,Hc,0.07833333333333334,0.03,0.04,0.07
1,2,4,0,9,0.25000000000000006,3,6,69,63,12,6,0.36000000000000004,0.12999999999999998,0.05,0.05,5,2,1,1,8,2,1,1,4,0,20,7,Hc,0.045,0.065,0.05,0.05
1,3,5,0,5,0.18000000000000002,2,4,37,63,39,72,0.37000000000000005,0.09,0.09,0.11999999999999998,4,2,2,2,8,2,2,3,5,0,18,7,Hc,0.04625,0.045,0.045,0.04
1,3,6,0,6,0.21000000000000005,2,4,60,10,26,3,0.39000000000000007,0.05,0.09,0.04,3,1,2,1,5,1,3,1,6,0,21,7,Hc,0.078,0.05,0.03,0.04
1,4,7,0,4,0.18000000000000002,2,4,106,8,96,3,0.3,0.08,0.09999999999999999,0.09999999999999999,4,1,1,2,6,1,1,2,2,0,17,7,Hc,0.05,0.08,0.09999999999999999,0.05
1,4,8,0,1,0.22000000000000006,3,5,43,79,113,65,0.4200000000000001,0.01,0.09999999999999999,0.03,5,1,1,1,8,1,1,1,3,0,14,7,Hc,0.0525,0.01,0.09999999999999999,0.03
1,5,9,0,2,0.21000000000000005,2,3,54,11,97,108,0.31000000000000005,0.13999999999999999,0.05,0.08,4,2,1,2,5,2,1,2,4,0,14,7,Hc,0.062,0.07,0.05,0.04
1,5,10,0,9,0.13999999999999999,2,4,67,85,88,72,0.4,0.01,0.07,0.03,4,1,1,1,6,1,1,1,4,0,14,7,Hc,0.06666666666666668,0.01,0.07,0.03
1,6,11,0,8,0.24000000000000007,3,4,12,112,87,38,0.39000000000000007,0.04,0.17,0.09999999999999999,4,1,1,2,5,1,1,2,2,0,16,7,Hc,0.078,0.04,0.17,0.05
1,6,12,0,4,0.19000000000000003,2,5,49,98,75,21,0.4300000000000001,0.02,0.09999999999999999,0.04,5,1,1,1,8,1,1,1,2,0,15,7,Hc,0.05375,0.02,0.09999999999999999,0.04
1,7,13,1,9,0.21000000000000005,2,4,81,64,20,108,0.4600000000000001,0.01,0.07,0.02,3,1,1,1,5,1,1,1,4,0,15,7,Hc,0.09200000000000001,0.01,0.07,0.02
1,7,14,1,2,0.20000000000000004,2,3,117,94,60,109,0.35000000000000003,0.11999999999999998,0.01,0.060000000000000005,3,2,1,1,4,2,1,1,4,0,11,7,Hc,0.0875,0.06,0.01,0.060000000000000005
1,8,15,1,2,0.21000000000000005,3,5,109,57,90,87,0.37000000000000005,0.060000000000000005,0.08,0.04,4,1,1,1,6,1,1,1,4,0,12,7,Hc,0.06166666666666667,0.060000000000000005,0.08,0.04
1,8,16,1,9,0.18000000000000002,4,5,61,64,21,69,0.31,0.060000000000000005,0.08,0.04,6,1,1,1,7,1,1,1,4,0.5,18,7,Hc,0.04428571428571429,0.060000000000000005,0.08,0.04
1,9,17,1,4,0.17,2,3,63,104,68,72,0.36000000000000004,0.04,0.08,0.09,3,1,1,1,4,1,1,1,2,0.5,14,7,Hc,0.09000000000000001,0.04,0.08,0.09
1,9,18,1,6,0.26000000000000006,3,5,7,5,3,53,0.36000000000000004,0.21000000000000005,0.02,0.060000000000000005,5,2,1,1,7,5,1,1,6,0.5,22,7,Hc,0.05142857142857143,0.042,0.02,0.060000000000000005
1,10,19,1,2,0.23000000000000007,2,4,56,40,107,60,0.3400000000000001,0.11999999999999998,0.16,0.02,4,1,2,1,6,1,2,1,4,0,15,7,Hc,0.056666666666666664,0.11999999999999998,0.07999999999999999,0.02
1,10,20,1,3,0.26000000000000006,5,7,31,78,17,20,0.3500000000000001,0.15,0.09,0.060000000000000005,6,1,1,2,8,1,1,2,5,0,20,7,Hc,0.04375,0.15,0.09,0.030000000000000002
1,11,21,1,7,0.20000000000000004,2,6,104,23,66,36,0.4000000000000001,0.04,0.09999999999999999,0.02,3,1,2,1,7,1,2,1,6,0,17,7,Hc,0.05714285714285715,0.04,0.05,0.02
1,11,22,1,5,0.22000000000000006,2,3,42,89,40,93,0.4100000000000001,0.08,0.10999999999999999,0.04,4,1,2,1,5,1,2,1,5,0,16,7,Hc,0.08199999999999999,0.08,0.05500000000000001,0.04
1,12,23,1,7,0.19000000000000003,2,5,14,13,26,81,0.33,0.20000000000000004,0.04,0.060000000000000005,4,2,1,1,7,2,1,1,6,0,20,7,Hc,0.047142857142857146,0.09999999999999999,0.04,0.060000000000000005
1,12,24,1,6,0.22000000000000006,2,4,4,3,10,63,0.4100000000000001,3.279999999999974,0.01,0.04,4,7,1,1,6,9,1,1,6,0.5,22,7,Hc,0.06833333333333333,0.3644444444444446,0.01,0.04
1,13,25,1,5,0.18000000000000002,2,3,38,78,77,58,0.43000000000000005,0.01,0.09,0.11999999999999998,4,1,2,2,7,1,4,2,5,0,15,7,Hc,0.06142857142857143,0.01,0.0225,0.05999999999999999
1,13,26,1,10,0.18000000000000002,2,4,95,34,26,86,0.35000000000000003,0.05,0.08,0.03,4,1,1,1,6,1,1,1,3,0,16,7,Hc,0.058333333333333334,0.05,0.08,0.03
1,14,27,1,1,0.15,2,3,73,75,1,48,0.29,0.08,0.09,0.03,4,1,1,1,5,1,1,1,3,0,17,7,Hc,0.058,0.08,0.09,0.03
1,14,28,1,10,0.25000000000000006,4,6,35,96,21,28,0.45000000000000007,0.23000000000000007,0.02,0.01,5,2,1,1,7,3,1,1,3,0,19,7,Hc,0.0642857142857143,0.07666666666666667,0.02,0.01
1,15,29,1,10,0.17,3,4,95,21,96,110,0.28,0.11999999999999998,0.04,0.05,4,2,1,1,5,2,1,1,3,0,14,7,Hc,0.056,0.06,0.04,0.05
1,15,30,1,3,0.16,2,3,34,35,65,103,0.34,0.02,0.060000000000000005,0.16,4,1,1,1,5,1,1,1,5,0,16,7,Hc,0.068,0.02,0.060000000000000005,0.16
1,16,31,1,4,0.15,2,4,103,6,9,102,0.34,0.060000000000000005,0.17,0.03,4,1,3,1,6,1,4,1,2,0,16,7,Hc,0.056666666666666664,0.060000000000000005,0.0425,0.03
1,16,32,1,3,0.21000000000000005,4,5,36,81,111,32,0.35000000000000003,0.09999999999999999,0.04,0.04,6,2,1,1,7,2,1,1,5,0,15,7,Hc,0.05,0.05,0.04,0.04
1,17,33,1,4,0.15,2,3,97,7,108,103,0.29,0.12999999999999998,0.02,0.03,3,2,1,1,4,2,1,1,2,0.5,12,7,Hc,0.0725,0.06499999999999999,0.02,0.03
1,17,34,1,8,0.15,2,3,63,119,68,115,0.3,0.03,0.07,0.17,3,1,1,2,4,1,1,2,2,0,12,7,Hc,0.075,0.03,0.07,0.085
1,18,35,1,2,0.12999999999999998,2,3,5,92,59,28,2.0200000000000014,0.04,0.01,0.03,7,1,1,1,11,1,1,1,4,0,18,7,Hc,0.1836363636363637,0.04,0.01,0.03
1,18,36,1,1,0.21000000000000005,2,3,77,63,15,67,0.28,0.09,0.15,0.16,4,1,2,2,5,1,2,3,3,0,17,7,Hc,0.056,0.09,0.075,0.05333333333333332
1,19,37,1,5,0.15,2,3,37,42,97,52,0.36000000000000004,0.060000000000000005,0.03,0.34000000000000014,4,2,1,2,5,2,1,2,5,0,16,7,Hc,0.07200000000000001,0.030000000000000002,0.03,0.17000000000000004
1,19,38,1,3,0.22000000000000006,3,4,34,81,69,5,0.5500000000000002,0.17,0.04,0.03,5,2,1,1,6,2,1,1,5,0,18,7,Hc,0.09166666666666669,0.08499999999999999,0.04,0.03
1,20,39,1,10,0.25000000000000006,2,3,88,29,12,103,0.32000000000000006,0.20000000000000004,0.05,0.08,4,1,1,1,7,1,1,1,3,0,16,7,Hc,0.045714285714285714,0.20000000000000004,0.05,0.08
1,20,40,1,5,0.23000000000000007,2,3,48,84,13,17,0.38000000000000006,0.09,0.12999999999999998,0.01,4,1,3,1,5,1,4,1,5,0,20,7,Hc,0.076,0.09,0.0325,0.01
1,21,41,1,5,0.3200000000000001,1,2,39,38,91,56,0.7300000000000003,0.04,0.2700000000000001,0.01,2,1,1,1,3,1,1,1,5,0,17,7,Hc,0.2433333333333334,0.04,0.2700000000000001,0.01
1,21,42,1,9,0.22000000000000006,2,3,61,108,79,77,0.32000000000000006,0.13999999999999999,0.02,0.09,4,1,1,3,5,1,1,3,4,0,12,7,Hc,0.064,0.13999999999999999,0.02,0.03
1,22,43,1,1,0.24000000000000007,2,4,79,8,71,69,0.4200000000000001,0.05,0.07,0.02,4,1,2,1,6,1,2,1,3,0,17,7,Hc,0.06999999999999999,0.05,0.035,0.02
1,22,44,1,5,0.13999999999999999,2,3,41,45,18,95,0.19,0.26000000000000006,0.04,0.03,4,2,1,1,5,3,1,1,5,0,19,7,Hc,0.038,0.08666666666666667,0.04,0.03
2,1,1,0,8,0.5700000000000003,2,4,39,12,70,9,2.6599999999999997,0.2800000000000001,0.26000000000000006,0.15,6,2,2,2,16,3,2,2,2,0,21,7,Hc,0.16625000000000004,0.09333333333333332,0.13,0.07500000000000001
2,1,2,0,7,0.6400000000000003,2,6,51,80,79,73,6.739999999999915,0.01,0.01,0.01,11,1,1,1,25,1,1,1,6,0.5,13,7,Hc,0.2696000000000001,0.01,0.01,0.01
2,2,3,0,8,0.4100000000000002,2,4,116,44,40,23,1.9400000000000013,0.25000000000000006,0.45000000000000023,0.09999999999999999,6,1,3,1,16,1,4,1,2,0,18,7,Hc,0.12125000000000002,0.25000000000000006,0.11249999999999999,0.09999999999999999
2,2,4,0,4,0.7400000000000004,2,7,7,101,105,12,2.3100000000000014,0.24000000000000007,0.18000000000000002,0.22000000000000006,4,2,2,1,9,2,3,1,2,0,16,7,Hc,0.25666666666666677,0.12000000000000002,0.060000000000000005,0.22000000000000006
