Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,2,0.16,2,4,51,58,113,73,0.4900000000000001,0.18000000000000002,0.13999999999999999,0.08,4,2,1,1,6,3,1,1,4,0,13,7,L,0.08166666666666669,0.06,0.13999999999999999,0.08
1,1,2,0,4,0.16,2,3,101,30,21,86,0.44000000000000006,0.21000000000000005,0.09999999999999999,0.09999999999999999,4,1,1,1,5,1,1,1,2,0,16,7,L,0.088,0.21000000000000005,0.09999999999999999,0.09999999999999999
1,2,3,0,10,0.26000000000000006,6,6,91,120,35,94,0.5400000000000001,0.3200000000000001,0.060000000000000005,0.04,7,2,1,1,7,2,1,1,3,0,13,7,L,0.07714285714285715,0.16000000000000003,0.060000000000000005,0.04
1,2,4,0,1,0.18000000000000002,2,3,81,82,1,37,0.5000000000000001,0.09999999999999999,0.15,1.1400000000000008,3,1,1,2,4,1,1,2,3,0,17,7,L,0.12500000000000003,0.09999999999999999,0.15,0.5700000000000004
1,3,5,0,3,0.21000000000000005,2,3,19,29,111,22,0.4900000000000001,0.09999999999999999,0.21000000000000005,0.04,3,1,2,1,4,1,3,1,5,0,19,7,L,0.12250000000000003,0.09999999999999999,0.06999999999999999,0.04
1,3,6,0,6,0.18000000000000002,2,3,2,39,38,105,3.9999999999999627,0.01,0.01,0.01,9,1,1,1,11,1,1,1,6,0,18,7,L,0.3636363636363638,0.01,0.01,0.01
1,4,7,0,10,0.17,2,3,86,50,87,28,0.45000000000000007,0.4100000000000002,0.03,0.04,3,2,1,1,4,2,1,1,3,0,15,7,L,0.11250000000000002,0.20500000000000004,0.03,0.04
1,4,8,0,1,0.5500000000000003,9,9,76,39,77,84,0.8700000000000003,1.310000000000001,0.38000000000000017,2.2799999999999954,10,4,2,2,10,5,2,3,3,0.5,23,7,L,0.08700000000000001,0.2620000000000001,0.19000000000000003,0.7600000000000005
1,5,9,0,2,0.18000000000000002,2,3,60,85,92,13,0.7200000000000003,0.12999999999999998,0.10999999999999999,0.04,3,2,2,1,4,2,2,1,4,0,16,7,L,0.18000000000000008,0.065,0.055,0.04
1,5,10,0,9,0.12999999999999998,2,4,98,31,6,9,0.5000000000000001,0.21000000000000005,0.08,0.060000000000000005,3,1,1,2,5,1,1,2,4,0,19,7,L,0.10000000000000003,0.21000000000000005,0.08,0.03
1,6,11,0,5,0.12999999999999998,2,3,10,42,4,90,0.5400000000000001,0.08,0.37000000000000016,0.02,3,1,3,1,4,1,3,1,5,0,20,7,L,0.13500000000000006,0.08,0.12333333333333335,0.02
1,6,12,0,3,0.2700000000000001,3,4,25,54,73,117,0.5400000000000001,0.09999999999999999,0.12999999999999998,0.08,5,1,1,1,6,1,1,1,5,0,14,7,L,0.09,0.09999999999999999,0.12999999999999998,0.08
1,7,13,1,13,0.22000000000000006,2,3,33,9,35,111,0.5300000000000001,0.20000000000000004,0.05,0.15,3,1,1,2,4,1,1,2,2,0,18,7,L,0.13250000000000003,0.20000000000000004,0.05,0.07499999999999998
1,7,14,1,15,0.20000000000000004,2,3,107,50,21,23,0.5600000000000002,0.11999999999999998,0.08,0.060000000000000005,3,1,2,2,4,1,2,2,6,0,18,7,L,0.14000000000000004,0.11999999999999998,0.04,0.03
1,8,15,1,11,0.34000000000000014,7,7,75,15,71,64,0.9900000000000004,1.8100000000000014,0.01,0.01,10,5,1,1,10,5,1,1,4,0,17,7,L,0.09900000000000003,0.3620000000000002,0.01,0.01
1,8,16,1,14,0.09999999999999999,2,2,3,5,93,98,42.81000000000007,0.01,0.01,0.01,20,1,1,1,93,1,1,1,3,0,17,7,L,0.46032258064516157,0.01,0.01,0.01
1,9,17,1,7,0.13999999999999999,2,3,12,2,61,10,0.37000000000000005,0.22000000000000006,0.12999999999999998,2.0799999999999996,4,2,1,4,5,2,1,5,6,0.5,40,7,L,0.07400000000000001,0.11000000000000001,0.12999999999999998,0.41600000000000026
1,9,18,1,15,0.19000000000000003,2,3,20,13,99,45,0.5500000000000002,0.15,0.37000000000000016,0.13999999999999999,4,1,1,1,5,1,1,1,6,0,19,7,L,0.11000000000000001,0.15,0.37000000000000016,0.13999999999999999
1,10,19,1,2,0.12999999999999998,2,3,52,75,50,56,0.44000000000000006,0.3000000000000001,0.03,0.05,4,2,1,1,5,2,1,1,4,0.5,27,7,L,0.08800000000000001,0.15,0.03,0.05
1,10,20,1,14,0.25000000000000006,3,4,92,88,65,101,0.6200000000000002,0.08,0.09999999999999999,0.09999999999999999,5,1,1,1,6,1,1,1,3,0,12,7,L,0.10333333333333333,0.08,0.09999999999999999,0.09999999999999999
1,11,21,1,13,0.18000000000000002,2,3,46,17,49,95,0.8900000000000005,0.2700000000000001,0.03,0.02,4,2,1,1,5,2,1,1,2,0,18,7,L,0.17800000000000005,0.135,0.03,0.02
1,11,22,1,3,0.4000000000000002,2,4,34,31,4,103,0.6600000000000003,0.04,0.22000000000000006,0.11999999999999998,3,1,2,1,5,1,2,1,5,0,18,7,L,0.13200000000000003,0.04,0.10999999999999999,0.11999999999999998
1,12,23,1,7,0.13999999999999999,2,3,12,85,68,64,0.4,0.2900000000000001,0.05,0.09,4,2,1,1,5,2,1,1,6,0,17,7,L,0.08000000000000002,0.145,0.05,0.09
1,12,24,1,2,0.10999999999999999,1,2,60,22,58,97,0.4100000000000001,0.09999999999999999,0.15,0.05,3,1,1,1,4,1,1,1,4,0,16,7,L,0.10250000000000001,0.09999999999999999,0.15,0.05
1,13,25,1,2,0.2700000000000001,3,4,58,24,22,17,0.6400000000000002,0.09999999999999999,0.09999999999999999,0.07,5,1,2,1,6,1,2,1,4,0.5,40,7,L,0.10666666666666667,0.09999999999999999,0.05,0.07
1,13,26,1,3,0.16,2,3,65,89,27,29,0.4900000000000001,0.13999999999999999,0.05,0.05,3,1,1,1,4,1,1,1,5,0,17,7,L,0.12250000000000003,0.13999999999999999,0.05,0.05
1,14,27,1,7,0.17,2,3,29,25,31,73,0.4900000000000001,1.360000000000001,0.26000000000000006,0.5200000000000002,3,4,2,1,4,5,2,1,6,0.5,33,7,L,0.12250000000000003,0.27200000000000013,0.13,0.5200000000000002
