Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,5,0.20000000000000004,2,3,1,11,87,72,0.7000000000000003,0.25000000000000006,0.15,0.07,3,2,1,1,4,2,1,1,5,0,19,7,LH,0.17500000000000007,0.12499999999999999,0.15,0.07
1,1,2,0,4,0.11999999999999998,1,2,108,18,59,106,0.6800000000000003,0.15,0.13999999999999999,0.37000000000000016,3,1,1,2,6,1,1,2,2,0,14,7,LH,0.11333333333333337,0.15,0.13999999999999999,0.18500000000000008
1,2,3,0,1,0.12999999999999998,3,4,80,81,79,83,0.5200000000000001,0.13999999999999999,0.15,0.07,4,1,2,1,5,1,2,1,3,1,36,7,LH,0.10400000000000004,0.13999999999999999,0.075,0.07
1,2,4,0,10,0.20000000000000004,2,3,93,23,57,54,0.5400000000000001,0.2700000000000001,0.3300000000000001,0.3200000000000001,4,2,3,2,5,3,3,2,3,0,17,7,LH,0.10800000000000001,0.09,0.11,0.16000000000000006
1,3,5,0,3,0.4100000000000002,4,5,16,53,30,91,1.0200000000000005,0.16,0.05,0.03,6,2,1,1,7,2,1,1,5,0,18,7,LH,0.14571428571428577,0.08,0.05,0.03
1,3,6,0,4,0.17,2,3,40,106,99,66,0.8500000000000004,0.09999999999999999,0.04,0.05,4,2,1,1,5,2,1,1,2,0,13,7,LH,0.17000000000000007,0.05,0.04,0.05
1,4,7,0,2,0.19000000000000003,2,4,6,41,42,118,0.7600000000000003,0.19000000000000003,0.10999999999999999,0.060000000000000005,4,2,2,1,6,2,2,1,4,0,18,7,LH,0.1266666666666667,0.095,0.05499999999999999,0.060000000000000005
1,4,8,0,7,0.26000000000000006,2,4,17,16,65,61,0.8200000000000003,1.2100000000000009,0.01,0.02,4,6,1,1,6,6,1,1,6,0,20,7,LH,0.13666666666666671,0.20166666666666674,0.01,0.02
1,5,9,0,1,0.16,2,3,62,11,3,10,0.9900000000000005,0.16,0.02,0.02,5,2,1,1,7,2,1,1,3,0.5,40,7,LH,0.14142857142857146,0.07999999999999999,0.02,0.02
1,5,10,0,2,0.13999999999999999,2,2,15,86,106,60,17.969999999999988,0.01,0.01,0.01,20,1,1,1,49,1,1,1,4,0,15,7,LH,0.3667346938775512,0.01,0.01,0.01
