Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,6.06,2191,0.4310413405764848,0.26,8.2,2199,0.23509709408669732,0.61,0.7722029086202383,56.0774517536629,0.8647397708834614,0.9309425810552202,6.96,454.265153621044,49.96037898096256,42,1.43,0.01
2,6.06,2191,0.5646336741745471,0.26,8.2,2199,0.19807893838873133,0.61,0.8846956951543689,34.35385152930394,0.8768623337727041,0.9891450957215857,6.96,224.6422766432632,19.221626157406718,70,1.43,0.01
3,6.06,2191,0.3625148394610733,0.26,8.2,2199,0.4077376557264943,0.61,0.8064952461048961,30.973906323779374,0.8295355284740218,0.9635152020540554,6.96,493.148111616401,16.739507914462592,49,1.43,0.01
4,6.06,2191,0.6230675891041755,0.26,8.2,2199,0.5655369319815654,0.61,0.7901526918634773,7.61253672093153,0.8306635582542513,0.9473980002973694,6.96,350.7622738106176,9.783751592040062,11,1.43,0.01
5,6.06,2191,0.5866271746810525,0.26,8.2,2199,0.7530753346991259,0.61,0.7214115494862199,5.810883338563144,0.8668317352770828,0.9082866368405521,6.96,67.57957445858047,29.298016330983955,48,1.43,0.01
6,6.06,2191,0.21612234157510102,0.26,8.2,2199,0.03924277527513914,0.61,0.7850632710382343,69.45948624610901,0.9005037319511175,0.9167373192210216,6.96,135.20197993288747,13.065089846495539,60,1.43,0.01
7,6.06,2191,0.5035762037150562,0.26,8.2,2199,0.4356624787754845,0.61,0.5987261479720474,80.40461222711019,0.8023625406147913,0.9644181605922059,6.96,341.0239200930111,18.66883495723596,43,1.43,0.01
8,6.06,2191,0.5363374453037977,0.26,8.2,2199,0.3076003963276744,0.61,0.8160639500245452,93.53379870206118,0.8917142289930489,0.937274286244763,6.96,96.64169214954599,41.17037030344363,15,1.43,0.01
9,6.06,2191,0.16858156239613892,0.26,8.2,2199,0.05739302343130112,0.61,0.184453752823174,68.29628519853577,0.9081503201399465,0.9207698764507659,6.96,321.1660186752677,40.08831030933652,5,1.43,0.01
10,6.06,2191,0.584590980457142,0.26,8.2,2199,0.18016402618703434,0.61,0.6427628569304943,15.633333602454513,0.9572861845057923,0.9800563567096833,6.96,11.784443315118551,13.509894975402858,8,1.43,0.01
11,6.06,2191,0.24010369814932347,0.26,8.2,2199,0.9250538259698078,0.61,0.39972037486732004,28.459082789951935,0.9399395855788607,0.9151225974254776,6.96,49.61957929236814,45.089462571719196,36,1.43,0.01
12,6.06,2191,0.138057009736076,0.26,8.2,2199,0.662604097258998,0.61,0.8863020969554782,90.51120221498422,0.9443588521217462,0.9652837882395834,6.96,306.7397608373314,30.736443357134704,13,1.43,0.01
13,6.06,2191,0.45946238520555194,0.26,8.2,2199,0.6335760385927278,0.61,0.27315694466233253,9.371714607812464,0.9189084072471596,0.9115522731710226,6.96,241.56273783780634,47.487633922253735,29,1.43,0.01
14,6.06,2191,0.49335081730969255,0.26,8.2,2199,0.8485811038867105,0.61,0.3730789141729475,66.927353116218,0.86499859674857,0.9354328451163602,6.96,436.7853213748429,54.653113986423705,42,1.43,0.01
15,6.06,2191,0.606662828149274,0.26,8.2,2199,0.4489643539134413,0.61,0.6035747671499848,81.43966001435183,0.903729996780865,0.936020730885677,6.96,55.27563202623278,26.254420368524734,70,1.43,0.01
16,6.06,2191,0.4162594370543957,0.26,8.2,2199,0.4360837708665058,0.61,0.5257689801976085,65.98488449514844,0.9441529626520351,0.9102520052455366,6.96,422.4035055816639,50.643927196389996,15,1.43,0.01
17,6.06,2191,0.49146323688328264,0.26,8.2,2199,0.07722056442219764,0.61,0.37645070087164645,65.9507225274574,0.9359096593614668,0.9084405055870303,6.96,63.796321803331374,36.47790038405219,16,1.43,0.01
18,6.06,2191,0.5650834343861788,0.26,8.2,2199,0.1831030533015728,0.61,0.7841272020712495,14.959828569786623,0.8831418961801101,0.9202656633525621,6.96,111.10727849942631,10.910440051520709,76,1.43,0.01
19,6.06,2191,0.5268301822245121,0.26,8.2,2199,0.9323895416182931,0.61,0.12229131143540145,31.573618269059807,0.8845345407540445,0.9939198165165726,6.96,152.25441636582838,49.94123577547725,53,1.43,0.01
20,6.06,2191,0.31599771906621754,0.26,8.2,2199,0.8676332651816774,0.61,0.5495964286848903,84.648491602391,0.991850871536415,0.9749120179256424,6.96,294.53700483781284,20.723058375471737,67,1.43,0.01
21,6.06,2191,0.20526763168163598,0.26,8.2,2199,0.7171711166764144,0.61,0.5341848140582443,71.79706832696684,0.8151857352973894,0.9404241174864583,6.96,117.67634385912679,27.906459593505133,39,1.43,0.01
22,6.06,2191,0.11780758923850954,0.26,8.2,2199,0.24793756657117047,0.61,0.35738861933350563,59.63040659669787,0.9050370943332091,0.975840122079011,6.96,160.3939676264301,10.086326185206417,23,1.43,0.01
23,6.06,2191,0.6091788006946444,0.26,8.2,2199,0.6864229997415096,0.61,0.10893413983285427,98.63145313318819,0.8154770707357675,0.9031400520878379,6.96,373.5572203133721,10.77188697992824,53,1.43,0.01
24,6.06,2191,0.5182288883253932,0.26,8.2,2199,0.6316687667637598,0.61,0.5692393643781543,74.07941711507738,0.8479487731135451,0.9555224175453186,6.96,195.1378431198187,44.42079304903746,25,1.43,0.01
25,6.06,2191,0.29307094756513835,0.26,8.2,2199,0.8648350281277671,0.61,0.1602396670728922,29.29677309305407,0.8875846617671196,0.9854545194350649,6.96,346.68349698279053,38.08728262229124,40,1.43,0.01
26,6.06,2191,0.6965117680374533,0.26,8.2,2199,0.08847883587284014,0.61,0.18516873214393856,8.222160935169086,0.8520157168561128,0.9900791670042091,6.96,493.93689522505736,12.889443328254856,18,1.43,0.01
27,6.06,2191,0.3087163164746016,0.26,8.2,2199,0.3023595254321117,0.61,0.8818866955116391,3.658281457843259,0.9564722412496339,0.9355675038672052,6.96,32.51457469696179,31.4825746685965,4,1.43,0.01
28,6.06,2191,0.44877352803014214,0.26,8.2,2199,0.18865291736624204,0.61,0.34293110780417924,79.99575206800364,0.8747052536739502,0.9408613311387599,6.96,283.11563724321314,39.46875799220288,58,1.43,0.01
29,6.06,2191,0.28207138245925306,0.26,8.2,2199,0.8980144399935379,0.61,0.8433980302885175,18.331442637136206,0.8512849050813821,0.9095601643281989,6.96,173.4250542873051,31.229343862680253,50,1.43,0.01
30,6.06,2191,0.4283368296921253,0.26,8.2,2199,0.04403276694007218,0.61,0.5362787619233131,96.53915827046148,0.9457767747067847,0.9896960723733064,6.96,11.523048172239214,27.380589580105152,12,1.43,0.01
31,6.06,2191,0.3995098205748946,0.26,8.2,2199,0.02206282773637213,0.61,0.42387956101447344,73.20853064907715,0.9053270267529879,0.9555420066250954,6.96,248.3872041123919,49.653526904585306,48,1.43,0.01
32,6.06,2191,0.6994104804936796,0.26,8.2,2199,0.8239489922325592,0.61,0.639913078956306,22.537289218977094,0.9161617594212293,0.952248905203538,6.96,367.2984858068172,43.07468011241872,20,1.43,0.01
33,6.06,2191,0.26248818342573943,0.26,8.2,2199,0.775942635567626,0.61,0.5091571401804685,31.752068983390927,0.9883215116919019,0.9526727106040344,6.96,225.9449663459789,54.90123112627771,72,1.43,0.01
