Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,7,0.25000000000000006,2,3,21,22,15,16,0.5700000000000002,0.10999999999999999,0.17,0.4000000000000002,4,1,2,2,6,1,2,2,6,1,72,7,Lc,0.09500000000000001,0.10999999999999999,0.08499999999999999,0.2000000000000001
1,1,2,0,6,0.20000000000000004,2,3,2,4,96,66,0.5000000000000001,0.10999999999999999,0.4000000000000002,0.03,3,1,2,1,4,1,2,1,6,0,19,7,Lc,0.12500000000000003,0.10999999999999999,0.20000000000000004,0.03
1,2,3,0,3,0.21000000000000005,2,3,8,30,51,55,0.7000000000000003,0.23000000000000007,0.03,0.060000000000000005,3,2,1,1,4,2,1,1,5,0,19,7,Lc,0.17500000000000007,0.11500000000000002,0.03,0.060000000000000005
1,2,4,0,1,0.25000000000000006,2,3,16,41,80,21,0.8900000000000003,0.060000000000000005,0.08,0.05,4,1,2,1,5,1,2,1,3,0,20,7,Lc,0.17800000000000005,0.060000000000000005,0.04,0.05
1,3,5,0,4,0.25000000000000006,2,3,34,102,103,51,0.6600000000000003,0.13999999999999999,0.03,0.09,3,2,1,1,4,2,1,1,2,0,13,7,Lc,0.16500000000000004,0.06999999999999999,0.03,0.09
1,3,6,0,9,0.21000000000000005,2,3,61,70,88,66,9.679999999999843,0.01,0.8000000000000005,0.01,17,1,2,1,26,1,2,1,4,0.5,27,7,Lc,0.3723076923076925,0.01,0.40000000000000024,0.01
1,4,7,0,9,0.18000000000000002,2,3,65,22,15,71,0.43000000000000005,0.3000000000000001,0.17,0.03,5,1,1,1,7,1,1,1,4,0,20,7,Lc,0.06142857142857143,0.3000000000000001,0.17,0.03
1,4,8,0,2,0.10999999999999999,2,2,1,37,3,50,9.469999999999844,0.02,0.01,0.01,15,1,1,1,24,1,1,1,4,0,21,7,Lc,0.39458333333333334,0.02,0.01,0.01
1,5,9,0,2,0.21000000000000005,2,3,60,50,59,26,0.4800000000000001,0.08,0.13999999999999999,0.38000000000000017,3,1,1,2,4,1,1,2,4,0.5,29,7,Lc,0.12000000000000002,0.08,0.13999999999999999,0.19000000000000006
1,5,10,0,5,0.23000000000000007,2,5,45,40,4,100,0.6000000000000002,0.11999999999999998,0.09,0.20000000000000004,3,1,1,2,6,1,1,3,5,0,18,7,Lc,0.10000000000000003,0.11999999999999998,0.09,0.06666666666666667
1,6,11,0,2,0.23000000000000007,2,4,10,55,53,6,0.6700000000000003,0.10999999999999999,0.09999999999999999,0.07,3,1,1,1,5,1,1,1,4,0,20,7,Lc,0.13400000000000004,0.10999999999999999,0.09999999999999999,0.07
1,6,12,0,7,0.20000000000000004,2,3,99,88,38,106,0.6000000000000002,1.5100000000000011,0.01,0.18000000000000002,3,2,1,2,4,2,1,2,6,0,12,7,Lc,0.15000000000000005,0.7550000000000006,0.01,0.09
1,7,13,1,10,0.2700000000000001,4,5,85,91,46,41,0.6300000000000002,0.16,0.16,0.22000000000000006,5,1,1,1,6,1,1,1,3,0,16,7,Lc,0.10500000000000002,0.16,0.16,0.22000000000000006
1,7,14,1,6,0.26000000000000006,2,4,8,73,51,5,0.5200000000000001,0.45000000000000023,0.04,0.07,3,2,1,1,5,2,1,1,6,0,19,7,Lc,0.10400000000000001,0.22500000000000006,0.04,0.07
1,8,15,1,3,0.20000000000000004,2,3,32,13,75,23,0.4900000000000001,0.3300000000000001,0.05,0.20000000000000004,4,1,1,1,5,1,1,1,5,0,20,7,Lc,0.098,0.3300000000000001,0.05,0.20000000000000004
