"Subject","a_schema","h_schema","Beta_N","Beta_Var","a_generic","h_generic","Beta_gN","Beta_gVar","w","Phi","decay_speed","decay_speed_thres","thres_item_inter","thres_item_final","thres_schema","theta_shift","timevar","modeltimestep"
1,6.06,2191,0.416831021606922,0.26,8.2,2199,0.873667928332929,0.61,0.6208974962309,30.7465282480698,0.863615372184664,0.990985523450421,6.96,317.141152667254,33.6248912109644,35,1.43,0.01
2,6.06,2191,0.479150317180902,0.26,8.2,2199,0.874848924054299,0.61,0.639692439846695,32.8183522007894,0.848073061913252,0.995053398369113,6.96,406.049374183081,30.1054661978385,30,1.43,0.01
3,6.06,2191,0.528136286977678,0.26,8.2,2199,0.896670655942056,0.61,0.655136035643518,32.8468851258513,0.838131246989593,0.995644292987185,6.96,393.05184568828,38.7978598609217,35,1.43,0.01
4,6.06,2191,0.459851183975115,0.26,8.2,2199,0.995941108035389,0.61,0.635897172950208,37.6071840596851,0.855455896448344,0.999168879159028,6.96,383.082209262438,32.8195973554743,28,1.43,0.01
5,6.06,2191,0.516573023991659,0.26,8.2,2199,0.995420782443602,0.61,0.600734349414706,32.2419096182566,0.852558730984107,0.996576894910308,6.96,326.596361978818,34.6193910473958,29,1.43,0.01
6,6.06,2191,0.618637868557125,0.26,8.2,2199,0.49544992603967,0.61,0.781798132248223,1.93364560557529,0.956455672000069,0.987469161240617,6.96,432.365427960549,7.058097166277,25,1.43,0.01
7,6.06,2191,0.568742144592106,0.26,8.2,2199,0.439108514400665,0.61,0.73216200325638,7.34608841547742,0.957321388068143,0.98849835873046,6.96,517.885695387051,12.3263809647877,23,1.43,0.01
8,6.06,2191,0.636703182375058,0.26,8.2,2199,0.494767558422405,0.61,0.759306808374822,9.25429768348113,0.957706162173767,0.994976764395134,6.96,444.45439057881,12.317712012236,24,1.43,0.01
9,6.06,2191,0.670341357700527,0.26,8.2,2199,0.653802264783997,0.61,0.22721157874912,14.7077569337562,0.855782620960148,0.997513055346208,6.96,436.40897190934,25.2201390779344,37,1.43,0.01
10,6.06,2191,0.641310860142112,0.26,8.2,2199,0.538354047410656,0.61,0.257453342415392,13.2178471488878,0.884468448122265,0.996478592675412,6.96,514.331213849504,20.5051477294532,28,1.43,0.01
11,6.06,2191,0.674857798591256,0.26,8.2,2199,0.638941931980196,0.61,0.261208076179028,10.7855338528752,0.887263535770821,0.990390890782,6.96,492.91489656819,19.2858305821544,41,1.43,0.01
12,6.06,2191,0.694103623200208,0.26,8.2,2199,0.227379826908233,0.61,0.807832247652113,65.7544763197657,0.842377510954859,0.989977262792643,6.96,194.099250999466,9.59679951816797,32,1.43,0.01
13,6.06,2191,0.637118050679564,0.26,8.2,2199,0.0571618477210868,0.61,0.744689514748752,57.8209274213295,0.840984860928031,0.995424265190493,6.96,232.944491734449,11.426914053096,28,1.43,0.01
