"Subject","a_schema","h_schema","Beta_N","Beta_Var","a_generic","h_generic","Beta_gN","Beta_gVar","w","Phi","decay_speed","decay_speed_thres","thres_item_inter","thres_item_final","thres_schema","theta_shift","timevar","modeltimestep"
1,6.06,2191,0.210173466680571,0.26,8.2,2199,0.812021567297634,0.61,0.200939086079597,13.4219750757329,0.804211145422189,0.993539228680311,6.96,436.636238478962,54.7928298547165,11,1.43,0.01
2,6.06,2191,0.278700973121449,0.26,8.2,2199,0.741696404011454,0.61,0.153229405805469,26.3106877678074,0.8189132097892,0.992505613988032,6.96,482.185305231158,46.4129635873833,8,1.43,0.01
3,6.06,2191,0.248223610688001,0.26,8.2,2199,0.785819786458742,0.61,0.289900031760335,28.8569579781033,0.807886179356603,0.992388704119949,6.96,487.560522947367,54.680182603118,4,1.43,0.01
4,6.06,2191,0.308675347631797,0.26,8.2,2199,0.712309354587924,0.61,0.208965476192534,18.5012773978524,0.821493339610053,0.988339896359248,6.96,438.235765610263,46.6356735168025,12,1.43,0.01
5,6.06,2191,0.697964624268934,0.26,8.2,2199,0.751309810447739,0.61,0.223652227818966,60.3976001236588,0.82173156261351,0.994723186170682,6.96,419.751524861204,14.7245894203312,53,1.43,0.01
6,6.06,2191,0.663624731013551,0.26,8.2,2199,0.78685181467724,0.61,0.158293199874461,62.681787150912,0.812747265583836,0.992433993470855,6.96,412.934952738928,10.3799961944926,51,1.43,0.01
7,6.06,2191,0.648951921509579,0.26,8.2,2199,0.830010525890859,0.61,0.229866107851267,62.4742056820542,0.805858259218745,0.990923489037901,6.96,398.411199366441,12.2803155406145,56,1.43,0.01
8,6.06,2191,0.640806991839781,0.26,8.2,2199,0.688565876157256,0.61,0.192966279499233,57.3637073598802,0.826285892714746,0.991869580167346,6.96,362.737995172152,12.207276840962,49,1.43,0.01
9,6.06,2191,0.494283811897039,0.26,8.2,2199,0.980063507465646,0.61,0.567901909500361,71.0534538277425,0.865404536202783,0.993441665042192,6.96,271.154049760709,18.4283066322096,36,1.43,0.01
10,6.06,2191,0.443726287530735,0.26,8.2,2199,0.936744847793132,0.61,0.427049475163221,63.0367343868129,0.838958380250493,0.998111517415382,6.96,266.947199085774,14.3945858227904,39,1.43,0.01
11,6.06,2191,0.472720687976107,0.26,8.2,2199,0.996982817158103,0.61,0.486232529953122,57.0374481468461,0.847638174621621,0.990510328672826,6.96,243.990791406995,13.6656643663067,32,1.43,0.01
12,6.06,2191,0.445456428686157,0.26,8.2,2199,0.869492556193843,0.61,0.452298612296581,64.7746143951081,0.856242106249789,0.994039791412652,6.96,254.980167923542,15.100826125266,28,1.43,0.01
13,6.06,2191,0.637866377299651,0.26,8.2,2199,0.466614022126421,0.61,0.333903466127813,52.3015627665445,0.885932622154942,0.998042052445002,6.96,445.03828138588,46.3394370043883,13,1.43,0.01
14,6.06,2191,0.591423643892631,0.26,8.2,2199,0.484602341914549,0.61,0.217564837187529,52.8803954627365,0.877183102847775,0.995844428260811,6.96,459.05312852012,52.8683319461299,7,1.43,0.01
15,6.06,2191,0.667795942071825,0.26,8.2,2199,0.56777049565874,0.61,0.21637735158205,51.2390736471862,0.881491724880179,0.990450166027062,6.96,447.010418261029,48.9763095574919,3,1.43,0.01
16,6.06,2191,0.210457287030295,0.26,8.2,2199,0.915738559976686,0.61,0.219905596338212,8.1487436152529,0.823577172016492,0.995692764276639,6.96,409.171838733368,40.9789304531063,21,1.43,0.01
17,6.06,2191,0.258048844337463,0.26,8.2,2199,0.94406184530491,0.61,0.195368475094438,18.0750684838276,0.81868501711241,0.997530320922844,6.96,456.15897792764,38.114149944752,27,1.43,0.01
18,6.06,2191,0.273361855894327,0.26,8.2,2199,0.894486482903827,0.61,0.286404551118612,21.0708226289134,0.810119298003381,0.986868467585184,6.96,443.924271565862,42.4433563170023,26,1.43,0.01
19,6.06,2191,0.296768146436661,0.26,8.2,2199,0.908791255854536,0.61,0.306902923285961,12.1530809977558,0.806398767154431,0.98825060684979,6.96,469.907145522535,43.8236889630905,19,1.43,0.01
20,6.06,2191,0.314274886343628,0.26,8.2,2199,0.92162110029743,0.61,0.387092117406428,42.6043961090036,0.934849877335364,0.998495949947741,6.96,350.490857806476,19.27232230386,43,1.43,0.01
21,6.06,2191,0.331199804069474,0.26,8.2,2199,0.98199039531895,0.61,0.367538914456964,48.9425298045389,0.945517371721799,0.990890636722092,6.96,353.496210228605,19.3112136866548,46,1.43,0.01
22,6.06,2191,0.536643169689923,0.26,8.2,2199,0.72710231255414,0.61,0.81584826849401,31.0684919743799,0.811500143942656,0.991757889701985,6.96,437.897763163922,34.3727581629064,11,1.43,0.01
23,6.06,2191,0.509371542371809,0.26,8.2,2199,0.732059748812113,0.61,0.852611796334386,32.346372149419,0.819765548466938,0.987834938056767,6.96,493.818420521123,33.6620192631381,11,1.43,0.01
24,6.06,2191,0.563202047795057,0.26,8.2,2199,0.773587097475771,0.61,0.806427651941776,33.9763103579171,0.815748438782292,0.992806094596162,6.96,462.626570833987,34.3631058594096,13,1.43,0.01
