"Subject","a_schema","h_schema","Beta_N","Beta_Var","a_generic","h_generic","Beta_gN","Beta_gVar","w","Phi","decay_speed","decay_speed_thres","thres_item_inter","thres_item_final","thres_schema","theta_shift","timevar","modeltimestep"
1,6.06,2191,0.370833416543901,0.26,8.2,2199,0.687684387399815,0.61,0.417533046863973,36.1580228433013,0.820527798695257,0.990224476242904,6.96,294.788384480169,14.3259918759228,37,1.43,0.01
2,6.06,2191,0.467489833757281,0.26,8.2,2199,0.650424433837645,0.61,0.318969108425081,41.2260694941506,0.804773817186942,0.990631783362944,6.96,283.189201480476,12.7574880900793,33,1.43,0.01
3,6.06,2191,0.446067041726783,0.26,8.2,2199,0.830920247012982,0.61,0.660984014123678,38.1308538839221,0.886167743499158,0.989259791562799,6.96,251.106410794752,45.9466912217671,28,1.43,0.01
4,6.06,2191,0.527496450655162,0.26,8.2,2199,0.989107440110529,0.61,0.628261429183185,27.5117878289893,0.852041248534573,0.993778627270367,6.96,257.307163112657,52.9587240780471,22,1.43,0.01
5,6.06,2191,0.445614440524951,0.26,8.2,2199,0.943411153998459,0.61,0.764313061162829,29.351752884686,0.860478403004585,0.99163043362787,6.96,186.193405985693,50.5931476230733,28,1.43,0.01
6,6.06,2191,0.233180723115802,0.26,8.2,2199,0.305172056308016,0.61,0.422677726261318,36.2608877471648,0.87062658815831,0.99235856938269,6.96,453.881251990795,13.3375081225182,36,1.43,0.01
7,6.06,2191,0.225421752007678,0.26,8.2,2199,0.270008630840108,0.61,0.477449088580906,46.8655590708368,0.858349213564768,0.98906701474078,6.96,447.763599308673,14.4148419475183,34,1.43,0.01
8,6.06,2191,0.229272004822269,0.26,8.2,2199,0.390487264771014,0.61,0.499797103479505,43.1135848858394,0.865807315802202,0.991535750293173,6.96,378.540934904013,15.7804301072843,33,1.43,0.01
9,6.06,2191,0.126933007147163,0.26,8.2,2199,0.424697494203225,0.61,0.513492379449308,47.3751165247522,0.883619912752882,0.995663617994636,6.96,389.2237067651,13.5568143142387,35,1.43,0.01
10,6.06,2191,0.17796478590928,0.26,8.2,2199,0.322574598597363,0.61,0.494796919152141,46.4968886361457,0.871133063483983,0.993170674234629,6.96,367.889633946121,12.1516570375999,25,1.43,0.01
11,6.06,2191,0.197608435479924,0.26,8.2,2199,0.402912607625127,0.61,0.476309454664588,41.5463583027013,0.887294777847827,0.998784795665182,6.96,386.670180086512,11.0629246348166,30,1.43,0.01
12,6.06,2191,0.399463941473514,0.26,8.2,2199,0.774611593981972,0.61,0.302711476236582,8.47288811416365,0.955770157902734,0.986645158954896,6.96,424.035161144193,44.4673338569351,17,1.43,0.01
13,6.06,2191,0.377832835903391,0.26,8.2,2199,0.90298811817891,0.61,0.365048570781946,12.7097755747382,0.959379276708933,0.986444685512222,6.96,406.310513080191,40.999612022494,5,1.43,0.01
14,6.06,2191,0.308288708012551,0.26,8.2,2199,0.91161839953973,0.61,0.264786164984107,23.2015968796331,0.922534434777917,0.994125197899528,6.96,419.291261474229,41.748178255558,17,1.43,0.01
15,6.06,2191,0.356534527065232,0.26,8.2,2199,0.944523314865073,0.61,0.352259035594761,12.0210998721886,0.924786531609716,0.997314163676463,6.96,445.978943860251,42.632285647362,10,1.43,0.01
16,6.06,2191,0.407420078190044,0.26,8.2,2199,0.821363100841409,0.61,0.398386481180787,8.98265835666098,0.959559930200921,0.996403149428777,6.96,479.033631798904,37.5849366609124,5,1.43,0.01
17,6.06,2191,0.338472670139745,0.26,8.2,2199,0.941527081340319,0.61,0.302784404866397,13.7122154778335,0.924094133080216,0.990946499790996,6.96,405.055775300227,43.1428241962567,13,1.43,0.01
18,6.06,2191,0.356145705860108,0.26,8.2,2199,0.94337784868083,0.61,0.414027806743979,14.8784650519956,0.922881427855464,0.987808192783967,6.96,464.600942568015,38.7548338527209,13,1.43,0.01
19,6.06,2191,0.413722430374473,0.26,8.2,2199,0.79505983932293,0.61,0.387122469842434,23.750864042202,0.955705023548799,0.995594405207783,6.96,405.142289081216,41.6813395225909,9,1.43,0.01
20,6.06,2191,0.563262697765604,0.26,8.2,2199,0.48244851906877,0.61,0.332503234483302,68.0012326559518,0.873135895083891,0.99351642871392,6.96,410.672226014873,54.1253222970408,69,1.43,0.01
21,6.06,2191,0.602406554101035,0.26,8.2,2199,0.432923760103062,0.61,0.16253689814359,71.681621063035,0.969930712674512,0.995880963523406,6.96,306.846597792394,41.3864558402332,22,1.43,0.01
22,6.06,2191,0.631895568389445,0.26,8.2,2199,0.321642484307289,0.61,0.196375867761672,79.1462488356046,0.985327420077054,0.987550403322559,6.96,318.107347365282,37.0841243791045,32,1.43,0.01
23,6.06,2191,0.653169639362022,0.26,8.2,2199,0.330352919060737,0.61,0.280559970214963,78.621139077004,0.953084014422027,0.993513008263428,6.96,255.110444954876,39.3144797192421,25,1.43,0.01
24,6.06,2191,0.642861815346405,0.26,8.2,2199,0.446454359196126,0.61,0.272630040682852,79.2683452391066,0.951008612151025,0.996628433340695,6.96,326.895670771413,39.3611302755889,34,1.43,0.01
25,6.06,2191,0.687192641999572,0.26,8.2,2199,0.290141662420705,0.61,0.282184802480042,88.4436310245655,0.962014669497265,0.990486575440038,6.96,260.869236770365,37.5002671515336,22,1.43,0.01
