"Subject","a_schema","h_schema","Beta_N","Beta_Var","a_generic","h_generic","Beta_gN","Beta_gVar","w","Phi","decay_speed","decay_speed_thres","thres_item_inter","thres_item_final","thres_schema","theta_shift","timevar","modeltimestep"
1,6.06,2191,0.686600863067433,0.26,8.2,2199,0.0939320459640585,0.61,0.179785886853933,12.5454912937712,0.845050786327338,0.996409158952069,6.96,494.091087636864,14.3149457165156,14,1.43,0.01
2,6.06,2191,0.695171356042847,0.26,8.2,2199,0.0600493254284374,0.61,0.186796159595251,5.34704163647257,0.838710646698019,0.992346817924175,6.96,488.793199012382,15.3012702593929,22,1.43,0.01
3,6.06,2191,0.586802145484835,0.26,8.2,2199,0.553288187038153,0.61,0.72820198405534,76.6118125456851,0.862722698220983,0.998310844078427,6.96,435.601728442265,34.9750754278037,32,1.43,0.01
4,6.06,2191,0.560860767830163,0.26,8.2,2199,0.630936195001006,0.61,0.743105249106884,78.298538669711,0.855679852565751,0.98844837944,6.96,429.206901561609,33.9862821938936,39,1.43,0.01
5,6.06,2191,0.560805787909776,0.26,8.2,2199,0.552544804241508,0.61,0.798632017411292,75.1190196096431,0.874639793228358,0.989220575191779,6.96,466.147611059388,36.5481554775499,42,1.43,0.01
6,6.06,2191,0.542010332318023,0.26,8.2,2199,0.681127497226,0.61,0.753344484455884,70.4314955722075,0.873320440160111,0.984355732574826,6.96,474.035977754882,37.6791141836205,36,1.43,0.01
7,6.06,2191,0.49414711792022,0.26,8.2,2199,0.546832259602845,0.61,0.786257723756135,68.9903016972821,0.866029535060749,0.995587724232813,6.96,435.996757174516,37.1093338553095,38,1.43,0.01
8,6.06,2191,0.577938683312386,0.26,8.2,2199,0.552083109457046,0.61,0.744272218756378,77.8299240840133,0.860303987454623,0.991179423620691,6.96,488.161386866728,37.1012024677359,44,1.43,0.01
9,6.06,2191,0.479321192055941,0.26,8.2,2199,0.611465970797464,0.61,0.726874802485108,61.8207998040598,0.879869138816372,0.99681942245434,6.96,483.377434120653,38.4560888005537,39,1.43,0.01
10,6.06,2191,0.483258038759232,0.26,8.2,2199,0.670349580140784,0.61,0.694671033397317,70.457724642707,0.890166670339182,0.983303454653127,6.96,491.314462031378,34.4119545244961,33,1.43,0.01
11,6.06,2191,0.502670383872464,0.26,8.2,2199,0.603588647020981,0.61,0.750713652819395,62.6194976109546,0.862125236395747,0.997758243931224,6.96,436.464292289363,31.9051950484049,35,1.43,0.01
12,6.06,2191,0.564688495090231,0.26,8.2,2199,0.701514458887279,0.61,0.654197744801641,79.9614626474213,0.870825469655916,0.98580495517212,6.96,497.004256826499,33.114457827399,44,1.43,0.01
13,6.06,2191,0.56950276888907,0.26,8.2,2199,0.396541875244584,0.61,0.886814397163689,84.9694776649121,0.971399287801236,0.996358708445216,6.96,65.8696323541924,48.211067043175,24,1.43,0.01
14,6.06,2191,0.513694945238531,0.26,8.2,2199,0.378345383952837,0.61,0.830751684457064,67.0190799629781,0.972348662788048,0.996519651109586,6.96,18.1269338291138,52.2179824495572,34,1.43,0.01
15,6.06,2191,0.591011533262208,0.26,8.2,2199,0.447980868832674,0.61,0.84402498472482,75.7039036110509,0.947322883555666,0.990367022062885,6.96,81.5794340648688,49.5886960753822,21,1.43,0.01
16,6.06,2191,0.540564182028174,0.26,8.2,2199,0.534329214522149,0.61,0.86531145837158,71.7879478607792,0.96725718794018,0.993228670786368,6.96,29.8252361297607,51.5763004775741,29,1.43,0.01
17,6.06,2191,0.578694082107395,0.26,8.2,2199,0.502742096146103,0.61,0.873401137776673,81.0451533200685,0.975652448372915,0.991654929792741,6.96,8.58187008621171,53.150135837798,24,1.43,0.01
18,6.06,2191,0.532832729602233,0.26,8.2,2199,0.373448512533214,0.61,0.799117555506528,73.086457156809,0.968679704224691,0.982501415814506,6.96,10.9369088599458,46.4401728814351,22,1.43,0.01
19,6.06,2191,0.63723923003301,0.26,8.2,2199,0.308131475181552,0.61,0.717297989651561,7.63025380088948,0.958087348407833,0.950449234835338,6.96,254.183134992048,10.866019432724,5,1.43,0.01
20,6.06,2191,0.652107723280787,0.26,8.2,2199,0.153833846136229,0.61,0.816804065667093,1.25561795546673,0.956082135979785,0.948490866302978,6.96,279.976744157635,8.66867545358837,7,1.43,0.01
21,6.06,2191,0.386205147355795,0.26,8.2,2199,0.085889377273852,0.61,0.29597466185689,97.0353938380722,0.912132861551596,0.983907794083934,6.96,448.005998268025,38.7169790911139,15,1.43,0.01
22,6.06,2191,0.424768426334485,0.26,8.2,2199,0.0136548009852413,0.61,0.333762631081045,99.2864772046451,0.908275967317401,0.993817877715919,6.96,415.327710157959,39.7375632977928,20,1.43,0.01
23,6.06,2191,0.458649264713749,0.26,8.2,2199,0.0711190092063043,0.61,0.296575509719551,89.8576202776749,0.905497951817466,0.991517399603035,6.96,426.545420883456,41.4597389788134,23,1.43,0.01
24,6.06,2191,0.46497041172348,0.26,8.2,2199,0.0838100576924626,0.61,0.318036546222866,90.5029815456364,0.929831309535308,0.996277117973659,6.96,424.647248240421,40.5939782295376,20,1.43,0.01
25,6.06,2191,0.431369492476806,0.26,8.2,2199,0.150559823814547,0.61,0.236867475621402,77.2248955788091,0.806018207552843,0.987377216967754,6.96,271.759586161515,40.7701983528445,29,1.43,0.01
26,6.06,2191,0.470643407674506,0.26,8.2,2199,0.202370979863917,0.61,0.1947141572088,62.0880483575165,0.804357414986007,0.973678520301357,6.96,276.288195898337,38.1869874667842,24,1.43,0.01
27,6.06,2191,0.444251477075741,0.26,8.2,2199,0.120875397737836,0.61,0.210221855603159,73.3982630232349,0.801916711307131,0.988064662318677,6.96,253.783356993506,44.6264722479973,29,1.43,0.01
28,6.06,2191,0.417915790723637,0.26,8.2,2199,0.23138949018321,0.61,0.31549617677927,68.0469509838149,0.815126468366943,0.974868015803397,6.96,338.927164467564,39.7688936769147,32,1.43,0.01
29,6.06,2191,0.461404260471463,0.26,8.2,2199,0.226936893857783,0.61,0.338215797021985,63.5971254361793,0.818427966940217,0.971887929661199,6.96,324.084347704006,39.9087606209447,25,1.43,0.01
30,6.06,2191,0.385420370604843,0.26,8.2,2199,0.135474687482929,0.61,0.324142317809165,74.3100333791226,0.809134712717496,0.981024044442922,6.96,244.938387536025,39.823132649844,24,1.43,0.01
31,6.06,2191,0.521438147919252,0.26,8.2,2199,0.855006393127842,0.61,0.635296513438225,51.4685529416893,0.958367165629752,0.984784462416777,6.96,155.244320882112,47.0029271989595,35,1.43,0.01
32,6.06,2191,0.594224246088415,0.26,8.2,2199,0.800707424142165,0.61,0.624563199728727,62.7023059495259,0.969465188519098,0.991493670332478,6.96,139.220485945325,43.2515745264129,36,1.43,0.01
33,6.06,2191,0.583837437443435,0.26,8.2,2199,0.803144632222829,0.61,0.585060860589147,60.3466544339899,0.955257622036152,0.989309869294288,6.96,189.943100873008,42.8497784725856,33,1.43,0.01
34,6.06,2191,0.53532399433665,0.26,8.2,2199,0.911908725452377,0.61,0.583347489722073,61.6723654086236,0.974322436763905,0.997788641650462,6.96,138.907894824725,41.2319607524783,32,1.43,0.01
35,6.06,2191,0.572954317843541,0.26,8.2,2199,0.771770528600318,0.61,0.704749318212271,49.7482991304714,0.968709383313544,0.993763661600882,6.96,206.774031508341,44.9198924189433,38,1.43,0.01
36,6.06,2191,0.526019415818155,0.26,8.2,2199,0.881182318635983,0.61,0.649571166671813,44.0543189637829,0.966116863251664,0.987523240267532,6.96,124.290008666553,47.2608555201325,40,1.43,0.01
37,6.06,2191,0.600286395838484,0.26,8.2,2199,0.793172415428562,0.61,0.686710974834859,44.1625795646105,0.956261089988984,0.987085174291627,6.96,138.804141423292,42.5536465490353,38,1.43,0.01
38,6.06,2191,0.598073105299845,0.26,8.2,2199,0.934449407261563,0.61,0.602373327948153,46.3961668072734,0.971934199021198,0.984555839884328,6.96,213.69236938525,45.273562431254,36,1.43,0.01
39,6.06,2191,0.347325234916061,0.26,8.2,2199,0.231734419969143,0.61,0.193163887485862,82.5230073446874,0.89008641714626,0.990499049627222,6.96,427.939824722614,32.7140101195197,53,1.43,0.01
40,6.06,2191,0.318994103660807,0.26,8.2,2199,0.308422578853788,0.61,0.17830543756485,86.7063598877285,0.859646496571833,0.99230433256086,6.96,459.722187044472,32.5641322225099,49,1.43,0.01
41,6.06,2191,0.354044565744698,0.26,8.2,2199,0.262408447806956,0.61,0.234159351848066,85.9033908771817,0.878408036357025,0.987703269847669,6.96,448.050010214001,30.3369378555333,43,1.43,0.01
42,6.06,2191,0.31062157092616,0.26,8.2,2199,0.132649955741363,0.61,0.166859953068197,83.7142457936425,0.874191040437901,0.986656190251932,6.96,424.510097147804,26.7348418901325,50,1.43,0.01
43,6.06,2191,0.296531339371577,0.26,8.2,2199,0.316754071397008,0.61,0.157135717235506,78.5336108768824,0.888399823656538,0.97504216979444,6.96,453.776440540236,31.5858892029501,53,1.43,0.01
44,6.06,2191,0.313966376176104,0.26,8.2,2199,0.21923951281351,0.61,0.259709618464112,89.4972668618429,0.889957032086561,0.984800772896968,6.96,404.817988977674,35.2867848873721,41,1.43,0.01
45,6.06,2191,0.336465100673959,0.26,8.2,2199,0.269946971145691,0.61,0.135803894661367,86.3249512652401,0.869032474024454,0.977413118967786,6.96,483.95440426087,29.4687993031344,43,1.43,0.01
46,6.06,2191,0.288130721868947,0.26,8.2,2199,0.212585531017976,0.61,0.157006898485124,91.7852654105518,0.858860134020681,0.980157993642613,6.96,483.395171935577,29.4048680041684,53,1.43,0.01
