Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,6.06,2191,0.631825639680028,0.26,8.2,2199,0.614888009870891,0.61,0.292617081403732,5.72853640839458,0.854572282626527,0.989023846570635,6.96,476.261328162532,20.9137909269775,38,1.43,0.01
2,6.06,2191,0.659786156956106,0.26,8.2,2199,0.728085464820731,0.61,0.324265677891672,14.2967063160613,0.863144794439198,0.993140867805341,6.96,495.747502561566,18.8176079153083,29,1.43,0.01
3,6.06,2191,0.688888573814183,0.26,8.2,2199,0.655140724242199,0.61,0.184590148329735,15.8596023051068,0.885713494436117,0.993847537959227,6.96,484.564135906659,22.1619770275895,29,1.43,0.01
4,6.06,2191,0.651212231842801,0.26,8.2,2199,0.682345862197224,0.61,0.18774405259639,1.43280870001763,0.869016821372556,0.995789186946349,6.96,474.489912514016,20.7002175955568,38,1.43,0.01
5,6.06,2191,0.610456703444943,0.26,8.2,2199,0.57627964283945,0.61,0.828686046116054,8.22029233863577,0.93790053367475,0.997562395361485,6.96,444.806836013123,13.3203304109862,23,1.43,0.01
6,6.06,2191,0.663332118662074,0.26,8.2,2199,0.426706147507299,0.61,0.838926361426711,3.74764367425814,0.953936645517591,0.997444918806897,6.96,461.371891262848,14.1557737738476,33,1.43,0.01
7,6.06,2191,0.457143480116501,0.26,8.2,2199,0.600101448334521,0.61,0.709851277992129,98.1312960716896,0.824558676277986,0.989460554505233,6.96,161.431064919289,38.6098862485727,70,1.43,0.01
8,6.06,2191,0.367947289291769,0.26,8.2,2199,0.438067033905303,0.61,0.659609341621399,82.8052010904066,0.816612165953731,0.991295106024947,6.96,228.962014157046,43.6558208705857,72,1.43,0.01
9,6.06,2191,0.545491162305698,0.26,8.2,2199,0.295710988182342,0.61,0.723941508717835,86.55753693101,0.846064604674932,0.98905255452753,6.96,97.2739275383297,9.61867517840583,11,1.43,0.01
10,6.06,2191,0.549213686315343,0.26,8.2,2199,0.346776972830063,0.61,0.708791013769805,83.3199888842646,0.836833205367904,0.996142045944231,6.96,79.0393949627411,12.442417064996,17,1.43,0.01
11,6.06,2191,0.607844533082098,0.26,8.2,2199,0.372148509163177,0.61,0.824910132288933,99.8298592541832,0.832440667138901,0.996969591891626,6.96,158.537548022019,8.40907884377521,20,1.43,0.01
12,6.06,2191,0.446516129989177,0.26,8.2,2199,0.90425080539519,0.61,0.659298788309097,35.9417430895846,0.876200534816831,0.994015014136443,6.96,364.868869399559,32.4685538514983,35,1.43,0.01
13,6.06,2191,0.463339361874387,0.26,8.2,2199,0.918841408461798,0.61,0.64936180729419,40.7209575620946,0.876539556285367,0.994151584973792,6.96,331.021988378745,37.0005615776638,39,1.43,0.01
14,6.06,2191,0.445290749529377,0.26,8.2,2199,0.859616449743975,0.61,0.623830743283033,34.2983265898656,0.854883665380999,0.994906131576048,6.96,320.776559370942,31.2984241131111,32,1.43,0.01
15,6.06,2191,0.508292651204392,0.26,8.2,2199,0.915651803033892,0.61,0.588709591217339,35.3404419382568,0.849343706196174,0.990893995964201,6.96,339.537933530659,32.6039612856694,31,1.43,0.01
16,6.06,2191,0.516046442883089,0.26,8.2,2199,0.871477689862717,0.61,0.583928185068071,30.962507270975,0.858876218548045,0.993025539719733,6.96,373.540872810781,29.9256307146279,38,1.43,0.01
17,6.06,2191,0.613450027639046,0.26,8.2,2199,0.166785430830205,0.61,0.550486198477447,76.0312287684064,0.936067443355452,0.993571406147909,6.96,22.5837399210781,40.1450482509332,28,1.43,0.01
18,6.06,2191,0.649327510427684,0.26,8.2,2199,0.251047899728874,0.61,0.599591621793807,77.5401324441191,0.945822775825393,0.99667791293608,6.96,60.8654256878421,40.9765509887948,37,1.43,0.01
19,6.06,2191,0.54128626331687,0.26,8.2,2199,0.305784850070486,0.61,0.474545587748289,75.1594916486647,0.935811988390516,0.998803169914987,6.96,16.8844447579235,36.8654917717911,30,1.43,0.01
20,6.06,2191,0.62376506961882106,0.26,8.2,2199,0.295587216612184,0.61,0.602493132688105,88.7622994638514,0.917318636174779,0.99785352526838,6.96,31.3029703824781,41.5150045331917,35,1.43,0.01
