Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,6,0.26000000000000006,2,3,6,93,25,8,1.8000000000000012,1.8500000000000014,1.2300000000000009,3.229999999999975,6,3,4,7,9,4,4,9,6,0,20,7,H,0.20000000000000007,0.46250000000000024,0.3075000000000001,0.35888888888888903
1,1,2,0,9,0.3000000000000001,2,4,24,44,72,13,2.2000000000000015,2.389999999999993,0.04,0.10999999999999999,3,5,1,1,5,6,1,1,4,0,21,7,H,0.4400000000000003,0.39833333333333354,0.04,0.10999999999999999
1,2,3,0,7,0.2800000000000001,2,5,116,34,114,19,4.079999999999963,0.09999999999999999,0.3200000000000001,0.04,10,1,1,1,17,1,1,1,6,0,15,7,H,0.2400000000000001,0.09999999999999999,0.3200000000000001,0.04
1,2,4,0,5,0.2800000000000001,2,3,100,11,84,82,5.599999999999931,1.1300000000000008,0.11999999999999998,0.05,9,2,2,1,13,2,2,1,5,0,14,7,H,0.4307692307692309,0.5650000000000004,0.06,0.05
1,3,5,0,9,0.34000000000000014,2,3,64,107,72,106,2.1700000000000017,2.4599999999999915,0.7400000000000004,0.04,7,7,3,1,9,8,3,1,4,0,12,7,H,0.2411111111111112,0.3075000000000001,0.24666666666666676,0.04
1,3,6,0,2,0.3300000000000001,5,5,109,113,88,91,4.479999999999956,8.539999999999862,0.01,1.0400000000000007,14,14,1,4,18,27,1,4,4,0,10,7,H,0.248888888888889,0.31629629629629646,0.01,0.26000000000000006
1,4,7,0,9,0.34000000000000014,2,3,30,35,67,36,3.309999999999981,0.7200000000000004,0.4400000000000002,1.420000000000001,6,2,2,3,14,2,2,3,4,0.5,19,7,H,0.23642857142857152,0.36000000000000015,0.22000000000000008,0.47333333333333355
1,4,8,0,10,0.48000000000000026,5,6,85,91,97,87,2.350000000000002,0.48000000000000026,3.3599999999999723,0.01,9,1,5,1,12,1,9,1,3,0.5,11,7,H,0.19583333333333341,0.48000000000000026,0.3733333333333335,0.01
1,5,9,0,9,0.37000000000000016,2,3,62,71,13,69,2.4999999999999987,2.8899999999999824,2.209999999999997,0.01,9,5,6,1,12,10,11,1,4,0.5,18,7,H,0.2083333333333334,0.28900000000000015,0.20090909090909098,0.01
1,5,10,0,2,0.48000000000000026,9,9,1,7,86,49,8.879999999999866,2.869999999999983,0.01,0.01,20,6,1,1,27,10,1,1,4,0,19,7,H,0.328888888888889,0.28700000000000014,0.01,0.01
1,6,11,0,7,0.24000000000000007,2,3,98,19,50,15,4.66999999999995,0.04,0.09,0.03,12,1,1,1,18,1,1,1,6,0,18,7,H,0.25944444444444453,0.04,0.09,0.03
1,6,12,0,9,0.13999999999999999,1,2,81,6,73,72,2.9399999999999844,0.48000000000000026,0.49000000000000027,0.05,6,2,2,1,9,2,2,1,4,0,16,7,H,0.3266666666666668,0.24000000000000005,0.24500000000000008,0.05
1,7,13,1,13,0.5000000000000002,2,4,83,111,57,51,2.6599999999999984,0.38000000000000017,0.8500000000000005,0.38000000000000017,6,1,2,1,12,1,2,1,2,0,13,7,H,0.22166666666666673,0.38000000000000017,0.4250000000000002,0.38000000000000017
1,7,14,1,14,0.7800000000000005,15,16,86,67,93,46,2.490000000000002,1.320000000000001,0.9100000000000006,0.18000000000000002,20,3,3,1,25,3,4,1,3,0,15,7,H,0.09960000000000002,0.44000000000000017,0.2275000000000001,0.18000000000000002
1,8,15,1,15,0.37000000000000016,2,5,23,22,13,87,1.520000000000001,1.6800000000000013,2.869999999999983,0.26000000000000006,4,5,5,2,7,8,5,2,6,0.5,21,7,H,0.21714285714285725,0.21000000000000005,0.5740000000000004,0.13000000000000003
