Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,9,1.480000000000001,2,19,61,63,11,37,5.869999999999952,0.22000000000000006,3.93999999999996,0.3100000000000001,15,1,13,2,60,1,39,2,4,0,19,7,HL,0.09783333333333334,0.22000000000000006,0.10102564102564104,0.15500000000000003
1,1,2,0,3,1.1700000000000008,3,10,25,26,55,34,5.259999999999958,0.7200000000000004,0.16,0.6500000000000004,15,6,1,4,48,9,1,8,5,0.5,19,7,HL,0.10958333333333334,0.08,0.16,0.08125
1,2,3,0,4,1.480000000000001,3,21,104,57,105,97,6.069999999999948,0.6800000000000004,0.8100000000000005,0.24000000000000007,11,3,5,3,70,7,11,4,2,0.5,10,7,HL,0.08671428571428572,0.09714285714285714,0.07363636363636364,0.06
1,2,4,0,1,1.8400000000000014,2,23,61,81,74,67,7.659999999999922,0.38000000000000017,0.09,2.809999999999984,17,5,1,13,63,7,1,24,3,0,14,7,HL,0.12158730158730162,0.054285714285714284,0.09,0.11708333333333334
1,3,5,0,6,1.370000000000001,10,15,59,3,58,5,5.509999999999957,2.479999999999991,0.20000000000000004,0.46000000000000024,20,11,2,3,56,26,2,4,6,0,20,7,HL,0.09839285714285716,0.0953846153846154,0.1,0.11500000000000003
1,3,6,0,7,0.6600000000000004,11,13,16,48,20,47,6.099999999999929,0.9200000000000006,0.17,0.17,20,5,2,1,62,11,4,1,6,0,22,7,HL,0.09838709677419356,0.08363636363636363,0.0425,0.17
1,4,7,0,3,1.0400000000000007,2,12,84,83,29,17,6.719999999999924,0.5500000000000003,0.22000000000000006,0.7100000000000004,16,4,2,3,68,7,2,5,5,0,17,7,HL,0.09882352941176471,0.07857142857142857,0.10999999999999999,0.14200000000000002
1,4,8,0,2,1.1800000000000008,4,8,56,52,90,41,5.14999999999996,2.249999999999996,1.1400000000000008,0.7100000000000004,16,7,5,4,40,11,11,7,4,0,16,7,HL,0.12875000000000003,0.2045454545454546,0.10363636363636365,0.10142857142857144
1,5,9,0,8,1.8600000000000014,3,19,109,90,43,37,7.26999999999993,1.1400000000000008,0.2700000000000001,0.18000000000000002,15,5,3,2,68,6,3,3,2,0,15,7,HL,0.10691176470588236,0.19000000000000006,0.09,0.060000000000000005
1,5,10,0,4,1.8200000000000014,20,32,100,73,97,108,5.2499999999999725,1.460000000000001,0.20000000000000004,0.16,20,6,3,2,75,12,4,2,2,0.5,9,7,HL,0.07,0.12166666666666669,0.05,0.08
