Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,6.06,2191,0.546833121264353,0.26,8.2,2199,0.973643691536272,0.61,0.644864460155368,31.3906961167231,0.865492488438962,0.991033750672359,6.96,214.09715549075,52.5448202927946,22,1.43,0.01
2,6.06,2191,0.460007156496868,0.26,8.2,2199,0.895266199229518,0.61,0.720536658205092,27.6065834611654,0.875631820694311,0.992989564121235,6.96,276.551968952501,47.3200506960624,21,1.43,0.01
3,6.06,2191,0.487088599549606,0.26,8.2,2199,0.942249255791539,0.61,0.770693453401327,30.5021600006148,0.858498173276661,0.990266401127446,6.96,189.970662414888,46.5774823697633,21,1.43,0.01
4,6.06,2191,0.496273827366531,0.26,8.2,2199,0.866217872478301,0.61,0.736081364825368,30.2723496686667,0.848213380812434,0.991992633736227,6.96,262.06000024532,50.417211653199,29,1.43,0.01
5,6.06,2191,0.391613660342991,0.26,8.2,2199,0.533288235089742,0.61,0.320156596414745,47.2829291503876,0.816393377253553,0.998908779300284,6.96,259.717119739158,13.8895725758513,42,1.43,0.01
6,6.06,2191,0.527978102639318,0.26,8.2,2199,0.579545345294522,0.61,0.217967820130289,27.0901290194597,0.839589449340245,0.986919080630876,6.96,242.733718619356,14.3865606214618,29,1.43,0.01
7,6.06,2191,0.520219131531194,0.26,8.2,2199,0.544381919826614,0.61,0.272739182449877,37.6948003431316,0.827312074746704,0.983627525988966,6.96,236.616065937234,15.4638944464619,27,1.43,0.01
8,6.06,2191,0.494418888892978,0.26,8.2,2199,0.57398107680236,0.61,0.180719734653831,40.2887252166402,0.835498010754352,0.998656215515919,6.96,165.803588956268,15.4176156068803,24,1.43,0.01
9,6.06,2191,0.524069384345785,0.26,8.2,2199,0.66486055375752,0.61,0.295087197348475,33.9428261581343,0.834770176984137,0.986096261541359,6.96,167.393401532574,16.829482606228,26,1.43,0.01
10,6.06,2191,0.474221153808758,0.26,8.2,2199,0.695185005895095,0.61,0.225898142158985,26.0985753366258,0.827142154514557,0.997785889568739,6.96,227.263602364948,15.5405653995345,20,1.43,0.01
