Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,7,0.5800000000000003,2,3,25,13,63,16,2.490000000000002,4.489999999999949,0.5200000000000002,0.6800000000000004,5,10,4,3,8,22,7,3,6,0,21,7,Hc,0.31125000000000014,0.20409090909090916,0.07428571428571429,0.22666666666666677
1,1,2,0,6,0.6200000000000003,2,3,12,74,97,48,2.520000000000002,1.380000000000001,0.9000000000000006,0.19000000000000003,5,3,3,1,13,7,5,1,6,0,16,7,Hc,0.1938461538461539,0.1971428571428572,0.18000000000000005,0.19000000000000003
1,2,3,0,8,0.8900000000000006,2,5,82,119,109,10,3.7999999999999825,0.19000000000000003,0.17,0.5400000000000003,5,1,1,2,24,1,1,4,2,0,13,7,Hc,0.15833333333333335,0.19000000000000003,0.17,0.135
1,2,4,0,4,1.0000000000000007,10,13,46,14,97,22,6.159999999999935,0.49000000000000027,0.24000000000000007,0.4100000000000002,16,3,3,2,39,3,4,2,2,0,19,7,Hc,0.157948717948718,0.16333333333333339,0.06,0.2050000000000001
1,3,5,0,3,0.5700000000000003,2,5,25,110,31,6,1.9500000000000013,1.350000000000001,0.5400000000000003,0.25000000000000006,5,2,3,2,9,6,3,3,5,0,18,7,Hc,0.21666666666666673,0.22500000000000006,0.18000000000000005,0.08333333333333334
1,3,6,0,5,0.48000000000000026,2,5,38,46,98,45,2.410000000000002,0.47000000000000025,0.7200000000000004,0.12999999999999998,7,3,3,2,16,4,4,3,5,0.5,17,7,Hc,0.15062500000000004,0.11750000000000002,0.18000000000000008,0.043333333333333335
1,4,7,0,9,0.7700000000000005,6,8,62,3,113,9,2.2800000000000016,3.4399999999999706,0.5000000000000002,0.20000000000000004,9,8,1,3,16,14,1,3,4,0,18,7,Hc,0.14250000000000004,0.24571428571428583,0.5000000000000002,0.06666666666666667
1,4,8,0,5,1.310000000000001,2,9,37,88,99,100,5.259999999999961,1.5100000000000011,0.08,0.02,11,3,1,1,28,3,1,1,5,0,12,7,Hc,0.18785714285714292,0.5033333333333336,0.08,0.02
1,5,9,0,2,0.5800000000000003,2,8,56,75,104,55,2.620000000000001,1.6000000000000012,1.6300000000000012,0.2900000000000001,5,5,3,4,16,14,3,4,4,0,13,7,Hc,0.16375000000000006,0.1142857142857143,0.5433333333333337,0.0725
1,5,10,0,10,1.2200000000000009,3,8,66,114,61,94,2.4600000000000017,1.330000000000001,0.22000000000000006,0.18000000000000002,5,5,1,1,14,11,1,1,3,0,13,7,Hc,0.17571428571428577,0.12090909090909091,0.22000000000000006,0.18000000000000002
1,6,11,0,5,1.300000000000001,2,7,18,40,47,20,4.129999999999985,0.19000000000000003,1.0400000000000007,0.09,7,1,3,1,24,1,5,1,5,0,22,7,Hc,0.17208333333333337,0.19000000000000003,0.20800000000000007,0.09
1,6,12,0,8,0.8200000000000005,3,8,64,117,66,73,2.9999999999999982,0.2900000000000001,0.2900000000000001,0.7100000000000004,8,1,2,3,25,1,3,3,2,0,13,7,Hc,0.12000000000000002,0.2900000000000001,0.09666666666666666,0.23666666666666675
1,7,13,1,8,1.1000000000000008,3,9,112,92,91,95,2.740000000000002,0.3200000000000001,0.5200000000000002,0.4000000000000002,5,2,2,2,12,2,3,2,2,0.5,11,7,Hc,0.22833333333333342,0.16000000000000003,0.17333333333333337,0.20000000000000004
1,7,14,1,5,0.9100000000000006,2,6,43,16,68,63,3.4999999999999893,0.5800000000000003,0.5400000000000003,0.15,6,2,2,1,24,5,2,1,5,0,19,7,Hc,0.14583333333333337,0.11600000000000002,0.2700000000000001,0.15
1,8,15,1,9,0.8900000000000006,2,6,67,24,80,18,2.700000000000002,1.5500000000000012,0.19000000000000003,0.11999999999999998,6,4,1,1,16,8,1,1,4,0,19,7,Hc,0.16875000000000004,0.19375000000000006,0.19000000000000003,0.11999999999999998
1,8,16,1,4,0.5600000000000003,2,5,100,60,11,55,2.530000000000002,0.8300000000000005,1.1800000000000008,0.08,5,3,2,1,19,3,3,1,2,0,16,7,Hc,0.13315789473684214,0.2766666666666667,0.39333333333333353,0.08
1,9,17,1,7,0.9400000000000006,13,18,24,23,50,53,2.2400000000000015,0.7200000000000004,4.209999999999955,0.19000000000000003,17,4,10,3,24,5,21,3,6,0,20,7,Hc,0.09333333333333335,0.14400000000000002,0.20047619047619053,0.06333333333333334
1,9,18,1,9,0.5300000000000002,2,5,1,67,108,61,2.929999999999993,0.9100000000000006,0.11999999999999998,0.25000000000000006,7,4,1,2,16,4,1,3,4,0,16,7,Hc,0.18312500000000007,0.22750000000000006,0.11999999999999998,0.08333333333333334
