Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,6.06,2191,0.518579934136942,0.26,8.2,2199,0.305125152165769,0.61,0.478008992001414,16.8371393759735,0.822098269773414,0.997573853952345,6.96,392.755199013045,21.3039468794246,45,1.43,0.01
2,6.06,2191,0.528903281157836,0.26,8.2,2199,0.157884168750374,0.61,0.408878247179091,13.4441548534669,0.809253293018555,0.991399322475772,6.96,476.858139146818,18.1898166646017,50,1.43,0.01
3,6.06,2191,0.625484008444473,0.26,8.2,2199,0.327940162443323,0.61,0.406491680815816,8.91605087043718,0.830444405091694,0.992857416470069,6.96,432.372058446286,21.7019973845803,56,1.43,0.01
4,6.06,2191,0.619500260055065,0.26,8.2,2199,0.335747835631249,0.61,0.472462936341763,1.32387755392119,0.833327785975998,0.98966506523313,6.96,435.410984053044,19.4546184713952,47,1.43,0.01
5,6.06,2191,0.395241412939504,0.26,8.2,2199,0.546410643268377,0.61,0.561898985765874,2.1316064237617,0.824478297148366,0.990721719693625,6.96,454.688243799936,29.9195315567777,30,1.43,0.01
6,6.06,2191,0.380234956108034,0.26,8.2,2199,0.639517096016556,0.61,0.644070335105062,7.01674450142309,0.823798708765302,0.992918630712898,6.96,453.166257483046,37.704366428277,39,1.43,0.01
7,6.06,2191,0.455776442475617,0.26,8.2,2199,0.593878371041268,0.61,0.700673811249435,9.53009031666443,0.830319305917714,0.992521527963923,6.96,454.946011705883,37.8104220247595,34,1.43,0.01
8,6.06,2191,0.198050294881687,0.26,8.2,2199,0.994343884340953,0.61,0.152588710598648,99.8784096378367,0.907226041537244,0.992027859328082,6.96,83.3137409089133,49.843689413229,22,1.43,0.01
9,6.06,2191,0.260190039360896,0.26,8.2,2199,0.976884393957909,0.61,0.234201336577535,92.8158962985035,0.90859029917093,0.996930558671011,6.96,129.197713928111,51.9164643964381,29,1.43,0.01
10,6.06,2191,0.635898920353502,0.26,8.2,2199,0.932837960628327,0.61,0.579596858024597,31.0076786489226,0.878434078739258,0.997930481423158,6.96,265.660950951464,29.5760911758523,69,1.43,0.01
11,6.06,2191,0.480385121749714,0.26,8.2,2199,0.113812859591097,0.61,0.888485308140516,35.5625228374265,0.833385281284107,0.998314525858499,6.96,350.55611638925,51.8485418865341,75,1.43,0.01
12,6.06,2191,0.479131824271753,0.26,8.2,2199,0.0454149430240504,0.61,0.440291477665305,73.9339564591646,0.912905056613265,0.982617204457289,6.96,370.238329513604,39.6680591098731,2,1.43,0.01
13,6.06,2191,0.483931529931724,0.26,8.2,2199,0.0377097953199409,0.61,0.46557201936841,81.098463203758,0.920591681680409,0.982550807886524,6.96,396.425264822459,40.0651427813573,3,1.43,0.01
14,6.06,2191,0.429800122175366,0.26,8.2,2199,0.145786031903233,0.61,0.447249776646495,86.6767007289454,0.917562567178858,0.991034101404017,6.96,382.28981393124,36.4073525165441,5,1.43,0.01
15,6.06,2191,0.417199930315837,0.26,8.2,2199,0.182779723181855,0.61,0.406045292317867,71.1885904883966,0.926541553043527,0.980920512990793,6.96,382.593632239522,42.813200839248,6,1.43,0.01
16,6.06,2191,0.475697002103552,0.26,8.2,2199,0.0963223985484801,0.61,0.360861091464758,80.1270187078044,0.921471028548432,0.987995481936028,6.96,431.858569761412,41.4335516390856,7,1.43,0.01
17,6.06,2191,0.422790654730052,0.26,8.2,2199,0.0526058659511618,0.61,0.439219406433404,72.516977911815,0.8988565561797,0.990703410676448,6.96,399.308257848164,42.422140553419,8,1.43,0.01
18,6.06,2191,0.445919591281563,0.26,8.2,2199,0.0101595092653297,0.61,0.407556781470776,70.222541549243,0.932822820569156,0.979649216796039,6.96,347.282206618832,40.0179529746412,6,1.43,0.01
19,6.06,2191,0.400044779730961,0.26,8.2,2199,0.0192274197267834,0.61,0.63142805442214,35.655749335885,0.879073872739915,0.990394251697464,6.96,483.433772078995,27.911164013145,12,1.43,0.01
20,6.06,2191,0.430978930769488,0.26,8.2,2199,0.0228346602322999,0.61,0.663361042179167,36.6436093607917,0.900605367158074,0.996185362866847,6.96,442.293898838386,27.5186605440103,5,1.43,0.01
21,6.06,2191,0.469675600780174,0.26,8.2,2199,0.0176049442759249,0.61,0.599711527824402,45.474845555611,0.885521727927495,0.992788889973191,6.96,411.770560819469,29.9378165351111,2,1.43,0.01
22,6.06,2191,0.369295920720324,0.26,8.2,2199,0.211823072168743,0.61,0.425862706527114,62.1050308768172,0.886926591077587,0.989165018726839,6.96,470.906301202066,53.5641894490458,5,1.43,0.01
23,6.06,2191,0.315069483164698,0.26,8.2,2199,0.30917597694858,0.61,0.423365039862692,75.4271570204291,0.863788161387434,0.983334551895736,6.96,414.784577003028,52.0004017859697,12,1.43,0.01
24,6.06,2191,0.294264335278422,0.26,8.2,2199,0.241119416873669,0.61,0.381834043748677,61.4470322460402,0.878839458383387,0.987216133731184,6.96,407.509664586093,49.1562684703036,2,1.43,0.01
25,6.06,2191,0.541195471072569,0.26,8.2,2199,0.164067070502788,0.61,0.340962950773537,8.59357409505174,0.973669522573939,0.937498653786024,6.96,66.3939533059485,33.9747619951144,8,1.43,0.01
26,6.06,2191,0.514073137436062,0.26,8.2,2199,0.208877449985594,0.61,0.394733794853091,3.81308207148686,0.954263241786277,0.925723130916012,6.96,121.648243944906,38.3599883367191,3,1.43,0.01
27,6.06,2191,0.615366333350539,0.26,8.2,2199,0.427449083341751,0.61,0.524050676561892,97.6108138901182,0.891670287978835,0.984728660951136,6.96,118.683322291682,20.9007099173497,29,1.43,0.01
28,6.06,2191,0.64515573929064,0.26,8.2,2199,0.381386236347724,0.61,0.546073522381485,93.2924567055888,0.910889517907985,0.9806694719519,6.96,115.056331581762,23.9142999343225,27,1.43,0.01
29,6.06,2191,0.682653345894068,0.26,8.2,2199,0.531962183643598,0.61,0.417698887251317,95.5361128863879,0.887370744842105,0.985502254725201,6.96,92.8152925459202,21.7609100616653,20,1.43,0.01
