Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,10,0.5200000000000002,2,4,87,15,85,86,9.729999999999848,1.9600000000000015,2.389999999999993,0.5500000000000003,14,3,6,3,25,6,7,3,3,0.5,24,7,L,0.3892000000000002,0.3266666666666668,0.3414285714285716,0.18333333333333335
1,1,2,0,2,0.5300000000000002,2,4,25,79,2,97,13.059999999999778,0.6800000000000004,0.5000000000000002,1.2100000000000009,15,1,1,2,29,1,1,2,4,0,16,7,L,0.45034482758620714,0.6800000000000004,0.5000000000000002,0.6050000000000003
1,2,3,0,10,0.36000000000000015,2,3,85,45,104,94,4.7799999999999505,5.329999999999931,5.0599999999999365,4.089999999999957,8,5,6,6,13,6,8,10,3,0,13,7,L,0.36769230769230793,0.888333333333334,0.6325000000000004,0.4090000000000002
1,2,4,0,7,0.5900000000000003,2,3,14,80,21,15,9.279999999999859,1.9400000000000015,0.34000000000000014,10.54999999999982,12,6,1,11,20,6,1,25,6,0.5,39,7,L,0.46400000000000025,0.3233333333333335,0.34000000000000014,0.4220000000000002
1,3,5,0,8,0.4300000000000002,2,3,19,36,91,118,11.349999999999811,1.490000000000001,0.8500000000000005,0.4300000000000002,14,3,3,4,31,5,3,5,2,0,16,7,L,0.3661290322580647,0.29800000000000015,0.28333333333333344,0.086
1,3,6,0,2,0.35000000000000014,2,3,49,3,39,51,6.809999999999907,6.509999999999906,1.9200000000000015,0.07,11,9,5,1,16,22,6,1,4,0,19,7,L,0.4256250000000002,0.29590909090909107,0.3200000000000001,0.07
1,4,7,0,7,1.8200000000000014,3,8,14,16,59,19,7.119999999999933,5.739999999999922,1.5300000000000011,0.37000000000000016,7,8,2,1,14,12,3,1,6,0.5,40,7,L,0.5085714285714289,0.4783333333333336,0.5100000000000002,0.37000000000000016
1,4,8,0,10,0.5100000000000002,2,5,86,9,93,92,8.869999999999866,2.259999999999996,0.5700000000000003,0.3200000000000001,10,4,2,1,22,4,2,1,3,0.5,24,7,L,0.4031818181818184,0.5650000000000004,0.2850000000000001,0.3200000000000001
1,5,9,0,4,0.7300000000000004,2,3,105,1,102,77,21.70000000000048,0.3000000000000001,2.0400000000000005,0.060000000000000005,19,2,4,1,39,2,4,1,2,0,13,7,L,0.5564102564102561,0.15,0.5100000000000003,0.060000000000000005
1,5,10,0,7,1.290000000000001,4,7,110,94,33,22,10.799999999999843,3.429999999999971,1.310000000000001,0.3300000000000001,15,6,2,2,30,7,2,3,6,0,16,7,L,0.3600000000000002,0.49000000000000027,0.6550000000000004,0.11000000000000003
1,6,11,0,3,0.2900000000000001,3,4,28,36,101,97,2.6499999999999937,5.569999999999926,2.1199999999999988,3.419999999999971,6,9,4,4,9,11,6,6,5,0,14,7,L,0.2944444444444446,0.5063636363636367,0.3533333333333335,0.5699999999999981
1,6,12,0,2,0.3300000000000001,2,3,57,58,50,120,5.559999999999933,1.0600000000000007,0.6400000000000003,6.989999999999895,6,2,1,9,9,3,1,13,4,0.5,26,7,L,0.6177777777777771,0.3533333333333335,0.6400000000000003,0.537692307692308
1,7,13,1,13,0.4000000000000002,2,3,96,119,116,111,13.369999999999768,1.310000000000001,2.0000000000000013,0.09999999999999999,15,2,4,1,35,2,6,1,2,0.5,15,7,L,0.3820000000000002,0.6550000000000004,0.3333333333333335,0.09999999999999999
1,7,14,1,1,1.6200000000000012,4,7,75,105,62,61,12.259999999999819,0.18000000000000002,0.7400000000000004,1.2100000000000009,15,1,2,3,28,1,2,6,3,0,13,7,L,0.43785714285714306,0.18000000000000002,0.37000000000000016,0.20166666666666674
1,8,15,1,15,7.869999999999877,10,20,51,58,76,106,14.389999999999782,2.6599999999999873,0.4100000000000002,0.2800000000000001,17,5,2,1,35,5,3,1,6,0,13,7,L,0.41114285714285737,0.5320000000000004,0.1366666666666667,0.2800000000000001
1,8,16,1,7,0.17,2,2,3,4,120,88,10.749999999999819,2.349999999999994,1.7200000000000013,1.6500000000000012,14,5,4,4,26,7,5,4,6,0,17,7,L,0.41346153846153866,0.33571428571428585,0.34400000000000014,0.4125000000000002
1,9,17,1,8,0.2700000000000001,2,3,99,103,78,77,8.119999999999877,0.5200000000000002,3.559999999999968,2.3099999999999947,11,2,8,4,16,2,10,5,2,0,10,7,L,0.5075000000000003,0.26000000000000006,0.3560000000000002,0.46200000000000024
1,9,18,1,11,0.4000000000000002,2,5,70,63,116,64,11.799999999999802,0.21000000000000005,4.369999999999951,0.47000000000000025,16,1,8,2,35,1,10,2,4,0.5,26,7,L,0.3371428571428573,0.21000000000000005,0.4370000000000002,0.2350000000000001
1,10,19,1,2,0.5000000000000002,2,4,81,6,57,51,7.339999999999899,4.88999999999994,0.6200000000000003,0.5100000000000002,12,10,2,3,20,12,2,3,4,0,17,7,L,0.36700000000000016,0.4075000000000002,0.3100000000000001,0.17000000000000004
1,10,20,1,15,0.34000000000000014,2,3,13,22,15,18,13.159999999999771,0.6000000000000003,0.15,2.5099999999999905,16,4,1,8,30,5,1,9,6,1,72,7,L,0.4386666666666669,0.12,0.15,0.278888888888889
1,11,21,1,12,0.21000000000000005,1,2,42,45,39,38,5.249999999999937,8.789999999999857,0.13999999999999999,0.13999999999999999,7,12,2,2,12,19,2,2,5,1,60,7,L,0.4375000000000002,0.46263157894736867,0.06999999999999999,0.06999999999999999
1,11,22,1,3,0.37000000000000016,2,3,28,60,96,33,11.009999999999819,2.679999999999987,2.669999999999987,2.8399999999999834,13,5,3,6,22,6,5,8,5,0,17,7,L,0.5004545454545452,0.4466666666666669,0.5340000000000004,0.3549999999999998
1,12,23,1,3,0.7600000000000005,2,7,32,60,54,30,6.029999999999933,1.460000000000001,1.460000000000001,1.9100000000000015,10,3,4,3,18,3,6,3,5,0,18,7,L,0.3350000000000002,0.4866666666666669,0.2433333333333334,0.636666666666667
1,12,24,1,8,0.20000000000000004,2,3,24,21,48,107,21.920000000000595,1.9000000000000015,1.2200000000000009,2.010000000000001,20,3,1,4,57,3,1,5,2,0,19,7,L,0.3845614035087721,0.6333333333333337,1.2200000000000009,0.4020000000000002
1,13,25,1,7,2.9199999999999817,4,6,31,3,11,32,10.679999999999861,0.6800000000000004,3.619999999999967,1.2400000000000009,14,1,5,4,26,1,13,5,6,0,22,7,L,0.410769230769231,0.6800000000000004,0.2784615384615386,0.24800000000000005
1,13,26,1,11,0.5800000000000003,3,6,63,48,75,18,8.979999999999865,4.069999999999958,0.9200000000000006,0.8500000000000005,14,7,2,2,29,11,2,2,4,0,18,7,L,0.30965517241379326,0.37000000000000016,0.4600000000000002,0.4250000000000002
1,14,27,1,1,0.45000000000000023,2,4,28,100,32,83,6.419999999999917,1.9900000000000015,0.9700000000000006,0.8600000000000005,10,3,2,3,15,5,2,4,3,0,15,7,L,0.4280000000000002,0.3980000000000002,0.4850000000000002,0.21500000000000008
1,14,28,1,12,0.36000000000000015,2,3,38,43,37,14,5.789999999999929,9.57999999999984,0.10999999999999999,0.20000000000000004,10,11,1,1,15,19,1,1,5,0.5,36,7,L,0.3860000000000002,0.5042105263157898,0.10999999999999999,0.20000000000000004
1,15,29,1,12,0.38000000000000017,2,3,41,45,37,60,9.659999999999847,2.899999999999982,4.599999999999946,4.529999999999948,12,7,8,9,18,8,12,11,5,0.5,34,7,L,0.5366666666666658,0.36250000000000016,0.3833333333333335,0.411818181818182
1,15,30,1,7,0.38000000000000017,2,3,101,4,108,2,5.959999999999925,1.8300000000000014,0.5800000000000003,17.65999999999996,8,3,1,16,12,3,1,46,6,0,16,7,L,0.4966666666666669,0.6100000000000003,0.5800000000000003,0.38391304347826105
1,16,31,1,12,0.6400000000000003,2,6,39,37,8,2,5.5399999999999405,4.769999999999943,2.9799999999999804,0.4300000000000002,6,7,5,1,11,8,5,1,5,0,22,7,L,0.503636363636364,0.5962500000000004,0.5960000000000003,0.4300000000000002
1,16,32,1,15,0.36000000000000015,2,3,24,101,106,17,8.569999999999869,1.280000000000001,2.6599999999999873,2.8799999999999826,14,5,6,6,18,9,8,8,6,0,16,7,L,0.4761111111111114,0.14222222222222225,0.33250000000000013,0.3600000000000002
1,17,33,1,15,0.5800000000000003,2,4,19,17,59,58,9.509999999999854,1.0800000000000007,0.8600000000000005,0.7300000000000004,12,4,2,2,26,5,3,2,6,0,20,7,L,0.36576923076923096,0.21600000000000008,0.28666666666666674,0.36500000000000016
1,17,34,1,3,0.3200000000000001,2,3,32,30,8,1,7.079999999999901,3.889999999999961,0.5400000000000003,1.8500000000000014,11,5,2,3,20,6,3,3,5,0,22,7,L,0.35400000000000015,0.6483333333333318,0.18000000000000005,0.616666666666667
1,18,35,1,2,0.6500000000000004,2,9,59,53,51,54,8.309999999999881,1.0500000000000007,4.519999999999948,0.15,16,2,9,1,31,2,16,1,4,1,48,7,L,0.26806451612903237,0.5250000000000002,0.2825000000000001,0.15
1,18,36,1,3,0.4000000000000002,2,6,29,68,26,35,8.979999999999862,2.5099999999999905,1.8300000000000014,0.35000000000000014,12,5,4,2,25,6,4,2,5,0.5,34,7,L,0.3592000000000002,0.41833333333333356,0.45750000000000024,0.17500000000000004
1,19,37,1,13,0.3100000000000001,2,3,76,83,80,67,8.07999999999988,2.6399999999999877,2.020000000000001,0.26000000000000006,10,6,4,1,28,7,5,1,2,0.5,22,7,L,0.2885714285714287,0.37714285714285734,0.4040000000000002,0.26000000000000006
1,19,38,1,2,0.5700000000000003,2,4,54,10,31,4,7.949999999999887,1.8900000000000015,1.8600000000000014,0.6000000000000003,9,3,5,2,18,8,6,2,4,0,21,7,L,0.44166666666666693,0.2362500000000001,0.3100000000000001,0.3000000000000001
2,1,1,0,7,0.35000000000000014,2,3,16,103,20,55,3.119999999999985,2.9699999999999807,0.05,0.09999999999999999,6,4,1,1,8,5,1,1,6,0,18,7,L,0.39000000000000024,0.5940000000000003,0.05,0.09999999999999999
2,1,2,0,8,0.34000000000000014,2,3,41,110,93,6,3.9999999999999662,0.24000000000000007,0.5800000000000003,0.4000000000000002,5,2,2,2,9,2,2,2,2,0,16,7,L,0.4444444444444447,0.12,0.2900000000000001,0.20000000000000007
2,2,3,0,10,0.5000000000000002,3,5,117,120,10,109,2.530000000000001,3.00999999999998,0.19000000000000003,0.24000000000000007,7,5,1,2,9,8,1,2,3,0.5,18,7,L,0.28111111111111126,0.3762500000000002,0.19000000000000003,0.12000000000000001
2,2,4,0,9,0.17,1,2,62,66,16,83,4.239999999999958,0.2800000000000001,0.5800000000000003,0.9600000000000006,6,2,1,2,8,2,1,3,4,0,17,7,L,0.5300000000000004,0.13999999999999999,0.5800000000000003,0.3200000000000001
2,3,5,0,2,0.2900000000000001,2,3,7,58,51,80,3.6799999999999717,0.7000000000000004,2.249999999999996,0.09999999999999999,6,3,4,1,8,4,6,1,4,0,17,7,L,0.46000000000000024,0.17500000000000002,0.3750000000000002,0.09999999999999999
2,3,6,0,10,0.3100000000000001,2,3,70,89,30,69,2.939999999999988,1.1500000000000008,1.0100000000000007,0.3000000000000001,3,3,2,1,5,5,2,1,3,0,16,7,L,0.5880000000000002,0.23000000000000007,0.5050000000000002,0.3000000000000001
2,4,7,0,2,0.3000000000000001,2,3,55,29,20,13,2.459999999999998,1.5400000000000011,0.5500000000000003,0.25000000000000006,5,1,2,1,7,1,2,1,4,0,21,7,L,0.3514285714285716,1.5400000000000011,0.2750000000000001,0.25000000000000006
