Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,4,0.5700000000000003,2,3,97,103,101,72,3.5199999999999814,0.9000000000000006,0.47000000000000025,2.8899999999999824,4,2,1,3,9,5,1,8,2,0.5,16,7,LH,0.3911111111111113,0.18000000000000005,0.47000000000000025,0.3612500000000002
1,1,2,0,1,0.5200000000000002,2,4,81,78,74,109,4.239999999999965,0.4100000000000002,0.8500000000000005,1.330000000000001,4,2,2,2,13,3,2,5,3,0.5,20,7,LH,0.3261538461538463,0.13666666666666671,0.42500000000000016,0.26600000000000007
1,2,3,0,4,0.7600000000000005,2,5,106,98,105,13,3.2899999999999903,0.5800000000000003,0.6000000000000003,2.0899999999999994,4,1,1,3,11,1,1,4,2,0.5,18,7,LH,0.2990909090909092,0.5800000000000003,0.6000000000000003,0.5225000000000003
1,2,4,0,8,0.17,2,2,5,25,62,11,21.410000000000522,0.03,0.01,0.02,15,1,1,1,41,1,1,1,2,0,21,7,LH,0.522195121951219,0.03,0.01,0.02
1,3,5,0,8,0.5500000000000003,2,3,28,111,32,25,6.129999999999926,3.1599999999999766,0.5800000000000003,3.1999999999999758,6,4,3,4,12,7,4,7,2,0.5,32,7,LH,0.5108333333333327,0.4514285714285717,0.14500000000000002,0.4571428571428574
1,3,6,0,5,0.7300000000000004,2,5,46,62,100,103,6.079999999999931,0.3000000000000001,0.35000000000000014,0.8400000000000005,7,1,1,3,14,1,1,4,5,0,13,7,LH,0.43428571428571455,0.3000000000000001,0.35000000000000014,0.21000000000000005
1,4,7,0,8,0.5600000000000003,2,5,109,18,34,16,2.3000000000000016,4.109999999999957,3.649999999999966,0.04,4,3,4,1,9,8,4,1,2,0,19,7,LH,0.2555555555555557,0.5137500000000003,0.9125000000000006,0.04
1,4,8,0,5,0.6100000000000003,2,5,3,6,96,56,12.1299999999998,0.07,2.259999999999996,0.04,10,2,5,1,18,2,6,1,5,0,19,7,LH,0.6738888888888874,0.035,0.37666666666666687,0.04
1,5,9,0,2,0.9300000000000006,3,4,33,49,111,89,6.289999999999931,0.2800000000000001,0.18000000000000002,1.6800000000000013,8,1,1,3,14,1,1,4,4,0,14,7,LH,0.4492857142857145,0.2800000000000001,0.18000000000000002,0.4200000000000002
1,5,10,0,1,0.6400000000000003,3,6,74,73,65,84,4.759999999999957,0.49000000000000027,0.9200000000000006,0.6400000000000003,6,2,2,3,14,2,2,4,3,0.5,22,7,LH,0.34000000000000014,0.24500000000000008,0.4600000000000002,0.16000000000000003
1,6,11,0,3,0.7400000000000004,2,5,30,34,57,80,3.9399999999999764,2.4199999999999924,0.2800000000000001,2.6499999999999875,5,3,1,4,12,9,1,6,5,0,17,7,LH,0.32833333333333353,0.268888888888889,0.2800000000000001,0.44166666666666693
1,6,12,0,5,0.7700000000000005,2,5,42,46,97,45,2.620000000000002,0.8300000000000005,2.209999999999997,2.5899999999999888,5,2,2,3,8,3,3,4,5,0.5,32,7,LH,0.3275000000000002,0.2766666666666668,0.7366666666666671,0.6475000000000004
