Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,6.06,2191,0.295813061343506,0.26,8.2,2199,0.381852695852052,0.61,0.174985672309995,54.9197131723631,0.824466442417121,0.99433983850549,6.96,277.13474074686,34.4478579749586,36,1.43,0.01
2,6.06,2191,0.211187606304884,0.26,8.2,2199,0.360521380504128,0.61,0.184086632058024,60.0339706384111,0.845992469878635,0.990317637196509,6.96,248.499087944906,31.0536399685312,35,1.43,0.01
3,6.06,2191,0.662332238694653,0.26,8.2,2199,0.216947251459816,0.61,0.402414264753461,1.63032533763908,0.813366616209969,0.99775797139015,6.96,394.357856767345,33.043164715555,44,1.43,0.01
4,6.06,2191,0.651443159533664,0.26,8.2,2199,0.340464571997756,0.61,0.310827574394643,3.09774828306399,0.837503751488403,0.985473701810464,6.96,449.675561624207,30.3457853847416,39,1.43,0.01
5,6.06,2191,0.122596019729972,0.26,8.2,2199,0.911927345244214,0.61,0.842729927748442,52.5725112487562,0.857698444779962,0.998354822888505,6.96,292.673108506249,19.2771329779527,2,1.43,0.01
6,6.06,2191,0.167654100144282,0.26,8.2,2199,0.900689164910465,0.61,0.876727882176638,35.9817141345702,0.86648326408118,0.987770537452307,6.96,306.190152624389,24.9940963248606,9,1.43,0.01
7,6.06,2191,0.36287312394008,0.26,8.2,2199,0.779651583282277,0.61,0.704197502359748,64.8756211230066,0.938285344485193,0.991067453019787,6.96,262.598769407254,48.9431159432163,3,1.43,0.01
8,6.06,2191,0.388866444332525,0.26,8.2,2199,0.945580133253708,0.61,0.686936687082052,71.914486910915,0.940589332031086,0.993994762648363,6.96,197.563358928077,49.7822918908787,7,1.43,0.01
9,6.06,2191,0.39848549073562,0.26,8.2,2199,0.832976411346346,0.61,0.678361151702702,77.1013755423483,0.91691600584425,0.987457191722933,6.96,262.421028340235,47.9782524125418,2,1.43,0.01
10,6.06,2191,0.403734937580302,0.26,8.2,2199,0.791282504208386,0.61,0.786442763097584,65.5398510654923,0.938584119603038,0.992036394116003,6.96,223.356968093663,47.5849479117431,9,1.43,0.01
11,6.06,2191,0.460775333140045,0.26,8.2,2199,0.575659069466405,0.61,0.745732292979956,15.0854886646848,0.930102830246324,0.985492872910108,6.96,20.8639606762212,47.9687137409346,24,1.43,0.01
12,6.06,2191,0.549534608572722,0.26,8.2,2199,0.514258354437538,0.61,0.755974889397621,16.9088114795741,0.919043218322331,0.995466349811759,6.96,80.7785576720256,50.1951773016131,22,1.43,0.01
13,6.06,2191,0.454892142191529,0.26,8.2,2199,0.597440698604099,0.61,0.864389992132783,21.1868748532142,0.929126818111399,0.984616049022879,6.96,39.4428602758329,47.1433926482801,30,1.43,0.01
14,6.06,2191,0.536651521669701,0.26,8.2,2199,0.468515854981728,0.61,0.797039650902152,20.6217954072636,0.925835460653761,0.985306432421785,6.96,75.8414661533665,54.7217477006023,31,1.43,0.01
15,6.06,2191,0.663339806655422,0.26,8.2,2199,0.284917704160092,0.61,0.434070409983397,97.2937000817619,0.935887399766361,0.98427457415266,6.96,455.925842262479,26.4067270660424,28,1.43,0.01
16,6.06,2191,0.584036125233397,0.26,8.2,2199,0.338047930556117,0.61,0.398701221942902,90.4728295276873,0.940500308958581,0.996127180519979,6.96,445.393565732194,22.6253412199207,18,1.43,0.01
17,6.06,2191,0.646209545210004,0.26,8.2,2199,0.26946111065778,0.61,0.382447548881173,90.4811125802808,0.947298551400891,0.985907419391442,6.96,454.486524560628,20.8590474148165,18,1.43,0.01
18,6.06,2191,0.645113678034395,0.26,8.2,2199,0.305502322506858,0.61,0.429533081836998,94.6384998033755,0.942798188602319,0.99379454622278,6.96,482.963421629882,20.9467249184032,18,1.43,0.01
19,6.06,2191,0.476733467318118,0.26,8.2,2199,0.229481701274635,0.61,0.62149388499558,11.5727104374673,0.925290506525897,0.926298869917402,6.96,318.307541361917,49.8558082053089,4,1.43,0.01
20,6.06,2191,0.409593773148954,0.26,8.2,2199,0.690101750522386,0.61,0.442836548835039,80.1746700417716,0.938771513798274,0.997771204049699,6.96,247.188431126717,45.4356869746465,37,1.43,0.01
21,6.06,2191,0.398551461286843,0.26,8.2,2199,0.534234187613707,0.61,0.34845115698874,78.447242150316,0.92089172182139,0.991868896881118,6.96,208.682224783301,37.5864039853564,36,1.43,0.01
22,6.06,2191,0.333723750039935,0.26,8.2,2199,0.693763029856142,0.61,0.410317190177739,71.396079495782,0.921431995774619,0.998477337342687,6.96,221.684371337947,43.0888486504089,33,1.43,0.01
23,6.06,2191,0.387607785258442,0.26,8.2,2199,0.606392212539446,0.61,0.471347824409604,79.7627897227649,0.924350056354888,0.98935932474769706,6.96,198.836382055841,43.0379715180257,39,1.43,0.01
24,6.06,2191,0.406709607038647,0.26,8.2,2199,0.614178466518875,0.61,0.428345338217914,88.1574833386112,0.930736714364029,0.997575246487744,6.96,263.718829981238,43.8060168202734,40,1.43,0.01
25,6.06,2191,0.413239743979648,0.26,8.2,2199,0.635471789493691,0.61,0.439093612544239,71.6933702204842,0.942177054178901,0.98972083295323,6.96,254.845430655591,41.9496884084074,31,1.43,0.01
