Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,3,0.9700000000000006,2,7,112,16,26,53,4.1399999999999775,1.5300000000000011,0.23000000000000007,1.0100000000000007,8,3,1,6,15,3,1,6,5,0,17,7,Lc,0.27600000000000013,0.5100000000000002,0.23000000000000007,0.16833333333333336
1,1,2,0,4,1.340000000000001,3,6,38,101,98,81,4.84999999999997,0.8300000000000005,0.4400000000000002,0.3000000000000001,9,2,2,1,17,3,2,1,2,0,12,7,Lc,0.2852941176470589,0.2766666666666668,0.2200000000000001,0.3000000000000001
1,2,3,0,3,0.17,2,2,6,57,75,104,20.280000000000346,0.01,0.01,0.01,20,1,1,1,70,1,1,1,5,0,15,7,Lc,0.28971428571428587,0.01,0.01,0.01
1,2,4,0,5,0.5100000000000002,5,5,18,113,118,20,2.7599999999999962,4.139999999999956,1.0000000000000007,5.679999999999923,7,7,3,10,8,8,5,16,5,0,16,7,Lc,0.3450000000000002,0.5175000000000003,0.20000000000000007,0.3550000000000002
1,3,5,0,6,0.7500000000000004,2,3,52,45,108,100,5.499999999999943,2.6399999999999877,0.6500000000000004,0.6500000000000004,9,5,1,1,20,10,1,1,6,0,13,7,Lc,0.2750000000000001,0.2640000000000001,0.6500000000000004,0.6500000000000004
1,3,6,0,9,0.4400000000000002,2,3,72,67,61,116,3.599999999999977,0.47000000000000025,0.2900000000000001,0.4400000000000002,7,2,1,1,13,2,1,1,4,0.5,26,7,Lc,0.27692307692307705,0.2350000000000001,0.2900000000000001,0.4400000000000002
1,4,7,0,1,1.330000000000001,5,10,6,71,66,31,10.509999999999849,0.26000000000000006,0.060000000000000005,0.05,14,1,1,1,45,1,1,1,3,0,19,7,Lc,0.23355555555555566,0.26000000000000006,0.060000000000000005,0.05
1,4,8,0,5,0.8500000000000005,2,5,14,23,115,52,5.8899999999999375,0.6500000000000004,0.25000000000000006,0.7700000000000005,11,2,2,3,19,3,3,5,5,0,18,7,Lc,0.3100000000000001,0.21666666666666673,0.08333333333333333,0.15400000000000003
1,5,9,0,5,0.6100000000000003,3,4,100,43,9,59,4.019999999999971,0.35000000000000014,0.8600000000000005,1.300000000000001,8,1,1,5,15,1,1,6,5,0,17,7,Lc,0.26800000000000007,0.35000000000000014,0.8600000000000005,0.21666666666666676
1,5,10,0,1,0.24000000000000007,2,2,13,73,36,76,13.14999999999977,0.01,0.02,0.01,19,1,1,1,40,1,1,1,3,0,17,7,Lc,0.32875000000000015,0.01,0.02,0.01
1,6,11,0,6,0.5500000000000003,2,3,68,78,84,32,4.439999999999961,1.0900000000000007,0.3300000000000001,0.24000000000000007,7,4,2,2,17,6,2,3,6,0,15,7,Lc,0.2611764705882354,0.18166666666666673,0.165,0.08000000000000002
