Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,3,0.34000000000000014,2,5,32,97,28,94,3.0999999999999854,0.5500000000000003,0.12999999999999998,0.4100000000000002,8,1,1,3,13,1,1,4,5,0,15,7,H,0.23846153846153856,0.5500000000000003,0.12999999999999998,0.10250000000000002
1,1,2,0,8,0.2700000000000001,2,3,21,73,117,114,3.5799999999999734,0.8600000000000005,0.09999999999999999,0.04,6,3,2,1,9,3,2,1,2,0,13,7,H,0.397777777777778,0.2866666666666668,0.05,0.04
1,2,3,0,5,0.3000000000000001,2,3,18,45,104,92,2.3600000000000003,0.4000000000000002,0.5800000000000003,0.4000000000000002,7,2,1,1,10,3,1,1,5,0,16,7,H,0.23600000000000007,0.13333333333333336,0.5800000000000003,0.4000000000000002
1,2,4,0,1,0.22000000000000006,2,3,25,78,113,2,2.849999999999988,0.6800000000000004,0.24000000000000007,0.5900000000000003,5,3,2,4,10,3,2,5,3,0,16,7,H,0.28500000000000014,0.22666666666666674,0.12000000000000002,0.11800000000000004
1,3,5,0,1,0.46000000000000024,4,6,84,82,77,120,3.859999999999972,0.07,0.08,1.2500000000000009,12,1,1,4,18,1,1,5,3,0.5,11,7,H,0.21444444444444452,0.07,0.08,0.2500000000000001
1,3,6,0,9,0.7300000000000004,13,14,61,69,5,108,3.049999999999995,0.4100000000000002,0.6200000000000003,0.3300000000000001,18,2,3,2,23,3,3,2,4,0,16,7,H,0.13260869565217395,0.1366666666666667,0.20666666666666675,0.16500000000000004
1,4,7,0,4,0.24000000000000007,2,3,100,103,31,74,1.620000000000001,2.52999999999999,0.15,0.05,5,6,1,1,7,9,1,1,2,0,12,7,H,0.2314285714285715,0.2811111111111112,0.15,0.05
1,4,8,0,5,0.17,2,3,120,112,17,109,2.939999999999985,1.400000000000001,0.5300000000000002,1.280000000000001,9,4,3,4,11,5,3,5,5,0.5,12,7,H,0.2672727272727274,0.2800000000000001,0.17666666666666675,0.2560000000000001
1,5,9,0,6,0.35000000000000014,2,4,8,5,3,9,3.169999999999984,0.16,24.320000000001002,5.289999999999932,8,1,18,13,13,1,53,20,6,1,72,7,H,0.24384615384615393,0.16,0.4588679245283021,0.2645000000000001
1,5,10,0,9,0.2900000000000001,2,3,119,63,61,118,5.249999999999939,0.37000000000000016,0.02,0.6300000000000003,9,3,1,3,14,3,1,3,4,0,12,7,H,0.3750000000000002,0.12333333333333338,0.02,0.21000000000000008
1,6,11,0,10,0.11999999999999998,1,2,86,44,71,3,2.2099999999999995,1.8900000000000015,2.159999999999998,0.2900000000000001,4,5,2,2,6,9,2,2,3,0,18,7,H,0.36833333333333357,0.21000000000000008,1.0800000000000007,0.14500000000000005
1,6,12,0,8,0.37000000000000016,2,3,80,111,35,28,5.589999999999933,0.3000000000000001,0.02,0.060000000000000005,11,2,1,2,17,2,1,2,2,0,15,7,H,0.32882352941176485,0.15000000000000002,0.02,0.03
1,7,13,1,1,0.36000000000000015,2,3,25,74,99,104,3.139999999999985,0.5700000000000003,0.18000000000000002,0.12999999999999998,6,3,1,1,9,3,1,1,3,0,12,7,H,0.3488888888888891,0.19000000000000006,0.18000000000000002,0.12999999999999998
1,7,14,1,2,0.2700000000000001,2,3,21,120,111,54,3.319999999999979,0.2800000000000001,0.38000000000000017,0.08,7,1,3,1,12,1,4,2,4,0,14,7,H,0.2766666666666668,0.2800000000000001,0.09500000000000001,0.04
1,8,15,1,11,0.26000000000000006,2,3,98,22,71,23,2.419999999999998,1.280000000000001,0.3200000000000001,0.2700000000000001,6,3,2,2,13,3,2,3,4,0,18,7,H,0.18615384615384623,0.42666666666666686,0.16000000000000003,0.09000000000000001
1,8,16,1,13,0.22000000000000006,2,4,114,110,37,53,2.4499999999999966,0.5500000000000003,1.330000000000001,0.9600000000000006,7,2,5,4,14,5,5,4,2,0,13,7,H,0.17500000000000007,0.10999999999999999,0.26600000000000007,0.2400000000000001
1,9,17,1,2,0.36000000000000015,2,3,24,52,37,55,2.629999999999996,0.2700000000000001,0.8300000000000005,0.8700000000000006,7,1,3,3,9,2,4,3,4,0,19,7,H,0.2922222222222224,0.13499999999999998,0.20750000000000005,0.29000000000000015
1,9,18,1,7,0.9400000000000006,10,11,74,8,26,6,2.870000000000002,0.4400000000000002,1.1900000000000008,1.6200000000000012,13,2,4,4,14,2,5,4,6,0,20,7,H,0.20500000000000007,0.2200000000000001,0.2380000000000001,0.40500000000000025
1,10,19,1,1,1.0400000000000007,5,6,42,119,48,74,3.959999999999982,0.46000000000000024,0.17,0.16,12,2,1,1,17,3,1,1,3,0,15,7,H,0.23294117647058832,0.15333333333333335,0.17,0.16
1,10,20,1,3,0.24000000000000007,2,5,108,26,35,107,3.3699999999999775,0.16,1.6100000000000012,0.11999999999999998,8,1,4,2,13,1,4,2,5,0,14,7,H,0.2592307692307694,0.16,0.4025000000000002,0.06
1,11,21,1,15,0.2800000000000001,2,3,39,17,118,113,2.7399999999999918,0.25000000000000006,0.46000000000000024,0.6900000000000004,7,1,2,3,12,1,2,3,6,0,15,7,H,0.22833333333333342,0.25000000000000006,0.23000000000000007,0.2300000000000001
1,11,22,1,14,0.15,2,2,1,27,99,103,5.199999999999937,0.01,0.13999999999999999,0.05,11,1,2,1,15,1,2,1,3,0,15,7,H,0.34666666666666685,0.01,0.06999999999999999,0.05
1,12,23,1,8,0.2900000000000001,3,4,13,87,62,86,8.239999999999876,0.08,0.3900000000000002,0.01,16,2,2,1,22,2,2,1,2,0,16,7,H,0.37454545454545474,0.04,0.1950000000000001,0.01
1,12,24,1,1,0.3000000000000001,2,5,79,11,8,82,2.330000000000001,0.7200000000000004,0.6600000000000004,0.3200000000000001,7,2,3,1,11,2,4,1,3,0,18,7,H,0.21181818181818188,0.36000000000000015,0.16500000000000004,0.3200000000000001
1,13,25,1,15,0.2700000000000001,2,3,80,18,13,16,2.1300000000000017,0.9100000000000006,0.8000000000000005,2.619999999999988,5,2,2,9,7,3,2,9,6,0.5,21,7,H,0.30428571428571444,0.30333333333333345,0.4000000000000002,0.29111111111111126
1,13,26,1,14,0.20000000000000004,2,3,95,32,66,12,2.0900000000000016,1.1700000000000008,0.5200000000000002,0.47000000000000025,6,4,3,2,8,4,4,2,3,0,18,7,H,0.2612500000000001,0.2925000000000001,0.13,0.23500000000000004
1,14,27,1,15,0.37000000000000016,2,3,13,86,92,29,3.239999999999983,0.36000000000000015,0.20000000000000004,0.18000000000000002,7,2,1,1,18,3,1,1,6,0,17,7,H,0.18000000000000005,0.12000000000000002,0.20000000000000004,0.18000000000000002
1,14,28,1,2,0.5800000000000003,6,7,8,10,43,4,2.9599999999999937,1.320000000000001,0.3300000000000001,0.3000000000000001,10,5,2,2,14,7,2,2,4,0.5,23,7,H,0.21142857142857152,0.18857142857142864,0.165,0.15000000000000005
1,15,29,1,1,0.46000000000000024,2,3,78,31,83,33,4.709999999999954,1.1400000000000008,0.02,0.8800000000000006,7,4,1,4,9,4,1,4,3,0,16,7,H,0.5233333333333337,0.28500000000000014,0.02,0.22000000000000008
1,15,30,1,11,2.3099999999999947,6,9,67,65,47,44,3.3199999999999954,0.6400000000000003,0.22000000000000006,1.0000000000000007,8,2,2,3,12,3,2,7,4,0,18,7,H,0.2766666666666668,0.21333333333333343,0.10999999999999999,0.1428571428571429
1,16,31,1,14,1.0700000000000007,3,5,93,41,67,43,4.179999999999978,0.45000000000000023,0.5600000000000003,0.26000000000000006,9,1,2,1,12,1,2,1,3,0,17,7,H,0.3483333333333335,0.45000000000000023,0.28000000000000014,0.26000000000000006
1,16,32,1,1,0.6200000000000003,9,12,30,22,77,20,3.419999999999985,0.17,0.20000000000000004,0.15,16,1,1,1,21,1,2,1,3,0,20,7,H,0.16285714285714292,0.17,0.09999999999999999,0.15
1,17,33,1,7,0.2800000000000001,2,3,40,3,48,45,3.3999999999999777,2.3099999999999947,0.6900000000000004,0.46000000000000024,9,5,2,2,16,7,2,2,6,0.5,21,7,H,0.21250000000000008,0.3300000000000001,0.3450000000000002,0.23000000000000007
1,17,34,1,2,0.19000000000000003,2,3,75,80,20,19,2.8299999999999876,0.35000000000000014,0.34000000000000014,0.21000000000000005,8,2,2,1,16,2,3,1,4,0,18,7,H,0.17687500000000006,0.17500000000000002,0.11333333333333331,0.21000000000000005
1,18,35,1,3,0.5400000000000003,2,9,31,17,35,21,3.849999999999974,0.10999999999999999,0.07,0.9400000000000006,12,1,1,6,21,1,1,7,5,0,22,7,H,0.1833333333333334,0.10999999999999999,0.07,0.1342857142857143
1,18,36,1,13,0.19000000000000003,2,3,93,40,39,92,2.5199999999999942,0.4300000000000002,0.26000000000000006,0.15,9,2,1,1,12,2,2,1,2,0,16,7,H,0.21000000000000008,0.21500000000000002,0.13,0.15
1,19,37,1,1,1.0200000000000007,4,6,44,64,61,78,3.209999999999998,0.9300000000000006,0.9900000000000007,0.13999999999999999,7,2,2,2,12,3,2,2,3,0,16,7,H,0.2675000000000001,0.31000000000000016,0.4950000000000003,0.06999999999999999
1,19,38,1,7,0.7200000000000004,3,5,113,109,115,11,3.639999999999982,0.19000000000000003,0.3000000000000001,0.3900000000000002,9,1,1,2,14,1,1,2,6,0.5,12,7,H,0.2600000000000001,0.19000000000000003,0.3000000000000001,0.19500000000000006
1,20,39,1,8,0.20000000000000004,2,4,91,70,105,85,3.0099999999999842,0.20000000000000004,0.5000000000000002,0.2700000000000001,6,1,4,2,11,1,5,2,2,0,12,7,H,0.27363636363636373,0.20000000000000004,0.09999999999999999,0.13500000000000004
1,20,40,1,2,0.21000000000000005,2,3,43,78,42,84,3.4699999999999744,0.5300000000000002,0.45000000000000023,1.380000000000001,8,2,3,5,14,3,4,5,4,0,16,7,H,0.24785714285714294,0.17666666666666672,0.11250000000000002,0.2760000000000001
1,21,41,1,3,0.36000000000000015,2,3,29,118,91,58,4.049999999999965,1.270000000000001,0.19000000000000003,1.0600000000000007,11,5,4,4,15,6,4,5,5,0,14,7,H,0.27000000000000013,0.21166666666666675,0.0475,0.21200000000000008
1,21,42,1,8,0.7400000000000004,2,5,107,105,37,42,2.929999999999998,0.8300000000000005,1.0200000000000007,0.16,6,2,2,1,11,2,2,1,2,0,14,7,H,0.26636363636363647,0.4150000000000002,0.5100000000000002,0.16
2,1,1,0,9,0.3000000000000001,2,3,99,96,104,1,5.789999999999927,0.38000000000000017,0.34000000000000014,1.0900000000000007,13,1,2,2,25,1,2,2,4,0,13,7,H,0.23160000000000008,0.38000000000000017,0.17000000000000004,0.5450000000000003
2,1,2,0,2,0.38000000000000017,2,5,35,51,78,118,5.5299999999999345,0.20000000000000004,1.2000000000000008,0.3200000000000001,11,2,3,1,23,2,6,1,4,0,14,7,H,0.24043478260869575,0.09999999999999999,0.20000000000000007,0.3200000000000001
2,2,3,0,9,0.37000000000000016,2,5,71,2,83,79,4.78999999999995,3.239999999999975,0.48000000000000026,1.8700000000000014,10,6,2,5,17,11,3,11,4,0,16,7,H,0.2817647058823531,0.29454545454545467,0.16000000000000003,0.17000000000000004
2,2,4,0,7,0.4200000000000002,3,5,50,112,22,117,5.29999999999994,1.0900000000000007,0.6900000000000004,1.2000000000000008,10,3,3,4,28,3,3,4,6,0,14,7,H,0.18928571428571433,0.3633333333333335,0.2300000000000001,0.3000000000000001
2,3,5,0,8,0.3300000000000001,2,3,23,63,68,110,3.0399999999999863,0.9900000000000007,1.9700000000000015,0.13999999999999999,5,2,4,1,12,2,4,1,2,0,16,7,H,0.25333333333333347,0.49500000000000033,0.49250000000000027,0.13999999999999999
2,3,6,0,3,0.26000000000000006,2,3,36,26,101,105,4.059999999999963,0.2900000000000001,1.480000000000001,0.3300000000000001,7,1,4,2,15,1,6,2,5,0,14,7,H,0.2706666666666668,0.2900000000000001,0.24666666666666676,0.16500000000000004
2,4,7,0,1,0.22000000000000006,2,3,80,73,84,112,3.7599999999999687,2.099999999999999,0.16,0.6100000000000003,10,5,2,2,16,7,2,2,3,0.5,11,7,H,0.2350000000000001,0.30000000000000016,0.07999999999999999,0.3050000000000001
2,4,8,0,9,0.2700000000000001,2,3,26,29,31,21,4.909999999999946,0.5200000000000002,1.0200000000000007,0.5000000000000002,10,2,4,3,17,3,7,3,4,0.5,21,7,H,0.2888235294117648,0.17333333333333334,0.14571428571428577,0.16666666666666669
2,5,9,0,3,0.24000000000000007,2,3,103,33,70,27,5.019999999999943,1.1500000000000008,2.5999999999999885,0.05,9,4,6,2,23,4,6,2,5,0,16,7,H,0.21826086956521745,0.2875000000000001,0.43333333333333357,0.025
2,5,10,0,6,0.6100000000000003,3,5,12,110,52,46,2.8499999999999965,4.759999999999943,0.5100000000000002,0.4000000000000002,7,10,4,2,15,19,4,3,6,0,17,7,H,0.19000000000000006,0.25052631578947376,0.1275,0.1333333333333334
2,6,11,0,5,0.5100000000000002,2,4,1,37,5,49,4.299999999999963,1.1800000000000008,1.6900000000000013,1.2300000000000009,8,4,5,6,17,5,7,10,5,0,21,7,H,0.25294117647058834,0.23600000000000004,0.24142857142857155,0.12300000000000001
2,6,12,0,9,0.6600000000000004,2,7,63,17,120,33,3.409999999999986,1.1500000000000008,1.460000000000001,0.3000000000000001,8,2,3,2,19,4,4,2,4,0,17,7,H,0.17947368421052637,0.28750000000000014,0.36500000000000016,0.15000000000000002
2,7,13,1,15,0.24000000000000007,2,3,13,102,20,100,8.739999999999863,0.03,0.04,0.08,13,1,1,1,34,1,1,1,6,0,16,7,H,0.25705882352941184,0.03,0.04,0.08
2,7,14,1,14,0.26000000000000006,2,3,119,41,86,5,5.419999999999934,0.36000000000000015,2.439999999999992,0.5600000000000003,10,1,6,3,16,1,8,3,3,0,16,7,H,0.33875000000000016,0.36000000000000015,0.30500000000000016,0.18666666666666673
2,8,15,1,14,0.34000000000000014,2,4,96,91,86,41,2.7599999999999927,1.8200000000000014,0.3200000000000001,0.8200000000000005,5,5,1,4,10,9,1,4,3,0.5,14,7,H,0.27600000000000013,0.20222222222222228,0.3200000000000001,0.20500000000000004
2,8,16,1,1,0.5000000000000002,5,6,74,76,25,19,4.699999999999955,1.0000000000000007,0.23000000000000007,0.36000000000000015,14,3,1,2,18,3,1,2,3,0,17,7,H,0.2611111111111112,0.3333333333333335,0.23000000000000007,0.18000000000000002
2,9,17,1,3,0.17,2,5,31,50,88,36,4.019999999999962,0.36000000000000015,0.2900000000000001,0.4000000000000002,7,1,1,2,19,1,1,7,5,0,17,7,H,0.21157894736842114,0.36000000000000015,0.2900000000000001,0.05714285714285714
2,9,18,1,11,0.34000000000000014,2,3,63,110,61,78,2.549999999999997,1.270000000000001,0.9200000000000006,0.25000000000000006,5,5,3,1,11,8,4,2,4,0,13,7,H,0.2318181818181819,0.15875000000000006,0.23000000000000007,0.125
2,10,19,1,15,2.5499999999999896,11,19,51,16,13,58,5.129999999999979,0.6800000000000004,5.729999999999922,1.430000000000001,15,3,11,6,33,4,21,8,6,0,20,7,H,0.15545454545454548,0.17000000000000004,0.27285714285714296,0.17875000000000008
2,10,20,1,12,1.1400000000000008,4,6,37,7,90,96,4.759999999999968,2.569999999999989,0.7900000000000005,1.5800000000000012,9,4,1,4,24,6,1,5,5,0,17,7,H,0.1983333333333334,0.42833333333333357,0.7900000000000005,0.3160000000000001
