Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,6.06,2191,0.669813716141507,0.26,8.2,2199,0.69911309560691,0.61,0.112876924090087,57.8323924606666,0.833666449160315,0.991181934488937,6.96,429.575941864634,9.14313189175446,53,1.43,0.01
2,6.06,2191,0.638349796384573,0.26,8.2,2199,0.738310565109597,0.61,0.131794257089496,52.7350723110139,0.807418026392348,0.996015586260706,6.96,363.714091548929,16.8802013426437,51,1.43,0.01
3,6.06,2191,0.676399940392002,0.26,8.2,2199,0.712108784270706,0.61,0.220755202770233,68.1700552133843,0.811093060326763,0.99486506170034406,6.96,414.638376017334,16.7675540910452,44,1.43,0.01
4,6.06,2191,0.696753114601597,0.26,8.2,2199,0.787301782853203,0.61,0.185122170038521,58.9967015963048,0.829225990231149,0.992167202787474,6.96,431.171853532782,11.5580623277347,55,1.43,0.01
5,6.06,2191,0.220806759018451,0.26,8.2,2199,0.838166684036842,0.61,0.441781442388892,9.58831520634703,0.825973138465779,0.991748420857126,6.96,30.0748927244451,51.0159117781906,62,1.43,0.01
6,6.06,2191,0.206133949514478,0.26,8.2,2199,0.88132539525046,0.61,0.513354350365698,9.38073373748921,0.819084132100688,0.990237916424172,6.96,15.5511393519584,52.9162311243126,67,1.43,0.01
7,6.06,2191,0.265656348811462,0.26,8.2,2199,0.715262400343781,0.61,0.424557722732425,7.18516436754726,0.848130725111114,0.993908901619958,6.96,31.6794653768186,51.2999358361005,52,1.43,0.01
8,6.06,2191,0.291853115651757,0.26,8.2,2199,0.773317979773274,0.61,0.379073206968606,7.46893020230345,0.818973674961599,0.996137010739418,6.96,41.84065935486,50.5171524458565,68,1.43,0.01
9,6.06,2191,0.266035523088649,0.26,8.2,2199,0.841465071353596,0.61,0.285763393864036,26.7418601638637,0.834784746837569,0.991812202645233,6.96,466.375871900376,51.600112617074,11,1.43,0.01
10,6.06,2191,0.215477998722345,0.26,8.2,2199,0.798146411681082,0.61,0.144910959526896,18.7251407229342,0.80833859088528,0.996482055018423,6.96,462.169021225441,47.5663918076549,14,1.43,0.01
11,6.06,2191,0.21879565730691,0.26,8.2,2199,0.889646054848563,0.61,0.149955091699958,21.1491588731296,0.8292457604378,0.993524747485062,6.96,433.325596094504,49.1146171120345,4,1.43,0.01
12,6.06,2191,0.244472399167716,0.26,8.2,2199,0.858384381046053,0.61,0.204094014316797,12.7258544829674,0.817018385256408,0.988880866275867,6.96,439.212613546662,46.8374703511712,7,1.43,0.01
13,6.06,2191,0.217208139877766,0.26,8.2,2199,0.730894120081793,0.61,0.170160096660256,20.4630207312293,0.825622316884575,0.992410329015693,6.96,450.201990063209,48.2726321101305,3,1.43,0.01
14,6.06,2191,0.201817609267309,0.26,8.2,2199,0.877546605605166,0.61,0.155138280913234,28.899225610774,0.830956654331414,0.992428242143942,6.96,468.033372188825,53.1914323112112,4,1.43,0.01
15,6.06,2191,0.285446080369875,0.26,8.2,2199,0.803283198548015,0.61,0.148719332441688,23.6866822042502,0.810788525265409,0.998557478430448,6.96,491.587822975498,52.7436238900293,10,1.43,0.01
16,6.06,2191,0.368484271503985,0.26,8.2,2199,0.807767190010985,0.61,0.452444702573121,78.4928386420943,0.890225087754661,0.998022157824831,6.96,57.4821622065734,17.1599177431199,12,1.43,0.01
17,6.06,2191,0.30937063829042,0.26,8.2,2199,0.85329887137725,0.61,0.537692381851375,63.4621253046207,0.893448144436115,0.994154380425112,6.96,17.9601755958516,18.6678995013237,23,1.43,0.01
18,6.06,2191,0.272537165945396,0.26,8.2,2199,0.794187456480926,0.61,0.46207648254931,68.7032743305899,0.894869115824113,0.989158812645124,6.96,36.1939602397848,24.9559767962201,20,1.43,0.01
19,6.06,2191,0.33259224046953,0.26,8.2,2199,0.792529258243507,0.61,0.566153915598989,73.0103367283009,0.870968483831966,0.989152521118755,6.96,14.3585978142451,21.073727240751,17,1.43,0.01
20,6.06,2191,0.291808067392558,0.26,8.2,2199,0.759668461484602,0.61,0.480972875617445,75.8058184566908,0.896119105542311,0.989008040167624,6.96,60.4558545007836,22.5407870146213,21,1.43,0.01
21,6.06,2191,0.213944505229592,0.26,8.2,2199,0.230452760379761,0.61,0.613867413587868,4.78903692192398,0.873178400934208,0.998736973104067,6.96,210.903787156986,25.186158804025,55,1.43,0.01
22,6.06,2191,0.167501771822572,0.26,8.2,2199,0.24844108016789,0.61,0.497528784647584,5.36786961811595,0.864428881627042,0.996539348919876,6.96,224.918634291226,31.7150537457666,49,1.43,0.01
