Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,8,0.3900000000000002,2,3,81,114,42,21,2.3000000000000016,0.4200000000000002,1.420000000000001,0.12999999999999998,4,2,2,1,7,2,2,1,2,0,16,7,Hc,0.32857142857142874,0.21000000000000008,0.7100000000000004,0.12999999999999998
1,1,2,0,10,0.4300000000000002,4,5,102,6,5,90,3.5599999999999774,0.18000000000000002,0.23000000000000007,0.10999999999999999,9,1,2,2,15,1,2,3,3,0,17,7,Hc,0.23733333333333342,0.18000000000000002,0.11500000000000002,0.03666666666666667
1,2,3,0,3,0.5000000000000002,4,6,36,108,70,12,1.620000000000001,1.9700000000000015,0.8000000000000005,0.3000000000000001,6,6,3,2,8,8,3,2,5,0,17,7,Hc,0.2025000000000001,0.24625000000000008,0.2666666666666667,0.15000000000000002
1,2,4,0,2,0.36000000000000015,2,3,24,114,14,42,3.1099999999999857,0.8600000000000005,0.6900000000000004,0.48000000000000026,6,4,2,2,10,5,2,2,4,0,19,7,Hc,0.3110000000000001,0.17200000000000004,0.34500000000000014,0.2400000000000001
1,3,5,0,9,0.17,2,2,1,79,116,9,9.049999999999855,0.01,0.01,0.01,16,1,1,1,26,1,1,1,4,0,17,7,Hc,0.3480769230769233,0.01,0.01,0.01
1,3,6,0,4,0.16,1,2,16,26,97,27,2.0800000000000014,0.9900000000000007,0.38000000000000017,0.22000000000000006,4,3,2,1,9,3,2,1,2,0,18,7,Hc,0.2311111111111112,0.3300000000000002,0.19000000000000003,0.22000000000000006
1,4,7,0,2,0.18000000000000002,2,3,4,114,53,51,2.1100000000000017,0.6400000000000003,0.21000000000000005,0.17,6,2,1,2,13,2,1,2,4,0,16,7,Hc,0.16230769230769235,0.3200000000000001,0.21000000000000005,0.085
1,4,8,0,7,0.45000000000000023,2,4,73,43,20,14,3.279999999999984,0.26000000000000006,1.0500000000000007,0.23000000000000007,7,1,3,2,16,1,6,2,6,0,20,7,Hc,0.20500000000000007,0.26000000000000006,0.17500000000000004,0.11499999999999999
1,5,9,0,1,0.4000000000000002,4,7,4,77,38,1,3.0599999999999876,0.20000000000000004,0.35000000000000014,0.09999999999999999,9,2,1,1,12,4,1,1,3,0,20,7,Hc,0.2550000000000001,0.049999999999999996,0.35000000000000014,0.09999999999999999
1,5,10,0,2,0.4400000000000002,2,4,35,51,17,29,1.9000000000000012,0.7600000000000005,0.5900000000000003,0.34000000000000014,3,2,2,1,5,2,2,1,4,0,20,7,Hc,0.3800000000000002,0.38000000000000017,0.2950000000000001,0.34000000000000014
1,6,11,0,1,0.4100000000000002,2,4,5,38,46,43,2.4999999999999996,0.8900000000000006,0.7600000000000005,1.440000000000001,6,3,3,2,11,3,4,2,3,0.5,21,7,Hc,0.22727272727272735,0.2966666666666668,0.19000000000000006,0.7200000000000005
1,6,12,0,7,0.9000000000000006,10,11,33,27,23,15,3.289999999999994,1.0400000000000007,0.4200000000000002,2.5099999999999905,16,3,3,8,19,3,3,8,6,0,22,7,Hc,0.17315789473684215,0.3466666666666668,0.14000000000000004,0.31375000000000014
1,7,13,1,4,0.21000000000000005,2,3,7,101,106,42,2.4399999999999964,0.46000000000000024,0.16,1.460000000000001,4,3,1,4,6,4,1,4,2,0,15,7,Hc,0.4066666666666669,0.11500000000000002,0.16,0.36500000000000016
1,7,14,1,8,0.4300000000000002,3,4,53,15,117,119,2.1300000000000017,0.5100000000000002,0.3900000000000002,0.26000000000000006,6,1,2,1,7,1,2,1,2,0,14,7,Hc,0.30428571428571444,0.5100000000000002,0.19500000000000003,0.26000000000000006
1,8,15,1,4,0.3200000000000001,2,3,14,13,41,104,2.7599999999999922,0.6800000000000004,0.17,0.34000000000000014,7,2,1,3,12,3,1,3,2,0,19,7,Hc,0.23000000000000007,0.22666666666666674,0.17,0.11333333333333334
1,8,16,1,3,0.19000000000000003,2,3,119,27,1,33,1.8100000000000012,0.9400000000000006,0.3100000000000001,0.20000000000000004,4,2,1,2,5,7,1,2,5,0,18,7,Hc,0.3620000000000002,0.13428571428571429,0.3100000000000001,0.09999999999999999
1,9,17,1,6,0.2800000000000001,3,4,4,40,3,113,1.3100000000000007,2.3099999999999947,1.420000000000001,0.15,5,4,3,1,6,7,4,1,6,0,19,7,Hc,0.21833333333333343,0.3300000000000002,0.3550000000000002,0.15
1,9,18,1,2,0.47000000000000025,3,6,59,107,57,100,3.3199999999999834,0.20000000000000004,0.5400000000000003,0.08,9,1,3,1,15,1,3,1,4,0,12,7,Hc,0.2213333333333334,0.20000000000000004,0.18000000000000002,0.08
1,10,19,1,4,0.26000000000000006,2,4,76,73,58,59,3.4799999999999756,0.5000000000000002,0.17,0.09999999999999999,8,1,1,1,15,1,1,1,2,0,14,7,Hc,0.23200000000000007,0.5000000000000002,0.17,0.09999999999999999
1,10,20,1,9,0.18000000000000002,2,3,67,47,64,40,1.9800000000000013,1.1700000000000008,0.10999999999999999,0.45000000000000023,5,3,1,2,10,4,1,3,4,0,18,7,Hc,0.19800000000000006,0.2925000000000001,0.10999999999999999,0.15000000000000002
1,11,21,1,9,0.21000000000000005,2,3,73,75,62,19,4.259999999999958,0.19000000000000003,1.490000000000001,0.20000000000000004,10,2,5,3,16,2,5,3,4,0,16,7,Hc,0.2662500000000001,0.09499999999999999,0.29800000000000015,0.06666666666666667
1,11,22,1,8,0.38000000000000017,2,3,50,56,113,2,2.7099999999999946,0.5900000000000003,0.5400000000000003,0.37000000000000016,7,2,2,1,11,3,2,1,2,0,16,7,Hc,0.24636363636363645,0.19666666666666668,0.2700000000000001,0.37000000000000016
1,12,23,1,6,0.38000000000000017,2,3,73,53,50,40,3.0499999999999874,0.7600000000000005,1.8600000000000014,0.09,6,3,4,2,8,4,7,2,6,0,16,7,Hc,0.3812500000000002,0.19000000000000006,0.26571428571428585,0.045
