Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,6.06,2191,0.518579934136942,0.26,8.2,2199,0.305125152165769,0.61,0.478008992001414,16.8371393759735,0.822098269773414,0.997573853952345,6.96,392.755199013045,21.3039468794246,45,1.43,0.01
2,6.06,2191,0.528903281157836,0.26,8.2,2199,0.157884168750374,0.61,0.408878247179091,13.4441548534669,0.809253293018555,0.991399322475772,6.96,476.858139146818,18.1898166646017,50,1.43,0.01
3,6.06,2191,0.625484008444473,0.26,8.2,2199,0.327940162443323,0.61,0.406491680815816,8.91605087043718,0.830444405091694,0.992857416470069,6.96,432.372058446286,21.7019973845803,56,1.43,0.01
4,6.06,2191,0.619500260055065,0.26,8.2,2199,0.335747835631249,0.61,0.472462936341763,1.32387755392119,0.833327785975998,0.98966506523313,6.96,435.410984053044,19.4546184713952,47,1.43,0.01
5,6.06,2191,0.636685831192881,0.26,8.2,2199,0.911153148805257,0.61,0.509927276037633,37.3207546728663,0.889314981167438,0.990615468419623,6.96,242.763797353208,26.6226226310828,67,1.43,0.01
6,6.06,2191,0.62563430801034,0.26,8.2,2199,0.977320132769179,0.61,0.62106942396611,32.469095997978,0.884271804196062,0.994067455477547,6.96,254.792060841993,33.1900756486109,68,1.43,0.01
7,6.06,2191,0.697220860728994,0.26,8.2,2199,0.958620876578148,0.61,0.648702101521194,44.719238565769,0.895155989936786,0.992415276689921,6.96,243.021565259155,34.5135130990646,71,1.43,0.01
8,6.06,2191,0.460631888378412,0.26,8.2,2199,0.0821204399021808,0.61,0.559542552940548,45.2585853617638,0.892306262391154,0.997061263268581,6.96,453.879910127074,27.1773940426763,4,1.43,0.01
9,6.06,2191,0.473322927467525,0.26,8.2,2199,0.13774154570722,0.61,0.612964683100581,39.6536099240184,0.888659996517468,0.985635582149727,6.96,479.135862578917,30.6853741231607,11,1.43,0.01
10,6.06,2191,0.368603470800444,0.26,8.2,2199,0.0962999424694572,0.61,0.5141349099949,48.8132468359545,0.900883899663109,0.986130913148401,6.96,457.041685909778,24.9190404341905,6,1.43,0.01
11,6.06,2191,0.448133887536824,0.26,8.2,2199,0.119514658328379,0.61,0.535049564540386,31.6814153296873,0.884583564891014,0.99015862879972,6.96,412.948986775987,34.0708625953645,10,1.43,0.01
12,6.06,2191,0.490333809237927,0.26,8.2,2199,0.548917047312483,0.61,0.688860665149987,13.8443304314278,0.81530705998512,0.991768521769205,6.96,474.491548613738,36.2853876458132,36,1.43,0.01
13,6.06,2191,0.21086381140165,0.26,8.2,2199,0.846029903511982,0.61,0.20395495288074,94.4407778771129,0.897836298784707,0.989393321181415,6.96,125.528395589255,51.8839299681364,24,1.43,0.01
14,6.06,2191,0.242364704879001,0.26,8.2,2199,0.836579348478001,0.61,0.234722173586488,90.4436223933008,0.878158952268306,0.995261082596844,6.96,63.7116983908228,54.3861211452284,27,1.43,0.01
15,6.06,2191,0.262262421473861,0.26,8.2,2199,0.969089723430108,0.61,0.28122634023428,96.1427305710968,0.885625000624452,0.995734238954028,6.96,109.843606133293,54.7300987434923,22,1.43,0.01
16,6.06,2191,0.237891303999349,0.26,8.2,2199,0.945178851164412,0.61,0.198384279087186,99.4557672485244,0.876655114293564,0.99487111354596,6.96,108.758810819872,51.6717628162238,28,1.43,0.01
17,6.06,2191,0.479131824271753,0.26,8.2,2199,0.0454149430240504,0.61,0.440291477665305,73.9339564591646,0.912905056613265,0.982617204457289,6.96,370.238329513604,39.6680591098731,2,1.43,0.01
18,6.06,2191,0.483931529931724,0.26,8.2,2199,0.0377097953199409,0.61,0.46557201936841,81.098463203758,0.920591681680409,0.982550807886524,6.96,396.425264822459,40.0651427813573,3,1.43,0.01
19,6.06,2191,0.429800122175366,0.26,8.2,2199,0.145786031903233,0.61,0.447249776646495,86.6767007289454,0.917562567178858,0.991034101404017,6.96,382.28981393124,36.4073525165441,5,1.43,0.01
20,6.06,2191,0.417199930315837,0.26,8.2,2199,0.182779723181855,0.61,0.406045292317867,71.1885904883966,0.926541553043527,0.980920512990793,6.96,382.593632239522,42.813200839248,6,1.43,0.01
21,6.06,2191,0.475697002103552,0.26,8.2,2199,0.0963223985484801,0.61,0.360861091464758,80.1270187078044,0.921471028548432,0.987995481936028,6.96,431.858569761412,41.4335516390856,7,1.43,0.01
22,6.06,2191,0.422790654730052,0.26,8.2,2199,0.0526058659511618,0.61,0.439219406433404,72.516977911815,0.8988565561797,0.990703410676448,6.96,399.308257848164,42.422140553419,8,1.43,0.01
23,6.06,2191,0.445919591281563,0.26,8.2,2199,0.0101595092653297,0.61,0.407556781470776,70.222541549243,0.932822820569156,0.979649216796039,6.96,347.282206618832,40.0179529746412,6,1.43,0.01
24,6.06,2191,0.515909809619188,0.26,8.2,2199,0.08296276637353,0.61,0.392644629441202,11.3122984892689,0.977672848880058,0.927071591460845,6.96,101.128551006597,41.3757222416811,3,1.43,0.01
25,6.06,2191,0.510864078197628,0.26,8.2,2199,0.225615245886147,0.61,0.34315728481859,8.88055045483634,0.942053385508945,0.925834116161568,6.96,75.7445220982656,37.4631619005464,7,1.43,0.01
26,6.06,2191,0.479496134333313,0.26,8.2,2199,0.0682070105709136,0.61,0.328872000388801,10.5733161545359,0.952249740307918,0.936761359156808,6.96,139.227422165498,41.595151759591,4,1.43,0.01
27,6.06,2191,0.644016530634835,0.26,8.2,2199,0.577006397602148,0.61,0.619028570316732,72.7352366216946,0.828603926518466,0.991917324510869,6.96,288.955700583244,17.0943055854877,12,1.43,0.01
28,6.06,2191,0.58256604318507,0.26,8.2,2199,0.703169420707039,0.61,0.499906058385968,58.3414942997042,0.831009280703496,0.983276647275779,6.96,237.253182491707,25.656991010881,11,1.43,0.01
29,6.06,2191,0.655276153674349,0.26,8.2,2199,0.612945534913801,0.61,0.562331496328116,60.3074048545677,0.827510962647852,0.993392096695024,6.96,262.465157867363,23.298581248452,25,1.43,0.01
