Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,10,0.5500000000000003,2,6,92,1,93,85,12.0899999999998,0.9800000000000006,0.25000000000000006,1.8000000000000014,17,2,1,2,38,2,1,4,3,0.5,24,6,L,0.3181578947368422,0.4900000000000002,0.25000000000000006,0.45000000000000023
1,1,2,0,1,0.4100000000000002,2,3,16,75,33,112,11.299999999999812,0.3200000000000001,0.7600000000000005,1.5400000000000011,13,1,1,3,24,1,1,6,3,0,16,6,L,0.4708333333333336,0.3200000000000001,0.7600000000000005,0.25666666666666677
1,2,3,0,1,0.45000000000000023,2,3,46,43,83,84,9.749999999999847,2.2199999999999966,0.6700000000000004,0.6400000000000003,13,5,2,3,28,6,3,3,3,0,16,6,L,0.34821428571428586,0.37000000000000016,0.2233333333333334,0.21333333333333337
1,2,4,0,8,0.3200000000000001,1,4,13,111,114,23,8.96999999999986,0.5200000000000002,3.099999999999978,5.289999999999932,10,1,7,10,16,1,9,14,2,0,16,6,L,0.5606250000000004,0.5200000000000002,0.3444444444444446,0.37785714285714306
1,3,5,0,2,0.3300000000000001,2,3,54,88,104,96,29.42000000000175,0.6000000000000003,0.09,2.6399999999999877,20,2,1,5,83,2,1,5,4,0,12,6,L,0.3544578313253014,0.30000000000000016,0.09,0.5280000000000004
1,3,6,0,9,1.0400000000000007,4,5,115,113,67,17,11.339999999999826,0.35000000000000014,2.3099999999999947,5.3899999999999295,19,1,3,8,34,1,6,9,4,0,14,6,L,0.333529411764706,0.35000000000000014,0.3850000000000002,0.598888888888889
1,4,7,0,9,0.7500000000000004,2,7,63,106,72,71,5.479999999999944,6.229999999999912,2.5899999999999888,1.490000000000001,7,6,5,7,12,10,8,11,4,0.5,26,6,L,0.45666666666666694,0.6229999999999992,0.32375000000000015,0.13545454545454547
1,4,8,0,10,1.2500000000000009,2,4,20,85,114,38,11.509999999999827,1.340000000000001,0.7400000000000004,0.7700000000000005,11,2,2,1,38,2,2,1,3,0,16,6,L,0.3028947368421054,0.6700000000000004,0.37000000000000016,0.7700000000000005
1,5,9,0,3,0.11999999999999998,2,2,15,49,19,117,17.169999999999867,2.159999999999998,0.08,0.6100000000000003,20,2,1,3,46,3,1,3,5,0,18,6,L,0.3732608695652176,0.7200000000000005,0.08,0.2033333333333334
1,5,10,0,10,0.3900000000000002,2,3,85,70,66,12,4.85999999999995,9.359999999999845,0.6700000000000004,3.0299999999999794,6,10,1,5,10,21,1,6,3,0,17,6,L,0.4860000000000003,0.44571428571428595,0.6700000000000004,0.5050000000000002
1,6,11,1,2,0.48000000000000026,2,3,53,87,55,51,6.79999999999991,6.729999999999901,0.25000000000000006,2.3299999999999943,9,10,1,5,20,21,2,6,4,0.5,27,6,L,0.3400000000000002,0.32047619047619064,0.12500000000000003,0.38833333333333353
1,6,12,1,1,0.4100000000000002,2,4,104,62,84,107,8.16999999999988,2.859999999999983,0.4400000000000002,1.7800000000000014,13,6,2,4,24,7,3,5,3,0,11,6,L,0.3404166666666668,0.40857142857142875,0.1466666666666667,0.35600000000000015
1,7,13,1,2,0.4200000000000002,2,4,91,54,56,87,14.909999999999735,0.10999999999999999,1.500000000000001,0.2700000000000001,17,1,4,1,38,1,4,1,4,0,14,6,L,0.3923684210526318,0.10999999999999999,0.37500000000000017,0.2700000000000001
1,7,14,1,8,0.34000000000000014,2,3,101,104,105,68,5.869999999999926,5.619999999999925,1.6100000000000012,0.4300000000000002,12,7,2,3,17,10,3,3,2,0.5,16,6,L,0.345294117647059,0.5619999999999999,0.536666666666667,0.14333333333333337
1,8,15,1,13,0.4400000000000002,2,6,109,71,68,65,9.04999999999986,1.6000000000000012,2.0899999999999994,0.37000000000000016,12,3,2,1,24,5,2,1,2,0.5,26,6,L,0.37708333333333355,0.3200000000000002,1.0450000000000008,0.37000000000000016
1,8,16,1,15,0.21000000000000005,1,3,14,22,56,23,8.309999999999873,1.460000000000001,2.0400000000000005,1.440000000000001,13,5,6,5,25,5,7,5,6,0.5,40,6,L,0.33240000000000014,0.2920000000000001,0.29142857142857154,0.28800000000000014
1,9,17,1,1,0.23000000000000007,2,3,79,56,53,83,2.859999999999988,8.599999999999861,0.6300000000000003,0.3000000000000001,5,9,3,2,7,15,3,2,3,0,14,6,L,0.4085714285714288,0.5733333333333337,0.21000000000000005,0.15
1,9,18,1,13,0.5600000000000003,2,4,119,116,110,64,8.75999999999987,3.279999999999974,1.6100000000000012,0.2900000000000001,15,7,3,1,28,11,3,1,2,0.5,16,6,L,0.312857142857143,0.2981818181818183,0.536666666666667,0.2900000000000001
1,10,19,1,14,0.6500000000000004,2,6,92,69,96,113,11.839999999999806,0.7500000000000004,0.6800000000000004,1.5700000000000012,15,1,3,4,38,1,3,4,3,0,12,6,L,0.3115789473684212,0.7500000000000004,0.22666666666666674,0.3925000000000002
