Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,7,0.7600000000000005,2,3,84,39,49,24,7.369999999999904,0.20000000000000004,1.0000000000000007,1.1200000000000008,11,1,4,2,24,1,5,2,6,0,18,7,LH,0.3070833333333335,0.20000000000000004,0.20000000000000007,0.5600000000000004
1,1,2,0,6,1.2500000000000009,2,8,112,9,6,12,6.389999999999936,0.24000000000000007,0.18000000000000002,3.9499999999999598,8,2,1,6,21,2,2,13,6,0.5,38,7,LH,0.30428571428571444,0.12000000000000002,0.09,0.303846153846154
1,2,3,0,10,1.350000000000001,2,9,94,66,95,6,5.999999999999947,0.9800000000000006,0.3300000000000001,2.6499999999999875,7,1,2,8,16,1,2,13,3,0,16,7,LH,0.3750000000000002,0.9800000000000006,0.16500000000000004,0.20384615384615393
1,2,4,0,2,0.7300000000000004,2,4,82,50,19,24,6.729999999999917,0.11999999999999998,0.23000000000000007,1.8700000000000014,10,1,1,4,24,1,1,5,4,0,19,7,LH,0.28041666666666676,0.11999999999999998,0.23000000000000007,0.37400000000000017
1,3,5,0,2,0.46000000000000024,3,5,13,51,106,99,37.42000000000122,0.01,0.15,0.23000000000000007,20,1,1,1,103,1,1,1,4,0,14,7,LH,0.3633009708737865,0.01,0.15,0.23000000000000007
1,3,6,0,10,1.460000000000001,2,8,91,1,6,10,3.949999999999992,1.380000000000001,0.6500000000000004,0.26000000000000006,5,2,3,1,20,2,4,1,3,0.5,39,7,LH,0.19750000000000006,0.6900000000000004,0.16250000000000003,0.26000000000000006
1,4,7,0,5,0.5200000000000002,2,3,43,3,83,80,1.9400000000000013,2.1899999999999973,1.6800000000000013,0.9200000000000006,4,4,3,5,7,7,4,6,5,0,17,7,LH,0.2771428571428573,0.31285714285714294,0.42000000000000026,0.15333333333333338
1,4,8,0,2,1.1000000000000008,2,6,19,53,105,93,4.009999999999983,1.310000000000001,1.0600000000000007,0.13999999999999999,5,4,4,1,13,6,5,1,4,0,15,7,LH,0.3084615384615386,0.2183333333333334,0.21200000000000008,0.13999999999999999
1,5,9,0,9,1.6400000000000012,10,14,2,8,70,93,7.279999999999926,0.09,0.07,0.20000000000000004,17,1,1,1,28,1,1,1,4,0,19,7,LH,0.2600000000000001,0.09,0.07,0.20000000000000004
1,5,10,0,8,0.17,2,3,14,77,52,84,11.6399999999998,0.02,0.01,0.03,12,1,1,1,35,1,1,1,2,0,16,7,LH,0.33257142857142874,0.02,0.01,0.03
1,6,11,0,7,1.7200000000000013,9,13,89,15,105,102,4.259999999999991,3.179999999999976,1.300000000000001,0.7800000000000005,13,4,1,2,22,7,1,2,6,0,13,7,LH,0.1936363636363637,0.4542857142857145,1.300000000000001,0.3900000000000002
1,6,12,0,6,1.420000000000001,2,5,5,8,82,9,5.4899999999999585,1.7400000000000013,1.0400000000000007,1.370000000000001,7,5,3,4,11,5,5,4,6,0.5,39,7,LH,0.49909090909090936,0.34800000000000014,0.20800000000000005,0.34250000000000014
1,7,13,1,5,0.38000000000000017,2,3,103,1,74,42,3.85999999999997,0.4400000000000002,0.6500000000000004,0.3000000000000001,5,1,2,2,20,2,2,3,5,0,16,7,LH,0.19300000000000006,0.22000000000000003,0.3250000000000001,0.09999999999999999
1,7,14,1,9,0.6300000000000003,3,5,68,92,22,94,4.449999999999963,0.9700000000000006,0.7500000000000004,0.20000000000000004,7,2,4,1,23,5,4,1,4,0,16,7,LH,0.1934782608695653,0.19400000000000003,0.18750000000000006,0.20000000000000004
1,8,15,1,8,1.6400000000000012,12,16,115,91,40,20,2.880000000000002,2.3199999999999945,0.2800000000000001,1.0200000000000007,15,3,1,3,21,6,1,4,2,0,16,7,LH,0.13714285714285718,0.3866666666666669,0.2800000000000001,0.2550000000000001
1,8,16,1,4,1.0200000000000007,2,7,98,102,75,10,2.9700000000000024,0.7700000000000005,1.310000000000001,0.36000000000000015,5,1,2,2,15,1,2,2,2,0,13,7,LH,0.19800000000000006,0.7700000000000005,0.6550000000000004,0.18000000000000002
1,9,17,1,2,0.49000000000000027,2,3,108,60,16,107,4.189999999999966,0.46000000000000024,0.9700000000000006,1.1800000000000008,8,2,3,3,12,2,6,3,4,0,14,7,LH,0.34916666666666685,0.23000000000000004,0.1616666666666667,0.39333333333333353
1,9,18,1,8,0.5900000000000003,2,5,8,80,72,39,4.809999999999954,0.5500000000000003,0.3900000000000002,0.34000000000000014,5,2,1,2,15,3,1,2,2,0,18,7,LH,0.3206666666666668,0.18333333333333338,0.3900000000000002,0.17
1,10,19,1,2,0.8000000000000005,5,8,55,82,8,111,2.4600000000000017,2.99999999999998,0.8600000000000005,0.8200000000000005,7,4,2,2,16,11,2,4,4,0,15,7,LH,0.15375000000000005,0.2727272727272728,0.4300000000000002,0.20500000000000007
1,10,20,1,10,0.6600000000000004,3,7,104,91,92,21,3.4699999999999847,1.270000000000001,0.22000000000000006,1.2200000000000009,7,3,1,3,16,4,1,4,3,0,14,7,LH,0.21687500000000007,0.3175000000000001,0.22000000000000006,0.3050000000000001
1,11,21,1,7,1.490000000000001,9,11,83,55,48,14,3.979999999999992,0.5400000000000003,1.310000000000001,2.819999999999984,12,1,2,5,17,1,2,9,6,0,18,7,LH,0.23411764705882362,0.5400000000000003,0.6550000000000005,0.31333333333333346
1,11,22,1,10,0.9100000000000006,2,6,90,12,109,94,5.569999999999945,1.0600000000000007,0.7900000000000005,0.5200000000000002,10,4,1,2,19,5,1,2,3,0,14,7,LH,0.29315789473684223,0.21200000000000008,0.7900000000000005,0.2600000000000001
