Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,6.06,2191,0.43166536642238496,0.26,8.2,2199,0.046960453050443905,0.61,0.7040352316573263,60.18531534168869,0.988755105043063,0.9511101138924715,6.96,93.73625410869717,11.047256125079002,64,1.43,0.01
2,6.06,2191,0.34575699935667215,0.26,8.2,2199,0.8235480419832747,0.61,0.4559860620647669,43.580434719100595,0.9189296447630041,0.9284814560604282,6.96,133.11606915416195,23.416469402145594,45,1.43,0.01
3,6.06,2191,0.2084375281818211,0.26,8.2,2199,0.6147840565594379,0.61,0.8265762815251947,57.450107048032805,0.9537484862429555,0.9910898518469184,6.96,162.46840667715296,48.24136298155645,66,1.43,0.01
4,6.06,2191,0.10877212504856289,0.26,8.2,2199,0.7358500971097964,0.61,0.7754303555935621,9.497523590223864,0.8449264880802948,0.9676164381466806,6.96,223.40192365706898,53.32839138119016,54,1.43,0.01
5,6.06,2191,0.25156486066989603,0.26,8.2,2199,0.5669746339500417,0.61,0.10854360293596983,61.72396242246032,0.9908420006665402,0.9538656286583282,6.96,236.58203127691522,13.223800603649579,60,1.43,0.01
6,6.06,2191,0.3160091350786388,0.26,8.2,2199,0.3412070833980106,0.61,0.5218721577897668,56.72348696994595,0.9667333395632449,0.9605167263918556,6.96,460.85967032657936,53.510566248965915,52,1.43,0.01
7,6.06,2191,0.37892998154275115,0.26,8.2,2199,0.5883569594379514,0.61,0.13845106810331345,71.53327511344105,0.8923795334072784,0.9936607276021968,6.96,114.12318425117991,20.14182141359197,25,1.43,0.01
8,6.06,2191,0.27449564738199117,0.26,8.2,2199,0.738970072762575,0.61,0.15906532537192108,78.94531140383333,0.8026697048514616,0.9603444865860511,6.96,424.41607295959255,22.768676243547816,24,1.43,0.01
9,6.06,2191,0.49105150816030796,0.26,8.2,2199,0.4268704919447191,0.61,0.7420053526759148,44.86482518259436,0.950709704331588,0.9315971121957991,6.96,243.75398995950817,18.81772121496033,49,1.43,0.01
10,6.06,2191,0.5697516495827585,0.26,8.2,2199,0.9239472186146304,0.61,0.6564098367467522,83.5518618656788,0.8466766497415956,0.9829269419764168,6.96,486.4519619993865,34.839693952177186,67,1.43,0.01
11,6.06,2191,0.10810282574966551,0.26,8.2,2199,0.5395538408253342,0.61,0.2543089307844639,19.6565387530718,0.9246405111113564,0.9828686861526221,6.96,194.63720418009908,44.884269561909605,32,1.43,0.01
12,6.06,2191,0.48671534233726566,0.26,8.2,2199,0.3018070367772598,0.61,0.5230208771303296,79.51568851526827,0.9417741266626399,0.9576095607730094,6.96,274.7275227461476,27.262980420258828,35,1.43,0.01
13,6.06,2191,0.344513654243201,0.26,8.2,2199,0.5310948526535649,0.61,0.6340466927736997,60.09740068996325,0.8923546447348781,0.9056677172526252,6.96,460.122003824776,14.75533717556391,59,1.43,0.01
14,6.06,2191,0.34228928363882005,0.26,8.2,2199,0.82543922362593,0.61,0.6258867930620908,93.69513039966114,0.9683700309311971,0.9513842940945179,6.96,305.84016514704564,39.056744965026155,22,1.43,0.01
15,6.06,2191,0.48476078058592975,0.26,8.2,2199,0.42936608458682896,0.61,0.1393428856506944,83.50081954337656,0.9551074098595418,0.979748563389061,6.96,204.92761350669898,8.948007613478694,19,1.43,0.01
16,6.06,2191,0.6240522031672299,0.26,8.2,2199,0.19128255426720717,0.61,0.6819591019302607,47.85855309595354,0.9770207050575409,0.9040798475502525,6.96,75.47209902936592,12.758263370022178,51,1.43,0.01
17,6.06,2191,0.535252156900242,0.26,8.2,2199,0.033407658834941685,0.61,0.14321589954197408,8.339621791383252,0.8903963505625725,0.9405110037981067,6.96,400.83433836479674,54.4190343618975,27,1.43,0.01
18,6.06,2191,0.6094531940296292,0.26,8.2,2199,0.3254369633058086,0.61,0.41555192656815054,65.31254359148443,0.9422319463517052,0.9789766700703185,6.96,450.0205310610123,16.71109922695905,76,1.43,0.01
19,6.06,2191,0.6317801002413034,0.26,8.2,2199,0.779476730692666,0.61,0.5916118055582047,15.034268077928573,0.8527006963347085,0.9519522794906515,6.96,314.6842609778978,52.74613106122706,74,1.43,0.01
20,6.06,2191,0.20357198091223838,0.26,8.2,2199,0.3590399020623881,0.61,0.43649193719029433,14.829007083550096,0.812221820443403,0.9250593573250808,6.96,444.5512422029395,50.97176385612693,51,1.43,0.01
21,6.06,2191,0.21465721898712217,0.26,8.2,2199,0.5742733093271963,0.61,0.5121241170912981,18.391581227071583,0.9599748322628439,0.9329930698473472,6.96,380.9470345631242,52.425927903386764,35,1.43,0.01
22,6.06,2191,0.6274949945975095,0.26,8.2,2199,0.014283901607152073,0.61,0.7287598438560963,49.5082377626095,0.9043180425518658,0.9639556989355479,6.96,240.09021996459924,30.989611312921625,8,1.43,0.01
23,6.06,2191,0.3282601420767605,0.26,8.2,2199,0.531689020743128,0.61,0.8352025656029582,97.04262225911953,0.988269235824002,0.9797383448516485,6.96,299.912308908673,18.0148982287501,50,1.43,0.01
24,6.06,2191,0.676021264726296,0.26,8.2,2199,0.4660104904889595,0.61,0.26401682384312153,43.14522274909541,0.928070316034602,0.9371604769143742,6.96,215.17914022700862,33.8712386416737,3,1.43,0.01
25,6.06,2191,0.6013840505387633,0.26,8.2,2199,0.108588005597936,0.61,0.19087569136172533,1.5167929015588015,0.840831535627367,0.913832601168193,6.96,275.1193124600686,11.506248232268263,76,1.43,0.01
26,6.06,2191,0.30891477814875545,0.26,8.2,2199,0.9879007999985479,0.61,0.14841417204588653,89.1299526640214,0.8162329641147517,0.9327267669704743,6.96,46.76490630949847,46.64439010695787,65,1.43,0.01
27,6.06,2191,0.16178125869482757,0.26,8.2,2199,0.23082110451208426,0.61,0.6938812851905822,21.077670694328845,0.8696077557730023,0.9968019065698609,6.96,59.02163603119552,22.656355042534415,8,1.43,0.01
28,6.06,2191,0.24019810366444289,0.26,8.2,2199,0.9707893127414864,0.61,0.8007553670555353,87.70325236255303,0.8002393821892329,0.9517218513060361,6.96,149.68637304990554,28.986735493235756,44,1.43,0.01
29,6.06,2191,0.4514323065523058,0.26,8.2,2199,0.31293154541240076,0.61,0.6870836865156889,14.097221010131761,0.8305165421434213,0.9650907984059304,6.96,273.4400130883325,17.065483262063935,58,1.43,0.01
30,6.06,2191,0.46817785110324617,0.26,8.2,2199,0.9494973454563879,0.61,0.6898675080388784,51.90356037928723,0.9760343602788635,0.9352323130157311,6.96,359.2971198029816,33.953749178152066,28,1.43,0.01
31,6.06,2191,0.26476116669364275,0.26,8.2,2199,0.27398783941892907,0.61,0.1550776991993189,72.11450054077432,0.9039202302291524,0.9790647544409148,6.96,59.49459031503647,25.027483939542435,32,1.43,0.01
32,6.06,2191,0.6257565598003566,0.26,8.2,2199,0.0062246909264940765,0.61,0.3698995005339384,10.389133645454422,0.8958288242623675,0.9078920788443647,6.96,358.13611189452934,16.8984133276972,57,1.43,0.01
33,6.06,2191,0.6145053823944181,0.26,8.2,2199,0.3671030315509997,0.61,0.13801084086298943,20.002793970284984,0.9586681287751999,0.9706587630752475,6.96,52.49156547044404,39.446693812380545,3,1.43,0.01
34,6.06,2191,0.4199500331655145,0.26,8.2,2199,0.41434361480968074,0.61,0.7151425626128912,11.829330757725984,0.9107970859315246,0.9821991071049124,6.96,403.81442772760056,17.401009046006948,44,1.43,0.01
35,6.06,2191,0.6398115614894777,0.26,8.2,2199,0.9115367106306367,0.61,0.8603077802807093,59.10126022202894,0.9143265867219307,0.9600712842901703,6.96,137.54325747592375,12.952850461762864,68,1.43,0.01
36,6.06,2191,0.41032166974619033,0.26,8.2,2199,0.6366578421532176,0.61,0.30062964353710414,40.90445499215275,0.9672110916981473,0.9829519356444943,6.96,156.51562453047373,19.462455597589724,2,1.43,0.01
37,6.06,2191,0.2118303556460887,0.26,8.2,2199,0.71860530897649,0.61,0.39866905771195893,30.976562632713467,0.858793619877426,0.9265100166618359,6.96,160.61102604125628,20.94431673863437,32,1.43,0.01
38,6.06,2191,0.3277322073467076,0.26,8.2,2199,0.8641866687019356,0.61,0.8977149359881879,32.64213815354742,0.9006523847393691,0.9404996408165899,6.96,196.2911836513318,21.509040574368555,5,1.43,0.01
39,6.06,2191,0.11495858859270812,0.26,8.2,2199,0.3549323167933617,0.61,0.3911185294389725,39.769041393185034,0.9343982397022191,0.9367914012973197,6.96,468.59213023856285,30.110145316808484,11,1.43,0.01
40,6.06,2191,0.11584366490133108,0.26,8.2,2199,0.9035068228584714,0.61,0.3766957767307758,24.960767673095688,0.9501937346854248,0.9053200329900719,6.96,44.801569734886286,49.467952321167104,41,1.43,0.01
41,6.06,2191,0.20731232585385442,0.26,8.2,2199,0.8587560191573576,0.61,0.23809750508517027,86.88404747098684,0.9452989565469325,0.9055481435658876,6.96,147.26951363906264,7.825473060191143,66,1.43,0.01
42,6.06,2191,0.3245892477687448,0.26,8.2,2199,0.19719178474415094,0.61,0.7754074702039361,67.9463515789248,0.9002191346716136,0.9281287836581469,6.96,140.9303445597645,35.219901051488705,14,1.43,0.01
43,6.06,2191,0.20218201968818905,0.26,8.2,2199,0.9210749352099374,0.61,0.10738387685269118,88.83332072757185,0.90271879905276,0.9849839120793622,6.96,10.496593068353832,48.68820993107511,46,1.43,0.01
44,6.06,2191,0.5472752980887889,0.26,8.2,2199,0.38901333360583523,0.61,0.3164413828402758,96.45973467943259,0.8443158870281187,0.9067134565911256,6.96,203.61828174646945,50.42820795055013,30,1.43,0.01
45,6.06,2191,0.5350723328068853,0.26,8.2,2199,0.47594638289720753,0.61,0.35226288586854937,31.838855233974755,0.8058944161720575,0.9664376000510528,6.96,44.975039067119354,10.603535686212126,39,1.43,0.01
46,6.06,2191,0.6087046649307012,0.26,8.2,2199,0.23204999249172398,0.61,0.6623340386897325,81.15892151370645,0.9463270974354818,0.9653607351751998,6.96,443.85128928055053,8.608792462036945,29,1.43,0.01
47,6.06,2191,0.47641889639198776,0.26,8.2,2199,0.871075954948552,0.61,0.3408411856740713,65.24324831925333,0.8958652162880172,0.9472563745903317,6.96,461.3960754607804,44.10487837565597,3,1.43,0.01
48,6.06,2191,0.446298059495166,0.26,8.2,2199,0.9468625097617042,0.61,0.7079384149983525,17.643349272897467,0.8211132243166213,0.9577062252473552,6.96,257.76877566357143,46.67403278243728,57,1.43,0.01
49,6.06,2191,0.33876159973442554,0.26,8.2,2199,0.4557582997120917,0.61,0.7643350780010224,18.82025260105729,0.9888130925556179,0.9978021486194338,6.96,497.95824923729526,31.205635590362363,23,1.43,0.01
50,6.06,2191,0.6909483880735934,0.26,8.2,2199,0.05889204167225398,0.61,0.42118871919810774,81.74182767188177,0.826858091614442,0.9061826965387445,6.96,309.35119028058836,22.146472900698427,40,1.43,0.01
51,6.06,2191,0.3407961308490485,0.26,8.2,2199,0.4683487702521961,0.61,0.594814732298255,23.462137319380417,0.853687783002155,0.9662028679959476,6.96,295.7070990910288,39.3852595766657,62,1.43,0.01
52,6.06,2191,0.2992144523188472,0.26,8.2,2199,0.7813237617814448,0.61,0.21696720328181984,46.84137089946307,0.8449979147049599,0.9300754373939708,6.96,490.4645819449332,49.41394202457741,10,1.43,0.01
53,6.06,2191,0.5107398995198309,0.26,8.2,2199,0.34917200101865453,0.61,0.5196155829355121,2.4206612785346806,0.9196167796202935,0.9640371448157821,6.96,291.1853144804947,37.129453494155314,58,1.43,0.01
54,6.06,2191,0.2155179654248059,0.26,8.2,2199,0.47353792209364476,0.61,0.20768522676080467,94.6517672156915,0.8343307272272651,0.9178681279825978,6.96,469.2562581770588,10.934674502525013,73,1.43,0.01
55,6.06,2191,0.5180261865258217,0.26,8.2,2199,0.5036920791140291,0.61,0.6636252408847213,87.58560415403917,0.95432870488357735,0.972210033339914,6.96,271.2499945128802,10.212245896749664,7,1.43,0.01
56,6.06,2191,0.5076891527511179,0.26,8.2,2199,0.010532174012390896,0.61,0.7550491036847234,78.60384429642,0.9909251899719238,0.9381121178918984,6.96,187.39518456282096,46.64751437335508,8,1.43,0.01
57,6.06,2191,0.13949044467881322,0.26,8.2,2199,0.7917376008278224,0.61,0.4220533477142453,69.74412376293913,0.9494841485652141,0.9726886376284528,6.96,381.81634499691427,16.503438670246396,31,1.43,0.01
58,6.06,2191,0.1726637625601143,0.26,8.2,2199,0.7573567249623593,0.61,0.380501762777567,89.83331648539752,0.8570982008224819,0.9627799081499688,6.96,163.93309535929004,12.029886356496718,4,1.43,0.01
59,6.06,2191,0.6560486980713903,0.26,8.2,2199,0.6766960555310361,0.61,0.10049227382987738,25.856434246758,0.8620735889379867,0.9116977757890709,6.96,416.1243379155174,28.968177851173095,49,1.43,0.01
60,6.06,2191,0.1371687062550336,0.26,8.2,2199,0.7236948100998998,0.61,0.402557291649282,32.542259162757546,0.9650001066990662,0.9959537357634399,6.96,80.463531735586,25.028706783254165,35,1.43,0.01
61,6.06,2191,0.3836651888210326,0.26,8.2,2199,0.9387150835692882,0.61,0.31166439242661004,9.179170611780137,0.8526363172826823,0.9846259306780993,6.96,355.2049549186137,46.161904152773786,71,1.43,0.01
