Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,3,0.12999999999999998,2,3,39,1,99,108,0.5000000000000001,0.8800000000000006,0.5400000000000003,0.09999999999999999,4,2,1,1,5,2,1,1,5,0,15,7,H,0.10000000000000002,0.44000000000000017,0.5400000000000003,0.09999999999999999
1,1,2,0,2,0.12999999999999998,2,3,84,24,82,23,0.4700000000000001,0.2900000000000001,0.04,0.8900000000000006,4,2,1,2,5,3,1,2,3,0,18,7,H,0.09400000000000001,0.09666666666666668,0.04,0.4450000000000003
1,2,3,0,4,0.09999999999999999,2,3,35,23,33,66,0.7300000000000003,0.3300000000000001,0.02,0.20000000000000004,3,2,1,2,4,2,1,3,2,0,20,7,H,0.18250000000000008,0.165,0.02,0.06666666666666667
1,2,4,0,5,0.09999999999999999,1,2,3,7,40,54,0.4100000000000001,0.21000000000000005,0.05,0.18000000000000002,3,2,1,1,4,2,1,1,6,0,21,7,H,0.10250000000000001,0.10499999999999998,0.05,0.18000000000000002
1,3,5,0,6,0.24000000000000007,2,3,49,24,44,45,0.46000000000000013,0.16,0.4100000000000002,0.12999999999999998,3,1,3,2,4,1,3,2,4,0,20,7,H,0.115,0.16,0.13666666666666671,0.065
1,3,6,0,9,0.11999999999999998,2,3,32,72,36,5,0.48000000000000015,0.05,0.12999999999999998,0.10999999999999999,3,1,1,1,4,1,1,1,4,0,20,7,H,0.12000000000000004,0.05,0.12999999999999998,0.10999999999999999
1,4,7,0,4,0.12999999999999998,2,3,101,32,27,21,0.33,0.25000000000000006,0.11999999999999998,0.09,4,1,1,1,5,1,1,1,2,0,18,7,H,0.066,0.25000000000000006,0.11999999999999998,0.09
1,4,8,0,8,0.09999999999999999,2,2,114,79,44,2,0.6600000000000003,1.6600000000000013,0.35000000000000014,0.01,4,4,1,1,4,4,1,1,2,0,16,7,H,0.16500000000000006,0.4150000000000002,0.35000000000000014,0.01
1,5,9,0,3,0.17,3,4,47,103,41,46,0.5000000000000001,0.2800000000000001,0.08,0.02,5,1,1,1,6,1,1,1,5,0.5,17,7,H,0.08333333333333334,0.2800000000000001,0.08,0.02
1,5,10,0,7,0.13999999999999999,2,3,95,94,7,25,0.41000000000000003,0.08,0.11999999999999998,0.11999999999999998,3,1,1,1,4,1,1,1,3,0,17,7,H,0.10250000000000002,0.08,0.11999999999999998,0.11999999999999998
1,6,11,0,9,0.6200000000000003,3,4,68,45,67,117,1.0300000000000005,0.09999999999999999,0.08,0.19000000000000003,5,1,1,2,6,1,1,2,4,0,15,7,H,0.17166666666666672,0.09999999999999999,0.08,0.095
1,6,12,0,4,0.13999999999999999,2,3,99,35,59,27,0.4800000000000001,0.25000000000000006,0.09999999999999999,0.060000000000000005,4,1,1,1,5,1,1,1,2,0,16,7,H,0.09600000000000002,0.25000000000000006,0.09999999999999999,0.060000000000000005
1,7,13,1,11,0.12999999999999998,2,3,116,72,115,68,0.5300000000000001,0.09,0.060000000000000005,0.17,4,1,1,1,5,1,1,1,2,0,12,7,H,0.10600000000000002,0.09,0.060000000000000005,0.17
1,7,14,1,7,0.09,1,2,74,28,6,26,0.3700000000000001,0.15,0.19000000000000003,0.05,3,1,2,1,4,1,2,1,3,0,19,7,H,0.0925,0.15,0.095,0.05
1,8,15,1,6,0.20000000000000004,2,2,56,28,11,84,0.45000000000000007,0.4000000000000002,0.7700000000000005,0.01,3,3,2,1,3,5,2,1,4,0,18,7,H,0.15000000000000002,0.08,0.38500000000000023,0.01
1,8,16,1,15,0.15,2,4,64,19,22,88,0.6800000000000003,0.04,0.20000000000000004,0.19000000000000003,4,1,1,1,6,1,1,1,4,0,19,7,H,0.11333333333333337,0.04,0.20000000000000004,0.19000000000000003
1,9,17,1,13,0.11999999999999998,2,2,23,21,73,75,0.46000000000000013,0.04,0.16,0.11999999999999998,4,1,1,2,4,1,1,2,6,0,18,7,H,0.11500000000000002,0.04,0.16,0.060000000000000005
1,9,18,1,12,0.12999999999999998,2,3,91,89,42,71,0.4700000000000001,0.08,0.2800000000000001,0.05,3,1,1,1,4,1,1,1,3,0,15,7,H,0.11750000000000003,0.08,0.2800000000000001,0.05
1,10,19,1,3,0.17,2,3,34,116,31,29,0.5600000000000002,1.1900000000000008,0.02,0.01,4,2,1,1,5,3,1,1,5,0.5,17,7,H,0.11200000000000003,0.3966666666666669,0.02,0.01
1,10,20,1,14,0.15,2,3,47,82,6,3,1.0800000000000005,0.01,1.1300000000000008,0.07,4,1,2,2,5,1,2,2,5,0,20,7,H,0.2160000000000001,0.01,0.5650000000000004,0.035
1,11,21,1,10,0.10999999999999999,1,3,87,4,45,95,0.46000000000000013,0.10999999999999999,0.8100000000000005,0.2800000000000001,2,1,2,3,4,1,2,3,6,0,17,7,H,0.11500000000000003,0.10999999999999999,0.40500000000000025,0.09333333333333335
1,11,22,1,15,0.11999999999999998,2,3,35,71,74,76,0.5400000000000001,0.03,0.09,0.15,3,1,1,2,4,1,1,2,4,0,15,7,H,0.13500000000000006,0.03,0.09,0.075
1,12,23,1,15,0.17,2,3,6,70,79,11,0.6000000000000002,0.060000000000000005,0.3900000000000002,0.03,4,1,1,1,6,1,1,1,4,0,19,7,H,0.10000000000000002,0.060000000000000005,0.3900000000000002,0.03
1,12,24,1,4,0.07,2,2,102,97,21,92,0.27,0.13999999999999999,0.20000000000000004,0.09,3,1,1,1,3,1,1,1,2,0,13,7,H,0.09000000000000001,0.13999999999999999,0.20000000000000004,0.09
1,13,25,1,6,0.12999999999999998,1,2,111,50,60,119,0.6700000000000003,0.08,0.03,0.18000000000000002,2,1,1,2,3,1,1,2,4,0,12,7,H,0.2233333333333334,0.08,0.03,0.09
1,13,26,1,15,0.2700000000000001,3,4,65,1,77,78,0.5600000000000002,2.3699999999999934,2.1199999999999988,1.0300000000000007,4,4,4,2,5,4,4,2,4,0,16,7,H,0.11200000000000002,0.5925000000000004,0.5300000000000002,0.5150000000000003
1,14,27,1,12,0.17,2,3,95,55,86,97,0.43000000000000005,0.2800000000000001,0.8100000000000005,0.08,4,1,3,1,5,1,3,1,3,0,12,7,H,0.08600000000000001,0.2800000000000001,0.27000000000000013,0.08
1,14,28,1,11,0.18000000000000002,2,3,109,69,1,114,0.5100000000000001,0.4100000000000002,0.10999999999999999,0.05,4,2,1,1,5,2,1,1,2,0,14,7,H,0.10200000000000002,0.20500000000000007,0.10999999999999999,0.05
1,15,29,1,4,0.22000000000000006,2,3,105,106,33,31,0.6300000000000002,0.09,0.3200000000000001,0.09999999999999999,4,1,1,1,7,1,1,1,2,0,14,7,H,0.09000000000000001,0.09,0.3200000000000001,0.09999999999999999
1,15,30,1,10,0.22000000000000006,2,2,112,75,59,84,0.7000000000000003,0.10999999999999999,0.03,0.07,4,2,1,1,4,2,1,1,6,0,12,7,H,0.17500000000000002,0.055,0.03,0.07
1,16,31,1,11,0.18000000000000002,4,4,109,113,7,5,0.44000000000000006,0.12999999999999998,0.9800000000000006,0.02,5,1,3,1,5,1,4,1,2,0,16,7,H,0.08800000000000001,0.12999999999999998,0.2450000000000001,0.02
1,16,32,1,12,0.15,3,3,100,61,66,13,2.1400000000000015,1.300000000000001,1.0500000000000007,0.45000000000000023,7,2,2,2,7,2,2,2,3,0,16,7,H,0.3057142857142859,0.6500000000000005,0.5250000000000004,0.22500000000000012
1,17,33,1,6,0.20000000000000004,2,3,114,49,77,27,0.5500000000000002,0.07,0.04,0.09999999999999999,3,1,1,1,4,1,1,1,4,0,14,7,H,0.13750000000000004,0.07,0.04,0.09999999999999999
1,17,34,1,13,0.16,2,3,18,15,22,99,0.5500000000000002,1.9000000000000015,0.01,0.6100000000000003,4,3,1,2,5,3,1,2,6,0.5,20,7,H,0.11000000000000001,0.6333333333333337,0.01,0.30500000000000016
1,18,35,1,4,1.1800000000000008,4,4,100,88,108,8,1.650000000000001,0.3100000000000001,0.05,0.05,6,1,1,1,6,1,1,1,2,0,13,7,H,0.27500000000000013,0.3100000000000001,0.05,0.05
1,18,36,1,15,0.22000000000000006,3,3,65,69,73,76,0.5300000000000001,0.11999999999999998,0.02,0.02,4,1,2,1,4,1,2,1,4,0,14,7,H,0.13250000000000003,0.11999999999999998,0.01,0.02
1,19,37,1,7,0.09999999999999999,2,3,82,81,52,102,0.22999999999999998,0.05,0.18000000000000002,0.16,3,1,1,1,4,1,1,1,3,0,12,7,H,0.057499999999999996,0.05,0.18000000000000002,0.16
1,19,38,1,11,0.17,2,2,115,117,85,69,0.4900000000000001,0.23000000000000007,0.08,0.08,3,1,1,1,3,1,1,1,2,0,11,7,H,0.16333333333333336,0.23000000000000007,0.08,0.08
1,20,39,1,10,0.09999999999999999,2,2,11,3,60,37,0.31000000000000005,0.13999999999999999,0.09,0.16,3,1,1,1,3,1,1,1,6,0,21,7,H,0.10333333333333335,0.13999999999999999,0.09,0.16
1,20,40,1,3,0.13999999999999999,2,3,100,33,69,106,0.4700000000000001,0.05,0.16,0.5600000000000003,3,1,1,3,4,1,1,4,5,0,13,7,H,0.11750000000000003,0.05,0.16,0.14
1,21,41,1,14,0.17,2,3,45,40,75,60,0.5800000000000002,0.08,0.05,0.09,5,1,1,2,7,1,1,2,5,0,17,7,H,0.08285714285714285,0.08,0.05,0.045
1,21,42,1,13,0.09999999999999999,2,3,19,100,18,25,1.0200000000000007,5.269999999999932,0.01,0.03,4,6,1,1,5,7,1,1,6,0,19,7,H,0.20400000000000013,0.7528571428571422,0.01,0.03
1,22,43,1,3,0.11999999999999998,2,3,61,28,106,27,0.7100000000000003,0.02,0.10999999999999999,0.04,3,1,1,1,4,1,1,1,5,0,16,7,H,0.17750000000000007,0.02,0.10999999999999999,0.04
