Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,6.06,2191,0.26128967395052316,0.26,8.2,2199,0.6385814528155607,0.61,0.17482627499848605,95.50835652067326,0.9015049572708085,0.9916258460772224,6.96,229.84373354818672,37.78088500746526,55,1.43,0.01
2,6.06,2191,0.6051411489490419,0.26,8.2,2199,0.6481290562038775,0.61,0.470422338321805,95.21858915127814,0.9548363014077768,0.9868734068367631,6.96,159.8161273024045,9.14126619452145,10,1.43,0.01
3,6.06,2191,0.24187073605135084,0.26,8.2,2199,0.9227483248207718,0.61,0.36514065675437457,92.0267905795481,0.8769714336313773,0.9168133353420999,6.96,240.76787336412818,13.650379822123796,46,1.43,0.01
4,6.06,2191,0.4221253889147192,0.26,8.2,2199,0.11228040237515234,0.61,0.3541269017383456,14.475887829437852,0.8235309383447748,0.9256257851938717,6.96,410.8290733938105,20.480175178323407,18,1.43,0.01
5,6.06,2191,0.6341505822259932,0.26,8.2,2199,0.7591714323982597,0.61,0.524965313449502,17.421381884021685,0.9441636262142565,0.9536257819868624,6.96,459.38584246942776,43.710574244265445,12,1.43,0.01
6,6.06,2191,0.2917486236896366,0.26,8.2,2199,0.21835795289766974,0.61,0.6069923447445035,82.5607409318909,0.8837546373209917,0.9110628600516357,6.96,82.8615422067698,45.2288128597429,13,1.43,0.01
7,6.06,2191,0.3076544944662601,0.26,8.2,2199,0.6328579098246991,0.61,0.8224184971302748,22.25404077838175,0.9832966443400364,0.9780553026935086,6.96,107.47796265226788,34.705438760109246,20,1.43,0.01
8,6.06,2191,0.2472784706391394,0.26,8.2,2199,0.2769712375900708,0.61,0.3946010932326317,14.291191631229594,0.82703212022339,0.9351322478943039,6.96,281.10140003971753,29.55974012229126,32,1.43,0.01
9,6.06,2191,0.6195944961160421,0.26,8.2,2199,0.874597169504501,0.61,0.6987382562831044,31.13190871477127,0.9502993916557171,0.9786526099923067,6.96,317.4189439695794,50.65515981154749,27,1.43,0.01
10,6.06,2191,0.5630019227042794,0.26,8.2,2199,0.5275581605739426,0.61,0.6244953813031315,1.0492616917472333,0.9953032284048386,0.9599924864438363,6.96,475.42560069025495,22.91040145896841,51,1.43,0.01
11,6.06,2191,0.1889553443528712,0.26,8.2,2199,0.721974035430001,0.61,0.43333662226796155,62.67399449367076,0.939688739744015,0.9129357136928011,6.96,327.06998544088566,54.03169795888243,45,1.43,0.01
12,6.06,2191,0.6053185645025223,0.26,8.2,2199,0.0635972816720605,0.61,0.8654454436153174,24.472594541031867,0.8643284038470592,0.9384116927208379,6.96,163.37474447009154,13.691696625843178,16,1.43,0.01
13,6.06,2191,0.5710154894273728,0.26,8.2,2199,0.9374718805898447,0.61,0.611756837554276,65.81815657648258,0.9520065891447012,0.9062335388080682,6.96,209.66658396641725,33.985692753631156,58,1.43,0.01
14,6.06,2191,0.42180370208807294,0.26,8.2,2199,0.26982957434281707,0.61,0.6101304246112704,49.59899188042618,0.9569596422475297,0.9351944616967812,6.96,317.4418744758703,21.177824881335255,26,1.43,0.01
15,6.06,2191,0.3511391051579267,0.26,8.2,2199,0.9635847848181147,0.61,0.8570595741271972,2.2411361928097904,0.854737050947966,0.9119745195689611,6.96,350.94145075813867,52.480453773459885,25,1.43,0.01
16,6.06,2191,0.22151301186531783,0.26,8.2,2199,0.359078666116111,0.61,0.8004504006356001,63.196416170103475,0.9932632004413754,0.9579927702632267,6.96,461.8147953091655,12.699114522547461,32,1.43,0.01
17,6.06,2191,0.6256156432442367,0.26,8.2,2199,0.6879617659249343,0.61,0.2577768774703145,8.845332947326824,0.9893838952044025,0.9736497312071734,6.96,173.92604527589864,52.481407834682614,36,1.43,0.01
18,6.06,2191,0.4046250442042947,0.26,8.2,2199,0.904727171474602,0.61,0.27191310171037913,50.56277583632618,0.9468954552614596,0.9883752068281174,6.96,311.5708031937014,44.21960312931333,67,1.43,0.01
19,6.06,2191,0.609797232877463,0.26,8.2,2199,0.7699400098582264,0.61,0.4016159664839506,90.07108379527926,0.8262613391680643,0.9703869452225045,6.96,105.77821178506127,19.807255862571765,75,1.43,0.01
20,6.06,2191,0.41155670559965074,0.26,8.2,2199,0.30050433085788975,0.61,0.3383170137181878,85.71976626641117,0.8542455572371837,0.9526859231132548,6.96,304.7599594457075,31.25488030037377,9,1.43,0.01
21,6.06,2191,0.10236937920562923,0.26,8.2,2199,0.40305489049036985,0.61,0.6089110231027007,36.87048280076124,0.9222118781781755,0.922929218219826,6.96,182.86616278090514,29.668690716964193,76,1.43,0.01
22,6.06,2191,0.38060961575247343,0.26,8.2,2199,0.1369252848122269,0.61,0.12197860702872276,78.80612856056541,0.9789944350754376,0.9129157807265874,6.96,102.05882162065245,28.325012400513515,20,1.43,0.01
23,6.06,2191,0.33978829709812997,0.26,8.2,2199,0.6373212615896482,0.61,0.21817618776112796,82.00810957304202,0.8487558784552385,0.9124964137868956,6.96,247.20765863042325,51.378332266700454,61,1.43,0.01
24,6.06,2191,0.5413413304369896,0.26,8.2,2199,0.7212313703838735,0.61,0.742628095112741,73.26817598706111,0.8924344297475182,0.9192747733129655,6.96,327.5222279743757,35.38573488563998,23,1.43,0.01
25,6.06,2191,0.2593455765862018,0.26,8.2,2199,0.6652405876545235,0.61,0.7947647720575333,93.44697617040947,0.8310049617325421,0.9839111617854797,6.96,327.4816416211426,45.73478501505451,52,1.43,0.01
26,6.06,2191,0.5858028124086558,0.26,8.2,2199,0.2550145878624171,0.61,0.5688598569482565,42.39402503659949,0.910369522766443,0.9096294391318225,6.96,475.93454268891367,21.527059958374593,15,1.43,0.01
27,6.06,2191,0.23663386586122215,0.26,8.2,2199,0.23578046832210384,0.61,0.750381382741034,73.13768326630816,0.9762980534569361,0.9024421853553504,6.96,19.167179113440216,16.500079351186287,27,1.43,0.01
