Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,8,0.6700000000000004,2,6,113,30,22,119,2.450000000000002,0.7600000000000005,0.5000000000000002,0.36000000000000015,4,2,1,2,14,2,1,2,2,0,15,7,HL,0.17500000000000004,0.38000000000000017,0.5000000000000002,0.18000000000000002
1,1,2,0,4,0.6800000000000004,2,3,3,44,60,48,2.660000000000002,0.5300000000000002,0.38000000000000017,0.34000000000000014,5,1,1,2,6,1,1,2,2,0,20,7,HL,0.4433333333333335,0.5300000000000002,0.38000000000000017,0.17000000000000004
1,2,3,0,1,1.350000000000001,2,8,109,111,11,69,4.169999999999985,0.34000000000000014,0.26000000000000006,0.48000000000000026,4,1,2,1,13,1,2,1,5,0,14,7,HL,0.3207692307692309,0.34000000000000014,0.12999999999999998,0.48000000000000026
1,2,4,0,10,0.4400000000000002,1,2,23,13,51,14,1.8000000000000012,0.8400000000000005,0.5000000000000002,0.3300000000000001,3,2,1,1,6,5,1,1,6,0.5,22,7,HL,0.3000000000000001,0.16800000000000004,0.5000000000000002,0.3300000000000001
1,3,5,0,4,0.8400000000000005,3,7,97,83,31,3,2.730000000000002,1.1200000000000008,0.6600000000000004,0.49000000000000027,5,2,2,2,13,2,3,2,2,0,16,7,HL,0.21000000000000005,0.5600000000000003,0.22000000000000006,0.24500000000000005
1,3,6,0,3,0.3300000000000001,2,3,16,120,89,116,2.7399999999999927,0.6700000000000004,0.3300000000000001,0.19000000000000003,5,2,1,1,10,2,1,1,5,0,13,7,HL,0.27400000000000013,0.33500000000000013,0.3300000000000001,0.19000000000000003
1,4,7,0,5,0.6400000000000003,2,3,10,71,7,86,2.989999999999994,0.8100000000000005,0.8300000000000005,1.9600000000000015,5,2,2,3,11,4,2,4,6,0,19,7,HL,0.2718181818181819,0.20250000000000007,0.4150000000000002,0.49000000000000027
1,4,8,0,4,0.6900000000000004,5,7,23,99,14,16,2.520000000000002,0.5200000000000002,0.6600000000000004,5.089999999999936,7,1,1,4,12,1,1,7,2,0.5,20,7,HL,0.21000000000000008,0.5200000000000002,0.6600000000000004,0.7271428571428549
1,5,9,0,1,0.5300000000000002,2,3,69,92,89,64,3.219999999999987,0.8900000000000006,0.19000000000000003,0.3900000000000002,5,2,1,1,7,2,1,1,5,0,14,7,HL,0.46000000000000024,0.44500000000000023,0.19000000000000003,0.3900000000000002
1,5,10,0,10,1.350000000000001,17,20,20,21,23,45,2.4700000000000015,4.659999999999945,6.449999999999907,0.9800000000000006,18,7,8,3,21,9,16,3,6,0.5,23,7,HL,0.11761904761904765,0.5177777777777781,0.40312500000000023,0.3266666666666668
1,6,11,0,2,1.300000000000001,12,13,75,80,18,78,2.3100000000000014,0.6800000000000004,0.6100000000000003,0.7100000000000004,14,1,1,2,15,1,1,8,3,0.5,15,7,HL,0.15400000000000003,0.6800000000000004,0.6100000000000003,0.08875000000000001
1,6,12,0,3,0.4200000000000002,2,3,110,44,113,45,3.43999999999998,0.15,0.47000000000000025,0.10999999999999999,6,1,1,1,9,1,1,1,5,0,14,7,HL,0.3822222222222224,0.15,0.47000000000000025,0.10999999999999999
1,7,13,1,4,0.8100000000000005,2,5,97,98,61,63,1.8000000000000012,1.1000000000000008,0.6000000000000003,0.5100000000000002,4,1,3,2,7,1,3,2,2,0,12,7,HL,0.25714285714285723,1.1000000000000008,0.2000000000000001,0.25500000000000006
1,7,14,1,6,0.6300000000000003,2,4,85,110,116,112,3.789999999999977,0.2800000000000001,0.18000000000000002,0.13999999999999999,4,1,1,1,14,1,1,1,4,0.5,15,7,HL,0.27071428571428585,0.2800000000000001,0.18000000000000002,0.13999999999999999
1,8,15,1,3,0.3300000000000001,2,3,42,1,105,98,1.2000000000000006,1.7600000000000013,0.6700000000000004,0.8900000000000006,4,3,2,2,5,3,3,2,5,0,15,7,HL,0.2400000000000001,0.586666666666667,0.2233333333333334,0.4450000000000002
1,8,16,1,1,0.4200000000000002,2,3,83,28,66,33,2.1700000000000017,0.47000000000000025,0.4100000000000002,0.26000000000000006,3,2,1,1,4,2,1,1,5,0,17,7,HL,0.5425000000000003,0.2350000000000001,0.4100000000000002,0.26000000000000006
1,9,17,1,3,0.34000000000000014,2,3,44,64,74,97,1.720000000000001,1.360000000000001,0.8600000000000005,0.6600000000000004,4,3,2,1,6,5,2,1,5,0,14,7,HL,0.2866666666666668,0.27200000000000013,0.43000000000000016,0.6600000000000004
1,9,18,1,1,0.9300000000000006,7,9,27,34,115,86,1.7600000000000011,1.350000000000001,0.7500000000000004,0.25000000000000006,9,3,2,1,11,4,2,1,5,0,15,7,HL,0.16000000000000003,0.33750000000000013,0.37500000000000017,0.25000000000000006
1,10,19,1,7,0.4300000000000002,2,3,104,88,95,63,2.2600000000000016,0.4100000000000002,0.3200000000000001,0.2800000000000001,5,1,1,1,6,1,1,1,3,0,12,7,HL,0.37666666666666687,0.4100000000000002,0.3200000000000001,0.2800000000000001
1,10,20,1,3,0.6000000000000003,6,7,39,80,113,120,3.0099999999999927,0.7500000000000004,1.8300000000000014,0.08,10,2,3,1,15,2,4,1,5,0,12,7,HL,0.20066666666666674,0.37500000000000017,0.4575000000000003,0.08
1,11,21,1,6,0.5200000000000002,4,5,56,53,112,45,1.8700000000000012,0.48000000000000026,1.2300000000000009,1.9200000000000015,6,2,1,3,7,2,1,4,4,0,15,7,HL,0.26714285714285724,0.24000000000000007,1.2300000000000009,0.4800000000000003
1,11,22,1,7,0.25000000000000006,2,3,65,107,85,36,2.0500000000000016,1.300000000000001,0.10999999999999999,0.7500000000000004,4,2,1,2,5,3,1,2,3,0,14,7,HL,0.41000000000000025,0.43333333333333357,0.10999999999999999,0.37500000000000017
1,12,23,1,8,1.2400000000000009,4,5,42,115,41,69,2.660000000000002,1.0100000000000007,0.26000000000000006,0.3100000000000001,6,2,1,1,8,2,1,1,2,0,16,7,HL,0.33250000000000013,0.5050000000000002,0.26000000000000006,0.3100000000000001
1,12,24,1,1,0.5400000000000003,2,5,27,35,12,96,1.8100000000000012,0.7700000000000005,0.6700000000000004,1.490000000000001,4,1,1,2,9,1,1,2,5,0,19,7,HL,0.20111111111111116,0.7700000000000005,0.6700000000000004,0.7450000000000004
1,13,25,1,9,0.6000000000000003,2,5,38,68,77,73,2.0900000000000016,0.8900000000000006,0.34000000000000014,0.5500000000000003,5,2,1,2,8,3,2,4,4,0,15,7,HL,0.2612500000000001,0.29666666666666675,0.17000000000000004,0.1375
1,13,26,1,10,0.9300000000000006,14,15,22,13,31,55,2.910000000000002,0.7800000000000005,1.2200000000000009,0.4100000000000002,17,2,3,2,22,3,5,3,6,0,21,7,HL,0.13227272727272732,0.26000000000000006,0.2440000000000001,0.1366666666666667
1,14,27,1,6,1.1100000000000008,2,4,58,47,44,21,2.2700000000000014,0.6100000000000003,1.0000000000000007,0.36000000000000015,4,1,3,1,8,1,4,1,4,0,20,7,HL,0.2837500000000001,0.6100000000000003,0.2500000000000001,0.36000000000000015
1,14,28,1,7,0.24000000000000007,2,2,1,66,113,31,14.329999999999744,0.01,0.01,0.01,13,1,1,1,26,1,1,1,3,0,17,7,HL,0.5511538461538464,0.01,0.01,0.01
1,15,29,1,8,1.6400000000000012,13,17,8,62,116,9,3.0400000000000023,0.46000000000000024,7.169999999999892,1.1100000000000008,15,1,6,2,23,1,12,2,2,0,18,7,HL,0.13217391304347828,0.46000000000000024,0.5975000000000004,0.5550000000000004
1,15,30,1,7,0.6800000000000004,2,3,24,49,13,53,2.650000000000002,1.440000000000001,0.37000000000000016,1.1000000000000008,5,2,1,2,6,4,1,3,3,0,20,7,HL,0.44166666666666693,0.36000000000000015,0.37000000000000016,0.3666666666666668
1,16,31,1,8,2.0899999999999994,6,9,82,39,18,75,5.299999999999975,0.36000000000000015,0.4400000000000002,0.9800000000000006,10,1,2,2,17,1,2,2,2,0,17,7,HL,0.31176470588235305,0.36000000000000015,0.2200000000000001,0.4900000000000003
1,16,32,1,5,0.6800000000000004,12,12,31,54,6,59,4.889999999999955,3.179999999999976,0.01,0.01,18,3,1,1,23,3,1,1,6,0,19,7,HL,0.21260869565217402,1.0600000000000003,0.01,0.01
1,17,33,1,10,0.5600000000000003,2,3,55,15,17,23,2.6899999999999986,0.3900000000000002,10.789999999999814,0.01,4,1,11,1,8,1,20,1,6,0.5,40,7,HL,0.33625000000000016,0.3900000000000002,0.5394999999999999,0.01
1,17,34,1,9,0.20000000000000004,2,2,5,119,112,110,3.529999999999973,0.9400000000000006,0.4000000000000002,0.09,6,3,2,1,9,3,2,1,4,0.5,18,7,HL,0.3922222222222224,0.31333333333333346,0.20000000000000007,0.09
1,18,35,1,6,1.0800000000000007,2,4,60,42,59,18,1.9900000000000013,2.339999999999994,0.3200000000000001,0.36000000000000015,3,3,1,1,5,6,1,1,4,0,19,7,HL,0.3980000000000002,0.3900000000000002,0.3200000000000001,0.36000000000000015
1,18,36,1,1,0.34000000000000014,2,3,28,11,2,115,1.2700000000000007,1.5600000000000012,0.7800000000000005,0.13999999999999999,4,2,2,1,6,5,2,1,5,0,19,7,HL,0.21166666666666675,0.31200000000000017,0.3900000000000002,0.13999999999999999
1,19,37,1,1,0.4400000000000002,2,3,115,3,30,34,1.9800000000000013,0.9800000000000006,0.6300000000000003,0.25000000000000006,5,2,2,2,8,3,3,2,5,0,18,7,HL,0.24750000000000008,0.3266666666666668,0.21000000000000005,0.12499999999999997
1,19,38,1,3,0.45000000000000023,4,5,43,59,14,100,2.2800000000000016,1.1100000000000008,2.109999999999999,0.20000000000000004,6,3,5,1,10,3,5,1,5,0,17,7,HL,0.2280000000000001,0.3700000000000002,0.42200000000000026,0.20000000000000004
