Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,6.06,2191,0.6419285525102167,0.26,8.2,2199,0.3576882887312677,0.61,0.5670491943135858,64.53593311156146,0.9822810448096133,0.9618861013613641,6.96,226.72455806396903,41.326752151420806,21,1.43,0.01
2,6.06,2191,0.5165833085309715,0.26,8.2,2199,0.19661947317328304,0.61,0.3518093103542924,56.35863862745464,0.931626303486526,0.9199770340654068,6.96,421.6573032698594,49.21109703311231,67,1.43,0.01
3,6.06,2191,0.6249989785254001,0.26,8.2,2199,0.5399702720872592,0.61,0.40140054542571313,16.715795167256147,0.8392676324807108,0.9569893603739329,6.96,489.4957550184801,32.294531649909914,72,1.43,0.01
4,6.06,2191,0.41206637113355105,0.26,8.2,2199,0.7213987345120404,0.61,0.17205811887979508,35.428652602480724,0.9619373008799739,0.9479735617982223,6.96,442.2687701153569,42.41815997188678,68,1.43,0.01
5,6.06,2191,0.1829559883568436,0.26,8.2,2199,0.6313852363098412,0.61,0.17938419412821532,88.47563439235091,0.9734473497078289,0.9920343395532109,6.96,100.94722936409525,44.037467238958925,55,1.43,0.01
6,6.06,2191,0.290086382208392,0.26,8.2,2199,0.7791565793412738,0.61,0.18665598537772896,26.484112141653895,0.801067580996547,0.9122824868035968,6.96,172.85585543378258,32.85654443711974,63,1.43,0.01
7,6.06,2191,0.4038352667819709,0.26,8.2,2199,0.5371279358835891,0.61,0.8995783872902393,72.80392687697895,0.8848733271423261,0.9920131186321378,6.96,156.06095547261648,51.26779859245289,22,1.43,0.01
8,6.06,2191,0.3877032388467342,0.26,8.2,2199,0.6425440875468775,0.61,0.6753567382693291,11.704998926492408,0.9054621126418934,0.9434216100561899,6.96,355.1355529295746,22.241647380695213,12,1.43,0.01
9,6.06,2191,0.13208207343704997,0.26,8.2,2199,0.6260979263305199,0.61,0.8719106817618013,35.62456184043549,0.967078616505256,0.9913647695872932,6.96,432.30622624284587,52.22126866312465,6,1.43,0.01
10,6.06,2191,0.19465794800780714,0.26,8.2,2199,0.6701557664861902,0.61,0.11506218742579222,12.52394955093041,0.8625260875720997,0.9302006080923602,6.96,462.42871571499853,18.67174069484463,2,1.43,0.01
11,6.06,2191,0.24275170550681652,0.26,8.2,2199,0.24316402841033413,0.61,0.8392042018473148,88.79276255052537,0.870645599919837,0.9005066286935471,6.96,81.3945355257485,53.52559801307507,46,1.43,0.01
12,6.06,2191,0.3238582010846585,0.26,8.2,2199,0.36026986999367366,0.61,0.5341276666149497,11.611064383527264,0.820086736970814,0.9895116661470383,6.96,158.7285627252888,12.416020653152373,60,1.43,0.01
13,6.06,2191,0.15457918299362064,0.26,8.2,2199,0.6719785734431353,0.61,0.10423245783895255,63.13343387283385,0.9758101793497336,0.9889440039843321,6.96,463.7875535459258,34.41803155443631,10,1.43,0.01
14,6.06,2191,0.22912913835607468,0.26,8.2,2199,0.2875107987781521,0.61,0.8984811995178461,98.10063593927771,0.9395758361995686,0.9040281172706746,6.96,402.44910266273655,24.79574387340108,15,1.43,0.01
15,6.06,2191,0.6438480629585683,0.26,8.2,2199,0.11474064108007588,0.61,0.6740630004554987,79.66804590402171,0.9107723153163679,0.9683973492239601,6.96,227.87739607780242,25.824747522128746,71,1.43,0.01
16,6.06,2191,0.3986751366872341,0.26,8.2,2199,0.8396908414561767,0.61,0.6400718862190843,81.54107866855338,0.8835013193730266,0.9631699308743701,6.96,203.09785426789895,31.15044781920733,32,1.43,0.01
17,6.06,2191,0.4937209530733526,0.26,8.2,2199,0.35105823414283804,0.61,0.44492098726332185,46.113702611997724,0.8452095618282911,0.9239899285007268,6.96,71.24645834411494,22.072484315896872,65,1.43,0.01
18,6.06,2191,0.3001388126518577,0.26,8.2,2199,0.8603305958674755,0.61,0.6783116161823273,49.56849351688288,0.9657740933699533,0.9796619171225466,6.96,499.8262497850228,32.54686280677561,2,1.43,0.01
19,6.06,2191,0.43648690702393655,0.26,8.2,2199,0.7962269540044945,0.61,0.735662242770195,47.71841477439739,0.8004482818869875,0.9291888677794486,6.96,119.1257403037045,16.119885860418435,33,1.43,0.01
20,6.06,2191,0.6600775653030723,0.26,8.2,2199,0.00816891650040634,0.61,0.3040975671261549,85.8990009422414,0.9930533092573751,0.9765399263449944,6.96,365.0864970667288,19.50618229067186,34,1.43,0.01
21,6.06,2191,0.3193816812708974,0.26,8.2,2199,0.7684317758593242,0.61,0.22924103140830995,93.95803083153442,0.9046747122958768,0.9405028404886835,6.96,228.79264201368207,41.14659412042238,15,1.43,0.01
22,6.06,2191,0.3853235160931945,0.26,8.2,2199,0.6511356427487918,0.61,0.11329631637781859,85.42558592977002,0.9108560142880305,0.9693448907635175,6.96,24.598432941222562,27.1427790253656,19,1.43,0.01
23,6.06,2191,0.10231060292571784,0.26,8.2,2199,0.7472159473749344,0.61,0.5382682310417295,7.963239088887349,0.816238190371776,0.968212094933493,6.96,434.1038890987169,13.064013132359833,32,1.43,0.01
24,6.06,2191,0.569398338533938,0.26,8.2,2199,0.9091443997910246,0.61,0.21438317950814964,5.856875262456015,0.8344970282297581,0.9495852610396687,6.96,211.21784515674227,50.31178814661689,27,1.43,0.01
25,6.06,2191,0.6202446567360311,0.26,8.2,2199,0.586658940509893,0.61,0.651482504978776,70.16392851877026,0.87757067273953,0.9357308776311111,6.96,300.9845275011845,19.686079163046088,70,1.43,0.01
26,6.06,2191,0.5056889791972935,0.26,8.2,2199,0.21881698724022136,0.61,0.6746633050963282,44.45689341775142,0.9632184546117205,0.9528434031167999,6.96,428.47111869081857,15.856535116559826,63,1.43,0.01
27,6.06,2191,0.5994811648968607,0.26,8.2,2199,0.3925564260794781,0.61,0.6209293153136969,58.15512580703944,0.9729929310218431,0.9719932608513627,6.96,486.3222264885902,46.135264630953316,61,1.43,0.01
28,6.06,2191,0.5668953376822173,0.26,8.2,2199,0.5981160670414102,0.61,0.32945136427879335,73.56291017471813,0.959460625320673,0.9425324203907512,6.96,116.96014729626476,17.212220602028538,66,1.43,0.01
