Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,6.06,2191,0.6559250053483993,0.26,8.2,2199,0.26325256763980726,0.61,0.17529320362955333,97.29086592327803,0.941572922369698,0.9016783612088766,6.96,20.566123585170136,29.514494486909825,57,1.43,0.01
2,6.06,2191,0.30350958425551655,0.26,8.2,2199,0.2398372653934639,0.61,0.8730836372822524,75.35161340562627,0.8553886764289346,0.9134802375929431,6.96,358.10544422036037,9.954413466854021,36,1.43,0.01
3,6.06,2191,0.18985852152109145,0.26,8.2,2199,0.7849689574844669,0.61,0.5603745743632317,60.553115266608074,0.8889393972242251,0.9104090062882751,6.96,156.27286952743307,14.007546039822046,66,1.43,0.01
4,6.06,2191,0.32001940328627826,0.26,8.2,2199,0.609067361713387,0.61,0.39547229558229446,40.616668444592506,0.8346191396832001,0.9647894000960514,6.96,99.17079395516775,52.75022756290855,70,1.43,0.01
5,6.06,2191,0.24611576977185906,0.26,8.2,2199,0.08485694693587721,0.61,0.6716840961948037,92.34235835215077,0.8453753733658232,0.900613669852959,6.96,444.04149571759626,43.057105838903226,38,1.43,0.01
6,6.06,2191,0.49013586933724584,0.26,8.2,2199,0.9557890130248852,0.61,0.419989424571395,92.9302009944804,0.8158615332306363,0.9895503191070165,6.96,489.08799647307023,49.44827551115304,60,1.43,0.01
7,6.06,2191,0.24431613464839758,0.26,8.2,2199,0.3346633063163608,0.61,0.772875363752246,89.60099578439258,0.9411396855069325,0.9935517306765541,6.96,322.4932869359851,13.227727510093246,18,1.43,0.01
8,6.06,2191,0.12946768561378122,0.26,8.2,2199,0.5586249567486812,0.61,0.2862252727150917,50.20914392196573,0.960529133353848,0.9319161419521552,6.96,109.45917968833818,34.092835722258314,24,1.43,0.01
9,6.06,2191,0.16733983233571054,0.26,8.2,2199,0.12654897821415215,0.61,0.8745119374245406,38.53965657833032,0.941646527400706,0.9235387660686393,6.96,80.02749124304391,37.032586912217084,16,1.43,0.01
10,6.06,2191,0.5574573803693056,0.26,8.2,2199,0.0177755753104575,0.61,0.4895503034815193,16.40580739523284,0.8625420657952783,0.9882724086174276,6.96,161.92090306468307,22.421140991325956,42,1.43,0.01
11,6.06,2191,0.2572269758209586,0.26,8.2,2199,0.8117588671874255,0.61,0.6577001422643661,70.68023819522932,0.9408613498946652,0.9185857577319257,6.96,79.42270027128978,52.336479913967196,46,1.43,0.01
12,6.06,2191,0.5877250900026411,0.26,8.2,2199,0.5565293530290947,0.61,0.8992499139159918,5.514940581051633,0.9860141427298077,0.9110559574977961,6.96,496.98770446819253,42.60055950714741,56,1.43,0.01
13,6.06,2191,0.5552141930907964,0.26,8.2,2199,0.43069979719026014,0.61,0.8259374279528856,4.1621491252444685,0.956007985170465,0.9732144817344379,6.96,125.95080948490649,50.1983387566288,16,1.43,0.01
14,6.06,2191,0.4670741504523903,0.26,8.2,2199,0.2702745344243012,0.61,0.8841518199071289,26.82627946906723,0.8033881316892804,0.9583720867072698,6.96,88.60399073679,16.828649750154,36,1.43,0.01
15,6.06,2191,0.35664934637025003,0.26,8.2,2199,0.07764828505157494,0.61,0.3165712783113122,60.81591072771698,0.8611528082317673,0.9476125598021318,6.96,306.8634801170789,53.44529826537473,16,1.43,0.01
16,6.06,2191,0.2326113310176879,0.26,8.2,2199,0.3254638109083753,0.61,0.44969800356775524,93.00123370112851,0.9354741686154158,0.9777345756101422,6.96,437.347900059307,30.88455841637915,7,1.43,0.01
17,6.06,2191,0.11648037214763463,0.26,8.2,2199,0.6598813535468653,0.61,0.5433975536376238,33.73708953359164,0.9653780279515777,0.9142427331700456,6.96,415.74015151755884,50.32350695092464,12,1.43,0.01
18,6.06,2191,0.65061756093055,0.26,8.2,2199,0.6086898780248593,0.61,0.6991095853969455,66.38443982810713,0.9925885560682509,0.9196561626875773,6.96,430.9687627750915,48.45294185273815,14,1.43,0.01
19,6.06,2191,0.4331255023367703,0.26,8.2,2199,0.17336240233457648,0.61,0.5726387621834874,79.37646989803761,0.9692828135835007,0.939087932179682,6.96,307.6101468996145,18.843834987143055,21,1.43,0.01
20,6.06,2191,0.10057849981822074,0.26,8.2,2199,0.9033932420900092,0.61,0.17340674716979265,19.825184750836343,0.808780966650229,0.9843873384464532,6.96,121.72195257190614,37.23885370983044,66,1.43,0.01
21,6.06,2191,0.33745478098280723,0.26,8.2,2199,0.04484027095255442,0.61,0.461956930346787,6.5786518410313874,0.9635680759954266,0.9769527429845184,6.96,305.368391923001,47.42924142157426,40,1.43,0.01
22,6.06,2191,0.42157724709250033,0.26,8.2,2199,0.20595729985041544,0.61,0.5383482756093144,11.28764353459701,0.9503861154504121,0.9953432272039354,6.96,111.76603574440814,36.96023533510743,39,1.43,0.01
23,6.06,2191,0.37678983663208787,0.26,8.2,2199,0.31620180879230614,0.61,0.4105067830532789,13.784157783724368,0.8293637216393837,0.9339930653285701,6.96,481.3572745732032,17.234850983077195,39,1.43,0.01
24,6.06,2191,0.534529890678823,0.26,8.2,2199,0.26206863663066177,0.61,0.8524593651294708,65.92769361520186,0.8391551613186021,0.9741229063358624,6.96,377.59244839753956,14.624576265865471,44,1.43,0.01
25,6.06,2191,0.41682306346483533,0.26,8.2,2199,0.5277892278933431,0.61,0.36612333320081236,33.435037058079615,0.8616515132107306,0.9216780318485107,6.96,441.92132755802015,17.575757840415463,68,1.43,0.01
26,6.06,2191,0.6620503602083772,0.26,8.2,2199,0.6021353837663773,0.61,0.4491040267050267,65.36989964940585,0.9054119115790819,0.9611603753557428,6.96,372.86428166683766,23.741432304901537,49,1.43,0.01
27,6.06,2191,0.623951464286074,0.26,8.2,2199,0.2572967617767863,0.61,0.6736179193481803,53.069567285710946,0.8198855428248645,0.9496701236329973,6.96,488.10504816952164,34.46844223170774,55,1.43,0.01
28,6.06,2191,0.4907251053955406,0.26,8.2,2199,0.2122155189230107,0.61,0.42140051778405907,25.042648926144466,0.8088901449048427,0.9960052594898734,6.96,81.19167893668636,10.98033211263828,71,1.43,0.01
