Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,8,0.13999999999999999,2,3,109,48,116,54,0.16999999999999998,0.11999999999999998,0.03,0.09999999999999999,4,1,1,2,5,1,1,2,2,0,13,7,L,0.034,0.11999999999999998,0.03,0.05
1,1,2,0,5,0.09999999999999999,2,2,5,12,27,101,0.16,0.02,0.11999999999999998,0.09,3,1,1,2,3,1,1,2,6,0,19,7,L,0.05333333333333334,0.02,0.11999999999999998,0.045
1,2,3,0,7,0.17,2,3,94,6,95,2,0.27,0.05,0.04,0.07,3,1,1,2,4,1,1,2,3,0,18,7,L,0.0675,0.05,0.04,0.035
1,2,4,0,10,0.12999999999999998,2,3,21,57,35,98,0.13999999999999999,0.13999999999999999,2.349999999999994,0.7300000000000004,3,1,4,2,4,1,5,2,6,0,17,7,L,0.035,0.13999999999999999,0.4700000000000003,0.3650000000000002
1,3,5,0,7,0.19000000000000003,2,3,85,87,40,72,0.24000000000000005,0.09,0.05,0.13999999999999999,4,1,1,1,5,1,1,1,3,0,15,7,L,0.048,0.09,0.05,0.13999999999999999
1,3,6,0,6,0.23000000000000007,5,6,60,55,78,84,0.32000000000000006,0.060000000000000005,0.13999999999999999,0.060000000000000005,6,1,2,1,7,1,2,1,4,0,14,7,L,0.045714285714285714,0.060000000000000005,0.06999999999999999,0.060000000000000005
1,4,7,0,6,0.15,2,4,110,79,14,41,0.37000000000000005,0.20000000000000004,0.03,0.01,3,1,1,1,5,1,1,1,4,0,16,7,L,0.07400000000000001,0.20000000000000004,0.03,0.01
1,4,8,0,5,0.17,2,3,98,71,62,6,0.3,0.45000000000000023,1.0000000000000007,0.07,3,2,2,2,4,2,2,2,6,0,16,7,L,0.075,0.22500000000000012,0.5000000000000003,0.035
1,5,9,0,7,0.20000000000000004,2,3,47,107,100,86,0.32,0.05,0.02,0.03,3,1,1,2,4,1,1,2,3,0,12,7,L,0.08,0.05,0.02,0.015
1,5,10,0,1,0.08,1,2,115,119,35,25,0.19999999999999998,0.060000000000000005,0.02,0.02,2,1,1,1,3,1,1,1,5,0,14,7,L,0.06666666666666667,0.060000000000000005,0.02,0.02
1,6,11,0,8,0.16,2,3,58,119,14,13,0.27,0.04,0.18000000000000002,0.01,3,1,2,1,4,1,2,1,2,0,18,7,L,0.0675,0.04,0.09000000000000001,0.01
1,6,12,0,9,0.16,2,3,76,74,4,67,0.26,0.02,0.11999999999999998,0.02,3,1,1,1,4,1,1,1,4,0,16,7,L,0.065,0.02,0.11999999999999998,0.02
1,7,13,1,7,0.17,2,4,81,54,74,80,0.21000000000000002,0.10999999999999999,0.03,0.02,4,1,1,1,6,1,1,1,3,0.5,22,7,L,0.034999999999999996,0.10999999999999999,0.03,0.02
1,7,14,1,15,0.13999999999999999,2,3,43,3,89,90,0.31,2.579999999999989,0.01,0.11999999999999998,3,2,1,2,4,2,1,2,4,0,17,7,L,0.0775,1.2899999999999945,0.01,0.05999999999999999
