Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,9,0.10999999999999999,2,3,71,40,107,101,0.13999999999999999,0.09,0.21000000000000005,0.03,4,1,2,1,5,1,2,1,4,0,13,7,LH,0.028,0.09,0.10500000000000001,0.03
1,1,2,0,6,0.07,2,2,55,59,95,19,0.11000000000000001,0.05,0.2900000000000001,0.05,3,1,2,1,3,1,2,1,4,0,17,7,LH,0.03666666666666667,0.05,0.14500000000000005,0.05
1,2,3,0,10,0.08,1,2,21,24,15,115,0.16,0.11999999999999998,0.03,0.11999999999999998,3,2,1,2,4,2,1,3,6,0.5,38,7,LH,0.04,0.06,0.03,0.04
1,2,4,0,3,0.35000000000000014,2,3,38,70,85,108,0.4500000000000001,0.12999999999999998,0.02,0.02,3,2,1,1,4,2,1,1,5,0,14,7,LH,0.11250000000000002,0.065,0.02,0.02
1,3,5,0,5,0.11999999999999998,2,3,9,64,34,3,0.18,0.09,0.20000000000000004,0.01,4,1,1,1,5,1,1,1,6,0,21,7,LH,0.036000000000000004,0.09,0.20000000000000004,0.01
1,3,6,0,3,0.11999999999999998,2,3,38,24,115,59,0.15999999999999998,0.24000000000000007,0.10999999999999999,0.02,3,4,2,1,4,4,2,1,5,0,17,7,LH,0.04,0.06,0.055,0.02
1,4,7,0,1,0.13999999999999999,2,4,19,32,30,58,0.21999999999999997,0.07,0.04,0.09,3,1,1,1,5,1,1,1,5,0,20,7,LH,0.044,0.07,0.04,0.09
1,4,8,0,7,0.10999999999999999,3,3,88,85,109,61,0.18,0.03,0.09,0.04,5,1,1,2,5,1,1,2,3,0,12,7,LH,0.036000000000000004,0.03,0.09,0.02
1,5,9,0,1,0.12999999999999998,2,2,15,71,21,81,2.759999999999988,0.04,0.02,0.01,12,1,1,1,14,1,2,1,5,0,19,7,LH,0.1971428571428572,0.04,0.01,0.01
1,5,10,0,4,0.16,2,3,88,99,44,85,0.24,0.01,0.09,0.34000000000000014,3,1,2,2,4,1,2,2,2,0,13,7,LH,0.06,0.01,0.045000000000000005,0.17000000000000007
1,6,11,0,2,0.11999999999999998,2,3,75,79,104,23,0.22999999999999998,0.05,0.24000000000000007,0.01,3,1,3,1,4,1,3,1,3,0,14,7,LH,0.057499999999999996,0.05,0.08000000000000002,0.01
1,6,12,0,7,0.12999999999999998,3,4,90,6,92,4,0.23999999999999996,0.19000000000000003,0.01,0.46000000000000024,5,3,1,2,6,3,1,2,3,0,18,7,LH,0.04,0.06333333333333332,0.01,0.23000000000000012
1,7,13,1,3,4.789999999999942,6,30,13,15,54,45,5.559999999999943,0.03,0.02,0.3200000000000001,11,1,1,3,35,1,1,3,5,0,21,7,LH,0.1588571428571429,0.03,0.02,0.10666666666666666
1,7,14,1,1,0.08,3,3,33,35,91,64,0.12,0.060000000000000005,0.15,0.04,4,2,2,1,4,3,2,1,5,0,17,7,LH,0.03,0.02,0.075,0.04
1,8,15,1,6,0.24000000000000007,3,4,21,60,20,104,0.32000000000000006,0.04,0.03,0.03,4,1,1,1,5,1,1,1,4,0,18,7,LH,0.064,0.04,0.03,0.03
1,8,16,1,2,0.10999999999999999,2,4,110,74,76,63,0.20999999999999996,0.02,0.04,0.09999999999999999,3,1,1,3,5,1,1,3,3,0,12,7,LH,0.041999999999999996,0.02,0.04,0.03333333333333333
1,9,17,1,2,0.12999999999999998,4,4,80,84,77,118,0.21999999999999997,0.02,0.11999999999999998,0.03,6,1,2,1,6,1,2,1,3,0.5,11,7,LH,0.03666666666666667,0.02,0.06,0.03
1,9,18,1,3,0.16,3,4,16,43,21,37,0.25,0.04,0.11999999999999998,0.04,4,1,3,2,5,1,3,2,5,0,22,7,LH,0.049999999999999996,0.04,0.04,0.02
1,10,19,1,5,0.24000000000000007,6,6,2,4,53,34,0.3000000000000001,0.2700000000000001,0.03,0.10999999999999999,8,2,1,1,8,2,1,1,6,0,21,7,LH,0.037500000000000006,0.13500000000000004,0.03,0.10999999999999999
1,10,20,1,3,1.270000000000001,4,7,15,44,23,42,7.559999999999912,0.01,0.01,0.01,19,1,1,1,30,1,1,1,5,0,22,7,LH,0.2520000000000001,0.01,0.01,0.01
1,11,21,1,10,0.10999999999999999,2,3,37,20,53,42,0.31000000000000005,3.509999999999969,0.13999999999999999,0.07,4,6,1,1,5,10,1,1,6,0,20,7,LH,0.062,0.3510000000000002,0.13999999999999999,0.07
1,11,22,1,2,0.12999999999999998,2,3,68,74,33,115,0.18999999999999997,0.02,0.17,0.01,3,1,2,1,4,1,3,1,3,0,14,7,LH,0.0475,0.02,0.05666666666666667,0.01
1,12,23,1,2,0.09999999999999999,2,3,61,77,22,14,0.16999999999999998,0.01,0.04,0.11999999999999998,3,1,1,2,4,1,1,2,3,0,19,7,LH,0.0425,0.01,0.04,0.06
1,12,24,1,5,0.09999999999999999,2,2,4,1,56,95,0.16,0.060000000000000005,0.04,0.07,3,1,1,2,3,1,1,3,6,0,19,7,LH,0.05333333333333334,0.060000000000000005,0.04,0.023333333333333334
1,13,25,1,9,0.09999999999999999,2,3,65,69,96,27,0.13999999999999999,0.01,0.18000000000000002,0.23000000000000007,4,1,1,1,5,1,1,1,4,0,16,7,LH,0.028,0.01,0.18000000000000002,0.23000000000000007
1,13,26,1,10,0.10999999999999999,2,3,54,56,42,16,0.3500000000000001,0.03,0.08,0.18000000000000002,4,1,1,2,5,1,1,2,6,0,19,7,LH,0.07,0.03,0.08,0.09
1,14,27,1,9,0.09,2,3,62,70,112,69,0.12,0.01,0.2900000000000001,0.01,3,1,3,1,4,1,3,1,4,0.5,14,7,LH,0.03,0.01,0.09666666666666668,0.01
1,14,28,1,3,0.18000000000000002,3,3,37,57,49,84,0.28,0.07,0.09999999999999999,0.01,4,1,2,1,4,1,2,1,5,0,16,7,LH,0.06999999999999999,0.07,0.049999999999999996,0.01
1,15,29,1,4,0.34000000000000014,3,4,102,103,54,105,0.3800000000000001,0.01,0.48000000000000026,0.01,4,1,2,1,5,1,3,1,2,0.5,10,7,LH,0.07600000000000001,0.01,0.1600000000000001,0.01
1,15,30,1,9,0.38000000000000017,3,4,66,70,75,83,0.4700000000000002,0.07,0.20000000000000004,0.03,4,1,1,1,5,1,1,1,4,0,14,7,LH,0.09400000000000001,0.07,0.20000000000000004,0.03
1,16,31,1,7,0.08,2,3,96,24,51,95,0.25,0.04,0.04,0.23000000000000007,4,2,1,2,5,2,1,2,3,0,16,7,LH,0.05,0.02,0.04,0.11500000000000003
1,16,32,1,4,0.12999999999999998,3,4,97,48,45,6,0.15999999999999998,0.07,0.05,0.3300000000000001,4,1,1,3,5,1,1,3,2,0,18,7,LH,0.032,0.07,0.05,0.11
1,17,33,1,6,0.17,6,6,56,58,7,4,0.29,0.02,0.36000000000000015,0.6400000000000003,8,1,3,1,8,1,3,1,4,0,20,7,LH,0.036250000000000004,0.02,0.12000000000000002,0.6400000000000003
1,17,34,1,9,0.08,2,4,67,48,44,99,0.18,0.24000000000000007,0.04,0.01,4,2,2,1,6,2,2,1,4,0,16,7,LH,0.030000000000000002,0.12000000000000004,0.02,0.01
1,18,35,1,8,0.15,3,3,112,120,73,8,0.22,0.060000000000000005,0.09,0.02,4,1,2,1,4,1,2,1,2,0,13,7,LH,0.05500000000000001,0.060000000000000005,0.045,0.02
1,18,36,1,4,0.13999999999999999,1,2,91,102,58,89,0.21999999999999997,0.09999999999999999,0.060000000000000005,0.060000000000000005,2,1,1,1,3,1,1,1,2,0,12,7,LH,0.07333333333333332,0.09999999999999999,0.060000000000000005,0.060000000000000005
1,19,37,1,9,0.49000000000000027,3,3,68,117,48,15,0.7000000000000003,0.04,0.01,0.05,5,1,1,2,5,1,1,2,4,0,17,7,LH,0.14000000000000004,0.04,0.01,0.025
1,19,38,1,5,0.15,3,4,3,25,58,74,1.8900000000000012,0.2700000000000001,0.01,0.02,9,2,1,1,11,2,1,1,6,0,18,7,LH,0.1718181818181819,0.13500000000000004,0.01,0.02
1,20,39,1,8,0.08,2,2,114,110,57,93,0.13,0.060000000000000005,0.46000000000000024,0.01,3,1,2,1,3,1,3,1,2,0,11,7,LH,0.043333333333333335,0.060000000000000005,0.15333333333333338,0.01
