Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,6.06,2191,0.12517458572983742,0.26,8.2,2199,0.5463257244888228,0.61,0.49405166618525986,66.470408994006,0.858639608087251,0.991198926958954,6.96,75.44676721054128,20.07507447723765,31,1.43,0.01
2,6.06,2191,0.4885749610140919,0.26,8.2,2199,0.4851276870628353,0.61,0.21629167571663857,66.56777709978633,0.8392145386447665,0.9599417707663961,6.96,373.2241566376295,42.3265487960889,40,1.43,0.01
3,6.06,2191,0.17459738506004213,0.26,8.2,2199,0.738240433193976,0.61,0.5839609688147903,84.89207467064261,0.9180780391148292,0.9955424323256593,6.96,382.77701406166886,25.139456654025707,55,1.43,0.01
4,6.06,2191,0.20492158425040544,0.26,8.2,2199,0.9830195532336365,0.61,0.3283844280987978,10.009283450199291,0.907516534461407,0.9691657814579084,6.96,44.46678844569251,22.86380587145686,48,1.43,0.01
5,6.06,2191,0.3970930055249482,0.26,8.2,2199,0.876669925606111,0.61,0.1526262501254678,4.428445640252903,0.9306341644045897,0.9918789354998153,6.96,202.18200072683393,47.819048473844305,27,1.43,0.01
6,6.06,2191,0.3919085096567869,0.26,8.2,2199,0.04375825314037502,0.61,0.5700460001826286,99.79195299302228,0.9526127565172501,0.9363266929343809,6.96,60.57064018943347,49.87302360491594,8,1.43,0.01
7,6.06,2191,0.5126013360917568,0.26,8.2,2199,0.008527627452043817,0.61,0.20550878942012787,13.010664732661098,0.9629593914274592,0.9556125078855549,6.96,486.5751193990465,54.67655664461199,29,1.43,0.01
8,6.06,2191,0.20860608615912496,0.26,8.2,2199,0.7838192248665727,0.61,0.2512377128005028,80.98743167030625,0.8310008804176469,0.9383710925693158,6.96,172.37204504907132,33.44729669735534,10,1.43,0.01
9,6.06,2191,0.5510616058949381,0.26,8.2,2199,0.44274155134684406,0.61,0.8270900294184685,24.210154675878584,0.8803388371004257,0.9939695233313832,6.96,79.38394796433857,33.50028197467327,24,1.43,0.01
10,6.06,2191,0.43390682870522146,0.26,8.2,2199,0.06966034001484514,0.61,0.4360549492761493,87.4559157481417,0.9384814243777655,0.9462944639038761,6.96,20.539217860344795,24.77318812481826,32,1.43,0.01
11,6.06,2191,0.38147752620279785,0.26,8.2,2199,0.9575254494359251,0.61,0.23452804367989302,39.09703958150931,0.8709619811004959,0.9808996384462807,6.96,423.8297164220363,7.76556209026603,58,1.43,0.01
12,6.06,2191,0.20845388756133615,0.26,8.2,2199,0.6909689816469327,0.61,0.7874802252277732,37.88874768977985,0.9226603349733632,0.9079252440968995,6.96,47.03433004613034,17.12917659303639,72,1.43,0.01
13,6.06,2191,0.6384121605660766,0.26,8.2,2199,0.9247174330109265,0.61,0.7515860153362155,52.64832230517641,0.9696861414683517,0.9095905883086379,6.96,334.51842018291353,19.5783721494372,57,1.43,0.01
14,6.06,2191,0.6829890290740877,0.26,8.2,2199,0.8381156560375821,0.61,0.27981247119605546,63.69147590524517,0.8967622478893027,0.9666651228459087,6.96,97.21705300435423,52.169929722556844,2,1.43,0.01
15,6.06,2191,0.6221824326086789,0.26,8.2,2199,0.7168353601051495,0.61,0.14924749173223972,99.23167142295279,0.8908117130582687,0.9910809960623738,6.96,187.39860225603917,12.295518561149947,26,1.43,0.01
16,6.06,2191,0.5821567046456039,0.26,8.2,2199,0.5604884559952188,0.61,0.16150437332689763,44.74922450329177,0.8780031151715666,0.9910515598766506,6.96,411.8216033400502,33.71466715418501,53,1.43,0.01
17,6.06,2191,0.6654393307399005,0.26,8.2,2199,0.25350377202779056,0.61,0.559745391085744,74.55076880892739,0.9387136222647969,0.9095189556735568,6.96,214.60211894377136,11.351525493490044,13,1.43,0.01
18,6.06,2191,0.34293498941697176,0.26,8.2,2199,0.5444381962600164,0.61,0.41891933139413595,23.259989028563723,0.8569899347315078,0.9224189054996241,6.96,399.79128848835825,14.682603877154179,12,1.43,0.01
19,6.06,2191,0.59194625178352,0.26,8.2,2199,0.9491190937298816,0.61,0.36212625615298755,25.849342934554443,0.9404369695028291,0.9331829376190435,6.96,351.1334204191342,11.782000198843889,7,1.43,0.01
