Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,3,0.5500000000000003,2,7,44,8,76,113,1.720000000000001,0.2800000000000001,0.8600000000000005,0.18000000000000002,4,1,2,1,10,1,3,1,5,0,16,7,Lc,0.17200000000000004,0.2800000000000001,0.28666666666666674,0.18000000000000002
1,1,2,0,10,0.8200000000000005,2,5,104,52,34,98,2.1200000000000014,0.8000000000000005,1.9200000000000015,0.4200000000000002,4,2,5,1,12,5,10,1,6,0,13,7,Lc,0.1766666666666667,0.16000000000000003,0.19200000000000006,0.4200000000000002
1,2,3,0,6,0.35000000000000014,2,3,60,22,51,49,1.3500000000000008,0.36000000000000015,0.2700000000000001,0.25000000000000006,5,1,1,1,9,1,1,1,4,0.5,30,7,Lc,0.15000000000000002,0.36000000000000015,0.2700000000000001,0.25000000000000006
1,2,4,0,3,0.9900000000000007,5,8,48,42,12,4,1.710000000000001,0.48000000000000026,0.20000000000000004,1.7600000000000013,6,1,1,4,9,1,1,5,5,0,22,7,Lc,0.19000000000000006,0.48000000000000026,0.20000000000000004,0.35200000000000015
1,3,5,0,6,0.34000000000000014,2,3,56,5,113,83,1.3200000000000007,0.9400000000000006,0.4100000000000002,0.48000000000000026,5,2,2,2,11,5,3,3,4,0,15,7,Lc,0.12000000000000002,0.18800000000000006,0.13666666666666666,0.16
1,3,6,0,10,0.4000000000000002,2,3,21,17,29,104,1.0300000000000005,2.8799999999999826,0.13999999999999999,2.809999999999984,3,7,2,7,4,11,2,14,6,0,19,7,Lc,0.25750000000000006,0.26181818181818195,0.06999999999999999,0.20071428571428576
1,4,7,0,1,0.3200000000000001,2,3,30,3,6,53,1.4200000000000008,0.8100000000000005,0.23000000000000007,0.16,4,2,2,1,9,3,2,1,5,0,21,7,Lc,0.1577777777777778,0.2700000000000001,0.11500000000000003,0.16
1,4,8,0,9,0.2900000000000001,2,3,67,18,37,62,1.1900000000000006,0.4300000000000002,0.4400000000000002,0.12999999999999998,4,1,2,1,5,1,2,1,4,0,19,7,Lc,0.23800000000000007,0.4300000000000002,0.22000000000000003,0.12999999999999998
1,5,9,0,2,0.4000000000000002,2,3,58,119,56,81,2.4000000000000017,0.3200000000000001,0.18000000000000002,0.12999999999999998,5,2,1,2,13,2,1,2,3,0,13,7,Lc,0.18461538461538465,0.16000000000000003,0.18000000000000002,0.065
1,5,10,0,9,0.3100000000000001,2,4,69,27,21,32,0.7900000000000004,0.9000000000000006,0.34000000000000014,0.5800000000000003,4,2,1,2,6,4,1,2,4,0,20,7,Lc,0.1316666666666667,0.22500000000000006,0.34000000000000014,0.2900000000000001
