"Subject","a_schema","h_schema","Beta_N","Beta_Var","a_generic","h_generic","Beta_gN","Beta_gVar","w","Phi","decay_speed","decay_speed_thres","thres_item_inter","thres_item_final","thres_schema","theta_shift","timevar","modeltimestep"
1,6.06,2191,0.477301450166851,0.26,8.2,2199,0.492137481332524,0.61,0.640375355966389,88.5219078308437,0.8587296938824,0.995745878205635,6.96,429.759400198562,43.8020300494391,44,1.43,0.01
2,6.06,2191,0.52976108789444,0.26,8.2,2199,0.408209920781432,0.61,0.561124180294573,92.8684318608139,0.875569205397973,0.990171187813394,6.96,437.770747768087,38.4808250888833,31,1.43,0.01
3,6.06,2191,0.51921484220773,0.26,8.2,2199,0.440657986338949,0.61,0.591854389049113,1.44175692647696,0.934078677008394,0.996456580037484,6.96,190.181988920411,13.6317804083228,53,1.43,0.01
4,6.06,2191,0.57833496466279,0.26,8.2,2199,0.531677793536102,0.61,0.578176645226777,11.7072056811303,0.931856322819833,0.992643256556475,6.96,135.842369524622,19.0425810412504,55,1.43,0.01
5,6.06,2191,0.494285778012127,0.26,8.2,2199,0.64123520408757,0.61,0.174708136804402,54.1869883094914,0.918088454637211,0.997138993227854,6.96,406.552871464845,42.6920122825773,10,1.43,0.01
6,6.06,2191,0.509787578107789,0.26,8.2,2199,0.546201406558976,0.61,0.124833958521485,42.4665259146132,0.889762984342407,0.993634884259664,6.96,435.204858173244,40.3387130376534,14,1.43,0.01
7,6.06,2191,0.545498849153519,0.26,8.2,2199,0.568120833998546,0.61,0.166165319792926,60.9611549037509,0.924403602504637,0.994519075197168,6.96,373.439479527622,36.7451410877635,7,1.43,0.01
8,6.06,2191,0.260938308592886,0.26,8.2,2199,0.733727296467638,0.61,0.790074133425951,29.2900072271004,0.825134581956081,0.995473179213936,6.96,484.599415510567,13.4234663466807,22,1.43,0.01
9,6.06,2191,0.324176159501076,0.26,8.2,2199,0.681387853322318,0.61,0.769651807621122,37.254210957326,0.825899411463179,0.998690727490233,6.96,491.839895690465,14.2029323898256,15,1.43,0.01
10,6.06,2191,0.12269951893948,0.26,8.2,2199,0.454973037661053,0.61,0.408995606303215,95.1964904682245,0.977675723633496,0.987604057390941,6.96,146.818735761987,31.4704471569275,30,1.43,0.01
11,6.06,2191,0.117323002694175,0.26,8.2,2199,0.411744499745779,0.61,0.313328714780509,94.5229241566267,0.998737728264881,0.998572157991817,6.96,144.825348035386,34.8440882664407,34,1.43,0.01
12,6.06,2191,0.179390022791922,0.26,8.2,2199,0.41613762856368,0.61,0.414871494323015,96.3388341001701,0.984187648254214,0.987878169908887,6.96,114.149056521198,34.5863775939564,22,1.43,0.01
13,6.06,2191,0.12263212156482,0.26,8.2,2199,0.464772371788509,0.61,0.33784141946584,92.5249531201553,0.99560351214814,0.997196585799335,6.96,74.9440852342639,30.7984044580138,26,1.43,0.01
14,6.06,2191,0.488192572081462,0.26,8.2,2199,0.501141401183791,0.61,0.214156818389893,12.8658545087092,0.978005456924206,0.994354262041161,6.96,455.646313326899,46.4196530171903,71,1.43,0.01
15,6.06,2191,0.504683995265514,0.26,8.2,2199,0.576408945013769,0.61,0.363633008599281,7.36023471923545,0.988985325703164,0.997627529395977,6.96,490.028248006478,46.2431088323239,74,1.43,0.01
16,6.06,2191,0.508763712374493,0.26,8.2,2199,0.547766261910088,0.61,0.245973464623094,8.41611461481079,0.986909056808567,0.991001592084067,6.96,472.519852131139,49.1732391009457,73,1.43,0.01
17,6.06,2191,0.577348918858916,0.26,8.2,2199,0.484256166116335,0.61,0.254073634296656,5.17410947242752,0.986255314890062,0.995809524200158,6.96,457.581218976993,49.5473742792965,73,1.43,0.01
18,6.06,2191,0.114991801772267,0.26,8.2,2199,0.303900664370973,0.61,0.759010330252349,29.1845834320411,0.851202004922787,0.991620812539011,6.96,87.6114336793311,26.8739807033678,14,1.43,0.01
19,6.06,2191,0.143332088803872,0.26,8.2,2199,0.165022032080684,0.61,0.750343886576593,27.5631683804095,0.879649202635745,0.995114337394014,6.96,64.6083075502887,24.9402951751952,10,1.43,0.01
20,6.06,2191,0.184181836275384,0.26,8.2,2199,0.241200226523448,0.61,0.749714361280203,14.1456031026319,0.85583054500469,0.990463854965754,6.96,14.328056422621,25.8187458463362,11,1.43,0.01
21,6.06,2191,0.187927653510123,0.26,8.2,2199,0.192239392992575,0.61,0.760082775391638,29.5796897746623,0.884384543940658,0.995178207617253,6.96,12.9934818955138,22.9585823791102,13,1.43,0.01
22,6.06,2191,0.449880843712017,0.26,8.2,2199,0.124007314126939,0.61,0.347416989840567,24.029941274086,0.85214429337508,0.991881460422417,6.96,117.696393143246,28.3565238403738,45,1.43,0.01
23,6.06,2191,0.507218081941828,0.26,8.2,2199,0.151125681502745,0.61,0.229152596406639,21.5646912802476,0.875033159702784,0.994580877465895,6.96,69.1207413713913,26.0821173891542,44,1.43,0.01
24,6.06,2191,0.486906398069113,0.26,8.2,2199,0.014079513316974,0.61,0.212961255796254,19.298597303452,0.872843765364727,0.994623336466728,6.96,66.883305888949,32.7023910723277,44,1.43,0.01
25,6.06,2191,0.455878134211525,0.26,8.2,2199,0.0362112876586616,0.61,0.299382940381765,19.4978349509183,0.882465795203811,0.995221790076001,6.96,55.0091912991833,28.6302468533977,39,1.43,0.01
26,6.06,2191,0.591812235768884,0.26,8.2,2199,0.841487694775686,0.61,0.441339362822473,91.787142082816,0.834615842064843,0.988365566201508,6.96,119.106853530323,23.7625662676059,22,1.43,0.01
27,6.06,2191,0.515050113098696,0.26,8.2,2199,0.828271018212661,0.61,0.380601292401552,84.1650169992354,0.810483739690855,0.989079312320799,6.96,64.369932766119,30.4544079530053,15,1.43,0.01
28,6.06,2191,0.599222034113482,0.26,8.2,2199,0.739537543395534,0.61,0.405332126803696,94.5074057437014,0.825592578154057,0.993903125959449,6.96,79.5864295694511,22.1751577151241,24,1.43,0.01
29,6.06,2191,0.61737550473772,0.26,8.2,2199,0.816812624281272,0.61,0.412963723950088,85.4235125517007,0.820300123922527,0.991875803677365,6.96,68.6287554158363,27.3306421807851,26,1.43,0.01
30,6.06,2191,0.541690708249807,0.26,8.2,2199,0.884946708811447,0.61,0.352439923658967,87.9610908960458,0.810503352012485,0.991166158352978,6.96,135.158683640929,22.3207527009072,16,1.43,0.01
31,6.06,2191,0.561602255571634,0.26,8.2,2199,0.78841693393141,0.61,0.435124137438834,85.8761599331629,0.82285038529709,0.988529623115435,6.96,139.928140171384,28.3584908216959,15,1.43,0.01
32,6.06,2191,0.599456944353879,0.26,8.2,2199,0.728234981942922,0.61,0.445702136419714,79.1985934923869,0.81578923740238,0.994311730500311,6.96,135.79292678698,30.4048587966594,26,1.43,0.01
33,6.06,2191,0.559126838166267,0.26,8.2,2199,0.759355129173025,0.61,0.303643383570015,86.8365610109176,0.836595095450059,0.991599368548021,6.96,68.5394422361161,25.2058632381726,13,1.43,0.01
34,6.06,2191,0.122001130608842,0.26,8.2,2199,0.441228601740673,0.61,0.10051920607686,25.3236373406835,0.841684805322439,0.990561610221863,6.96,258.670397807471,20.5316677733208,7,1.43,0.01
35,6.06,2191,0.157510698279366,0.26,8.2,2199,0.565872198374942,0.61,0.134371626488864,13.6100807725452,0.828604305358604,0.998280103047378,6.96,282.58544823816,21.280733709468,9,1.43,0.01
36,6.06,2191,0.129385486608371,0.26,8.2,2199,0.486186707610264,0.61,0.116038976535201,31.5200212863274,0.82574679790996,0.984352117850445,6.96,255.822410237603,25.5351665512775,4,1.43,0.01
37,6.06,2191,0.179398680794984,0.26,8.2,2199,0.491019216584042,0.61,0.228405547738075,18.1589004010893,0.829223241088912,0.987801489139907,6.96,262.000669752806,16.8879610024509,4,1.43,0.01
38,6.06,2191,0.100035969819874,0.26,8.2,2199,0.416604236824438,0.61,0.197149021178484,16.3185049672611,0.832578364275396,0.988978637372144,6.96,247.670649640355,16.4332872151048,10,1.43,0.01
39,6.06,2191,0.100314440671355,0.26,8.2,2199,0.5428015938811,0.61,0.180215305611491,15.0796225001104,0.826350672589615,0.992707221837714,6.96,304.949268358853,21.3139943763497,2,1.43,0.01
40,6.06,2191,0.403546839542687,0.26,8.2,2199,0.899966317380778,0.61,0.211047354973853,7.19420378119685,0.900451769477688,0.994797318175202,6.96,403.757681454904,8.5822513661813,24,1.43,0.01
41,6.06,2191,0.457797578275204,0.26,8.2,2199,0.995717039297335,0.61,0.147251913100481,3.47283041127957,0.901388747201301,0.998641537728487,6.96,374.020869793277,7.84453954957426,25,1.43,0.01
42,6.06,2191,0.469932127250358,0.26,8.2,2199,0.900062890036963,0.61,0.109473429732025,8.02725172624923,0.924149412254803,0.996527634097962,6.96,379.060058854427,8.70356063514482,34,1.43,0.01
43,6.06,2191,0.431071116924286,0.26,8.2,2199,0.976249104517512,0.61,0.148383943103254,8.05533537664451,0.928242597042583,0.989969790473348,6.96,411.442242033687,14.2712725489051,34,1.43,0.01
44,6.06,2191,0.689332085121423,0.26,8.2,2199,0.21555093965237,0.61,0.130595171973109,13.8600500032771,0.920556403634371,0.991253154832404,6.96,329.149999754783,51.62060569108,30,1.43,0.01
45,6.06,2191,0.660889400793239,0.26,8.2,2199,0.152121466730954,0.61,0.154227366447449,16.0321374249179,0.895083473383682,0.991566810361575,6.96,370.389474587794,52.9924214658677,28,1.43,0.01
46,6.06,2191,0.638920768527314,0.26,8.2,2199,0.146053819458233,0.61,0.116935070231557,14.2735880811233,0.889496660589473,0.987161268895026,6.96,347.475563318282,54.6537601425196,20,1.43,0.01
47,6.06,2191,0.687433904828504,0.26,8.2,2199,0.237225886860164,0.61,0.148776705376804,12.5002712535206,0.901881747239502,0.986684403284918,6.96,369.290527898166,54.4908740927465,20,1.43,0.01
48,6.06,2191,0.472227870514616,0.26,8.2,2199,0.978514420919353,0.61,0.132590435147285,55.863129686797,0.964099302956834,0.990260578264715,6.96,293.087898357678,45.5055640432634,64,1.43,0.01
49,6.06,2191,0.454081574575975,0.26,8.2,2199,0.859161437981063,0.61,0.168779648691416,55.2366666116286,0.969116976134479,0.989873292559059,6.96,302.264169708267,40.3167336246464,71,1.43,0.01
50,6.06,2191,0.441754525024444,0.26,8.2,2199,0.927904461257393,0.61,0.119984065666795,44.687930559041,0.969208958962932,0.988724760884652,6.96,277.211423708964,42.4998241933645,64,1.43,0.01
