"Subject","a_schema","h_schema","Beta_N","Beta_Var","a_generic","h_generic","Beta_gN","Beta_gVar","w","Phi","decay_speed","decay_speed_thres","thres_item_inter","thres_item_final","thres_schema","theta_shift","timevar","modeltimestep"
1,6.06,2191,0.604199633989483,0.26,8.2,2199,0.176176618675236,0.61,0.638394154384732,24.9818817502819,0.816513141651172,0.989628399468493,6.96,294.57910131691,17.7131252899184,31,1.43,0.01
2,6.06,2191,0.622695806575939,0.26,8.2,2199,0.218870483881328,0.61,0.773225665837526,21.1771934130229,0.813457850540523,0.992916764940601,6.96,316.648197210673,24.5302692682249,32,1.43,0.01
3,6.06,2191,0.694535341812298,0.26,8.2,2199,0.58881864208472,0.61,0.754913360401988,97.8119345875457,0.814979224885814,0.992259895307943,6.96,439.248660668358,36.1601203874801,40,1.43,0.01
4,6.06,2191,0.220738873872906,0.26,8.2,2199,0.344918274647556,0.61,0.156859710291028,15.8406245438382,0.803671200000681,0.986401252880227,6.96,462.130997099308,10.328816697211,2,1.43,0.01
5,6.06,2191,0.201591992629692,0.26,8.2,2199,0.35997329526674,0.61,0.152835362888873,1.2407521866262,0.827101654284634,0.992808650874998,6.96,474.360047916742,9.87465684416238,5,1.43,0.01
6,6.06,2191,0.231492095179856,0.26,8.2,2199,0.418096278795041,0.61,0.204858191870153,15.4551941258833,0.820613234709017,0.994252774266992,6.96,499.288943881495,12.8290478831739,12,1.43,0.01
7,6.06,2191,0.280990689909086,0.26,8.2,2199,0.359690222471021,0.61,0.114977555721998,9.34628404770046,0.834854150679894,0.983058317479212,6.96,450.963913582126,12.3436144328443,4,1.43,0.01
8,6.06,2191,0.147313337437809,0.26,8.2,2199,0.905944360555615,0.61,0.195695540867746,8.9103389296215,0.904211594579974,0.993330229839543,6.96,279.615266082808,45.5016966117662,37,1.43,0.01
9,6.06,2191,0.14779519486241,0.26,8.2,2199,0.880334510929417,0.61,0.2036247799173,8.21762402518652,0.875485711895162,0.99381667329208,6.96,188.223051117733,47.1195632434217,48,1.43,0.01
10,6.06,2191,0.225152439838275,0.26,8.2,2199,0.883305762471166,0.61,0.209881866984069,4.77214678167365,0.900667573852697,0.993465242704609,6.96,274.101796192583,43.2775472207926,47,1.43,0.01
11,6.06,2191,0.225343024870381,0.26,8.2,2199,0.0828194733094424,0.61,0.329212838225067,13.327493082732,0.852313264580909,0.997503830298316,6.96,91.3355704843532,19.0877891755779,28,1.43,0.01
12,6.06,2191,0.238906890926883,0.26,8.2,2199,0.0932418541368097,0.61,0.32684635642916,10.5558888167143,0.864510931503493,0.998069457580801,6.96,126.62525691553,16.3122767906403,34,1.43,0.01
13,6.06,2191,0.234999329000711,0.26,8.2,2199,0.0909252720735967,0.61,0.294237925000489,6.27054252382368,0.844416819466744,0.994826391913462,6.96,90.1177192953881,13.7665539681911,27,1.43,0.01
14,6.06,2191,0.20749931063503,0.26,8.2,2199,0.148514400407672,0.61,0.42772912979126,4.71329156029969,0.841666272599716,0.991865418834146,6.96,108.136988132214,15.9255764005706,33,1.43,0.01
15,6.06,2191,0.296045489897951,0.26,8.2,2199,0.135952625315636,0.61,0.341561503708363,4.13044918980449,0.844278659373987,0.98853310300177,6.96,119.184303602623,19.5867226928705,26,1.43,0.01
16,6.06,2191,0.526083543607965,0.26,8.2,2199,0.485954912630841,0.61,0.340897078029811,55.0725710596889,0.918321142571513,0.997330286039738,6.96,243.591510447999,8.38298532048939,9,1.43,0.01
17,6.06,2191,0.4987431781739,0.26,8.2,2199,0.439353983821347,0.61,0.331533878557384,64.8166643520817,0.953009678872768,0.994460153684719,6.96,214.277143563936,9.71023383424617,11,1.43,0.01
18,6.06,2191,0.517751814313233,0.26,8.2,2199,0.437494525145739,0.61,0.286292359009385,53.4287874419242,0.941087795023341,0.995440314223757,6.96,222.206928341044,9.37803940639133,14,1.43,0.01
19,6.06,2191,0.530738030252978,0.26,8.2,2199,0.513220954565331,0.61,0.407468215897679,54.2234204215929,0.95147514012875,0.992731473047985,6.96,230.473355310364,11.7015634195996,7,1.43,0.01
20,6.06,2191,0.474041428118944,0.26,8.2,2199,0.595005423314869,0.61,0.339867946095765,60.3113941121846,0.949533461399842,0.986362619840307,6.96,261.204091726663,8.57452633390203,11,1.43,0.01
21,6.06,2191,0.57340382123366,0.26,8.2,2199,0.586300426693633,0.61,0.348781383447349,62.0318264439702,0.92529578947695,0.992942979599116,6.96,238.563673250237,10.1841025769478,10,1.43,0.01
22,6.06,2191,0.645781680932269,0.26,8.2,2199,0.51367795753153,0.61,0.44043988019228,21.686625118833,0.840396266800584,0.994680714605609,6.96,304.223733310774,25.1023273367085,54,1.43,0.01
23,6.06,2191,0.645119424220175,0.26,8.2,2199,0.56482297737943,0.61,0.532854318842292,28.4992706277408,0.829515470552491,0.996945224356139,6.96,309.603889808245,24.9616594072198,51,1.43,0.01
24,6.06,2191,0.697550149187446,0.26,8.2,2199,0.623503963806201,0.61,0.495001828186214,31.9073632466607,0.826508566837059,0.998218007984804,6.96,323.136907409132,21.0613883907092,56,1.43,0.01
25,6.06,2191,0.692820503469556,0.26,8.2,2199,0.578605190216098,0.61,0.378286761827767,31.152255280409,0.81516325212759,0.997608636224875,6.96,327.610169404838,27.0621560411993,51,1.43,0.01
26,6.06,2191,0.178868871731684,0.26,8.2,2199,0.322276926626451,0.61,0.625053496547043,58.1616326884832,0.938614008164965,0.993914546914399,6.96,468.881793877762,31.4018488623668,45,1.43,0.01
27,6.06,2191,0.103235194850713,0.26,8.2,2199,0.310902851707302,0.61,0.655815433040261,40.9233513611834,0.946871982858516,0.991772218392231,6.96,497.353472606931,35.3447790878708,41,1.43,0.01
28,6.06,2191,0.119730142205954,0.26,8.2,2199,0.304680697134696,0.61,0.662674944810569,50.9283381698187,0.936744331502356,0.996752564668655,6.96,448.548028594069,34.0152379646548,49,1.43,0.01
29,6.06,2191,0.19098537703976,0.26,8.2,2199,0.34143735824991,0.61,0.717227488644421,52.1329167902004,0.956728006488644,0.995786929562688,6.96,432.05320099853,28.1107864288613,38,1.43,0.01
30,6.06,2191,0.154646043172106,0.26,8.2,2199,0.392520797419362,0.61,0.645312515795231,52.4726506879088,0.954395438040607,0.996795863070525,6.96,442.635630226415,29.0981422969257,52,1.43,0.01
31,6.06,2191,0.63404817934148,0.26,8.2,2199,0.295072466797428,0.61,0.16897527679801,18.8924098797143,0.922537812588038,0.995434205398196,6.96,445.636004923703,50.0528514818638,28,1.43,0.01
32,6.06,2191,0.589601378776133,0.26,8.2,2199,0.23624305069563,0.61,0.135995497852564,27.3728959299624,0.915792113409611,0.992763676728355,6.96,487.27395647238,47.3182348982897,38,1.43,0.01
33,6.06,2191,0.577201793100685,0.26,8.2,2199,0.257059102515923,0.61,0.187025398276746,22.137873227708,0.912438362852903,0.98770654196036,6.96,488.981744719995,49.4871801526519,28,1.43,0.01
34,6.06,2191,0.543561050118878,0.26,8.2,2199,0.324039173183264,0.61,0.11819248482585,29.5908519942313,0.897375437651994,0.996957406132715,6.96,475.584106057277,54.1039463926922,29,1.43,0.01
35,6.06,2191,0.62938639507629,0.26,8.2,2199,0.348316395758884,0.61,0.157630807124078,17.8998804222792,0.922496591794537,0.994213631256716,6.96,456.547934656357,49.6820491007646,29,1.43,0.01
36,6.06,2191,0.44127315944992,0.26,8.2,2199,0.93716082300758,0.61,0.820457487553358,14.0602643485181,0.965953005851712,0.985836183619918,6.96,135.59770002095,42.1649294322007,4,1.43,0.01
37,6.06,2191,0.351885339207947,0.26,8.2,2199,0.890184572737198,0.61,0.854322746656835,11.640983207617,0.985395996003877,0.988026655675145,6.96,70.5510556671768,43.6161914206692,9,1.43,0.01
38,6.06,2191,0.36203528739512,0.26,8.2,2199,0.863041530761402,0.61,0.893402793891728,12.536236809101,0.978902116139885,0.987052239892306,6.96,85.3962387779728,45.9433930058382,7,1.43,0.01
39,6.06,2191,0.416602793335915,0.26,8.2,2199,0.762169872249942,0.61,0.877069710828364,15.3890433278866,0.966972126114648,0.991757229985902,6.96,59.0025264580734,38.8577607427025,6,1.43,0.01
40,6.06,2191,0.644855190729722,0.26,8.2,2199,0.444259982747491,0.61,0.403774789944291,46.6287590186112,0.861226261645556,0.993927092931466,6.96,31.0790621361229,17.4530584801687,38,1.43,0.01
41,6.06,2191,0.622636114321649,0.26,8.2,2199,0.441694542118814,0.61,0.299168419316411,44.1994142481126,0.833320653378964,0.989447559162276,6.96,60.7101810995955,20.8877865468035,44,1.43,0.01
42,6.06,2191,0.580939386319369,0.26,8.2,2199,0.452318910654169,0.61,0.36076836232096,47.4503991049714,0.844192933846265,0.991272164822789,6.96,26.695995532209,14.8243550577201,43,1.43,0.01
43,6.06,2191,0.591463083485141,0.26,8.2,2199,0.362669896805193,0.61,0.328917380049825,36.4912593686022,0.84241178657487,0.993109329861822,6.96,80.7187277239282,12.3637363951537,40,1.43,0.01
44,6.06,2191,0.569162604548037,0.26,8.2,2199,0.451331179501023,0.61,0.359343631975353,53.5312134255655,0.857605689257383,0.992558847253444,6.96,64.4300471052993,13.2735367042013,44,1.43,0.01
45,6.06,2191,0.632307479195297,0.26,8.2,2199,0.3631070986907,0.61,0.319661600254476,45.8507843497209,0.845223711045459,0.989383976186858,6.96,84.6242677688133,12.145040937711,40,1.43,0.01
46,6.06,2191,0.683219783203676,0.26,8.2,2199,0.637482954629231,0.61,0.539635116904974,66.6936546200886,0.902539844102692,0.985632680348586,6.96,408.564555401122,38.7645519744838,24,1.43,0.01
47,6.06,2191,0.616488223010674,0.26,8.2,2199,0.493517574595753,0.61,0.567197159491479,71.2007101355121,0.906922728092875,0.990353970882948,6.96,463.335303056659,35.6585191115737,16,1.43,0.01
48,6.06,2191,0.693092256365344,0.26,8.2,2199,0.496397709634621,0.61,0.544145066514611,61.1149557968602,0.927201172578614,0.99202609223919,6.96,462.331149716536,40.1023855633452,25,1.43,0.01
49,6.06,2191,0.653929735347629,0.26,8.2,2199,0.515692472991068,0.61,0.454458060115576,70.9738972140476,0.889667673455086,0.986716094931122,6.96,402.739201159356,38.813114910759,13,1.43,0.01
50,6.06,2191,0.619327554404736,0.26,8.2,2199,0.588716519412119,0.61,0.511408801786602,69.3561159409583,0.909304887558799,0.998915792807471,6.96,421.315676843422,37.4234548940323,13,1.43,0.01
51,6.06,2191,0.69823027189821,0.26,8.2,2199,0.584796817497117,0.61,0.644811873435974,78.9025886652526,0.966743675647071,0.992948413458653,6.96,313.056812664634,10.1551161457086,36,1.43,0.01
52,6.06,2191,0.676123538445681,0.26,8.2,2199,0.520173176833196,0.61,0.573005676940084,73.01449151407,0.955976533479756,0.988075962653384,6.96,278.796220044745,8.52563047346193,37,1.43,0.01
53,6.06,2191,0.675284615242854,0.26,8.2,2199,0.470661350515438,0.61,0.56786803804338,65.6687545932364,0.966993679627543,0.991277533266693,6.96,279.25139896539,14.5406240092474,40,1.43,0.01
54,6.06,2191,0.213332689190283,0.26,8.2,2199,0.214176549034892,0.61,0.856439194791019,31.469965058146,0.984079113267828,0.984742064200575,6.96,297.884554157732,14.2678569430602,15,1.43,0.01
55,6.06,2191,0.217635167110711,0.26,8.2,2199,0.22738749270211,0.61,0.836909493654966,23.1457815996837,0.99417634747969,0.989157700007083,6.96,230.200847608736,18.4920062074903,16,1.43,0.01
56,6.06,2191,0.215117862457409,0.26,8.2,2199,0.332906439265935,0.61,0.720960329920054,16.8374041726347,0.985423462614883,0.990015112361172,6.96,251.305858936859,11.5235269616591,17,1.43,0.01
57,6.06,2191,0.248416264038533,0.26,8.2,2199,0.212974579044385,0.61,0.707224176041782,16.7132257602643,0.97655141995335,0.993083822330693,6.96,263.954580939608,10.0139522843645,24,1.43,0.01
58,6.06,2191,0.292596601527184,0.26,8.2,2199,0.26947301166947,0.61,0.754296244457364,24.2487674884032,0.990063772630412,0.998368039316731,6.96,303.62581173447,15.2324415084906,23,1.43,0.01
59,6.06,2191,0.39715252363123,0.26,8.2,2199,0.841289764079265,0.61,0.321590695939958,95.1427603641059,0.805562649656553,0.998583072275156,6.96,478.509311656095,27.7477381805424,65,1.43,0.01
60,6.06,2191,0.425198263712227,0.26,8.2,2199,0.802529337345622,0.61,0.182625391259789,92.4281059659552,0.805081662357319,0.992467654701555,6.96,428.620785528887,34.6382083035074,73,1.43,0.01
61,6.06,2191,0.42910165483132,0.26,8.2,2199,0.786043815496378,0.61,0.205844789072871,89.8336541361641,0.805876973307226,0.996780929886969,6.96,427.500265463814,29.3318272142787,74,1.43,0.01
62,6.06,2191,0.643463408397511,0.26,8.2,2199,0.928029744896805,0.61,0.773053409568965,12.947797400644,0.827773920407984,0.978687241719337,6.96,332.485480213864,43.2454763806774,12,1.43,0.01
63,6.06,2191,0.661825651861727,0.26,8.2,2199,0.924556197190424,0.61,0.845798811204731,4.55211613583378,0.817751570826862,0.987516343862982,6.96,241.727850199537,46.8373657821096,3,1.43,0.01
64,6.06,2191,0.596426304234192,0.26,8.2,2199,0.917248317889636,0.61,0.870360052324831,10.1408001247328,0.823322403178085,0.981064627602929,6.96,310.776280731754,44.6051617350662,14,1.43,0.01
65,6.06,2191,0.607142652962357,0.26,8.2,2199,0.905075653839624,0.61,0.861498753130436,16.4737001925241,0.807555178737734,0.993461700360524,6.96,236.168681933871,45.5850791027537,7,1.43,0.01
66,6.06,2191,0.448018613094464,0.26,8.2,2199,0.367751007504994,0.61,0.603557949587703,71.0629821764305,0.914317730105948,0.972988215170335,6.96,236.519959865743,54.032036240655,10,1.43,0.01
67,6.06,2191,0.429317387137562,0.26,8.2,2199,0.346256507119397,0.61,0.579738317243755,64.0265620788559,0.914320139688905,0.986336440162268,6.96,259.108141753962,53.6379111369722,8,1.43,0.01
68,6.06,2191,0.469373126840219,0.26,8.2,2199,0.37889866929152,0.61,0.610083018690348,60.682353336364,0.910139172374737,0.976486642335076,6.96,236.114713409124,54.815508914087,3,1.43,0.01
69,6.06,2191,0.431259924685582,0.26,8.2,2199,0.374392730441177,0.61,0.610926762446761,69.5593056185171,0.891794431739952,0.975497124970425,6.96,202.813267851388,54.6119942216552,7,1.43,0.01
70,6.06,2191,0.530953775718808,0.26,8.2,2199,0.253762516822899,0.61,0.705095853805542,65.9472108222544,0.895878804390784,0.973676412764471,6.96,185.836427635653,54.8671221795725,4,1.43,0.01
71,6.06,2191,0.37392250828445,0.26,8.2,2199,0.847679134201026,0.61,0.250047458782792,6.34476418141276,0.947848490353674,0.99255406499235,6.96,410.056258489285,43.2661212234991,16,1.43,0.01
72,6.06,2191,0.292216752311215,0.26,8.2,2199,0.820559686351335,0.61,0.228884206600487,9.32374293915927,0.943591061791405,0.984550034099724,6.96,459.668257793319,38.8235143860104,22,1.43,0.01
73,6.06,2191,0.310831323051825,0.26,8.2,2199,0.764849078723928,0.61,0.180190991424024,12.8778227139264,0.932826888615265,0.99110144090699,6.96,471.003520425316,43.2049815373961,18,1.43,0.01
74,6.06,2191,0.396440598806366,0.26,8.2,2199,0.831724807316205,0.61,0.27061676543206,7.91887260973454,0.957313644222915,0.989802279643249,6.96,472.947945062444,40.1115234440891,18,1.43,0.01
75,6.06,2191,0.401297744223848,0.26,8.2,2199,0.744838469544193,0.61,0.221940554194152,4.80137569829822,0.95976989646256,0.98752873418713,6.96,465.87187255444,35.2797889737994,29,1.43,0.01
76,6.06,2191,0.335763387270272,0.26,8.2,2199,0.899017110116547,0.61,0.236329996548593,11.074527814053,0.949895149467513,0.985497262904886,6.96,385.760702831578,40.0155420995667,29,1.43,0.01
77,6.06,2191,0.294620735030621,0.26,8.2,2199,0.724084518778836,0.61,0.274770203083754,3.90038526616991,0.963941816136241,0.997850751153659,6.96,432.493102308735,40.996763390163,15,1.43,0.01
78,6.06,2191,0.302699464093894,0.26,8.2,2199,0.899615643847501,0.61,0.229167422614992,10.3647295385599,0.946218582045287,0.985712788993027,6.96,459.673771185242,38.0111507545691,23,1.43,0.01
79,6.06,2191,0.357806837772951,0.26,8.2,2199,0.750814647529041,0.61,0.186115397363901,4.52011337969452,0.937761244874448,0.997344082946423,6.96,422.184459807724,36.5570646511507,29,1.43,0.01
80,6.06,2191,0.472061478979886,0.26,8.2,2199,0.919836040433729,0.61,0.138290396519005,14.8731483931188,0.919441402731463,0.995544622559333,6.96,58.2067554715089,8.17204123671399,68,1.43,0.01
81,6.06,2191,0.461044862819836,0.26,8.2,2199,0.926638214929262,0.61,0.253966049365699,10.258977184305,0.896059164255858,0.99704434889392,6.96,138.500636005867,10.3535874876543,62,1.43,0.01
82,6.06,2191,0.474585715997964,0.26,8.2,2199,0.84773700869293,0.61,0.130822089985013,1.35343224206008,0.90582954143174,0.998489622376161,6.96,100.150987485982,12.0986486158567,55,1.43,0.01
83,6.06,2191,0.425712611936033,0.26,8.2,2199,0.786830828745151,0.61,0.246719219014049,4.49195131589659,0.916508049592376,0.998267173134023,6.96,49.4481318817474,14.0805554123479,66,1.43,0.01
84,6.06,2191,0.496608136584982,0.26,8.2,2199,0.786490370692918,0.61,0.210250968933105,14.5743927771691,0.899502794360742,0.989973234022269,6.96,56.8675840134732,9.64853988767136,55,1.43,0.01
