"Subject","a_schema","h_schema","Beta_N","Beta_Var","a_generic","h_generic","Beta_gN","Beta_gVar","w","Phi","decay_speed","decay_speed_thres","thres_item_inter","thres_item_final","thres_schema","theta_shift","timevar","modeltimestep"
1,6.06,2191,0.669239944554865,0.26,8.2,2199,0.569909241755726,0.61,0.71956481538713,96.3872474739328,0.839285091320984,0.989597780229524,6.96,441.317310526594,28.3232580909156,43,1.43,0.01
2,6.06,2191,0.687736117141321,0.26,8.2,2199,0.612603106961819,0.61,0.854396326839924,92.5825591366738,0.836229800210334,0.992886145701632,6.96,463.386406420358,35.1404020692222,44,1.43,0.01
3,6.06,2191,0.636680935965851,0.26,8.2,2199,0.153321920272429,0.61,0.628294517546892,35.2523402613588,0.808429865042213,0.991889515847433,6.96,313.246152713243,16.5409799446934,28,1.43,0.01
4,6.06,2191,0.63537021166645,0.26,8.2,2199,0.16250189969549,0.61,0.745554013438523,24.7642386355437,0.82149879552098,0.992388457756024,6.96,254.411129519157,24.8743544366909,29,1.43,0.01
5,6.06,2191,0.661524245049804,0.26,8.2,2199,0.21337465293007,0.61,0.693448766097426,17.6384817599319,0.812492267597932,0.997945463538635,6.96,253.350177502073,21.9684260619804,24,1.43,0.01
6,6.06,2191,0.239695694847032,0.26,8.2,2199,0.218034523291513,0.61,0.333451343439519,5.23963267169893,0.868552381117363,0.99313341695955,6.96,107.252044223202,21.0907442394528,26,1.43,0.01
7,6.06,2191,0.246060145478696,0.26,8.2,2199,0.25548200517334,0.61,0.371211862750351,12.8724919511005,0.845601555901114,0.99842290869588,6.96,105.035643922118,13.1928388785454,24,1.43,0.01
8,6.06,2191,0.229451160375029,0.26,8.2,2199,0.168769873291254,0.61,0.349963724464178,14.5337481163442,0.834766642926727,0.991308306680527,6.96,60.8920578495134,14.448377621395,22,1.43,0.01
9,6.06,2191,0.289702976411209,0.26,8.2,2199,0.183541821114719,0.61,0.308081569895148,8.03940762020648,0.865949593605939,0.987965371279512,6.96,49.7249743323307,16.4631753570284,24,1.43,0.01
10,6.06,2191,0.147313337437809,0.26,8.2,2199,0.905944360555615,0.61,0.195695540867746,8.9103389296215,0.904211594579974,0.993330229839543,6.96,279.615266082808,45.5016966117662,37,1.43,0.01
11,6.06,2191,0.14779519486241,0.26,8.2,2199,0.880334510929417,0.61,0.2036247799173,8.21762402518652,0.875485711895162,0.99381667329208,6.96,188.223051117733,47.1195632434217,48,1.43,0.01
12,6.06,2191,0.225152439838275,0.26,8.2,2199,0.883305762471166,0.61,0.209881866984069,4.77214678167365,0.900667573852697,0.993465242704609,6.96,274.101796192583,43.2775472207926,47,1.43,0.01
13,6.06,2191,0.662480456754565,0.26,8.2,2199,0.474713010609848,0.61,0.526618895493448,84.0176124281716,0.968371990006184,0.997348147775046,6.96,261.372997359512,15.6394694587914,42,1.43,0.01
14,6.06,2191,0.671425875555724,0.26,8.2,2199,0.571422151605366,0.61,0.576529098190367,66.6681447967421,0.949272314179456,0.994046165584586,6.96,289.731973427953,12.3024512505508,39,1.43,0.01
15,6.06,2191,0.676044322811067,0.26,8.2,2199,0.485135391437216,0.61,0.524252413697541,81.2460081621539,0.980569656928768,0.997913775057532,6.96,296.662683790689,12.8639570738538,48,1.43,0.01
16,6.06,2191,0.672136760884896,0.26,8.2,2199,0.482818809374003,0.61,0.49164398226887,76.9606618692633,0.960475544892019,0.994670709390193,6.96,260.155146170547,10.3182342514046,41,1.43,0.01
17,6.06,2191,0.644636742519215,0.26,8.2,2199,0.540407937708078,0.61,0.625135187059641,75.4034109057393,0.957724998024991,0.991709736310877,6.96,278.174415007373,12.4772566837841,47,1.43,0.01
18,6.06,2191,0.662973972316831,0.26,8.2,2199,0.59139515239629,0.61,0.518968689404428,70.7700939772185,0.973389745540684,0.994117654776201,6.96,271.11754211192,9.79104253047844,40,1.43,0.01
19,6.06,2191,0.223020082749426,0.26,8.2,2199,0.295301756543107,0.61,0.146149092242122,10.1781142884865,0.837234383174218,0.991479202884715,6.96,448.167544499831,12.9072929806076,11,1.43,0.01
20,6.06,2191,0.198318332694471,0.26,8.2,2199,0.450953196036629,0.61,0.154483159780502,5.67284404858947,0.833758165701292,0.983381669040304,6.96,495.094492662558,11.7715854802635,11,1.43,0.01
21,6.06,2191,0.297680725809187,0.26,8.2,2199,0.442248199415393,0.61,0.163396597132087,7.39327638037503,0.8095204937784,0.989962028799113,6.96,472.454074186133,13.3811617233092,10,1.43,0.01
22,6.06,2191,0.578793830694631,0.26,8.2,2199,0.100426109071821,0.61,0.829745767377317,13.6184928305447,0.856938506375067,0.996029913475038,6.96,170.855898437183,49.7344643000164,42,1.43,0.01
23,6.06,2191,0.64963957468979,0.26,8.2,2199,0.258591056831181,0.61,0.827872982546687,15.0152648119256,0.851035856149159,0.988313501382479,6.96,185.761902910285,45.4589482838637,39,1.43,0.01
24,6.06,2191,0.652766108391806,0.26,8.2,2199,0.100026401208714,0.61,0.883478285260499,15.6696799229831,0.856958710971288,0.992760995969409,6.96,193.978776618,52.1419384223991,35,1.43,0.01
25,6.06,2191,0.625832653231919,0.26,8.2,2199,0.165353341756389,0.61,0.767592649012804,23.0841229921207,0.831705491702072,0.998957835094305,6.96,194.242334531248,51.6942930045072,39,1.43,0.01
