"Subject","a_schema","h_schema","Beta_N","Beta_Var","a_generic","h_generic","Beta_gN","Beta_gVar","w","Phi","decay_speed","decay_speed_thres","thres_item_inter","thres_item_final","thres_schema","theta_shift","timevar","modeltimestep"
1,6.06,2191,0.351466811979189,0.26,8.2,2199,0.852938298553694,0.61,0.817930622883141,51.8597846243065,0.825093312422745,0.990811978281708,6.96,397.898286043759,15.7617519289488,34,1.43,0.01
2,6.06,2191,0.406075081713498,0.26,8.2,2199,0.913568373768125,0.61,0.801333316341043,52.4910089091863,0.842105299421586,0.998299424193101,6.96,441.627171611041,23.5426470027422,42,1.43,0.01
3,6.06,2191,0.296510898200795,0.26,8.2,2199,0.913033044336829,0.61,0.848054186031222,40.9482671690639,0.849010142703541,0.995518830373185,6.96,369.327485093009,21.7768402360845,42,1.43,0.01
4,6.06,2191,0.519974101176485,0.26,8.2,2199,0.936179245199775,0.61,0.296490080580115,92.0900414406788,0.912127149487613,0.997603880445706,6.96,289.616464221291,40.1643844161066,38,1.43,0.01
5,6.06,2191,0.582368693901226,0.26,8.2,2199,0.867222836177563,0.61,0.32250344902277,87.8256682481151,0.889610333955614,0.995162930860417,6.96,278.348298787046,46.1422866240842,38,1.43,0.01
6,6.06,2191,0.588292516181245,0.26,8.2,2199,0.910766846716171,0.61,0.379263724982739,98.5864119918551,0.917194106998621,0.997483622901374,6.96,303.373839596659,40.2565414826269,38,1.43,0.01
7,6.06,2191,0.504793629860505,0.26,8.2,2199,0.78929606651119,0.61,0.232064112462103,96.4869411324617,0.909681575615658,0.99251076036063,6.96,256.62532934444,46.0392549736192,38,1.43,0.01
8,6.06,2191,0.545986523060128,0.26,8.2,2199,0.761239559093257,0.61,0.331546263583004,86.2039419950452,0.9005706189021,0.995015351091744,6.96,325.305258931033,42.5144124575658,30,1.43,0.01
9,6.06,2191,0.261004865597934,0.26,8.2,2199,0.31025530970376,0.61,0.631807407401502,4.8874390500132,0.937398405761691,0.989564382467885,6.96,453.111318980297,13.1917096048477,35,1.43,0.01
10,6.06,2191,0.221668954268098,0.26,8.2,2199,0.674641964320792,0.61,0.201895137317479,13.0115544998553,0.809364407337969,0.982996099516284,6.96,138.272527880035,35.037767953251,4,1.43,0.01
11,6.06,2191,0.19191497810185,0.26,8.2,2199,0.569795789818047,0.61,0.153678668141365,9.02824003412388,0.81692143013305,0.994283913229126,6.96,116.849557340611,33.5580294457846,2,1.43,0.01
12,6.06,2191,0.242566824667156,0.26,8.2,2199,0.605389450366376,0.61,0.149449486061931,12.6477199157234,0.81310733496747,0.988495713881683,6.96,88.8041593823582,32.953054926265,3,1.43,0.01
13,6.06,2191,0.275920614367351,0.26,8.2,2199,0.556326252191095,0.61,0.260869122445583,8.9701767002698,0.805122128441697,0.986845128391404,6.96,152.19317562459,36.9298073399463,9,1.43,0.01
14,6.06,2191,0.287923064297065,0.26,8.2,2199,0.651556507513626,0.61,0.285724876001477,6.62727928417735,0.822858647774672,0.985545263918582,6.96,147.74336718116,32.3467006742372,2,1.43,0.01
15,6.06,2191,0.643137187324464,0.26,8.2,2199,0.442718679315178,0.61,0.728857297636569,2.29766365210526,0.989780466025462,0.978686513303081,6.96,39.5868965061847,8.42197969256667,6,1.43,0.01
16,6.06,2191,0.57797005915083,0.26,8.2,2199,0.1066581012893,0.61,0.801161312684417,18.2474516213406,0.820232081340626,0.991462504500058,6.96,161.657832373446,42.3359216656885,31,1.43,0.01
17,6.06,2191,0.550225071394816,0.26,8.2,2199,0.0798510693225544,0.61,0.855601353086531,17.8453000609297,0.822852478932589,0.992633544546086,6.96,175.87051871377,44.9480090123136,19,1.43,0.01
18,6.06,2191,0.59119981078431,0.26,8.2,2199,0.184843894348247,0.61,0.822911007404327,15.3433765026275,0.829763700479642,0.990778602123726,6.96,194.352506231098,44.3446812651935,17,1.43,0.01
19,6.06,2191,0.567747291726991,0.26,8.2,2199,0.0697897200218867,0.61,0.874566187746823,9.33566210069694,0.821030202649534,0.997527090957854,6.96,177.052163817966,44.7623039364931,28,1.43,0.01
20,6.06,2191,0.615932562956586,0.26,8.2,2199,0.0380231518975925,0.61,0.862878802642226,16.2304979676846,0.81540528581664,0.993740918784868,6.96,150.078980295965,44.6837931941263,21,1.43,0.01
21,6.06,2191,0.623681977801025,0.26,8.2,2199,0.108200376967667,0.61,0.83818942129612,21.7822840597946,0.820827977566049,0.993486382015515,6.96,191.683646935085,39.2464449196006,24,1.43,0.01
22,6.06,2191,0.610234190570191,0.26,8.2,2199,0.896130733751459,0.61,0.525351863577962,96.7717717634514,0.868969672797713,0.9880656729904,6.96,357.125620745821,26.879213451338,4,1.43,0.01
23,6.06,2191,0.625669190138578,0.26,8.2,2199,0.938176287059439,0.61,0.596715071834624,90.4250787105411,0.848683592612389,0.989933950825129,6.96,378.026815301506,21.3610133028822,5,1.43,0.01
24,6.06,2191,0.568729507504031,0.26,8.2,2199,0.831023134617833,0.61,0.584753267690539,96.2362437322736,0.840493353549857,0.979892026841175,6.96,301.555172397988,24.9173467062647,11,1.43,0.01
25,6.06,2191,0.699259817013517,0.26,8.2,2199,0.811838572522625,0.61,0.550241947993636,12.0340173216537,0.887686775173294,0.985113003569888,6.96,390.265513396449,41.4574503144016,41,1.43,0.01
26,6.06,2191,0.621854523085058,0.26,8.2,2199,0.792077788854018,0.61,0.448994073793292,9.96489232312888,0.867396262507187,0.99745881129452,6.96,327.901039190218,42.072773269983,41,1.43,0.01
27,6.06,2191,0.627499541584402,0.26,8.2,2199,0.680124936163426,0.61,0.444966745004058,4.44553012866527,0.858432762841927,0.987072592376964,6.96,357.661337466538,39.1152954876306,34,1.43,0.01
28,6.06,2191,0.672100639324635,0.26,8.2,2199,0.773004971634597,0.61,0.559264116995037,5.92509672418237,0.866401223377558,0.99820754656964,6.96,320.524800390564,40.0830497876159,36,1.43,0.01
29,6.06,2191,0.582963634040207,0.26,8.2,2199,0.655807888232172,0.61,0.450524311102927,3.82425513956696,0.851615794454934,0.998727635461139,6.96,394.96699930178,43.820018453931,38,1.43,0.01
30,6.06,2191,0.44106804237701,0.26,8.2,2199,0.850526177722495,0.61,0.776080234982073,31.8916835288983,0.994152636067476,0.990109411848476,6.96,157.469476265879,49.4726041350397,21,1.43,0.01
31,6.06,2191,0.446953879967332,0.26,8.2,2199,0.923509607024025,0.61,0.787622736170888,31.9671778779011,0.988095598766115,0.998103026023833,6.96,154.142774628056,47.899890550063,17,1.43,0.01
32,6.06,2191,0.462807023348287,0.26,8.2,2199,0.896648607428651,0.61,0.816718487255275,25.059988463996,0.970421522022691,0.993659646546235,6.96,161.526181377983,52.1170997608569,22,1.43,0.01
33,6.06,2191,0.388852067971602,0.26,8.2,2199,0.823555697945412,0.61,0.733744837455451,17.464471713407,0.998895402322989,0.991279882278992,6.96,142.924719679216,49.5798843640368,17,1.43,0.01
34,6.06,2191,0.420010432237759,0.26,8.2,2199,0.118630534031196,0.61,0.37576022785157,22.4895483430009,0.80595558319916,0.986125662454404,6.96,337.697575363377,30.3211869508494,3,1.43,0.01
35,6.06,2191,0.451641218336299,0.26,8.2,2199,0.184612463827012,0.61,0.452209056392312,6.40080083510838,0.815429194697412,0.979768412278034,6.96,288.764483199501,31.2300903435564,6,1.43,0.01
36,6.06,2191,0.457580238375813,0.26,8.2,2199,0.179116860444425,0.61,0.363756374455988,7.74856557021849,0.80409505101596,0.990324816733599,6.96,317.695428450173,33.189239813399,8,1.43,0.01
37,6.06,2191,0.399684316487983,0.26,8.2,2199,0.112600957269547,0.61,0.453071927502751,4.48861062875949,0.828510245277779,0.981809389062226,6.96,293.286067549186,33.9113248942071,11,1.43,0.01
38,6.06,2191,0.365764307826757,0.26,8.2,2199,0.186892160766525,0.61,0.359861612692475,5.64123072079383,0.804855671820464,0.979292459485121,6.96,278.049953027209,31.9777034307015,6,1.43,0.01
39,6.06,2191,0.39939577318728,0.26,8.2,2199,0.115786278287647,0.61,0.451303558722138,15.1296517986339,0.813851308792131,0.99209111790359,6.96,292.744697074918,29.4244804260787,7,1.43,0.01
40,6.06,2191,0.360127453971654,0.26,8.2,2199,0.0809689436506014,0.61,0.455326042622328,5.7375095540192,0.808506561422022,0.99117166836001,6.96,326.980280200997,34.8939880501595,11,1.43,0.01
41,6.06,2191,0.36030249895528,0.26,8.2,2199,0.126371351715876,0.61,0.387139052785933,13.4049678442534,0.815126433081226,0.979273142774589,6.96,289.652520692023,30.2601204428473,13,1.43,0.01
42,6.06,2191,0.373727404177189,0.26,8.2,2199,0.187306981363334,0.61,0.329187273010612,82.265894260956,0.981753219562117,0.996101397873368,6.96,298.612060646014,44.875923229754,45,1.43,0.01
43,6.06,2191,0.277853167001158,0.26,8.2,2199,0.260782669360749,0.61,0.248654599450529,83.9658301852178,0.98829630522104,0.993865747634787,6.96,278.342083557462,47.6629107259563,34,1.43,0.01
44,6.06,2191,0.3863256134931,0.26,8.2,2199,0.190236865838058,0.61,0.311637589931488,83.6815111914184,0.989420344634447,0.996139729774091,6.96,219.498885663645,49.0472997367731,41,1.43,0.01
45,6.06,2191,0.306294039022177,0.26,8.2,2199,0.228972680230625,0.61,0.283910553604364,81.9589660938364,0.988803012231831,0.989047477242071,6.96,289.745840108907,48.3646551858517,32,1.43,0.01
46,6.06,2191,0.584061119118705,0.26,8.2,2199,0.13849207545165,0.61,0.765058495625854,56.7065508363303,0.964822498950642,0.989555669263471,6.96,453.987390889414,49.691323867836,31,1.43,0.01
47,6.06,2191,0.577389426389709,0.26,8.2,2199,0.227991712889634,0.61,0.782593895271421,56.5326176935341,0.978484774874058,0.987354622291867,6.96,481.398106284067,49.6141218757257,44,1.43,0.01
48,6.06,2191,0.686608065022156,0.26,8.2,2199,0.247336629549973,0.61,0.744677269384265,61.2966885163914,0.967486844500061,0.991720101306681,6.96,495.657084046956,51.2086160129518,43,1.43,0.01
49,6.06,2191,0.684931845124811,0.26,8.2,2199,0.208188834837638,0.61,0.80574531596154,48.9844663233962,0.980302070565056,0.997327777333092,6.96,457.071802829485,54.2280792243429,36,1.43,0.01
50,6.06,2191,0.66135643940419,0.26,8.2,2199,0.164156713201664,0.61,0.817380810156465,61.0760060537141,0.96322746268427,0.993597180111799,6.96,473.390927887615,47.055769790092,41,1.43,0.01
51,6.06,2191,0.566750998264179,0.26,8.2,2199,0.972579027757747,0.61,0.525972503684461,84.3731957045384,0.921262331785168,0.989009022617014,6.96,331.841289543686,15.2465622108546,61,1.43,0.01
52,6.06,2191,0.618104982050136,0.26,8.2,2199,0.963410882045282,0.61,0.52474231172353,83.6151310265996,0.932127961864229,0.992812034787843,6.96,394.406170461467,22.3067766033462,59,1.43,0.01
53,6.06,2191,0.553242822382599,0.26,8.2,2199,0.86028199284221,0.61,0.436320394612849,90.8512918488123,0.916533079644199,0.995019746299135,6.96,370.221361762052,15.3112306088326,60,1.43,0.01
54,6.06,2191,0.567403829498216,0.26,8.2,2199,0.918263821162982,0.61,0.482914669513702,77.4319951119833,0.924863672092091,0.996770012581022,6.96,332.42002038951,23.5026611740002,69,1.43,0.01
55,6.06,2191,0.600530193243176,0.26,8.2,2199,0.946457660848973,0.61,0.418579463399947,86.5400901646353,0.922976134720724,0.992940993711585,6.96,383.651608752692,15.5018360585207,69,1.43,0.01
56,6.06,2191,0.538256881432608,0.26,8.2,2199,0.938037024064688,0.61,0.492474411949515,83.0872333724983,0.920093306911644,0.98916248040949,6.96,365.230532726413,19.2599474731367,59,1.43,0.01
57,6.06,2191,0.540695806490257,0.26,8.2,2199,0.968100237239851,0.61,0.454820253029466,80.201993144583,0.905502664021682,0.990392566609429,6.96,322.736885163607,16.9724917530897,67,1.43,0.01
58,6.06,2191,0.547960853781551,0.26,8.2,2199,0.359988749899436,0.61,0.142835235185921,20.7344611061271,0.946512111768359,0.971551237783628,6.96,46.6790413546376,49.5022859221557,15,1.43,0.01
59,6.06,2191,0.62556084683165,0.26,8.2,2199,0.361686659778003,0.61,0.177783888317645,15.6131461847108,0.94593282555067,0.979838287716033,6.96,51.0575600394048,48.6418946905644,15,1.43,0.01
60,6.06,2191,0.614320859182626,0.26,8.2,2199,0.400689397925977,0.61,0.199151831157506,28.4731292610522,0.953509368457133,0.968465872283326,6.96,39.0959691165015,48.1122856478323,15,1.43,0.01
61,6.06,2191,0.581307326471433,0.26,8.2,2199,0.447741955273319,0.61,0.157121531926096,14.3545062167104,0.916763655904913,0.973486559542129,6.96,50.2949738839641,54.4848758141394,16,1.43,0.01
62,6.06,2191,0.566114618498832,0.26,8.2,2199,0.190280541018117,0.61,0.50770585488528,4.6628015844617,0.853193699314492,0.996822884286754,6.96,45.4927508812863,34.6578032004298,34,1.43,0.01
63,6.06,2191,0.552750176917762,0.26,8.2,2199,0.153454579631332,0.61,0.503562278971076,3.47357251984067,0.821040378312813,0.992587198982015,6.96,72.5185278784949,37.9179695246741,35,1.43,0.01
64,6.06,2191,0.553026229254901,0.26,8.2,2199,0.305431235287804,0.61,0.452104212194681,5.36537073389627,0.850531227884116,0.986437683244236,6.96,26.2694215341937,37.7416134545463,28,1.43,0.01
65,6.06,2191,0.580332319075242,0.26,8.2,2199,0.297285347789992,0.61,0.391475039944053,2.82646016520448,0.84213444080879,0.996704511962831,6.96,54.6720283334609,34.3986339582945,31,1.43,0.01
