"Subject","a_schema","h_schema","Beta_N","Beta_Var","a_generic","h_generic","Beta_gN","Beta_gVar","w","Phi","decay_speed","decay_speed_thres","thres_item_inter","thres_item_final","thres_schema","theta_shift","timevar","modeltimestep"
1,6.06,2191,0.688584056086838,0.26,8.2,2199,0.568189226879505,0.61,0.781282789334655,9.75157714053057,0.987526370323962,0.992063449330861,6.96,87.8399015050847,8.48832852676278,5,1.43,0.01
2,6.06,2191,0.695527383331209,0.26,8.2,2199,0.466283199653728,0.61,0.645862646140158,5.95594673487358,0.987019809921971,0.982533592915395,6.96,112.625322666066,15.4768046991201,2,1.43,0.01
3,6.06,2191,0.687123466320336,0.26,8.2,2199,0.540768899998395,0.61,0.637236350625753,4.41932010999881,0.975591675340896,0.986160456466721,6.96,95.6987711852882,11.9457307550125,5,1.43,0.01
4,6.06,2191,0.300473733441904,0.26,8.2,2199,0.856875071021262,0.61,0.851719082258642,55.2541703775059,0.846599604534917,0.993849452805007,6.96,392.636138964538,22.5254086451954,39,1.43,0.01
5,6.06,2191,0.389875457836315,0.26,8.2,2199,0.961732382651884,0.61,0.873347914591432,40.6759619105142,0.821067881063558,0.996407817095751,6.96,412.683005409408,21.4601425422821,41,1.43,0.01
6,6.06,2191,0.327210765713826,0.26,8.2,2199,0.957671531474683,0.61,0.889195272214711,53.318683486199,0.819443076794036,0.990494596852222,6.96,416.030610503722,21.9349306306685,41,1.43,0.01
7,6.06,2191,0.312300393795595,0.26,8.2,2199,0.88380561298551,0.61,0.782908578030765,49.3372347948607,0.841139122723602,0.993755646595964,6.96,390.960035966802,21.3571108918171,41,1.43,0.01
8,6.06,2191,0.353493286995217,0.26,8.2,2199,0.855749105567578,0.61,0.882390729151666,39.0542356574442,0.832028166010045,0.996260237327078,6.96,459.639965553395,17.8322683757637,33,1.43,0.01
9,6.06,2191,0.582964805243537,0.26,8.2,2199,0.837012985238573,0.61,0.237141442336142,98.6031847249251,0.912649055086775,0.988964043948101,6.96,291.614715021011,45.6537634138716,33,1.43,0.01
10,6.06,2191,0.512850260818377,0.26,8.2,2199,0.918209745112574,0.61,0.274833025000989,97.56350620999,0.889878146565287,0.998512143552536,6.96,277.696923125442,45.556038697192,38,1.43,0.01
11,6.06,2191,0.556678459830582,0.26,8.2,2199,0.816248291900149,0.61,0.239221988320351,86.3405338895973,0.910375936795725,0.991959506742889,6.96,242.506688718591,48.493074409524,45,1.43,0.01
12,6.06,2191,0.198059065621346,0.26,8.2,2199,0.407661421407945,0.61,0.68544978518039,6.57030143798329,0.922309371621581,0.989500552123878,6.96,453.588692069473,12.1000187046709,42,1.43,0.01
13,6.06,2191,0.218956936020404,0.26,8.2,2199,0.33840890745353,0.61,0.633004133924842,6.20646685385145,0.926052299251081,0.995000166489277,6.96,404.120323571796,10.015305677685,41,1.43,0.01
14,6.06,2191,0.267244043573737,0.26,8.2,2199,0.330192393620498,0.61,0.644799237176776,2.42059515346773,0.933797442035051,0.993078138913494,6.96,419.79549117987,10.6778252233518,39,1.43,0.01
15,6.06,2191,0.252310725720599,0.26,8.2,2199,0.289345709278248,0.61,0.744423770308495,2.52892363839783,0.918067092725309,0.993349580998998,6.96,467.509339814028,13.9920580913662,47,1.43,0.01
16,6.06,2191,0.604432209897786,0.26,8.2,2199,0.762034055595985,0.61,0.586144185848534,13.5303406831808,0.941350467480952,0.98403854532796,6.96,348.617663303344,47.2472012882819,47,1.43,0.01
17,6.06,2191,0.509495627591386,0.26,8.2,2199,0.8454475482048,0.61,0.590509255453944,15.942062469665,0.939183645067969,0.987341743555618,6.96,350.656558081461,41.5513485154253,58,1.43,0.01
18,6.06,2191,0.560032462095842,0.26,8.2,2199,0.768627329921117,0.61,0.647204194962978,12.7940938756801,0.937120323373238,0.989599031155696,6.96,267.543733473821,42.4804257303243,56,1.43,0.01
19,6.06,2191,0.60853037878871,0.26,8.2,2199,0.80345764398179,0.61,0.573232236430049,7.6506630606018,0.928004616579274,0.987745917636668,6.96,323.80222244882,41.7276859164354,55,1.43,0.01
20,6.06,2191,0.589030078873038,0.26,8.2,2199,0.760584240877768,0.61,0.560979341380298,12.5750099909492,0.948716431861976,0.992677525372012,6.96,345.008575264784,50.1038911972893,46,1.43,0.01
21,6.06,2191,0.589913004972041,0.26,8.2,2199,0.731740208394593,0.61,0.592306265421212,4.43735384335741,0.918606154989684,0.998133028793847,6.96,339.307590427296,41.3806404331699,48,1.43,0.01
22,6.06,2191,0.502646733550355,0.26,8.2,2199,0.829346610005712,0.61,0.649477570839226,15.4406318343244,0.941154265800724,0.994855283351382,6.96,326.466138103465,45.303240084101,51,1.43,0.01
23,6.06,2191,0.639125203425065,0.26,8.2,2199,0.79734047504398,0.61,0.755558460205793,50.7838676115498,0.835286926701665,0.972493906325195,6.96,169.081988246227,36.1473090756452,10,1.43,0.01
24,6.06,2191,0.66206670075655,0.26,8.2,2199,0.855169865603326,0.61,0.631456755287945,41.2600533701479,0.812877252586186,0.97824964795867,6.96,184.26369619933,33.1854370890418,15,1.43,0.01
