"Subject","a_schema","h_schema","Beta_N","Beta_Var","a_generic","h_generic","Beta_gN","Beta_gVar","w","Phi","decay_speed","decay_speed_thres","thres_item_inter","thres_item_final","thres_schema","theta_shift","timevar","modeltimestep"
1,6.06,2191,0.460512064965442,0.26,8.2,2199,0.820951997405617,0.61,0.176293513439596,53.205191912828,0.898375037938356,0.992167323770933,6.96,433.105210560979,46.0081626284984,33,1.43,0.01
2,6.06,2191,0.500365360137075,0.26,8.2,2199,0.702996432232438,0.61,0.226285315938294,70.7352138177957,0.880070985846221,0.990622031748295,6.96,413.163247697195,54.1134424916701,38,1.43,0.01
3,6.06,2191,0.509122591214255,0.26,8.2,2199,0.862376547707943,0.61,0.15561535295099,55.7151205332484,0.905017748132348,0.99289674725756,6.96,463.215769642172,45.4372689782991,30,1.43,0.01
4,6.06,2191,0.491783607918769,0.26,8.2,2199,0.81449179207976,0.61,0.102503683827817,52.8907434090506,0.903285446159542,0.989396428613924,6.96,444.638941474864,50.3296728313435,42,1.43,0.01
5,6.06,2191,0.354365398455411,0.26,8.2,2199,0.647998157450696,0.61,0.485138063542545,92.3856617973652,0.996433405203279,0.99451535211131,6.96,97.8362325193361,36.4412021836382,71,1.43,0.01
6,6.06,2191,0.29770569418557,0.26,8.2,2199,0.676536213028943,0.61,0.454306078478694,98.2751132405829,0.977924794198479,0.988584312938154,6.96,104.143280006107,37.4111868700245,76,1.43,0.01
7,6.06,2191,0.296046415595338,0.26,8.2,2199,0.646617651013424,0.61,0.510776158720255,99.4913559125271,0.98146278188331,0.983756852207705,6.96,72.9142538100481,37.83109647854,64,1.43,0.01
8,6.06,2191,0.351394991278648,0.26,8.2,2199,0.678653702819487,0.61,0.465919268392026,94.97294893465,0.975547804662492,0.988940629756078,6.96,64.1304570116103,38.5113891386776,72,1.43,0.01
9,6.06,2191,0.135114241857082,0.26,8.2,2199,0.222275388448732,0.61,0.704291695989668,88.5279662155081,0.916912358222064,0.994917905153241,6.96,399.42414565091,45.8377453532303,18,1.43,0.01
10,6.06,2191,0.574862501490861,0.26,8.2,2199,0.50530530332122,0.61,0.248845694996417,7.56784071982838,0.890628264650237,0.993581068970496,6.96,393.366497048223,34.0570061165723,15,1.43,0.01
11,6.06,2191,0.576433744477108,0.26,8.2,2199,0.498455500430428,0.61,0.120757361464202,8.7461705210153,0.893647068880033,0.987125208832556,6.96,438.692816729238,31.5548549202154,6,1.43,0.01
12,6.06,2191,0.602827489394695,0.26,8.2,2199,0.657088144882582,0.61,0.18284512873739,19.6376268456224,0.871057995819952,0.99635940735531,6.96,392.160364010418,37.7691238087486,12,1.43,0.01
