"Subject","a_schema","h_schema","Beta_N","Beta_Var","a_generic","h_generic","Beta_gN","Beta_gVar","w","Phi","decay_speed","decay_speed_thres","thres_item_inter","thres_item_final","thres_schema","theta_shift","timevar","modeltimestep"
1,6.06,2191,0.483088378449902,0.26,8.2,2199,0.56841894596885,0.61,0.788238487206399,83.6610733759589,0.824204541093204,0.997798831905937,6.96,452.152920963336,26.8328616558807,10,1.43,0.01
2,6.06,2191,0.593895893553272,0.26,8.2,2199,0.664821090959711,0.61,0.727535051293671,73.9950785594992,0.806897743775044,0.998006352512864,6.96,445.607561924588,25.3322848662501,17,1.43,0.01
3,6.06,2191,0.571305767223239,0.26,8.2,2199,0.62893710689689,0.61,0.77474197216332,88.7848188583739,0.807272684408817,0.998447844675509,6.96,493.050129137095,25.6540221569128,14,1.43,0.01
4,6.06,2191,0.556805368633941,0.26,8.2,2199,0.637595287096454,0.61,0.685338745601475,75.6129861013032,0.8179493972403,0.993514499180717,6.96,465.1140445197,32.6793231650488,11,1.43,0.01
5,6.06,2191,0.566279909741133,0.26,8.2,2199,0.688659089674242,0.61,0.609500875174999,4.37579466681927,0.867849550914718,0.981752287673764,6.96,349.783837561961,46.0610785011435,3,1.43,0.01
6,6.06,2191,0.504908496327698,0.26,8.2,2199,0.720222935649566,0.61,0.680892606116831,2.73918116651475,0.873939023461891,0.981259978830814,6.96,370.755543163978,52.9086805476225,7,1.43,0.01
7,6.06,2191,0.558211183417588,0.26,8.2,2199,0.558347243360244,0.61,0.683397061415017,9.5656802104786,0.866207538169576,0.986575742078014,6.96,359.899808085989,50.7102437133202,3,1.43,0.01
8,6.06,2191,0.335144123686478,0.26,8.2,2199,0.640999366555596,0.61,0.259879693239927,49.2039103496354,0.811434443152742,0.995604013320524,6.96,387.21265874221,13.6600572436699,21,1.43,0.01
9,6.06,2191,0.353517024125904,0.26,8.2,2199,0.722522112800041,0.61,0.178542702384293,48.7386377125513,0.807850104456069,0.988791072563734,6.96,351.824092113646,22.3222216755385,15,1.43,0.01
10,6.06,2191,0.384501578509808,0.26,8.2,2199,0.615399629695574,0.61,0.1808149991557,63.7032434733119,0.821209185959073,0.990674011236522,6.96,400.754335844191,13.877219342778,22,1.43,0.01
11,6.06,2191,0.393601468019187,0.26,8.2,2199,0.722434509944404,0.61,0.259463473446667,55.870096191531,0.839243418068858,0.99818840709934,6.96,391.763827931369,20.6448972263606,11,1.43,0.01
12,6.06,2191,0.358127361554652,0.26,8.2,2199,0.671868689570809,0.61,0.226290788389742,50.0630924541038,0.836394121495308,0.987220384412911,6.96,376.645514847012,14.3396314585116,12,1.43,0.01
13,6.06,2191,0.346381593886763,0.26,8.2,2199,0.630498859498883,0.61,0.207223083749414,59.5501842226367,0.810871358073549,0.9975370315318,6.96,342.032267443137,18.8038289271062,14,1.43,0.01
14,6.06,2191,0.430776515603066,0.26,8.2,2199,0.610932303712005,0.61,0.165699222534895,52.2738272713032,0.839397395679029,0.990773778729606,6.96,386.986867601285,20.5038354125922,23,1.43,0.01
15,6.06,2191,0.419994548587128,0.26,8.2,2199,0.96723107206868,0.61,0.329047611393034,64.0945757869631,0.901273333042394,0.998656228855718,6.96,455.906007680763,43.3170093043242,16,1.43,0.01
16,6.06,2191,0.459137511914596,0.26,8.2,2199,0.994127381874714,0.61,0.265346116311848,80.5978983631358,0.872819925754797,0.990869628261309,6.96,475.806454644725,46.4955386989866,18,1.43,0.01
17,6.06,2191,0.525947381462902,0.26,8.2,2199,0.865698367545847,0.61,0.214471630565822,79.0801646411419,0.869424451136496,0.994729858707171,6.96,479.064872534201,38.7687536084908,19,1.43,0.01
18,6.06,2191,0.441739918887615,0.26,8.2,2199,0.93874004865298,0.61,0.271428905166686,72.9745388021693,0.869801267081406,0.99121580001479,6.96,464.479697747342,38.1609029689222,30,1.43,0.01
19,6.06,2191,0.435540642626584,0.26,8.2,2199,0.825692918293644,0.61,0.259907392896712,76.2717035962269,0.867253133536782,0.991001627389807,6.96,485.254555354081,38.2967747415649,26,1.43,0.01
20,6.06,2191,0.454538564151153,0.26,8.2,2199,0.86179659324931,0.61,0.225982220433652,77.5971768461168,0.892784737985116,0.996783148530405,6.96,477.837508496083,41.655103977595,20,1.43,0.01
21,6.06,2191,0.641585192009807,0.26,8.2,2199,0.768610436869552,0.61,0.384858950190246,68.5714092310518,0.887790594705148,0.99879964565346,6.96,167.64576162626,45.8129776145332,36,1.43,0.01
22,6.06,2191,0.655434770630673,0.26,8.2,2199,0.829556515468052,0.61,0.365759711302817,70.8128318861127,0.906348052480025,0.996390156754758,6.96,212.296351034148,43.1005245564505,36,1.43,0.01
23,6.06,2191,0.65086730197072,0.26,8.2,2199,0.669507149308687,0.61,0.390116259083152,64.1263371864334,0.892874711340992,0.993332998826634,6.96,182.228128320957,42.0102138926392,40,1.43,0.01
