Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,6,1.470000000000001,2,8,51,17,14,55,6.269999999999943,4.4999999999999485,0.8700000000000006,4.769999999999943,7,6,2,4,19,9,2,4,4,0,20,7,H,0.3300000000000001,0.5000000000000002,0.4350000000000002,1.192499999999996
1,1,2,0,9,0.5600000000000003,2,6,61,75,68,25,3.8599999999999737,6.2799999999999105,0.7300000000000004,0.3200000000000001,6,7,3,1,16,14,3,1,4,0,16,7,H,0.2412500000000001,0.4485714285714288,0.24333333333333343,0.3200000000000001
1,2,3,0,4,0.7800000000000005,2,6,19,22,100,28,7.209999999999908,0.5900000000000003,1.2500000000000009,0.9500000000000006,8,1,4,1,21,1,4,1,2,0,19,7,H,0.3433333333333335,0.5900000000000003,0.3125000000000001,0.9500000000000006
1,2,4,0,5,0.48000000000000026,2,3,5,4,68,61,3.7699999999999743,7.589999999999883,0.49000000000000027,0.10999999999999999,5,12,3,2,10,19,3,2,6,0,20,7,H,0.3770000000000002,0.39947368421052654,0.16333333333333339,0.055
1,3,5,0,6,1.260000000000001,14,17,56,60,82,9,4.7599999999999705,0.6000000000000003,2.899999999999982,0.9900000000000007,19,1,4,4,25,1,11,5,4,0,17,7,H,0.19040000000000007,0.6000000000000003,0.2636363636363638,0.19800000000000006
1,3,6,0,9,1.6900000000000013,2,4,19,27,15,32,8.769999999999895,0.45000000000000023,0.47000000000000025,3.419999999999971,9,1,2,6,19,1,3,8,4,0,22,7,H,0.46157894736842126,0.45000000000000023,0.15666666666666668,0.4275000000000002
1,4,7,0,7,0.7500000000000004,8,10,54,96,95,115,11.169999999999822,2.4599999999999915,1.0200000000000007,6.129999999999914,16,6,4,8,22,6,6,13,3,0,12,7,H,0.5077272727272718,0.41000000000000025,0.17000000000000004,0.4715384615384618
1,4,8,0,2,0.4300000000000002,2,4,24,72,63,83,6.059999999999925,0.9100000000000006,1.410000000000001,0.17,7,1,4,2,18,1,4,2,3,0,17,7,H,0.33666666666666684,0.9100000000000006,0.35250000000000015,0.08499999999999999
1,5,9,0,4,1.1300000000000008,7,8,99,49,57,32,3.0600000000000023,3.46999999999997,1.2100000000000009,0.5100000000000002,9,3,2,2,11,6,6,2,2,0,15,7,H,0.2781818181818183,0.5783333333333337,0.20166666666666672,0.2550000000000001
1,5,10,0,3,0.5200000000000002,2,5,46,94,113,19,6.739999999999912,1.0400000000000007,1.0600000000000007,0.20000000000000004,7,1,3,2,17,1,4,2,5,0,16,7,H,0.39647058823529435,1.0400000000000007,0.2650000000000001,0.09999999999999999
1,6,11,0,10,0.8800000000000006,2,8,109,67,26,66,7.089999999999913,0.35000000000000014,1.5300000000000011,0.24000000000000007,10,1,3,1,27,1,4,1,6,0,15,7,H,0.2625925925925927,0.35000000000000014,0.3825000000000002,0.24000000000000007
1,6,12,0,5,0.9100000000000006,5,8,56,46,11,6,8.029999999999893,1.0800000000000007,0.12999999999999998,0.15,13,3,1,1,24,3,1,1,6,0,21,7,H,0.3345833333333335,0.36000000000000015,0.12999999999999998,0.15
1,7,13,1,10,0.7900000000000005,2,6,4,117,54,120,30.74000000000188,0.01,0.02,0.01,20,1,1,1,73,1,1,1,6,0,14,7,H,0.42109589041095913,0.01,0.02,0.01
1,7,14,1,3,0.6100000000000003,2,4,36,106,31,64,2.4800000000000018,4.389999999999951,1.0600000000000007,1.7500000000000013,4,5,2,2,6,12,2,5,5,0,16,7,H,0.41333333333333355,0.3658333333333335,0.5300000000000002,0.35000000000000014
1,8,15,1,10,0.5900000000000003,2,3,10,7,5,65,3.889999999999974,2.7299999999999858,0.3300000000000001,1.8500000000000014,6,5,1,3,8,8,1,3,6,0.5,22,7,H,0.4862500000000003,0.34125000000000016,0.3300000000000001,0.616666666666667
1,8,16,1,6,1.0600000000000007,2,3,104,60,100,52,10.23999999999985,0.4200000000000002,0.46000000000000024,0.38000000000000017,13,2,2,3,27,4,2,3,4,0,12,7,H,0.37925925925925946,0.10500000000000001,0.23000000000000007,0.12666666666666668
1,9,17,1,13,0.4400000000000002,2,3,103,100,18,14,4.519999999999958,1.310000000000001,0.7900000000000005,7.169999999999892,10,3,2,7,16,4,5,13,6,0,16,7,H,0.28250000000000014,0.3275000000000001,0.15800000000000003,0.5515384615384618
1,9,18,1,14,0.5400000000000003,2,3,37,38,43,50,2.769999999999997,2.9299999999999815,1.9700000000000015,0.5000000000000002,5,6,3,1,11,8,5,1,5,0.5,19,7,H,0.25181818181818194,0.3662500000000002,0.3940000000000002,0.5000000000000002
1,10,19,1,12,0.5100000000000002,2,3,87,93,120,89,5.709999999999933,0.4200000000000002,2.0799999999999996,0.17,6,1,3,1,11,1,6,1,3,0.5,11,7,H,0.5190909090909076,0.4200000000000002,0.34666666666666685,0.17
1,10,20,1,3,1.1800000000000008,2,6,97,100,65,80,6.5999999999999295,2.429999999999992,1.390000000000001,1.7600000000000013,9,3,2,5,19,5,4,5,5,0,11,7,H,0.3473684210526317,0.48600000000000027,0.34750000000000014,0.3520000000000002
1,11,21,1,14,0.5600000000000003,2,4,47,42,6,90,8.32999999999988,0.7400000000000004,1.1700000000000008,0.3100000000000001,10,3,3,2,18,4,3,2,5,0,19,7,H,0.46277777777777807,0.18500000000000005,0.3900000000000002,0.15500000000000003
1,11,22,1,7,0.4400000000000002,2,3,98,76,13,81,4.6299999999999555,1.7500000000000013,2.849999999999983,0.17,6,4,7,1,10,5,9,1,3,0,14,7,H,0.46300000000000024,0.35000000000000014,0.3166666666666668,0.17
1,12,23,1,13,0.3900000000000002,2,3,14,110,17,118,2.4799999999999995,4.43999999999995,0.7900000000000005,1.6100000000000012,4,4,2,3,9,17,3,10,6,0,16,7,H,0.2755555555555557,0.2611764705882354,0.2633333333333334,0.16100000000000003
1,12,24,1,6,0.8400000000000005,3,7,53,1,5,4,4.889999999999959,1.440000000000001,1.260000000000001,7.009999999999895,7,3,3,9,13,6,3,18,4,0.5,22,7,H,0.37615384615384634,0.24000000000000005,0.4200000000000002,0.38944444444444465
1,13,25,1,14,0.8400000000000005,2,5,45,39,17,103,7.099999999999912,0.3300000000000001,1.500000000000001,0.18000000000000002,9,1,2,1,16,1,2,1,5,0,18,7,H,0.44375000000000026,0.3300000000000001,0.7500000000000004,0.18000000000000002
1,13,26,1,10,0.9800000000000006,2,4,9,72,1,88,8.499999999999885,2.8399999999999834,1.0000000000000007,2.719999999999986,12,5,3,5,17,7,3,7,6,0,19,7,H,0.5000000000000002,0.4057142857142859,0.3333333333333335,0.3885714285714288
1,14,27,1,12,1.0000000000000007,2,6,44,92,47,110,5.229999999999955,2.6399999999999877,1.9800000000000015,1.2100000000000009,7,7,2,4,19,10,2,4,3,0,15,7,H,0.27526315789473693,0.2640000000000001,0.9900000000000007,0.3025000000000001
1,14,28,1,6,0.4100000000000002,2,3,107,9,108,1,5.3399999999999395,1.7200000000000013,2.0400000000000005,2.399999999999993,6,3,2,4,13,6,2,6,4,0,16,7,H,0.410769230769231,0.2866666666666668,1.0200000000000007,0.4000000000000002
