Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,7,0.49000000000000027,2,6,109,13,23,89,4.029999999999969,0.35000000000000014,0.22000000000000006,0.05,6,1,1,1,18,1,1,1,3,0,17,7,HL,0.22388888888888897,0.35000000000000014,0.22000000000000006,0.05
1,1,2,0,6,0.3900000000000002,2,5,100,55,3,81,3.449999999999979,0.26000000000000006,0.22000000000000006,0.18000000000000002,7,2,1,1,18,2,1,1,4,0,15,7,HL,0.1916666666666667,0.12999999999999998,0.22000000000000006,0.18000000000000002
1,2,3,0,8,0.3900000000000002,2,4,10,80,4,3,2.639999999999996,0.3200000000000001,0.9100000000000006,0.2800000000000001,6,1,4,2,10,1,4,4,2,0.5,21,7,HL,0.2640000000000001,0.3200000000000001,0.2275000000000001,0.06999999999999999
1,2,4,0,7,0.25000000000000006,2,5,14,99,62,104,7.0499999999998995,0.01,0.04,0.01,14,1,1,1,28,1,1,1,3,0,14,7,HL,0.2517857142857144,0.01,0.04,0.01
1,3,5,0,2,0.36000000000000015,2,5,79,73,20,113,1.7600000000000011,1.6100000000000012,0.9200000000000006,1.400000000000001,6,5,3,7,11,5,4,8,3,0,14,7,HL,0.16000000000000006,0.3220000000000002,0.2300000000000001,0.17500000000000004
1,3,6,0,3,0.23000000000000007,2,4,42,108,40,45,2.2000000000000015,1.460000000000001,0.08,0.060000000000000005,5,3,1,1,11,4,1,1,5,0.5,17,7,HL,0.20000000000000007,0.3650000000000002,0.08,0.060000000000000005
1,4,7,0,2,0.2700000000000001,2,5,116,111,5,73,1.4200000000000008,1.340000000000001,0.49000000000000027,0.5600000000000003,4,3,1,2,8,6,1,2,3,0,13,7,HL,0.17750000000000007,0.2233333333333334,0.49000000000000027,0.28000000000000014
1,4,8,0,7,0.36000000000000015,2,3,87,103,62,98,1.8700000000000012,1.460000000000001,0.7900000000000005,0.07,5,5,3,1,7,6,6,1,3,0,11,7,HL,0.26714285714285724,0.24333333333333343,0.13166666666666668,0.07
1,5,9,0,5,1.300000000000001,7,11,100,68,6,10,3.9999999999999876,0.9000000000000006,0.7800000000000005,6.059999999999915,14,3,2,11,21,3,2,18,6,0,18,7,HL,0.19047619047619052,0.3000000000000001,0.39000000000000024,0.33666666666666684
1,5,10,0,1,0.26000000000000006,2,3,33,52,90,114,1.550000000000001,2.579999999999989,0.7100000000000004,1.2000000000000008,4,5,4,3,5,8,4,3,5,0,14,7,HL,0.31000000000000016,0.3225000000000001,0.17750000000000005,0.4000000000000002
1,6,11,0,2,0.7100000000000004,3,4,23,84,20,15,3.3899999999999872,2.07,0.02,0.01,7,4,1,1,10,6,1,1,3,0.5,21,7,HL,0.33900000000000013,0.3450000000000002,0.02,0.01
1,6,12,0,5,0.38000000000000017,2,4,6,101,58,1,3.1299999999999857,0.34000000000000014,0.16,0.11999999999999998,7,2,1,1,24,2,1,1,6,0,18,7,HL,0.13041666666666668,0.17,0.16,0.11999999999999998
1,7,13,1,6,0.21000000000000005,1,2,5,106,97,107,2.7599999999999896,0.19000000000000003,0.13999999999999999,1.1600000000000008,7,1,1,4,13,1,1,4,4,0.5,18,7,HL,0.21230769230769236,0.19000000000000003,0.13999999999999999,0.29000000000000015
1,7,14,1,9,0.24000000000000007,2,4,21,17,90,62,3.479999999999975,0.5900000000000003,0.7700000000000005,0.02,8,2,4,1,12,2,4,1,4,0,19,7,HL,0.29000000000000015,0.2950000000000001,0.19250000000000006,0.02
1,8,15,1,7,0.15,2,3,92,91,63,88,1.4800000000000009,0.4000000000000002,3.6899999999999653,0.01,6,3,8,1,7,4,10,1,3,0.5,22,7,HL,0.21142857142857152,0.10000000000000002,0.36900000000000016,0.01
1,8,16,1,2,0.24000000000000007,2,5,59,103,11,76,2.2400000000000015,0.9800000000000006,0.7500000000000004,0.04,6,1,2,1,11,2,2,1,3,0,15,7,HL,0.20363636363636373,0.4900000000000002,0.3750000000000002,0.04
1,9,17,1,7,0.12999999999999998,2,3,55,94,3,6,3.5299999999999714,0.6200000000000003,0.22000000000000006,0.09,10,2,2,1,17,2,2,1,3,0,19,7,HL,0.2076470588235295,0.31000000000000016,0.11,0.09
1,9,18,1,1,0.3000000000000001,3,6,82,76,62,25,3.129999999999984,0.16,0.16,1.310000000000001,8,1,1,3,22,1,1,4,5,0,15,7,HL,0.1422727272727273,0.16,0.16,0.3275000000000001
1,10,19,1,3,0.3200000000000001,2,6,48,37,60,3,1.4500000000000008,3.849999999999962,0.6900000000000004,0.26000000000000006,6,11,3,2,12,16,4,2,5,0,20,7,HL,0.12083333333333336,0.2406250000000001,0.17250000000000004,0.13000000000000003
1,10,20,1,7,0.11999999999999998,1,2,31,92,30,35,1.8100000000000012,0.49000000000000027,0.3900000000000002,0.3300000000000001,4,2,1,1,10,2,1,1,3,0.5,33,7,HL,0.18100000000000008,0.24500000000000005,0.3900000000000002,0.3300000000000001
1,11,21,1,1,0.16,2,4,4,105,28,33,9.479999999999846,0.02,0.01,0.01,16,1,1,1,32,1,1,1,5,0,18,7,HL,0.2962500000000001,0.02,0.01,0.01
1,11,22,1,9,0.19000000000000003,2,3,64,69,61,111,2.6999999999999904,0.8200000000000005,1.5100000000000011,0.8400000000000005,11,3,5,2,14,3,6,2,4,0.5,26,7,HL,0.19285714285714292,0.27333333333333343,0.25166666666666676,0.42000000000000026
1,12,23,1,10,0.5900000000000003,11,12,60,56,107,15,4.309999999999965,3.8199999999999625,0.01,0.36000000000000015,20,8,1,2,24,11,1,2,6,0,16,7,HL,0.1795833333333334,0.34727272727272746,0.01,0.18000000000000008
1,12,24,1,5,0.3100000000000001,2,3,4,5,7,9,2.3400000000000007,0.6400000000000003,1.2500000000000009,0.05,5,3,4,1,7,3,5,1,6,1,72,7,HL,0.33428571428571446,0.21333333333333337,0.2500000000000001,0.05
1,13,25,1,10,0.18000000000000002,2,3,20,19,15,113,1.4900000000000009,2.719999999999986,2.0799999999999996,0.04,4,3,7,1,6,5,11,1,6,0.5,38,7,HL,0.24833333333333346,0.5440000000000004,0.18909090909090914,0.04
1,13,26,1,5,0.15,2,2,1,89,106,99,2.2899999999999983,0.4100000000000002,0.3300000000000001,0.3000000000000001,5,2,2,2,11,3,3,2,6,0,13,7,HL,0.20818181818181825,0.13666666666666671,0.10999999999999999,0.15
1,14,27,1,10,0.26000000000000006,2,6,23,24,72,16,2.939999999999987,0.5000000000000002,1.0700000000000007,0.08,5,2,5,2,13,2,5,2,6,0.5,40,7,HL,0.22615384615384626,0.2500000000000001,0.21400000000000008,0.04
1,14,28,1,1,0.19000000000000003,2,5,36,77,112,33,2.8799999999999866,1.7300000000000013,0.04,0.46000000000000024,10,6,1,3,16,9,1,3,5,0,15,7,HL,0.18000000000000005,0.1922222222222223,0.04,0.15333333333333338
1,15,29,1,8,0.25000000000000006,2,3,115,25,26,117,2.1300000000000017,1.370000000000001,0.8600000000000005,0.07,6,3,2,1,9,4,4,1,2,0,14,7,HL,0.23666666666666678,0.34250000000000014,0.21500000000000008,0.07
1,15,30,1,3,1.0600000000000007,5,9,18,17,22,99,2.4400000000000017,4.609999999999946,0.02,0.5800000000000003,8,5,1,5,15,16,1,5,5,0.5,38,7,HL,0.1626666666666667,0.28812500000000013,0.02,0.116
