Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,5,0.5500000000000003,2,9,1,2,91,98,1.9800000000000013,0.16,0.8100000000000005,0.3100000000000001,5,2,5,2,21,4,10,2,6,0,17,7,LH,0.09428571428571429,0.04,0.08100000000000002,0.15500000000000003
1,1,2,0,2,0.8000000000000005,2,11,75,77,74,37,1.8300000000000012,0.9300000000000006,0.17,0.5800000000000003,6,3,2,3,23,9,3,6,3,0.5,23,7,LH,0.07956521739130436,0.10333333333333333,0.05666666666666667,0.09666666666666668
1,2,3,0,3,0.4400000000000002,2,5,42,89,20,15,1.9400000000000013,0.9900000000000007,0.34000000000000014,1.2400000000000009,5,3,2,6,29,7,4,21,5,0,20,7,LH,0.06689655172413793,0.14142857142857143,0.08500000000000002,0.05904761904761905
1,2,4,0,8,0.4300000000000002,4,7,118,4,83,74,2.49,0.22000000000000006,0.3900000000000002,0.49000000000000027,7,2,2,5,33,5,2,7,2,0,14,7,LH,0.07545454545454545,0.044,0.19500000000000006,0.07
1,3,5,0,8,0.4000000000000002,2,5,114,115,16,44,2.989999999999989,0.9600000000000006,0.02,0.22000000000000006,10,8,1,2,33,15,1,2,2,0,15,7,LH,0.09060606060606062,0.064,0.02,0.10999999999999999
1,3,6,0,6,0.2900000000000001,2,4,2,105,5,99,7.639999999999888,0.01,0.07,0.01,20,1,4,1,98,1,4,1,4,0,16,7,LH,0.07795918367346939,0.01,0.0175,0.01
1,4,7,0,1,0.5400000000000003,2,7,101,107,34,28,1.8800000000000012,0.5200000000000002,0.3000000000000001,0.07,6,4,3,1,18,10,5,1,5,0,14,7,LH,0.10444444444444448,0.052000000000000005,0.06,0.07
1,4,8,0,2,0.15,3,3,2,70,77,110,7.779999999999882,0.02,0.01,0.04,20,1,1,1,87,1,1,1,3,0,15,7,LH,0.08942528735632185,0.02,0.01,0.04
1,5,9,0,1,0.8900000000000006,3,12,34,4,25,10,1.8800000000000012,0.4000000000000002,0.5500000000000003,0.07,5,3,3,1,26,5,8,1,5,0,22,7,LH,0.07230769230769231,0.08,0.06875,0.07
1,5,10,0,9,0.34000000000000014,2,3,69,46,37,111,2.42,0.6800000000000004,0.09,0.3900000000000002,6,3,2,6,20,6,3,7,4,0,16,7,LH,0.12100000000000002,0.11333333333333334,0.030000000000000002,0.055714285714285716
1,6,11,0,2,0.6900000000000004,2,6,80,46,37,112,1.5000000000000009,0.8700000000000006,0.20000000000000004,0.2900000000000001,4,4,1,2,12,15,1,7,3,0,15,7,LH,0.125,0.057999999999999996,0.20000000000000004,0.04142857142857143
1,6,12,0,4,0.4300000000000002,3,6,100,15,18,98,1.8900000000000012,0.8200000000000005,0.24000000000000007,0.05,5,4,2,1,21,10,2,1,2,0,16,7,LH,0.09000000000000001,0.082,0.12000000000000002,0.05
1,7,13,1,10,0.5700000000000003,2,10,20,84,17,30,1.540000000000001,0.5300000000000002,0.4300000000000002,2.0000000000000013,4,2,4,10,18,5,8,20,6,0,20,7,LH,0.08555555555555555,0.10600000000000002,0.05375,0.10000000000000002
1,7,14,1,9,0.6200000000000003,2,10,66,65,104,68,2.4400000000000017,0.35000000000000014,0.3000000000000001,0.05,6,3,3,1,27,5,9,1,4,0.5,14,7,LH,0.09037037037037038,0.07,0.03333333333333333,0.05
1,8,15,1,9,0.6600000000000004,3,10,67,83,70,68,1.8300000000000012,0.5300000000000002,0.3900000000000002,0.11999999999999998,8,4,4,2,20,8,6,3,4,0.5,15,7,LH,0.09150000000000001,0.06625,0.06499999999999999,0.04
1,8,16,1,6,0.7800000000000005,3,5,59,52,50,27,1.8100000000000012,0.6800000000000004,0.9300000000000006,0.18000000000000002,5,2,2,2,19,6,11,2,4,0.5,17,7,LH,0.09526315789473686,0.11333333333333334,0.08454545454545455,0.09
