Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,6.06,2191,0.383143070545048,0.26,8.2,2199,0.752947949765483,0.61,0.283767110854387,75.9632558505982,0.819364233553875,0.993126976566855,6.96,260.385519945668,51.0462809408782,15,1.43,0.01
2,6.06,2191,0.384288130523637,0.26,8.2,2199,0.6901605167503,0.61,0.295844994783402,75.4923713384196,0.819309072174597,0.993448699482251,6.96,245.621732581081,50.904275354254104,18,1.43,0.01
3,6.06,2191,0.397896006545052,0.26,8.2,2199,0.77618720327341,0.61,0.320996063798666,78.2012040065601,0.821197698671836,0.988569203068037,6.96,313.091927379975,49.676919828332,17,1.43,0.01
4,6.06,2191,0.409930920898914,0.26,8.2,2199,0.778612439202378,0.61,0.330641014836729,77.0575596475974,0.806523404807318,0.991591811908875,6.96,270.749682253832,47.3701207108912,5,1.43,0.01
5,6.06,2191,0.362807581592351,0.26,8.2,2199,0.0816887520330492,0.61,0.827640996314585,19.9894777103327,0.896644106376916,0.992448955304921,6.96,114.311033406667,25.4479854525998,16,1.43,0.01
6,6.06,2191,0.402919048015028,0.26,8.2,2199,0.0376185055433307,0.61,0.814380297958851,36.5233449568041,0.880535727506504,0.992189162807539,6.96,142.296261188481,29.1175200600177,18,1.43,0.01
7,6.06,2191,0.414527375213802,0.26,8.2,2199,0.040213901510695003,0.61,0.846934392862022,19.7378080547787,0.86559106208384,0.994676704822108,6.96,93.9221929129213,21.1671184932697,24,1.43,0.01
8,6.06,2191,0.514611605508253,0.26,8.2,2199,0.772130194115453,0.61,0.323214534036815,87.6244432081003,0.835104632498696,0.989041057185736,6.96,99.6885258246679,46.2954600417172,11,1.43,0.01
9,6.06,2191,0.532960857553407,0.26,8.2,2199,0.779843269283883,0.61,0.372601673938334,89.5957220832352,0.834681088514626,0.990924360797275,6.96,166.537482895283,38.2558744362905,18,1.43,0.01
10,6.06,2191,0.492309062499553,0.26,8.2,2199,0.732788877231069,0.61,0.347141842246056,84.7960586214904,0.85478853343986,0.99048205607431,6.96,116.70465420871,46.315103790781,8,1.43,0.01
11,6.06,2191,0.503687051618472,0.26,8.2,2199,0.727430953313597,0.61,0.291395728364587,93.8170932533685,0.839511868078262,0.990269725977909,6.96,150.951562958164,37.9730625068769,15,1.43,0.01
