Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,9,0.5900000000000003,2,5,66,44,37,108,2.8799999999999955,1.2200000000000009,1.0300000000000007,0.35000000000000014,4,2,2,2,21,4,7,3,4,0,16,7,Lc,0.13714285714285718,0.3050000000000001,0.14714285714285716,0.11666666666666668
1,1,2,0,10,1.300000000000001,15,19,82,50,53,78,8.229999999999897,0.05,0.09,0.09,20,2,1,1,64,2,1,1,6,0,14,7,Lc,0.12859375000000003,0.025,0.09,0.09
1,2,3,0,5,1.300000000000001,3,11,6,36,35,9,7.939999999999904,0.05,0.08,0.9700000000000006,15,1,1,5,51,1,1,8,6,0,22,7,Lc,0.15568627450980396,0.05,0.08,0.12125000000000002
1,2,4,0,7,1.0700000000000007,10,12,92,111,38,24,3.259999999999998,2.8299999999999836,0.22000000000000006,0.10999999999999999,13,5,1,1,27,18,2,1,3,0,16,7,Lc,0.12074074074074076,0.15722222222222226,0.11000000000000001,0.10999999999999999
1,3,5,0,3,0.6600000000000004,2,4,39,119,23,53,5.199999999999948,0.21000000000000005,0.3000000000000001,0.7000000000000004,10,1,2,3,37,1,5,7,5,0,17,7,Lc,0.14054054054054058,0.21000000000000005,0.06,0.1
1,3,6,0,7,1.2100000000000009,12,15,90,72,86,61,4.159999999999982,0.7400000000000004,0.6000000000000003,0.2900000000000001,16,2,3,2,35,5,3,4,3,0,14,7,Lc,0.11885714285714287,0.14800000000000005,0.20000000000000004,0.07250000000000001
1,4,7,0,10,1.2300000000000009,2,9,15,110,56,35,4.379999999999978,0.6100000000000003,0.5300000000000002,0.6900000000000004,8,3,3,2,34,5,3,8,6,0,17,7,Lc,0.12882352941176473,0.12200000000000004,0.1766666666666667,0.08625
1,4,8,0,3,0.4100000000000002,5,5,37,96,67,106,3.4799999999999787,0.6400000000000003,0.7100000000000004,0.45000000000000023,9,1,4,2,24,1,5,3,5,0,14,7,Lc,0.14500000000000002,0.6400000000000003,0.14200000000000002,0.15000000000000002
1,5,9,0,10,0.17,2,2,14,31,97,35,8.559999999999865,0.01,0.060000000000000005,0.01,13,1,2,1,54,1,2,1,6,0,18,7,Lc,0.15851851851851856,0.01,0.03,0.01
1,5,10,0,9,0.5800000000000003,7,7,84,77,79,80,4.469999999999962,1.0300000000000007,1.260000000000001,0.3000000000000001,13,3,4,2,29,6,7,6,4,1,36,7,Lc,0.1541379310344828,0.17166666666666672,0.18000000000000005,0.05
1,6,11,0,6,0.6900000000000004,2,4,52,18,92,53,4.069999999999972,1.1600000000000008,0.2900000000000001,0.7700000000000005,8,2,1,3,26,9,1,4,4,0,17,7,Lc,0.15653846153846157,0.12888888888888891,0.2900000000000001,0.19250000000000006
1,6,12,0,5,1.1600000000000008,2,12,10,4,62,9,2.650000000000002,2.0300000000000007,0.9900000000000007,1.5900000000000012,7,5,3,4,20,14,9,8,6,0.5,40,7,Lc,0.13250000000000003,0.14500000000000002,0.11000000000000001,0.1987500000000001
1,7,13,1,3,0.9700000000000006,16,18,46,43,40,37,3.2799999999999954,0.8300000000000005,3.759999999999964,0.2700000000000001,20,4,12,3,44,8,20,3,5,1,60,7,Lc,0.07454545454545455,0.10375000000000002,0.18800000000000006,0.09000000000000001
1,7,14,1,8,1.5400000000000011,16,22,109,118,24,112,4.289999999999987,0.5100000000000002,0.49000000000000027,0.3300000000000001,20,4,3,2,32,5,5,2,2,0.5,18,7,Lc,0.13406250000000006,0.10200000000000002,0.098,0.165
1,8,15,1,8,0.9400000000000006,2,12,116,112,23,35,4.199999999999975,0.5800000000000003,1.7800000000000014,0.6500000000000004,8,2,6,3,31,4,9,5,2,0,15,7,Lc,0.13548387096774198,0.14500000000000002,0.19777777777777786,0.13
1,8,16,1,4,0.6700000000000004,16,16,106,108,49,104,4.9299999999999535,0.13999999999999999,3.279999999999974,0.02,20,2,9,1,48,3,22,1,2,0.5,16,7,Lc,0.10270833333333336,0.04666666666666666,0.14909090909090914,0.02
1,9,17,1,3,1.0900000000000007,16,20,43,38,47,24,3.070000000000002,0.9600000000000006,0.20000000000000004,0.23000000000000007,19,5,2,1,29,6,2,1,5,0.5,36,7,Lc,0.10586206896551727,0.16000000000000006,0.1,0.23000000000000007
1,9,18,1,6,0.8000000000000005,5,7,58,105,32,100,5.919999999999936,0.6600000000000004,0.5400000000000003,0.04,15,4,3,1,36,5,3,1,4,0,13,7,Lc,0.16444444444444448,0.13200000000000003,0.18000000000000005,0.04
1,10,19,1,2,1.310000000000001,13,20,11,60,75,53,7.64999999999991,0.07,0.4000000000000002,0.3900000000000002,20,1,2,3,61,1,2,4,3,0,17,7,Lc,0.1254098360655738,0.07,0.2000000000000001,0.0975
1,10,20,1,3,0.5900000000000003,11,11,22,103,16,105,10.61999999999983,0.01,0.03,1.5900000000000012,20,1,1,8,80,1,1,9,5,0,16,7,Lc,0.13275000000000003,0.01,0.03,0.17666666666666672
1,11,21,1,1,0.47000000000000025,3,4,30,27,16,19,2.270000000000002,1.0400000000000007,1.0900000000000007,0.21000000000000005,5,4,2,1,20,8,7,1,5,0,22,7,Lc,0.11350000000000002,0.13,0.15571428571428575,0.21000000000000005
1,11,22,1,7,0.9000000000000006,12,13,93,53,6,58,4.229999999999974,3.5399999999999685,0.5500000000000003,0.4400000000000002,18,10,4,2,30,19,5,5,3,0,17,7,Lc,0.14100000000000004,0.18631578947368427,0.11000000000000001,0.08800000000000002
1,12,23,1,10,1.0400000000000007,10,14,33,54,74,78,2.640000000000002,3.00999999999998,0.8100000000000005,0.4000000000000002,13,8,3,1,25,26,5,2,6,0,15,7,Lc,0.10560000000000003,0.11576923076923079,0.16200000000000003,0.2000000000000001
1,12,24,1,7,0.6500000000000004,2,7,95,88,7,94,3.1299999999999915,0.2800000000000001,1.6500000000000012,0.2700000000000001,4,1,3,2,27,1,9,3,3,0.5,24,7,Lc,0.11592592592592593,0.2800000000000001,0.1833333333333334,0.09000000000000001
