Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,2,0.5400000000000003,2,4,74,75,77,65,4.999999999999949,3.3399999999999728,3.6899999999999653,3.759999999999964,6,11,6,5,8,13,6,6,3,0.5,13,7,H,0.6250000000000004,0.25692307692307703,0.6150000000000003,0.626666666666667
1,1,2,0,10,0.5800000000000003,2,5,49,24,13,33,12.129999999999798,0.3300000000000001,0.04,0.3100000000000001,12,3,1,1,29,3,1,1,6,0,21,7,H,0.4182758620689657,0.11000000000000001,0.04,0.3100000000000001
1,2,3,0,8,0.48000000000000026,2,3,112,31,18,17,3.549999999999979,1.9800000000000015,1.280000000000001,1.2400000000000009,5,3,2,3,9,4,2,3,2,0,19,7,H,0.39444444444444465,0.49500000000000033,0.6400000000000003,0.41333333333333355
1,2,4,0,4,0.48000000000000026,2,3,50,103,97,55,7.449999999999896,3.1599999999999766,0.49000000000000027,0.18000000000000002,10,5,3,2,20,6,3,2,2,0,12,7,H,0.37250000000000016,0.526666666666667,0.16333333333333339,0.09000000000000001
1,3,5,0,7,0.49000000000000027,2,4,108,55,93,86,6.259999999999922,1.5900000000000012,0.16,1.5400000000000011,9,4,1,5,14,4,1,5,3,0,12,7,H,0.4471428571428574,0.3975000000000002,0.16,0.30800000000000016
1,3,6,0,9,0.6100000000000003,2,4,119,112,22,18,6.8599999999999115,1.460000000000001,0.5300000000000002,0.34000000000000014,8,2,2,1,17,3,2,1,4,0,16,7,H,0.4035294117647061,0.4866666666666669,0.2650000000000001,0.34000000000000014
1,4,7,0,2,1.2100000000000009,2,7,74,79,108,35,6.329999999999936,0.8700000000000006,0.8300000000000005,1.7600000000000013,8,3,2,3,18,4,7,3,3,0,13,7,H,0.35166666666666685,0.21750000000000008,0.11857142857142859,0.586666666666667
1,4,8,0,7,0.6500000000000004,2,3,86,117,113,94,8.599999999999875,2.4099999999999926,3.049999999999979,0.02,10,7,5,1,20,8,5,1,3,0,10,7,H,0.4300000000000002,0.30125000000000013,0.6100000000000004,0.02
1,5,9,0,7,0.8700000000000006,2,5,96,86,27,110,7.519999999999904,0.3100000000000001,0.2800000000000001,1.2200000000000009,10,1,1,4,28,1,1,7,3,0,13,7,H,0.2685714285714287,0.3100000000000001,0.2800000000000001,0.17428571428571435
1,5,10,0,5,0.5300000000000002,2,3,3,4,50,59,5.709999999999934,52.00999999999822,0.060000000000000005,0.02,7,19,1,1,10,102,1,1,6,0,20,7,H,0.5709999999999984,0.5099019607843135,0.060000000000000005,0.02
1,6,11,0,9,0.48000000000000026,3,4,62,69,89,12,3.9999999999999694,2.479999999999991,1.1300000000000008,0.4400000000000002,6,3,2,1,12,7,4,1,4,0,17,7,H,0.3333333333333335,0.3542857142857144,0.2825000000000001,0.4400000000000002
1,6,12,0,3,0.5000000000000002,2,5,44,43,13,77,5.249999999999943,3.2499999999999747,0.38000000000000017,0.47000000000000025,10,7,2,1,21,11,3,1,5,0,19,7,H,0.2500000000000001,0.2954545454545456,0.12666666666666665,0.47000000000000025
1,7,13,1,6,0.16,2,2,13,57,31,90,11.389999999999805,0.13999999999999999,0.13999999999999999,1.1400000000000008,11,1,1,4,23,1,1,4,4,0,18,7,H,0.4952173913043481,0.13999999999999999,0.13999999999999999,0.28500000000000014
