Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,2,0.15,2,2,13,104,75,83,27.870000000001532,0.02,0.01,0.01,20,1,1,1,55,1,1,1,3,0,14,7,HL,0.5067272727272725,0.02,0.01,0.01
1,1,2,0,9,0.37000000000000016,2,3,72,85,34,91,3.3099999999999814,0.5600000000000003,0.3300000000000001,0.24000000000000007,9,1,1,1,12,1,1,1,4,0,15,7,HL,0.27583333333333343,0.5600000000000003,0.3300000000000001,0.24000000000000007
1,2,3,0,4,0.5200000000000002,4,6,97,103,66,99,4.099999999999968,0.12999999999999998,0.36000000000000015,1.260000000000001,11,2,1,3,17,2,1,5,2,0.5,10,7,HL,0.24117647058823538,0.065,0.36000000000000015,0.2520000000000001
1,2,4,0,1,0.6800000000000004,2,3,21,36,115,57,3.0499999999999936,0.34000000000000014,0.5700000000000003,1.8100000000000014,4,1,1,3,10,1,1,4,5,0,17,7,HL,0.30500000000000016,0.34000000000000014,0.5700000000000003,0.45250000000000024
1,3,5,0,3,0.3300000000000001,2,3,24,39,84,45,3.009999999999987,1.2000000000000008,0.4000000000000002,0.04,7,4,1,1,13,5,1,1,5,0,19,7,HL,0.2315384615384616,0.24000000000000007,0.4000000000000002,0.04
1,3,6,0,1,0.5400000000000003,2,5,97,31,2,58,2.7899999999999965,1.1600000000000008,0.48000000000000026,0.4300000000000002,3,2,2,2,6,5,2,2,5,0,17,7,HL,0.46499999999999936,0.23200000000000007,0.24000000000000007,0.21500000000000002
1,4,7,0,3,1.1100000000000008,13,16,42,110,113,51,5.219999999999958,2.239999999999996,0.02,0.2800000000000001,20,4,2,2,26,6,2,2,5,0,13,7,HL,0.20076923076923084,0.3733333333333335,0.01,0.14
1,4,8,0,1,0.34000000000000014,2,4,29,30,27,10,3.539999999999976,1.1300000000000008,2.06,0.8000000000000005,5,2,6,3,8,3,6,3,5,0.5,21,7,HL,0.4425000000000003,0.37666666666666687,0.3433333333333335,0.2666666666666668
1,5,9,0,7,0.7800000000000005,9,9,69,63,93,4,3.769999999999981,5.229999999999933,0.08,0.03,11,10,1,1,14,16,1,1,3,0,17,7,HL,0.2692857142857144,0.32687500000000014,0.08,0.03
1,5,10,0,3,0.7300000000000004,2,6,52,84,54,77,2.6700000000000017,0.6700000000000004,0.2800000000000001,0.5000000000000002,5,1,1,3,12,1,1,3,5,0,14,7,HL,0.2225000000000001,0.6700000000000004,0.2800000000000001,0.1666666666666667
