Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,6.06,2191,0.509121392238885,0.26,8.2,2199,0.0691358525615651,0.61,0.59534540232271,4.18230578745715,0.822425332242856,0.996110909163952,6.96,254.27601407296,51.227477819717,4,1.43,0.01
2,6.06,2191,0.665855180174112,0.26,8.2,2199,0.127359813037794,0.61,0.682595744840801,20.0443952153437,0.8985285730178,0.996123633293435,6.96,131.716972541669,21.1933017845382,17,1.43,0.01
3,6.06,2191,0.687973927380517,0.26,8.2,2199,0.0279921019501053,0.61,0.571528334952891,9.606068785768,0.888857103845337,0.997023990184069,6.96,183.811661576992,15.5131840063608,21,1.43,0.01
4,6.06,2191,0.660831744670868,0.26,8.2,2199,0.186094683693256,0.61,0.673475229591131,6.30507512902841,0.893249951757723,0.988661062356085,6.96,157.832024976285,16.1986220535589,16,1.43,0.01
5,6.06,2191,0.631314223110676,0.26,8.2,2199,0.056530157528352,0.61,0.54069634988904,15.4955202289857,0.870348492840538,0.991092951010913,6.96,190.118709063763,16.4831686927471,26,1.43,0.01
6,6.06,2191,0.629654944520444,0.26,8.2,2199,0.0266115955128334,0.61,0.597166430130601,16.7117629009299,0.873886480525369,0.986265490280464,6.96,158.889682867704,16.9030783012626,14,1.43,0.01
7,6.06,2191,0.685003520203754,0.26,8.2,2199,0.0586476473188959,0.61,0.552309539802372,12.1933559230529,0.867971503304551,0.991449267828837,6.96,150.105886069266,17.5833709614002,22,1.43,0.01
8,6.06,2191,0.665278063705191,0.26,8.2,2199,0.136391243436839,0.61,0.600155570022762,4.58928968245164,0.899787251305068,0.991365400913171,6.96,142.520339671662,15.6094873332069,26,1.43,0.01
9,6.06,2191,0.396861589252949,0.26,8.2,2199,0.230970837389817,0.61,0.491008722186089,11.4376072748564,0.804312110603321,0.997456955597038,6.96,20.1268326362595,42.437884485512,57,1.43,0.01
10,6.06,2191,0.439695400903001,0.26,8.2,2199,0.22983559740684,0.61,0.458816261850297,11.725624606479,0.810785945984069,0.989287884821417,6.96,37.2916898505762,36.6342835323769,49,1.43,0.01
11,6.06,2191,0.574862501490861,0.26,8.2,2199,0.50530530332122,0.61,0.248845694996417,7.56784071982838,0.890628264650237,0.993581068970496,6.96,393.366497048223,34.0570061165723,15,1.43,0.01
12,6.06,2191,0.576433744477108,0.26,8.2,2199,0.498455500430428,0.61,0.120757361464202,8.7461705210153,0.893647068880033,0.987125208832556,6.96,438.692816729238,31.5548549202154,6,1.43,0.01
13,6.06,2191,0.602827489394695,0.26,8.2,2199,0.657088144882582,0.61,0.18284512873739,19.6376268456224,0.871057995819952,0.99635940735531,6.96,392.160364010418,37.7691238087486,12,1.43,0.01
14,6.06,2191,0.596120399301872,0.26,8.2,2199,0.696262009874918,0.61,0.220522163659334,12.5405472640414,0.879361200967338,0.985975311373593,6.96,443.124461493036,37.813992704195,13,1.43,0.01
15,6.06,2191,0.653868073681369,0.26,8.2,2199,0.505578743400984,0.61,0.260015852600336,3.26742894784547,0.907406079845037,0.983448147814022,6.96,399.187935298821,30.1369245104725,2,1.43,0.01
16,6.06,2191,0.686996746584773,0.26,8.2,2199,0.601290523507632,0.61,0.159941683746874,13.7653392862994,0.898690579767805,0.994511599101359,6.96,447.528369923634,35.278249657189,7,1.43,0.01
17,6.06,2191,0.676514766765758,0.26,8.2,2199,0.503968141940422,0.61,0.14472348228097,18.2124650182668,0.887090110789519,0.985373557664687,6.96,442.446818688,29.7901642631623,4,1.43,0.01
18,6.06,2191,0.596615769024938,0.26,8.2,2199,0.580897230296396,0.61,0.173414998613298,17.8665173549671,0.871501632837113,0.992235304404283,6.96,481.236997310119,36.3791723667644,5,1.43,0.01
19,6.06,2191,0.601124312514439,0.26,8.2,2199,0.511110158464871,0.61,0.115711201913655,11.3303853461985,0.892512467560824,0.989457216158742,6.96,390.599543728447,33.8096647033119,14,1.43,0.01
20,6.06,2191,0.407913996698335,0.26,8.2,2199,0.406473727039294,0.61,0.148142372854054,90.8793979990296,0.996333767279284,0.996030258350307,6.96,473.536926622875,40.5843035407015,10,1.43,0.01
21,6.06,2191,0.419060031678528,0.26,8.2,2199,0.351924923229264,0.61,0.12367254845798,98.2271517920308,0.986434273720952,0.985283159516053,6.96,408.139367106743,46.843888087559,21,1.43,0.01
