Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,10,2.52999999999999,3,48,19,13,89,86,7.669999999999925,1.7400000000000013,2.289999999999995,0.15,17,12,11,1,144,37,41,1,6,0,18,7,L,0.05326388888888889,0.047027027027027025,0.05585365853658537,0.15
1,1,2,0,8,2.9699999999999807,2,61,109,120,116,118,10.819999999999858,1.1300000000000008,0.05,0.7700000000000005,20,11,1,8,226,32,1,17,2,1,24,7,L,0.047876106194690266,0.035312500000000004,0.05,0.045294117647058825
1,2,3,0,7,2.769999999999985,2,54,86,88,96,93,8.919999999999899,1.5100000000000011,0.4400000000000002,3.189999999999976,20,10,4,16,176,29,4,63,3,1,36,7,L,0.05068181818181818,0.052068965517241377,0.11,0.05063492063492064
1,2,4,0,2,2.479999999999991,3,53,84,74,82,48,10.019999999999875,0.6400000000000003,1.450000000000001,0.45000000000000023,20,6,13,6,195,11,36,11,3,0.5,23,7,L,0.05138461538461538,0.05818181818181818,0.04027777777777778,0.04090909090909091
1,3,5,0,2,3.2099999999999755,2,75,82,76,55,80,10.919999999999856,1.0600000000000007,1.2000000000000008,0.2800000000000001,20,8,10,5,232,22,29,7,3,0.5,22,7,L,0.04706896551724138,0.04818181818181818,0.041379310344827586,0.04
1,3,6,0,7,1.9000000000000015,2,36,87,47,89,94,9.799999999999878,1.0600000000000007,0.09999999999999999,0.13999999999999999,20,8,2,4,190,21,2,5,3,0.5,23,7,L,0.05157894736842105,0.05047619047619047,0.05,0.028
1,4,7,0,4,1.470000000000001,3,30,54,86,101,100,10.469999999999853,0.6300000000000003,0.8400000000000005,0.21000000000000005,20,5,10,4,201,13,16,4,2,0,11,7,L,0.05208955223880597,0.04846153846153846,0.052500000000000005,0.052500000000000005
1,4,8,0,9,0.24000000000000007,2,5,3,80,71,70,18.630000000000074,0.01,0.01,0.25000000000000006,20,1,1,3,342,1,1,5,4,0,17,7,L,0.05447368421052632,0.01,0.01,0.05
1,5,9,0,2,3.9599999999999596,6,93,81,6,4,82,9.959999999999877,2.5099999999999905,0.3300000000000001,0.7000000000000004,20,13,4,7,220,49,6,13,3,0,18,7,L,0.04527272727272727,0.05122448979591837,0.055,0.05384615384615385
1,5,10,0,9,2.289999999999995,3,42,69,61,24,86,7.059999999999938,2.4199999999999924,2.2699999999999956,0.6600000000000004,20,18,14,7,136,53,47,8,4,0,17,7,L,0.05191176470588235,0.045660377358490566,0.048297872340425534,0.0825
1,6,11,0,4,2.06,6,41,102,98,101,68,9.749999999999881,0.2700000000000001,0.6300000000000003,1.1100000000000008,20,3,2,9,200,3,12,23,2,0.5,16,7,L,0.04875,0.09,0.0525,0.04826086956521739
1,6,12,0,8,3.0199999999999796,3,51,120,114,86,113,5.449999999999972,3.2499999999999747,0.7300000000000004,1.6300000000000012,14,14,8,9,104,52,19,31,2,0.5,15,7,L,0.052403846153846155,0.0625,0.038421052631578946,0.052580645161290324
1,7,13,1,13,3.839999999999962,3,102,17,14,43,21,11.289999999999848,4.719999999999944,0.05,0.060000000000000005,20,17,1,3,261,93,1,3,6,0.5,41,7,L,0.043256704980842914,0.05075268817204301,0.05,0.02
1,7,14,1,3,3.4999999999999694,3,75,27,29,76,82,8.329999999999911,3.5899999999999674,0.5300000000000002,0.11999999999999998,14,13,4,2,174,74,10,2,5,0,16,7,L,0.047873563218390806,0.04851351351351351,0.053,0.060000000000000005
1,8,15,1,12,1.400000000000001,2,24,34,29,88,27,8.359999999999896,0.5500000000000003,0.49000000000000027,0.20000000000000004,20,5,5,2,173,15,13,3,3,0.5,33,7,L,0.04832369942196532,0.03666666666666667,0.03769230769230769,0.06666666666666667
1,8,16,1,15,2.9199999999999817,2,51,63,62,41,74,10.809999999999858,1.9300000000000015,2.399999999999993,1.1700000000000008,19,10,16,14,214,43,48,28,4,0,16,7,L,0.05051401869158879,0.04488372093023256,0.05,0.04178571428571429
1,9,17,1,7,1.270000000000001,5,26,5,69,78,80,16.199999999999726,0.02,0.07,0.060000000000000005,20,1,1,2,314,1,1,3,3,0,16,7,L,0.05159235668789809,0.02,0.07,0.02
1,9,18,1,12,2.859999999999983,3,60,88,40,37,85,11.389999999999846,0.7000000000000004,0.09,0.34000000000000014,20,7,3,4,252,15,3,7,3,0,16,7,L,0.045198412698412696,0.04666666666666667,0.03,0.04857142857142857
1,10,19,1,13,3.3999999999999715,9,82,15,58,13,104,9.77999999999988,1.260000000000001,0.7600000000000005,0.5000000000000002,20,9,4,3,210,21,12,15,6,0,18,7,L,0.04657142857142857,0.06,0.06333333333333332,0.03333333333333333
1,10,20,1,11,0.20000000000000004,3,6,2,38,71,47,18.03999999999999,0.01,0.01,0.01,20,1,1,1,370,1,1,1,2,0,20,7,L,0.04875675675675676,0.01,0.01,0.01
1,11,21,1,7,3.319999999999973,6,66,73,6,7,9,9.949999999999877,0.9300000000000006,0.5600000000000003,0.36000000000000015,20,7,5,3,197,23,15,5,3,0.5,39,7,L,0.05050761421319797,0.04043478260869565,0.037333333333333336,0.072
1,11,22,1,4,3.0599999999999787,3,61,105,102,103,57,8.929999999999898,1.280000000000001,1.7800000000000014,0.17,20,10,10,2,167,25,35,3,2,0.5,16,7,L,0.05347305389221557,0.051199999999999996,0.05085714285714286,0.05666666666666667
1,12,23,1,14,3.329999999999973,9,73,37,38,40,44,10.799999999999859,0.8000000000000005,0.08,1.280000000000001,20,7,1,10,224,20,1,25,5,1,60,7,L,0.048214285714285716,0.04,0.08,0.051199999999999996
1,12,24,1,15,2.9799999999999804,6,61,61,102,34,66,8.179999999999914,1.5400000000000011,1.7000000000000013,0.060000000000000005,20,9,7,1,165,33,30,1,4,0,15,7,L,0.04957575757575758,0.04666666666666667,0.056666666666666664,0.060000000000000005
1,13,25,1,15,5.149999999999935,3,98,64,38,47,46,8.149999999999915,2.239999999999996,2.0799999999999996,2.159999999999998,17,14,12,12,155,51,36,49,4,0.5,34,7,L,0.052580645161290324,0.04392156862745098,0.05777777777777778,0.044081632653061226
1,13,26,1,10,1.9600000000000015,2,38,8,7,10,11,8.219999999999912,0.21000000000000005,0.37000000000000016,1.390000000000001,16,2,4,9,159,3,7,36,6,1,72,7,L,0.05169811320754717,0.06999999999999999,0.05285714285714285,0.03861111111111111
1,14,27,1,3,1.6200000000000012,3,29,32,26,30,24,8.589999999999897,0.19000000000000003,0.21000000000000005,7.069999999999894,20,2,3,17,181,6,6,128,5,0.5,36,7,L,0.0474585635359116,0.03166666666666667,0.035,0.055234375
1,14,28,1,7,2.1199999999999988,2,43,78,82,83,84,7.779999999999923,1.7200000000000013,0.49000000000000027,1.280000000000001,20,14,5,10,156,37,9,22,3,1,36,7,L,0.04987179487179487,0.046486486486486484,0.05444444444444445,0.05818181818181819
1,15,29,1,12,0.9400000000000006,2,14,93,89,91,88,5.899999999999939,1.0500000000000007,0.5800000000000003,1.260000000000001,19,7,6,11,97,20,11,23,3,1,36,7,L,0.060824742268041236,0.0525,0.05272727272727273,0.05478260869565217
1,15,30,1,6,2.7799999999999847,2,58,53,52,84,57,7.949999999999919,1.450000000000001,0.5800000000000003,0.7300000000000004,14,7,4,4,163,30,8,18,4,0.5,27,7,L,0.04877300613496933,0.04833333333333333,0.0725,0.04055555555555556
1,16,31,1,15,1.6000000000000012,3,35,66,63,67,75,7.719999999999915,0.19000000000000003,1.1000000000000008,1.8900000000000015,20,3,2,8,154,3,25,45,4,0.5,27,7,L,0.05012987012987013,0.06333333333333334,0.044000000000000004,0.042
1,16,32,1,14,1.8300000000000014,2,39,41,42,38,44,5.839999999999961,3.4499999999999704,1.1800000000000008,0.2900000000000001,18,15,16,5,112,55,25,6,5,1,60,7,L,0.052142857142857144,0.06272727272727273,0.0472,0.04833333333333333
1,17,33,1,13,2.3099999999999947,5,45,17,97,18,22,8.259999999999913,3.2499999999999747,0.20000000000000004,0.3200000000000001,20,16,3,5,152,72,4,8,6,0.5,38,7,L,0.0543421052631579,0.04513888888888889,0.05,0.039999999999999994
1,17,34,1,12,1.460000000000001,2,38,91,93,92,88,6.549999999999937,1.7300000000000013,0.17,2.299999999999995,18,14,4,16,143,41,7,43,3,1,36,7,L,0.045804195804195806,0.042195121951219515,0.024285714285714285,0.053488372093023255
1,18,35,1,7,1.7200000000000013,4,46,82,73,83,26,8.199999999999907,0.37000000000000016,1.7200000000000013,1.260000000000001,20,5,7,13,191,10,45,31,3,0.5,23,7,L,0.04293193717277487,0.037000000000000005,0.03822222222222222,0.040645161290322585
1,18,36,1,6,2.239999999999996,2,54,51,58,54,60,7.91999999999992,1.6500000000000012,0.23000000000000007,0.23000000000000007,19,10,2,3,162,37,6,5,4,1,48,7,L,0.04888888888888889,0.0445945945945946,0.03833333333333334,0.046
1,19,37,1,10,2.8799999999999826,4,65,2,9,1,10,8.909999999999899,0.34000000000000014,1.9400000000000015,0.060000000000000005,20,6,15,2,179,7,32,3,6,1,72,7,L,0.04977653631284916,0.04857142857142857,0.060625,0.02
1,19,38,1,3,1.380000000000001,2,28,30,28,34,18,8.379999999999896,0.6600000000000004,1.9500000000000015,0.8900000000000006,20,12,15,9,178,15,49,22,5,0.5,36,7,L,0.04707865168539326,0.044000000000000004,0.03979591836734694,0.04045454545454545
1,20,39,1,7,2.8899999999999824,3,75,84,15,14,78,10.619999999999862,1.2500000000000009,1.1100000000000008,0.04,20,12,12,1,241,22,33,1,3,0,18,7,L,0.04406639004149378,0.05681818181818182,0.03363636363636364,0.04
1,20,40,1,14,1.6800000000000013,2,33,39,46,44,38,4.029999999999995,3.7299999999999645,0.7600000000000005,1.1600000000000008,18,15,9,10,89,73,17,13,5,1,60,7,L,0.0452808988764045,0.051095890410958904,0.04470588235294118,0.08923076923076924
2,1,1,0,7,0.4000000000000002,2,4,91,89,95,57,4.509999999999957,0.3100000000000001,0.46000000000000024,2.859999999999983,6,1,2,5,32,1,4,18,3,0.5,22,7,L,0.14093750000000002,0.3100000000000001,0.11500000000000002,0.1588888888888889
2,1,2,0,9,0.24000000000000007,2,3,67,66,44,62,1.710000000000001,5.679999999999923,1.7700000000000014,1.0000000000000007,5,7,3,5,10,42,15,5,4,0.5,29,7,L,0.17100000000000004,0.13523809523809527,0.11800000000000002,0.20000000000000007
