Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,2,0.6100000000000003,2,7,73,76,81,74,10.459999999999834,1.5700000000000012,1.8500000000000014,2.0400000000000005,15,5,5,8,101,9,17,15,3,1,36,6,LH,0.10356435643564359,0.1744444444444445,0.10882352941176474,0.13600000000000004
1,1,2,0,6,1.1500000000000008,2,15,51,90,57,53,12.009999999999813,6.439999999999907,0.3900000000000002,0.10999999999999999,8,7,2,2,125,54,4,2,4,0.5,27,6,LH,0.09608000000000001,0.11925925925925927,0.09750000000000002,0.055
1,2,3,0,7,0.6800000000000004,2,9,95,97,46,88,14.679999999999746,4.329999999999952,1.5900000000000012,0.07,16,10,4,1,153,42,10,1,3,0,13,6,LH,0.09594771241830066,0.10309523809523811,0.15900000000000003,0.07
1,2,4,0,1,1.0400000000000007,2,14,27,35,34,32,13.719999999999775,0.8800000000000006,0.3900000000000002,1.6500000000000012,14,3,2,10,143,6,3,15,5,1,60,6,LH,0.09594405594405596,0.1466666666666667,0.13,0.11000000000000001
1,3,5,0,3,0.6200000000000003,2,9,41,39,40,102,12.979999999999782,1.0500000000000007,0.6500000000000004,2.6999999999999864,19,4,3,8,124,5,6,29,5,0.5,32,6,LH,0.10467741935483872,0.21000000000000008,0.10833333333333334,0.09310344827586209
1,3,6,0,9,1.260000000000001,2,11,91,70,94,61,17.56999999999975,0.37000000000000016,0.4400000000000002,0.17,15,6,3,2,173,8,4,3,4,0,14,6,LH,0.1015606936416185,0.04625,0.10999999999999999,0.05666666666666667
1,4,7,0,10,0.9200000000000006,2,13,21,19,16,98,11.87999999999981,0.4400000000000002,6.979999999999896,0.19000000000000003,16,3,8,1,116,3,73,1,6,0.5,38,6,LH,0.10241379310344828,0.1466666666666667,0.09561643835616439,0.19000000000000003
1,4,8,0,5,1.7700000000000014,2,20,9,3,54,10,11.589999999999836,13.499999999999757,2.0799999999999996,0.23000000000000007,16,18,8,5,108,100,26,5,6,0.5,40,6,LH,0.10731481481481482,0.13500000000000004,0.08000000000000002,0.046
1,5,9,0,1,0.5600000000000003,2,7,34,27,28,29,10.869999999999825,1.7200000000000013,0.3300000000000001,3.0699999999999785,11,6,2,6,101,15,3,24,5,1,60,6,LH,0.10762376237623764,0.11466666666666668,0.11000000000000001,0.12791666666666668
1,5,10,0,2,0.37000000000000016,2,4,77,71,64,79,11.679999999999804,8.62999999999986,1.1500000000000008,1.0100000000000007,18,14,4,7,115,73,13,7,3,0,14,6,LH,0.10156521739130436,0.1182191780821918,0.08846153846153847,0.14428571428571432
1,6,11,1,2,1.480000000000001,3,17,69,66,75,61,11.749999999999826,5.329999999999931,1.8000000000000014,0.23000000000000007,14,10,4,2,110,46,10,4,3,0.5,15,6,LH,0.10681818181818184,0.11586956521739132,0.18000000000000008,0.0575
1,6,12,1,6,0.5900000000000003,2,10,52,55,49,51,11.14999999999982,3.3899999999999717,1.1000000000000008,1.1200000000000008,12,6,3,5,112,35,9,9,4,1,48,6,LH,0.09955357142857144,0.09685714285714286,0.12222222222222223,0.12444444444444445
1,7,13,1,5,1.390000000000001,2,16,61,7,5,77,13.969999999999777,0.9100000000000006,4.3099999999999525,1.290000000000001,9,2,6,3,119,14,41,13,6,0,19,6,LH,0.1173949579831933,0.065,0.1051219512195122,0.09923076923076923
1,7,14,1,3,0.7000000000000004,4,8,39,88,60,43,17.65999999999985,2.489999999999991,1.320000000000001,0.35000000000000014,20,7,3,2,164,22,17,6,5,0,17,6,LH,0.1076829268292683,0.1131818181818182,0.07764705882352942,0.058333333333333334
1,8,15,1,4,1.2100000000000009,4,14,99,62,89,101,13.299999999999788,3.759999999999964,0.7600000000000005,0.7400000000000004,14,7,4,4,126,41,9,6,2,0,11,6,LH,0.10555555555555557,0.09170731707317074,0.08444444444444445,0.12333333333333334
1,8,16,1,10,0.5800000000000003,2,5,24,19,16,22,9.969999999999844,4.209999999999955,0.35000000000000014,4.039999999999958,13,10,2,14,74,35,3,36,6,1,72,6,LH,0.13472972972972977,0.1202857142857143,0.11666666666666667,0.11222222222222224
1,9,17,1,2,1.7700000000000014,4,21,78,3,82,5,15.279999999999758,0.7300000000000004,0.24000000000000007,0.6300000000000003,19,3,2,2,142,7,3,4,3,0,18,6,LH,0.10760563380281692,0.10428571428571429,0.08,0.15750000000000003
1,9,18,1,8,1.0000000000000007,2,14,119,117,61,14,11.429999999999822,2.5899999999999888,2.4099999999999926,3.93999999999996,10,4,9,9,95,22,17,37,2,0,14,6,LH,0.12031578947368424,0.11772727272727274,0.141764705882353,0.1064864864864865
1,10,19,1,8,1.5100000000000011,2,11,115,120,86,117,15.759999999999742,0.45000000000000023,0.6500000000000004,0.3000000000000001,18,2,2,2,137,3,8,4,2,0.5,9,6,LH,0.11503649635036498,0.15000000000000002,0.08125,0.075
1,10,20,1,2,0.5400000000000003,2,10,82,40,84,43,11.209999999999818,4.399999999999951,0.23000000000000007,0.37000000000000016,16,8,2,2,99,48,2,5,3,0,16,6,LH,0.11323232323232325,0.09166666666666667,0.115,0.074
1,11,21,1,6,0.7800000000000005,3,12,47,46,73,60,10.599999999999836,5.939999999999918,0.6200000000000003,0.12999999999999998,14,7,3,1,115,46,6,1,4,0,17,6,LH,0.09217391304347827,0.12913043478260872,0.10333333333333335,0.12999999999999998
1,11,22,1,1,0.6300000000000003,2,8,25,30,34,27,10.969999999999825,0.9200000000000006,2.07,2.9199999999999817,18,3,8,13,101,5,19,38,5,1,60,6,LH,0.10861386138613863,0.18400000000000005,0.10894736842105264,0.0768421052631579
1,12,23,1,1,0.7300000000000004,3,12,78,80,33,73,11.149999999999823,2.0799999999999996,0.3100000000000001,2.7399999999999856,13,8,2,10,124,23,3,31,5,0.5,14,6,LH,0.08991935483870969,0.09043478260869567,0.10333333333333333,0.08838709677419355
1,12,24,1,4,1.7700000000000014,2,18,102,52,99,24,12.84999999999981,6.249999999999911,0.3900000000000002,0.8000000000000005,14,12,4,2,121,63,9,8,2,0,14,6,LH,0.10619834710743803,0.09920634920634921,0.043333333333333335,0.1
1,13,25,1,2,0.47000000000000025,3,6,84,11,77,3,14.249999999999751,0.8700000000000006,0.8400000000000005,1.9500000000000015,19,3,5,6,160,11,6,21,3,0,18,6,LH,0.0890625,0.0790909090909091,0.14,0.09285714285714287
