Subject,a_schema,h_schema,Beta_N,Beta_Var,a_generic,h_generic,Beta_gN,Beta_gVar,w,Phi,decay_speed,decay_speed_thres,thres_item_inter,thres_item_final,thres_schema,theta_shift,timevar,modeltimestep
1,6.06,2191,0.620268161240965,0.26,8.2,2199,0.199408910869155,0.61,0.771128124557436,74.4648601713125,0.859605439502979,0.993201060986146,6.96,86.9297278423328,42.0534480642527,10,1.43,0.01
2,6.06,2191,0.621413221219555,0.26,8.2,2199,0.136621477853972,0.61,0.78320600848645,73.9939756591339,0.859550278123701,0.993522783901542,6.96,72.1659404777456,41.9114424776286,13,1.43,0.01
3,6.06,2191,0.63502109724097,0.26,8.2,2199,0.222648164377082,0.61,0.808357077501714,76.7028083272744,0.86143890462094,0.988643287487328,6.96,139.63613527664,40.6840869517066,12,1.43,0.01
4,6.06,2191,0.560269607733935,0.26,8.2,2199,0.321718134881929,0.61,0.722058255039156,35.3563521427568,0.907476271683117,0.947180150339846,6.96,291.543474889547,50.5692436231533,41,1.43,0.01
5,6.06,2191,0.5459978117235,0.26,8.2,2199,0.426239453593269,0.61,0.770791639722884,25.8942295515444,0.890142010444542,0.943864857421722,6.96,297.046897067875,49.2192990464973,35,1.43,0.01
6,6.06,2191,0.604344328604639,0.26,8.2,2199,0.390833478385583,0.61,0.677371357567608,24.6721117382403,0.914762436099118,0.9347959945607,6.96,326.015886847116,52.9235573503538,32,1.43,0.01
7,6.06,2191,0.55920584699139,0.26,8.2,2199,0.388141154835001,0.61,0.683506853431463,38.5457143557724,0.893591483425116,0.944536743562203,6.96,272.855933898781,54.3559063872555,33,1.43,0.01
8,6.06,2191,0.550953352022916,0.26,8.2,2199,0.321893532957882,0.61,0.712560629248619,24.7965892215725,0.916206490289187,0.942473283603322,6.96,343.981678034365,49.2820766709978,36,1.43,0.01
9,6.06,2191,0.656064122226089,0.26,8.2,2199,0.349358627863228,0.61,0.696664754115045,24.4204420826863,0.883709391806042,0.937023744077887,6.96,305.62704635337,48.6426903910236,40,1.43,0.01
10,6.06,2191,0.591344405766577,0.26,8.2,2199,0.346779222937301,0.61,0.777207277566195,23.5399572874885,0.898803716948023,0.945186817401555,6.96,366.685474951006,50.6115421144292,41,1.43,0.01
11,6.06,2191,0.420827258061618,0.26,8.2,2199,0.670755346687045,0.61,0.56249475646764,93.0641776507255,0.82971616176283,0.93395063286135,6.96,461.547129053529,24.8029203724582,8,1.43,0.01
12,6.06,2191,0.391553452126682,0.26,8.2,2199,0.618343030716758,0.61,0.481288810893893,97.2855488208588,0.834546941326466,0.933295998041984,6.96,445.96120911641,24.5201084430446,5,1.43,0.01
13,6.06,2191,0.35279669387266,0.26,8.2,2199,0.58793469733512,0.61,0.609782306216657,92.1592848559376,0.824818614352029,0.943247565729078,6.96,382.749045910686,28.9337677651085,5,1.43,0.01
14,6.06,2191,0.43129188971594,0.26,8.2,2199,0.69369176762132,0.61,0.601723726466298,84.67854552879,0.847677745775785,0.931480955378618,6.96,370.147472146805,26.5004642792046,2,1.43,0.01
15,6.06,2191,0.683480624286458,0.26,8.2,2199,0.83431858187425,0.61,0.216403762325645,20.3934727271553,0.81308806071966,0.967451636223821,6.96,27.931865873374,16.1613105599768,4,1.43,0.01
16,6.06,2191,0.686763444831595,0.26,8.2,2199,0.750541187355993,0.61,0.208427473194897,20.8204617665615,0.809601432699477,0.963983418453252,6.96,64.2719807299785,8.3439611812355,11,1.43,0.01
17,6.06,2191,0.653259136350825,0.26,8.2,2199,0.785353345655603,0.61,0.287891512103379,27.269641951425,0.813724269754952,0.958785705464659,6.96,89.6473074230366,14.1913018243271,11,1.43,0.01
18,6.06,2191,0.663815036425367,0.26,8.2,2199,0.460063531166874,0.61,0.526069791950285,13.1995305398013,0.834628952556523,0.991184695906239,6.96,177.191472042957,16.8109801728278,31,1.43,0.01
19,6.06,2191,0.656658975416794,0.26,8.2,2199,0.419987299908884,0.61,0.515322974026203,10.998542125104,0.803912316263886,0.989550359498942,6.96,234.55138426288,17.8263861647225,25,1.43,0.01
